orthogroup	AAL	AEN	AGE	CAF	CNV	CON	DUP	EVR	EXP	LCA	PDN	PDS	SEL	STA	SYN	UNI	ACN
MZ22500062	3488.4736840000005	6.894736842	43.0	0.8390000000000001	0.217005559	1	0.055555556	0.8665	1	7	0.2015	7.626	0.02642	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500063	1563.911111	13.97777778	43.0	0.0	0.36784323	2	0.7894736840000001	0.9479	11	7	1.7383	31.6478	0.054929999999999986	23	0.0	1.0	2.3684210526315788
MZ22500064	3407.95	2.7	43.0	0.951	0.212132034	0	0.052631579000000005	1.2734	1	7	1.351	8.213	0.1645	35	0.0	1.0	1.0526315789473684
MZ22500066	2436.62069	9.482758621	43.0	0.005	0.805746307	0	0.210526316	1.0634	4	7	0.0	0.0	0.0	32	0.0	1.0	1.5263157894736843
MZ22500067	3261.541667	9.666666667000001	43.0	0.076	0.433012702	0	0.210526316	1.2512	4	7	0.0	0.0	0.0	32	0.0	1.0	1.263157894736842
MZ22500068	2456.214286	10.64285714	43.0	0.023	0.0	5	0.0	1.075	0	7	0.7904399999999999	12.5773	0.06285	31	0.0	0.7368421052631579	1.0
MZ22500070	4096.444444	14.77777778	43.0	0.82	0.0	1	0.0	0.9485	0	7	0.40211	7.12161	0.05646	35	0.071895425	0.9473684210526316	1.0
MZ22500071	3025.5217390000007	10.60869565	43.0	0.382	0.336781161	0	0.210526316	0.8969	4	7	0.1867	7.4306	0.02513	32	0.14619883	1.0	1.2105263157894737
MZ22500073	3188.904762	9.666666667000001	43.0	0.892	0.277664376	0	0.105263158	0.9286	2	7	0.3606	8.0939	0.04455	34	0.0	1.0	1.1052631578947372
MZ22500075	2636.869565	29.65217391	43.0	0.382	0.336781161	0	0.210526316	1.0776	4	7	0.5847	7.1924	0.08129	32	0.0	1.0	1.2105263157894737
MZ22500078	3170.7	18.25	43.0	0.951	0.212132034	0	0.052631579000000005	0.8582	1	7	0.12878	6.25131	0.0206	35	0.0	1.0	1.0526315789473684
MZ22500079	3984.6	10.75	43.0	0.888	0.212132034	0	0.052631579000000005	0.8797	1	7	0.16677999999999998	7.1202	0.02342	35	0.0	1.0	1.0526315789473684
MZ22500080	3151.478261	14.30434783	43.0	0.625	0.336781161	0	0.210526316	0.8861	4	7	0.1221	7.985	0.01529	32	0.0	1.0	1.2105263157894737
MZ22500081	3287.52381	5.619047619	43.0	0.0	0.277664376	0	0.105263158	1.0718	2	7	0.7488	8.0265	0.09329	34	0.099415205	1.0	1.1052631578947372
MZ22500084	3377.3	6.65	43.0	0.95	0.212132034	0	0.052631579000000005	0.8962	1	7	0.2563	6.8439999999999985	0.03745	35	0.0	1.0	1.0526315789473684
MZ22500086	1578.871795	7.076923077000001	43.0	0.008	0.402163773	4	0.736842105	0.9606	5	7	2.7536	52.5001	0.05245	27	0.038011696	1.0	2.0526315789473686
MZ22500088	5291.85	17.2	43.0	0.977	0.212132034	0	0.052631579000000005	1.1542	1	7	0.97241	7.64848	0.12714	35	0.102339181	1.0	1.0526315789473684
MZ22500089	3528.052632	8.631578947000001	43.0	0.9565	0.0	0	0.0	1.0734	0	7	0.85974	7.6874600000000015	0.11184	36	0.131578947	1.0	1.0
MZ22500093	1817.677419	5.516129032	43.0	0.0	0.356301968	1	0.578947368	1.0726	7	7	1.6494	15.663	0.10531	28	0.219298246	1.0	1.631578947368421
MZ22500094	5399.454545000001	11.18181818	43.0	0.001	0.272727273	8	0.1	1.2196	1	7	0.86577	8.33137	0.10392	27	0.0	0.5263157894736842	1.1
MZ22500095	4465.458333	9.833333332999999	43.0	0.0	0.565194165	0	0.15789473699999998	1.4623	3	7	1.2303	9.7803	0.12579	33	0.0	1.0	1.263157894736842
MZ22500096	2550.571429	10.19047619	43.0	0.589	0.277664376	0	0.105263158	1.0548	2	7	0.68421	7.75442	0.08822999999999999	34	0.0	1.0	1.1052631578947372
MZ22500097	3431.263158	15.57894737	43.0	0.9565	0.0	0	0.0	0.9082	0	7	0.23074	6.2988800000000005	0.03663	36	0.0	1.0	1.0
MZ22500098	3396.28	5.48	43.0	0.318	0.430813185	0	0.263157895	1.1932	4	7	0.8953	12.88233	0.0695	32	0.0	1.0	1.3157894736842106
MZ22500100	2227.0	12.34615385	43.0	0.0	0.424821578	0	0.315789474	1.1723	6	7	2.30937	18.20746	0.12684	30	0.0	1.0	1.368421052631579
MZ22500101	1927.25	18.1	43.0	0.508	0.282842712	1	0.111111111	1.0148	2	7	1.3947	16.09854	0.08664	33	0.0	0.9473684210526316	1.1111111111111112
MZ22500102	2408.478261	10.7826087	43.0	0.0	0.430412823	0	0.15789473699999998	1.186	3	7	4.1023	87.2219	0.04703	33	0.0	1.0	1.2105263157894737
MZ22500105	2463.25	12.8	43.0	0.888	0.212132034	0	0.052631579000000005	0.929	1	7	0.688	11.0701	0.06215	35	0.0	1.0	1.0526315789473684
MZ22500106	2897.461538	12.15384615	43.0	0.005	0.0	6	0.0	0.9063	0	7	0.2492	5.40916	0.04607	30	0.0	0.6842105263157895	1.0
MZ22500107	2861.809524	17.33333333	43.0	0.8320000000000001	0.277664376	0	0.105263158	0.9405	2	7	0.3736	8.9519	0.04173	34	0.0	1.0	1.1052631578947372
MZ22500111	1532.12	12.04	43.0	0.118	0.350998575	2	0.388888889	0.9902	3	7	1.7524400000000002	19.97229	0.08774	31	0.0	0.9473684210526316	1.3888888888888888
MZ22500114	2628.222222	8.833333332999999	43.0	0.7975	0.0	1	0.0	0.9008	0	7	0.24748	6.64353	0.03725	35	0.04248366	0.9473684210526316	1.0
MZ22500115	2629.347826	16.2173913	43.0	0.386	0.336781161	0	0.210526316	1.2684	4	7	0.3813	7.5054	0.0508	32	0.038011696	1.0	1.2105263157894737
MZ22500117	2227.695652	12.7826087	43.0	0.318	0.430412823	0	0.15789473699999998	1.318	3	7	0.4036	11.7483	0.03435	33	0.0	1.0	1.2105263157894737
MZ22500118	2999.052632	9.263157895	43.0	0.9565	0.0	0	0.0	0.8725	0	7	0.18912	6.64278	0.02847	36	0.055555556	1.0	1.0
MZ22500120	2675.263158	12.10526316	43.0	0.9565	0.0	0	0.0	0.9765	0	7	0.38901	6.80916	0.057129999999999986	36	0.0	1.0	1.0
MZ22500123	3222.85	6.8	43.0	0.888	0.212132034	0	0.052631579000000005	0.9487	1	7	0.39092	6.59187	0.0593	35	0.0	1.0	1.0526315789473684
MZ22500124	2944.35	26.9	43.0	0.888	0.212132034	0	0.052631579000000005	0.8573	1	7	0.11152	6.41115	0.01739	35	0.0	1.0	1.0526315789473684
MZ22500126	2032.296296	16.92592593	43.0	0.085	0.347438204	0	0.421052632	1.0898	6	7	1.4856200000000002	17.023329999999998	0.08727	30	0.0	1.0	1.4210526315789471
MZ22500128	1859.892857	3.285714286	43.0	0.117	0.460146383	0	0.368421053	1.0779	6	7	2.66016	33.19	0.08015	30	0.0	1.0	1.4736842105263157
MZ22500132	2580.894737	4.210526316	43.0	0.723	0.217005559	1	0.055555556	1.1864	1	7	1.06844	12.42615	0.08598	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500133	2878.0	17.57142857	43.0	0.861	0.277664376	0	0.105263158	0.9992	2	7	0.5228	9.4703	0.0552	34	0.0	1.0	1.1052631578947372
MZ22500134	2430.2	8.92	43.0	0.17	0.353270435	0	0.315789474	1.3371	6	7	2.1616	38.6965	0.05586	30	0.0	1.0	1.3157894736842106
MZ22500135	2393.75	8.55	43.0	0.888	0.212132034	0	0.052631579000000005	1.0214	1	7	0.4749	5.88521	0.08069	35	0.0	1.0	1.0526315789473684
MZ22500137	1252.862069	5.896551724	43.0	0.075	0.327132172	4	0.526315789	1.2532	2	7	5.1238	35.4547	0.14452	30	0.116959064	1.0	1.5263157894736843
MZ22500138	1902.633333	8.866666667	43.0	0.0	0.312694384	2	0.578947368	1.0039	7	7	3.78299	35.59531	0.10628	27	0.0	1.0	1.5789473684210529
MZ22500139	2740.590909	5.318181818	43.0	0.595	0.314918329	0	0.15789473699999998	0.9824	3	7	0.6182	9.01331	0.06859	33	0.0	1.0	1.1578947368421053
MZ22500141	2308.238095	13.0	43.0	0.892	0.277664376	0	0.105263158	1.3630000000000002	2	7	1.4337	9.3444	0.15342999999999998	34	0.0	1.0	1.1052631578947372
MZ22500142	3127.142857	14.66666667	43.0	0.731	0.277664376	0	0.105263158	1.0345	2	7	0.3805	6.184	0.06153	34	0.0	1.0	1.1052631578947372
MZ22500144	1646.615385	8.730769231	43.0	0.0	0.424821578	0	0.315789474	0.9267	6	7	1.3514	22.1609	0.060979999999999986	30	0.0	1.0	1.368421052631579
MZ22500147	2890.105263	8.736842105	43.0	0.9565	0.0	0	0.0	1.13	0	7	0.83352	7.66045	0.10881	36	0.0	1.0	1.0
MZ22500149	2799.8	8.85	43.0	0.888	0.212132034	0	0.052631579000000005	0.8469	1	7	0.64983	39.97997	0.01625	35	0.0	1.0	1.0526315789473684
MZ22500152	2686.8	10.5	43.0	0.0	0.212132034	4	0.052631579000000005	0.892	1	7	0.1735	6.2611	0.02771	31	0.0	1.0	1.0526315789473684
MZ22500154	1711.45	4.65	43.0	0.888	0.212132034	0	0.052631579000000005	1.0703	1	7	0.78045	6.99565	0.11156	35	0.0	1.0	1.0526315789473684
MZ22500155	2110.357143	9.928571429	43.0	0.023	0.24743583	5	0.076923077	0.882	1	7	0.2319	5.60326	0.04139	30	0.0	0.6842105263157895	1.0769230769230769
MZ22500156	2785.368421	10.05263158	43.0	0.9565	0.0	0	0.0	0.9078	0	7	0.23025	8.49019	0.02712	36	0.0	1.0	1.0
MZ22500158	2450.75	8.2	43.0	0.961	0.212132034	0	0.052631579000000005	1.1546	1	7	2.03252	16.22503	0.12527	35	0.0	1.0	1.0526315789473684
MZ22500160	2708.75	3.833333333	27.90365678	0.0	0.0	6	0.0	1.1725	0	7	0.79335	5.80492	0.13667	30	0.0	0.631578947368421	1.0
MZ22500162	2107.454545	2.727272727	43.0	0.0	0.435984684	1	0.166666667	1.4142	3	7	0.0	0.0	0.0	32	0.0	0.9473684210526316	1.2222222222222223
MZ22500163	1627.2608699999996	13.95652174	43.0	0.7659999999999999	0.336781161	0	0.210526316	0.9419	3	7	0.8688600000000001	12.99803	0.06685	33	0.090643275	1.0	1.2105263157894737
MZ22500164	2811.368421	16.10526316	43.0	0.9565	0.0	0	0.0	1.0381	0	7	0.46163	6.8616	0.06727999999999999	36	0.0	1.0	1.0
MZ22500166	2440.666667	8.857142857000001	43.0	0.913	0.277664376	0	0.105263158	0.8541	2	7	0.1177	6.74	0.01746	34	0.076023392	1.0	1.1052631578947372
MZ22500169	2321.333333	6.380952381	43.0	0.8059999999999999	0.277664376	0	0.105263158	0.8495	2	7	0.1231	6.7863	0.01814	34	0.0	1.0	1.1052631578947372
MZ22500170	2476.333333	4.619047619	43.0	0.8859999999999999	0.404061018	0	0.052631579000000005	1.2314	1	7	1.4225	9.8355	0.14463	35	0.0	1.0	1.1052631578947372
MZ22500171	1572.918919	10.62162162	43.0	0.0	0.352389319	1	0.736842105	0.8916	8	7	2.9875	267.8602	0.01115	27	0.0	1.0	1.947368421052632
MZ22500172	2286.666667	8.761904762	43.0	0.211	0.319438282	1	0.166666667	0.968	3	7	0.35932	7.77915	0.04619	32	0.0	0.9473684210526316	1.1666666666666667
MZ22500173	1451.631579	7.894736842	43.0	0.9565	0.0	0	0.0	0.9382	0	7	0.45312	7.08563	0.06395	36	0.0	1.0	1.0
MZ22500174	2212.15	8.2	43.0	0.977	0.212132034	0	0.052631579000000005	1.084	1	7	2.15157	15.91223	0.13521	35	0.0	1.0	1.0526315789473684
MZ22500176	2441.65	4.4	43.0	0.888	0.212132034	0	0.052631579000000005	0.8889	1	7	0.23376	8.62663	0.0271	35	0.073099415	1.0	1.0526315789473684
MZ22500177	2707.263158	5.3684210530000005	43.0	0.8109999999999999	0.217005559	1	0.055555556	1.1688	1	7	0.812	8.90382	0.0912	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500179	2812.7368420000007	6.157894737	43.0	0.857	0.217005559	1	0.055555556	1.13	1	7	0.6395	6.7538	0.09469	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500180	3041.884615	9.115384615	43.0	0.208	0.424821578	0	0.315789474	1.2853	4	7	2.6476	23.483	0.11275	32	0.0	1.0	1.368421052631579
MZ22500181	2598.421053	4.8421052630000005	43.0	0.9565	0.0	0	0.0	0.8953	0	7	0.25757	6.66817	0.03863	36	0.093567251	1.0	1.0
MZ22500182	2311.818182	5.772727272999999	43.0	0.0	0.314918329	0	0.15789473699999998	1.6602	3	7	2.136	10.7976	0.19782	33	0.0	1.0	1.1578947368421053
MZ22500183	2185.5	20.625	43.0	0.189	0.433012702	0	0.210526316	1.084	4	7	1.2618	21.2687	0.05933	32	0.0	1.0	1.263157894736842
MZ22500187	1689.0	15.73684211	43.0	0.003	0.434011118	7	0.384615385	1.4419	1	7	2.8654	13.48219	0.21253	28	0.0	0.6842105263157895	1.4615384615384617
MZ22500188	1487.25	10.92857143	43.0	0.015	0.440315286	1	0.444444444	1.0481	5	7	0.7811	24.7005	0.03162	30	0.071895425	0.9473684210526316	1.5555555555555556
MZ22500190	2946.315789	8.526315789	43.0	0.9565	0.0	0	0.0	0.9985	0	7	0.36637	7.313960000000002	0.05009	36	0.07716049400000001	1.0	1.0
MZ22500194	2997.2	9.75	43.0	0.888	0.212132034	0	0.052631579000000005	1.0499	1	7	0.7470899999999999	7.452260000000001	0.10025	35	0.0	1.0	1.0526315789473684
MZ22500196	1753.695652	16.82608696	43.0	0.865	0.336781161	0	0.210526316	0.9796	3	7	0.5017	20.3108	0.0247	33	0.0	1.0	1.2105263157894737
MZ22500197	2488.263158	3.526315789	43.0	0.8390000000000001	0.217005559	1	0.055555556	1.3055	1	7	1.44439	9.42251	0.15329	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500202	2201.684211	4.473684211	43.0	0.9565	0.0	0	0.0	1.8913	0	7	3.0285900000000003	12.9393	0.23406	36	0.0	1.0	1.0
MZ22500204	2366.7619050000008	22.95238095	43.0	0.731	0.277664376	0	0.105263158	0.9427	2	7	0.28211	5.5124900000000014	0.05118	34	0.0	1.0	1.1052631578947372
MZ22500205	2317.157895	6.315789474	43.0	0.9565	0.0	0	0.0	0.885	0	7	0.16996	7.86274	0.02162	36	0.0	1.0	1.0
MZ22500208	2805.368421	4.894736842	43.0	0.9565	0.0	0	0.0	0.893	0	7	0.29417	7.0961300000000005	0.04145	36	0.064327485	1.0	1.0
MZ22500211	2326.05	18.5	43.0	0.888	0.212132034	0	0.052631579000000005	1.0676	1	7	0.62441	7.564769999999998	0.08254	35	0.0	1.0	1.0526315789473684
MZ22500214	1585.857143	11.57142857	43.0	0.022	0.0	5	0.0	1.2326	0	7	0.79201	8.00835	0.0989	31	0.0	0.7368421052631579	1.0
MZ22500215	2582.071429	3.785714286	43.0	0.014	0.0	5	0.0	1.1615	0	7	0.86344	7.633089999999998	0.11312	31	0.0	0.7368421052631579	1.0
MZ22500216	2288.7	4.85	43.0	0.888	0.212132034	0	0.052631579000000005	0.8406	1	7	0.13304000000000002	6.38152	0.02085	35	0.061403509	1.0	1.0526315789473684
MZ22500219	2562.619048	6.857142857	43.0	0.731	0.277664376	0	0.105263158	1.116	2	7	0.6841	7.4417	0.09193	34	0.0	1.0	1.1052631578947372
MZ22500225	1931.368421	11.26315789	43.0	0.269	0.28827503	2	0.117647059	0.8715	2	7	0.1817	5.8604	0.031	32	0.0	0.8947368421052632	1.1176470588235294
MZ22500230	2263.142857	11.0	43.0	0.8270000000000001	0.277664376	0	0.105263158	1.1479	2	7	1.01882	9.9857	0.10203	34	0.0	1.0	1.1052631578947372
MZ22500233	2177.85	6.35	43.0	0.951	0.212132034	0	0.052631579000000005	0.8095	1	7	0.029960000000000007	6.06355	0.00494	35	0.0	1.0	1.0526315789473684
MZ22500234	2341.05	9.9	43.0	0.888	0.212132034	0	0.052631579000000005	0.8406	1	7	0.08765	6.09543	0.01438	35	0.0	1.0	1.0526315789473684
MZ22500235	2380.684211	12.68421053	43.0	0.9565	0.0	0	0.0	0.9004	0	7	0.22489	6.29499	0.03573	36	0.157407407	1.0	1.0
MZ22500238	1140.621622	6.513513514	43.0	0.0	0.611551811	2	0.421052632	0.9765	8	7	2.19041	26.47751	0.08273	26	0.035087719	1.0	1.947368421052632
MZ22500239	3115.7619050000008	5.095238095	43.0	0.8859999999999999	0.404061018	0	0.052631579000000005	1.4273	1	7	1.4443	9.6025	0.15041	35	0.0	1.0	1.1052631578947372
MZ22500240	1503.16129	13.25806452	43.0	0.0	0.356301968	2	0.578947368	1.0774	7	7	1.8618	21.3524	0.08719	27	0.0	1.0	1.631578947368421
MZ22500243	2605.157895	7.684210526	43.0	0.9565	0.0	0	0.0	0.9692	0	7	0.36956	7.70662	0.04795	36	0.105263158	1.0	1.0
MZ22500244	1718.7368420000007	6.368421053	43.0	0.723	0.217005559	1	0.055555556	1.3769999999999998	1	7	1.92921	12.16546	0.15858	34	0.0	0.9473684210526316	1.0555555555555556
MZ22500246	1132.888889	6.962962963	43.0	0.0	0.347438204	0	0.421052632	1.0392	7	7	1.72432	18.009420000000006	0.09575	29	0.0	1.0	1.4210526315789471
MZ22500247	1474.181818	13.68181818	43.0	0.615	0.314918329	0	0.15789473699999998	0.9343	3	7	2.3456200000000003	147.29	0.01593	33	0.0	1.0	1.1578947368421053
MZ22500251	2188.315789	7.0	43.0	0.9565	0.0	0	0.0	1.1318	0	7	1.03803	9.49735	0.1093	36	0.0	1.0	1.0
MZ22500252	2323.8	4.9	43.0	0.888	0.212132034	0	0.052631579000000005	0.8185	1	7	0.03719	6.02094	0.00618	35	0.038011696	1.0	1.0526315789473684
MZ22500257	2388.789474	6.210526316	43.0	0.9565	0.0	0	0.0	0.8811	0	7	0.20758	6.58552	0.03152	36	0.0	1.0	1.0
MZ22500259	2270.55	9.3	43.0	0.888	0.212132034	0	0.052631579000000005	0.8572	1	7	0.16367	6.64625	0.024630000000000003	35	0.0	1.0	1.0526315789473684
MZ22500265	2283.578947	8.842105262999999	43.0	0.9565	0.0	0	0.0	0.8597	0	7	0.07115	5.54343	0.01284	36	0.0	1.0	1.0
MZ22500266	1283.782609	2.304347826	43.0	0.14400000000000002	0.350532946	1	0.27777777800000003	1.1528	4	7	2.18646	13.707529999999998	0.15951	31	0.0	0.9473684210526316	1.2777777777777777
MZ22500267	2515.1	16.35	43.0	0.888	0.212132034	0	0.052631579000000005	1.0492	1	7	0.68926	6.47438	0.10646	35	0.149122807	1.0	1.0526315789473684
MZ22500268	1988.842105	9.368421052999999	43.0	0.9565	0.0	0	0.0	0.8791	0	7	0.22384	6.18808	0.03617	36	0.0	1.0	1.0
MZ22500275	2347.263158	8.947368421	43.0	0.9565	0.0	0	0.0	0.9803	0	7	0.49173	7.6716	0.0641	36	0.0	1.0	1.0
MZ22500276	3082.6	13.9	43.0	0.888	0.212132034	0	0.052631579000000005	0.9977	1	7	0.44803	7.0297800000000015	0.06373	35	0.0	1.0	1.0526315789473684
MZ22500277	2234.7368420000007	6.052631579	43.0	0.9565	0.0	0	0.0	0.9141	0	7	0.3102	7.39808	0.04193	36	0.0	1.0	1.0
MZ22500278	2217.631579	13.73684211	43.0	0.9565	0.0	0	0.0	0.9313	0	7	0.42086	7.05461	0.05966000000000001	36	0.0	1.0	1.0
MZ22500280	3339.3	6.65	43.0	0.888	0.212132034	0	0.052631579000000005	1.2522	1	7	1.4407	7.2989	0.19739	35	0.0	1.0	1.0526315789473684
MZ22500281	2942.55	21.85	43.0	0.888	0.212132034	0	0.052631579000000005	1.0592	1	7	0.4940600000000001	6.14631	0.08038	35	0.0	1.0	1.0526315789473684
MZ22500285	2802.1	6.95	43.0	0.888	0.212132034	0	0.052631579000000005	1.1914	1	7	1.04191	8.0482	0.12946	35	0.149122807	1.0	1.0526315789473684
MZ22500286	2095.5217390000007	10.47826087	43.0	0.318	0.430412823	0	0.15789473699999998	1.0322	3	7	0.7211	55.1376	0.01308	33	0.0	1.0	1.2105263157894737
MZ22500287	2854.684211	7.0	43.0	0.9565	0.0	0	0.0	1.1509	0	7	0.63337	6.86632	0.09224	36	0.0	1.0	1.0
MZ22500289	1835.095238	2.714285714	43.0	0.731	0.277664376	0	0.105263158	0.8991	2	7	0.3208	7.832999999999998	0.04095	34	0.0	1.0	1.1052631578947372
MZ22500292	2290.631579	8.578947368	43.0	0.9565	0.0	0	0.0	0.8301	0	7	0.05476	4.9911900000000005	0.01097	36	0.0	1.0	1.0
MZ22500294	2111.947368	10.84210526	43.0	0.9565	0.0	0	0.0	0.9478	0	7	0.40209	7.97588	0.05041	36	0.0	1.0	1.0
MZ22500298	2128.9375	10.1875	27.90365678	0.755	0.0	2	0.0	1.4607	0	7	1.6766599999999998	7.16728	0.23393000000000005	34	0.0	0.8421052631578947	1.0
MZ22500300	2263.7368420000007	8.631578947000001	43.0	0.9565	0.0	0	0.0	0.957	0	7	0.41576	7.529039999999998	0.055220000000000005	36	0.0	1.0	1.0
MZ22500301	2239.4375	3.25	27.90365678	0.002	0.467707173	5	0.153846154	1.3397	2	7	1.2328	7.8082	0.15789	29	0.0	0.6842105263157895	1.2307692307692308
MZ22500302	2063.352941	4.470588235	43.0	0.0	0.22782255	3	0.0625	1.7666	1	7	2.54103	11.23324	0.22621	32	0.0	0.8421052631578947	1.0625
MZ22500303	2328.1	5.6	43.0	0.888	0.212132034	0	0.052631579000000005	0.9276	1	7	0.38221	8.15295	0.04688	35	0.0	1.0	1.0526315789473684
MZ22500306	1206.818182	13.15151515	43.0	0.0	0.451504983	1	0.578947368	1.0077	8	7	0.0	0.0	0.0	27	0.210526316	1.0	1.7368421052631582
