orthogroup	PDN
MZ22500917	4.62605
MZ22500918	0.16391
MZ22500919	2.22693
MZ22500920	0.39611999999999997
MZ22500922	1.73593
MZ22500923	8.551639999999999
MZ22500925	1.0801
MZ22500926	1.35667
MZ22500927	0.25451999999999997
MZ22500930	2.27552
MZ22500931	0.45937
MZ22500934	0.48523
MZ22500935	0.18374000000000001
MZ22500938	0.5698
MZ22500939	0.44323
MZ22500942	0.40165
MZ22500943	5.4753
MZ22500944	0.93755
MZ22500945	0.50472
MZ22500949	0.64749
MZ22500951	0.74693
MZ22500953	2.2970599999999997
MZ22500955	0.3813
MZ22500956	0.50645
MZ22500957	0.3533
MZ22500959	0.4443
MZ22500960	0.20689000000000002
MZ22500961	4.600630000000001
MZ22500962	1.34626
MZ22500963	1.00406
MZ22500966	1.65707
MZ22500967	1.3958
MZ22500969	0.47883000000000003
MZ22500974	3.1733
MZ22500975	0.6967
MZ22500976	1.7652599999999998
MZ22500977	0.7330300000000001
MZ22500978	0.28588
MZ22500979	2.6922599999999997
MZ22500980	2.0143
MZ22500981	0.78092
MZ22500982	0.95945
MZ22500984	0.12327
MZ22500986	1.0124
MZ22500988	3.3660699999999997
MZ22500989	1.1354600000000001
MZ22500991	0.33371999999999996
MZ22500992	0.9259799999999999
MZ22500996	0.28789000000000003
MZ22500997	0.2623
MZ22501001	1.36307
MZ22501004	0.31108
MZ22501006	0.42858
MZ22501007	0.29488000000000003
MZ22501008	0.8759999999999999
MZ22501009	0.48102
MZ22501010	2.38302
MZ22501013	0.49037
MZ22501014	0.17539000000000002
MZ22501016	2.9289
MZ22501018	0.6582
MZ22501026	0.3674
MZ22501028	0.2218
MZ22501029	0.97062
MZ22501032	4.0357199999999995
MZ22501033	0.9109700000000001
MZ22501036	0.17858
MZ22501037	3.12605
MZ22501038	1.1552799999999999
MZ22501039	1.96088
MZ22501040	1.4704700000000002
MZ22501042	0.5996199999999999
MZ22501043	0.11279000000000002
MZ22501044	0.55147
MZ22501045	1.77772
MZ22501046	0.1933
MZ22501049	0.46366
MZ22501052	0.8751399999999999
MZ22501053	1.38449
MZ22501057	0.44723
MZ22501058	5.5177
MZ22501059	1.12742
MZ22501064	0.2576
MZ22501066	0.7486
MZ22501068	0.2451
MZ22501069	1.02023
MZ22501071	0.7642
MZ22501072	0.4989
MZ22501074	0.67923
MZ22501077	2.3414
MZ22501078	0.9705600000000001
MZ22501079	1.2274
MZ22501080	0.5456
MZ22501082	1.59553
MZ22501084	1.29396
MZ22501086	0.23914000000000002
MZ22501087	0.18592
MZ22501090	1.04312
MZ22501095	0.29557
MZ22501096	0.90261
MZ22501098	0.8261200000000001
MZ22501099	7.0487
MZ22501100	0.5834699999999999
MZ22501109	0.45403000000000004
MZ22501111	0.64589
MZ22501117	0.17488
MZ22501118	0.4548
MZ22501119	0.29613
MZ22501124	0.1862
MZ22501130	1.18926
MZ22501132	2.7352
MZ22501133	0.5992
MZ22501136	1.35237
MZ22501137	0.512
MZ22501140	0.49216000000000004
MZ22501143	0.4714
MZ22501145	1.1219
MZ22501146	1.0524799999999999
MZ22501147	0.14371
MZ22501148	0.58343
MZ22501151	0.43506000000000006
MZ22501153	0.20082
MZ22501154	0.43673
MZ22501155	0.19133
MZ22501157	3.5057099999999997
MZ22501158	0.3964
MZ22501159	0.88159
MZ22501160	0.2787
MZ22501162	4.3106
MZ22501163	0.61929
MZ22501164	1.7431
MZ22501166	2.37131
MZ22501168	0.25189
MZ22501169	0.51372
MZ22501171	3.98276
MZ22501172	0.44438
MZ22501173	1.58023
MZ22501175	0.17203
MZ22501176	0.48626
MZ22501177	0.24416999999999997
MZ22501179	0.21297
MZ22501182	1.47491
MZ22501183	0.37104000000000004
MZ22501185	2.5131
MZ22501188	0.37023
MZ22501189	0.5658
MZ22501192	1.14459
MZ22501193	0.3957
MZ22501194	0.1428
MZ22501199	1.3204799999999999
MZ22501201	0.35519
MZ22501203	0.41731
MZ22501207	0.54062
MZ22501210	0.2912
MZ22501211	0.63517
MZ22501213	0.35849000000000003
MZ22501214	0.7805
MZ22501215	0.48331
MZ22501217	0.4199
MZ22501218	0.47771
MZ22501221	0.4921
MZ22501222	0.40645
MZ22501223	0.31276
MZ22501224	0.47825
MZ22501228	0.18819
MZ22501233	0.43588999999999994
MZ22501235	2.26975
MZ22501236	1.368
MZ22501238	0.50131
MZ22501243	0.66769
MZ22501244	1.9659
MZ22501246	2.9714
MZ22501248	0.20525
MZ22501250	0.52808
MZ22501253	0.70213
MZ22501255	2.7984400000000003
MZ22501257	0.35265
MZ22501258	3.287
MZ22501259	2.1098
MZ22501260	0.47572
MZ22501265	0.01888
MZ22501266	0.12691
MZ22501269	2.6928
MZ22501272	1.31815
MZ22501273	0.61252
MZ22501275	0.4903
MZ22501276	1.35019
MZ22501277	0.3241
MZ22501278	0.4763
MZ22501280	1.37141
MZ22501281	0.49759
MZ22501283	0.24273000000000003
MZ22501288	1.19296
MZ22501289	0.64976
MZ22501295	1.7799
MZ22501296	0.2221
MZ22501297	1.50102
MZ22501301	0.56518
MZ22501303	0.0
MZ22501305	1.66973
MZ22501307	3.8528
MZ22501308	1.14554
MZ22501310	1.46941
MZ22501314	1.03798
MZ22501318	0.41762
MZ22501320	0.9192
MZ22501321	1.04462
MZ22501323	0.06387000000000001
MZ22501324	0.26053000000000004
MZ22501326	2.0407
MZ22501328	0.74546
MZ22501331	1.5103
MZ22501332	2.6196599999999997
MZ22501335	1.6084100000000001
MZ22501336	1.15557
MZ22501339	0.8970299999999999
MZ22501341	3.3614
MZ22501343	0.15364
MZ22501345	0.41263
MZ22501346	0.46406000000000003
MZ22501347	0.27843
MZ22501348	0.33005
MZ22501350	1.59486
MZ22501351	0.87621
MZ22501352	NA
MZ22501355	0.70302
MZ22501357	0.42811000000000005
MZ22501359	0.48225
MZ22501360	0.09539
MZ22501361	1.1728100000000001
MZ22501365	3.3117400000000004
MZ22501366	0.76877
MZ22501367	1.5747
MZ22501369	0.29658
MZ22501370	1.0841100000000001
MZ22501371	1.41806
MZ22501372	1.0639299999999998
MZ22501375	0.88997
MZ22501377	1.3193700000000002
MZ22501379	0.8601
MZ22501385	0.10575999999999999
MZ22501388	1.10619
MZ22501390	3.03769
MZ22501392	0.3517
MZ22501393	0.40404
MZ22501396	0.38064000000000003
MZ22501398	0.377
MZ22501404	1.6646400000000001
MZ22501405	1.0080799999999999
MZ22501406	0.034210000000000004
MZ22501407	0.12667
MZ22501409	1.7645099999999998
MZ22501410	0.1263
MZ22501411	0.20083
MZ22501412	0.7561100000000001
MZ22501415	0.45963999999999994
MZ22501416	1.5490700000000002
MZ22501417	0.8739399999999999
MZ22501419	2.19142
MZ22501420	0.7912899999999999
MZ22501424	2.96955
MZ22501425	0.08817
MZ22501431	0.48516000000000004
MZ22501433	0.72996
MZ22501434	1.73838
MZ22501438	0.3759
MZ22501439	2.66056
MZ22501444	0.1772
MZ22501445	3.0787
MZ22501449	0.20060999999999998
MZ22501455	1.5408899999999999
MZ22501457	1.02862
MZ22501458	3.5808400000000002
MZ22501460	1.09075
MZ22501461	0.32255
MZ22501464	0.77323
MZ22501465	0.37663
MZ22501467	0.22358000000000003
MZ22501469	1.49567
MZ22501474	1.39326
MZ22501475	0.22504000000000002
MZ22501477	0.44648999999999994
MZ22501480	0.24031
MZ22501481	2.02069
MZ22501483	1.1603
MZ22501484	2.37147
MZ22501486	0.605
MZ22501491	0.0
MZ22501492	0.8714
MZ22501496	1.0439
MZ22501500	0.743
MZ22501503	0.42139
MZ22501505	1.00674
MZ22501506	3.9573
MZ22501507	0.54457
MZ22501510	1.38026
MZ22501511	0.23064
MZ22501512	1.73577
MZ22501513	0.8779399999999999
MZ22501515	0.5771
MZ22501518	0.31537
MZ22501520	0.5979300000000001
MZ22501521	1.50835
MZ22501526	0.77864
MZ22501531	1.46489
MZ22501533	0.8841399999999999
MZ22501534	0.52725
MZ22501535	0.56703
MZ22501537	1.171
MZ22501541	1.0150299999999999
MZ22501545	1.14904
MZ22501546	1.7498099999999999
MZ22501551	0.39404
MZ22501552	0.6443
MZ22501553	0.429
MZ22501554	1.6334
MZ22501557	3.5299
MZ22501559	0.19063
MZ22501560	2.8158
MZ22501561	0.0613
MZ22501565	1.33841
MZ22501566	3.9335
MZ22501571	0.17923
MZ22501572	0.78527
MZ22501577	0.34408
MZ22501578	0.60383
MZ22501582	0.49036
MZ22501587	0.12588
MZ22501588	0.75272
MZ22501591	1.2112399999999999
MZ22501593	2.34432
MZ22501595	0.49732
MZ22501598	0.17477
MZ22501599	1.99659
MZ22501607	0.11199999999999999
MZ22501608	1.8163799999999999
MZ22501609	0.4261
MZ22501610	0.43455
MZ22501611	0.1926
MZ22501613	1.2383
MZ22501614	0.7385
MZ22501625	1.2401799999999998
MZ22501627	0.1687
MZ22501628	0.31266
MZ22501629	0.34934
MZ22501630	0.2864
MZ22501631	0.0574
MZ22501632	0.7479899999999999
MZ22501633	0.17723
MZ22501636	0.5485
MZ22501638	0.4776
MZ22501641	1.05751
MZ22501642	0.78863
MZ22501644	0.36833
MZ22501646	0.3429
MZ22501648	0.55362
MZ22501650	0.6615800000000001
MZ22501652	0.21773
MZ22501659	0.25029
MZ22501660	0.7609999999999999
MZ22501661	0.59653
MZ22501662	0.7589
MZ22501664	2.2993
MZ22501669	0.25023
MZ22501670	0.30101999999999995
MZ22501671	0.44356999999999996
MZ22501674	0.23449
MZ22501675	0.4447
MZ22501676	2.41623
MZ22501678	2.8524599999999998
MZ22501679	0.991
MZ22501681	0.16008
MZ22501683	0.0999
MZ22501685	3.0858
MZ22501686	0.65076
MZ22501690	0.81158
MZ22501692	0.33531
MZ22501693	0.831
MZ22501695	0.0
MZ22501698	0.8013
MZ22501701	0.64202
MZ22501703	0.57665
MZ22501704	0.24556
MZ22501707	2.07594
MZ22501708	2.02533
MZ22501713	0.44241
MZ22501716	0.6885899999999999
MZ22501719	0.46242
MZ22501721	0.72736
MZ22501727	1.1816200000000001
MZ22501728	0.22879000000000002
MZ22501729	1.1461700000000001
MZ22501730	1.02607
MZ22501731	0.52352
MZ22501733	0.53878
MZ22501734	0.5833
MZ22501735	2.28226
MZ22501740	0.8871
MZ22501741	0.42158
MZ22501745	0.6792
MZ22501746	0.89264
MZ22501747	0.2829
MZ22501748	0.07019
MZ22501749	0.08177000000000001
MZ22501750	0.16333
MZ22501751	5.45129
MZ22501755	0.30695
MZ22501756	0.21155
MZ22501758	0.34741
MZ22501759	1.0524799999999999
MZ22501760	0.08857999999999999
MZ22501761	0.79513
MZ22501763	0.12886
MZ22501764	1.78835
MZ22501765	4.6185
MZ22501766	0.46258
MZ22501769	0.3196
MZ22501772	0.68592
MZ22501776	0.36651999999999996
MZ22501777	0.35754
MZ22501782	2.25102
MZ22501784	1.01682
MZ22501785	1.5034
MZ22501789	0.58685
MZ22501790	0.20405
MZ22501796	0.7728
MZ22501799	0.3032
MZ22501800	0.49700000000000005
MZ22501801	1.4292
MZ22501809	0.05192000000000001
MZ22501810	0.1781
MZ22501811	0.67273
MZ22501815	0.11175999999999998
MZ22501822	3.1665200000000002
MZ22501823	0.3595
MZ22501828	1.27532
MZ22501831	0.0
MZ22501838	1.25506
MZ22501839	0.9741200000000001
MZ22501845	2.3602
MZ22501848	0.3791
MZ22501849	0.29159
MZ22501852	0.1171
MZ22501856	0.26525
MZ22501858	0.43355
MZ22501860	0.36280999999999997
MZ22501861	4.4526
MZ22501863	0.7173
MZ22501864	0.7996
MZ22501865	0.24464
MZ22501866	0.35555
MZ22501867	0.13414
MZ22501868	0.7162
MZ22501873	0.6804600000000001
MZ22501875	0.0
MZ22501876	0.27821999999999997
MZ22501879	1.34606
MZ22501882	0.9698200000000001
MZ22501883	0.78069
MZ22501887	2.48097
MZ22501889	0.58016
MZ22501892	0.91935
MZ22501894	0.5285
MZ22501896	1.09243
MZ22501897	1.3097
MZ22501902	0.23506
MZ22501904	1.05015
MZ22501905	0.9276399999999999
MZ22501906	1.70849
MZ22501907	0.45451
MZ22501908	0.7336
MZ22501909	1.2353100000000001
MZ22501910	0.7662
MZ22501911	0.02349
MZ22501912	0.26272
MZ22501913	0.14893
MZ22501915	3.4361
MZ22501916	3.1012
MZ22501918	0.7258
MZ22501919	0.14601
MZ22501922	0.4859
MZ22501924	0.0549
MZ22501929	1.50114
MZ22501932	0.75068
MZ22501933	1.70485
MZ22501934	0.795
MZ22501939	2.8820900000000003
MZ22501940	1.26491
MZ22501943	0.57997
MZ22501944	4.4601
MZ22501950	1.48756
MZ22501951	0.5513100000000001
MZ22501953	0.5935
MZ22501954	0.03157
MZ22501956	0.10096000000000001
MZ22501957	1.52976
MZ22501958	0.37426
MZ22501960	0.71699
MZ22501961	0.5125
MZ22501964	0.15006
MZ22501966	0.43306999999999995
MZ22501969	0.42908999999999997
MZ22501970	1.36332
MZ22501971	2.06513
MZ22501973	0.8137
MZ22501975	0.4988
MZ22501976	1.44767
MZ22501977	0.09987
MZ22501980	0.1545
MZ22501986	0.9464100000000001
MZ22501987	0.53757
MZ22501991	0.13151
MZ22501992	1.65403
MZ22501996	0.22774
MZ22501997	0.73728
MZ22501999	0.08351
MZ22502000	0.76435
MZ22502001	3.2879
MZ22502002	1.02273
MZ22502005	0.4896
MZ22502012	0.25687
MZ22502015	0.20014
MZ22502017	1.5645
MZ22502018	0.29848
MZ22502021	3.2263
MZ22502023	0.13634000000000002
MZ22502029	0.2222
MZ22502030	3.4638
MZ22502033	1.6624299999999999
MZ22502034	0.72054
MZ22502037	0.9302
MZ22502039	0.1011
MZ22502042	0.36788000000000004
MZ22502043	1.8301599999999998
MZ22502044	1.6372799999999998
MZ22502046	0.65598
MZ22502048	1.65792
MZ22502049	0.16569
MZ22502051	0.48495
MZ22502052	0.9409
MZ22502053	1.17911
MZ22502055	0.9917
MZ22502059	0.24852
MZ22502060	0.8468
MZ22502064	0.24921
MZ22502065	2.80373
MZ22502069	1.2959
MZ22502070	0.46678000000000003
MZ22502073	0.7106600000000001
MZ22502075	1.54092
MZ22502076	0.14237
MZ22502077	1.12581
MZ22502083	0.07
MZ22502085	0.20055
MZ22502086	1.4919
MZ22502090	0.26698
MZ22502093	0.59099
MZ22502094	1.4589
MZ22502097	0.20190999999999998
MZ22502098	1.08938
MZ22502101	1.1806
MZ22502102	0.48044
MZ22502109	1.5562
MZ22502110	1.19036
MZ22502112	1.42703
MZ22502113	0.14659
MZ22502114	0.44975
MZ22502115	1.1044100000000001
MZ22502117	0.32322
MZ22502118	0.5286
MZ22502119	1.28151
MZ22502121	2.6742
MZ22502123	0.79811
MZ22502126	0.2727
MZ22502128	0.228
MZ22502132	0.8934
MZ22502135	1.6065
MZ22502137	1.6434400000000002
MZ22502138	2.58714
MZ22502139	3.4907
MZ22502141	0.8051
MZ22502142	0.28196
MZ22502144	2.44703
MZ22502145	0.21191
MZ22502149	0.9865799999999999
MZ22502151	1.561
MZ22502152	1.0447600000000001
MZ22502156	0.4508
MZ22502157	0.17999
MZ22502158	0.1344
MZ22502159	0.09162999999999999
MZ22502161	1.4436
MZ22502162	0.36799
MZ22502163	6.1202
MZ22502166	0.12280999999999999
MZ22502168	0.44381000000000004
MZ22502172	0.1095
MZ22502173	0.90965
MZ22502175	0.31274
MZ22502179	0.58837
MZ22502183	4.51664
MZ22502185	0.41267
MZ22502186	0.34936999999999996
MZ22502187	0.34310999999999997
MZ22502189	0.12652
MZ22502190	0.16347
MZ22502192	0.5626
MZ22502194	1.2355
MZ22502197	0.3925
MZ22502198	0.31975
MZ22502199	0.34729
MZ22502200	0.78843
MZ22502202	0.8714799999999999
MZ22502203	0.4333
MZ22502204	0.4568
