orthogroup	CON
MZ22501455	0
MZ22501457	3
MZ22501458	0
MZ22501460	0
MZ22501461	0
MZ22501464	1
MZ22501465	0
MZ22501467	0
MZ22501469	0
MZ22501474	0
MZ22501475	0
MZ22501477	0
MZ22501480	0
MZ22501481	0
MZ22501483	0
MZ22501484	0
MZ22501486	1
MZ22501491	2
MZ22501492	1
MZ22501496	2
MZ22501500	1
MZ22501503	0
MZ22501505	0
MZ22501506	1
MZ22501507	0
MZ22501510	0
MZ22501511	9
MZ22501512	0
MZ22501513	0
MZ22501515	0
MZ22501518	0
MZ22501520	0
MZ22501521	0
MZ22501526	0
MZ22501531	0
MZ22501533	0
MZ22501534	0
MZ22501535	0
MZ22501537	1
MZ22501541	0
MZ22501545	0
MZ22501546	2
MZ22501551	0
MZ22501552	0
MZ22501553	0
MZ22501554	0
MZ22501557	1
MZ22501559	0
MZ22501560	2
MZ22501561	0
MZ22501565	0
MZ22501566	2
MZ22501571	0
MZ22501572	0
MZ22501577	0
MZ22501578	1
MZ22501582	0
MZ22501587	1
MZ22501588	1
MZ22501591	2
MZ22501593	5
MZ22501595	0
MZ22501598	0
MZ22501599	0
MZ22501607	0
MZ22501608	0
MZ22501609	0
MZ22501610	0
MZ22501611	0
MZ22501613	0
MZ22501614	0
MZ22501625	2
MZ22501627	0
MZ22501628	0
MZ22501629	0
MZ22501630	1
MZ22501631	0
MZ22501632	1
MZ22501633	0
MZ22501636	0
MZ22501638	0
MZ22501641	0
MZ22501642	1
MZ22501644	0
MZ22501646	0
MZ22501648	0
MZ22501650	0
MZ22501652	0
MZ22501659	0
MZ22501660	1
MZ22501661	0
MZ22501662	2
MZ22501664	2
MZ22501669	0
MZ22501670	0
MZ22501671	0
MZ22501674	0
MZ22501675	3
MZ22501676	0
MZ22501678	0
MZ22501679	0
MZ22501681	0
MZ22501683	0
MZ22501685	0
MZ22501686	0
MZ22501690	1
MZ22501692	0
MZ22501693	1
MZ22501695	2
MZ22501698	0
MZ22501701	0
MZ22501703	0
MZ22501704	0
MZ22501707	1
MZ22501708	0
MZ22501713	0
MZ22501716	0
MZ22501719	0
MZ22501721	0
MZ22501727	0
MZ22501728	0
MZ22501729	3
MZ22501730	0
MZ22501731	0
MZ22501733	0
MZ22501734	0
MZ22501735	0
MZ22501740	1
MZ22501741	0
MZ22501745	0
MZ22501746	0
MZ22501747	0
MZ22501748	0
MZ22501749	0
MZ22501750	0
MZ22501751	2
MZ22501755	0
MZ22501756	0
MZ22501758	8
MZ22501759	0
MZ22501760	0
MZ22501761	0
MZ22501763	0
MZ22501764	6
MZ22501765	2
MZ22501766	0
MZ22501769	3
MZ22501772	1
MZ22501776	0
MZ22501777	0
MZ22501782	0
MZ22501784	0
MZ22501785	0
MZ22501789	0
MZ22501790	0
MZ22501796	0
MZ22501799	1
MZ22501800	1
MZ22501801	1
MZ22501809	0
MZ22501810	9
MZ22501811	0
MZ22501815	0
MZ22501822	1
MZ22501823	0
MZ22501828	1
MZ22501831	1
MZ22501838	0
MZ22501839	0
MZ22501845	0
MZ22501848	0
MZ22501849	1
MZ22501852	0
MZ22501856	0
MZ22501858	0
MZ22501860	1
MZ22501861	2
MZ22501863	0
MZ22501864	0
MZ22501865	0
MZ22501866	0
MZ22501867	0
MZ22501868	0
MZ22501873	0
MZ22501875	0
MZ22501876	0
MZ22501879	0
MZ22501882	0
MZ22501883	1
MZ22501887	1
MZ22501889	0
MZ22501892	0
MZ22501894	7
MZ22501896	0
MZ22501897	0
MZ22501902	0
MZ22501904	3
MZ22501905	0
MZ22501906	0
MZ22501907	0
MZ22501908	0
MZ22501909	1
MZ22501910	0
MZ22501911	0
MZ22501912	10
MZ22501913	0
MZ22501915	1
MZ22501916	0
MZ22501918	0
MZ22501919	0
MZ22501922	0
MZ22501924	0
MZ22501929	3
MZ22501932	0
MZ22501933	1
MZ22501934	0
MZ22501939	1
MZ22501940	0
MZ22501943	0
MZ22501944	0
MZ22501950	4
MZ22501951	0
MZ22501953	0
MZ22501954	0
MZ22501956	0
MZ22501957	2
MZ22501958	0
MZ22501960	0
MZ22501961	0
MZ22501964	1
MZ22501966	0
MZ22501969	0
MZ22501970	0
MZ22501971	0
MZ22501973	2
MZ22501975	0
MZ22501976	0
MZ22501977	1
MZ22501980	0
MZ22501986	0
MZ22501987	0
MZ22501991	0
MZ22501992	0
MZ22501996	0
MZ22501997	0
MZ22501999	0
MZ22502000	1
MZ22502001	2
MZ22502002	1
MZ22502005	0
MZ22502012	0
MZ22502015	1
MZ22502017	0
MZ22502018	2
MZ22502021	2
MZ22502023	0
MZ22502029	0
MZ22502030	0
MZ22502033	0
MZ22502034	1
MZ22502037	0
MZ22502039	1
MZ22502042	0
MZ22502043	2
MZ22502044	2
MZ22502046	0
MZ22502048	0
MZ22502049	0
MZ22502051	1
MZ22502052	0
MZ22502053	0
MZ22502055	0
MZ22502059	1
MZ22502060	1
MZ22502064	0
MZ22502065	1
MZ22502069	1
MZ22502070	1
MZ22502073	1
MZ22502075	1
MZ22502076	0
MZ22502077	0
MZ22502083	0
MZ22502085	0
MZ22502086	0
MZ22502090	0
MZ22502093	11
MZ22502094	0
MZ22502097	0
MZ22502098	0
MZ22502101	0
MZ22502102	0
MZ22502109	0
MZ22502110	0
MZ22502112	1
MZ22502113	0
MZ22502114	0
MZ22502115	0
MZ22502117	0
MZ22502118	0
MZ22502119	0
MZ22502121	1
MZ22502123	0
MZ22502126	2
MZ22502128	0
MZ22502132	0
MZ22502135	0
MZ22502137	1
MZ22502138	5
MZ22502139	2
MZ22502141	1
MZ22502142	0
MZ22502144	2
MZ22502145	0
MZ22502149	0
MZ22502151	0
MZ22502152	0
MZ22502156	0
MZ22502157	0
MZ22502158	0
MZ22502159	0
MZ22502161	2
MZ22502162	0
MZ22502163	3
MZ22502166	0
MZ22502168	0
MZ22502172	0
MZ22502173	0
MZ22502175	0
MZ22502179	0
MZ22502183	4
MZ22502185	1
MZ22502186	10
MZ22502187	0
MZ22502189	1
MZ22502190	2
MZ22502192	0
MZ22502194	0
MZ22502197	0
MZ22502198	0
MZ22502199	0
MZ22502200	1
MZ22502202	0
MZ22502203	0
MZ22502204	0
MZ22502205	0
MZ22502207	2
MZ22502208	0
MZ22502210	0
MZ22502215	0
MZ22502217	1
MZ22502218	0
MZ22502219	4
MZ22502224	0
MZ22502225	0
MZ22502227	1
MZ22502228	0
MZ22502229	0
MZ22502232	5
MZ22502237	0
MZ22502239	0
MZ22502241	0
MZ22502242	0
MZ22502244	1
MZ22502245	0
MZ22502251	0
MZ22502253	0
MZ22502255	0
MZ22502257	0
MZ22502259	0
MZ22502260	0
MZ22502263	2
MZ22502265	1
MZ22502267	1
MZ22502268	1
MZ22502270	2
MZ22502274	1
MZ22502275	1
MZ22502276	0
MZ22502278	1
MZ22502280	0
MZ22502282	0
MZ22502283	0
MZ22502288	0
MZ22502289	7
MZ22502290	1
MZ22502291	0
MZ22502292	0
MZ22502296	0
MZ22502300	2
MZ22502303	2
MZ22502304	9
MZ22502306	0
MZ22502307	0
MZ22502309	1
MZ22502312	1
MZ22502317	0
MZ22502318	3
MZ22502322	0
MZ22502323	0
MZ22502324	0
MZ22502327	0
MZ22502328	1
MZ22502329	0
MZ22502332	1
MZ22502333	0
MZ22502334	6
MZ22502335	0
MZ22502340	0
MZ22502343	0
MZ22502344	2
MZ22502347	4
MZ22502348	0
MZ22502350	0
MZ22502351	0
MZ22502352	0
MZ22502354	0
MZ22502361	0
MZ22502364	1
MZ22502365	0
MZ22502366	0
MZ22502368	0
MZ22502369	0
MZ22502371	2
MZ22502373	0
MZ22502375	0
MZ22502376	0
MZ22502377	0
MZ22502381	5
MZ22502383	2
MZ22502385	9
MZ22502386	0
MZ22502387	0
MZ22502390	0
MZ22502394	3
MZ22502400	1
MZ22502401	0
MZ22502403	1
MZ22502404	0
MZ22502406	5
MZ22502407	0
MZ22502408	0
MZ22502409	0
MZ22502412	0
MZ22502414	3
MZ22502417	2
MZ22502418	1
MZ22502421	0
MZ22502422	2
MZ22502426	1
MZ22502427	0
MZ22502428	2
MZ22502429	0
MZ22502430	0
MZ22502431	0
MZ22502432	0
MZ22502433	1
MZ22502434	0
MZ22502436	0
MZ22502437	0
MZ22502439	3
MZ22502440	0
MZ22502446	0
MZ22502449	0
MZ22502451	0
MZ22502452	1
MZ22502454	1
MZ22502457	1
MZ22502459	0
MZ22502460	0
MZ22502461	4
MZ22502462	0
MZ22502463	0
MZ22502464	0
MZ22502466	8
MZ22502470	0
MZ22502471	0
MZ22502474	1
MZ22502475	0
MZ22502477	0
MZ22502478	0
MZ22502480	2
MZ22502481	1
MZ22502482	0
MZ22502484	0
MZ22502485	5
MZ22502488	1
MZ22502491	8
MZ22502494	2
MZ22502495	6
MZ22502497	0
MZ22502498	0
MZ22502502	7
MZ22502505	0
MZ22502508	5
MZ22502510	1
MZ22502513	0
MZ22502517	1
MZ22502519	0
MZ22502521	0
MZ22502522	0
MZ22502523	0
MZ22502527	1
MZ22502528	2
MZ22502529	0
MZ22502532	0
MZ22502533	0
MZ22502535	0
MZ22502538	0
MZ22502539	1
MZ22502540	0
MZ22502541	0
MZ22502543	1
MZ22502544	0
MZ22502547	4
MZ22502549	0
MZ22502550	3
MZ22502551	0
MZ22502552	3
MZ22502554	1
MZ22502555	3
MZ22502558	0
MZ22502561	0
MZ22502564	0
MZ22502565	0
MZ22502567	0
MZ22502568	0
MZ22502570	5
MZ22502571	0
MZ22502573	0
MZ22502574	0
MZ22502575	0
MZ22502577	0
MZ22502578	1
MZ22502581	0
MZ22502583	0
MZ22502584	3
MZ22502585	4
MZ22502590	1
MZ22502592	0
MZ22502600	2
MZ22502601	1
MZ22502603	0
MZ22502605	1
MZ22502606	2
MZ22502609	0
MZ22502612	5
MZ22502617	0
MZ22502619	0
MZ22502620	0
MZ22502624	0
MZ22502627	0
MZ22502629	0
MZ22502631	1
MZ22502632	0
MZ22502633	0
MZ22502635	0
MZ22502636	4
MZ22502640	0
MZ22502641	1
MZ22502642	0
MZ22502645	2
MZ22502646	8
MZ22502648	0
MZ22502649	0
MZ22502650	0
MZ22502656	0
MZ22502658	1
MZ22502661	0
MZ22502662	1
MZ22502668	0
MZ22502670	4
MZ22502673	4
MZ22502674	1
MZ22502675	0
MZ22502678	0
MZ22502683	0
MZ22502684	3
MZ22502686	0
MZ22502687	0
MZ22502688	7
MZ22502693	2
MZ22502697	0
MZ22502698	5
MZ22502699	1
MZ22502700	0
MZ22502702	1
MZ22502703	1
MZ22502705	0
MZ22502706	0
MZ22502708	1
MZ22502709	2
MZ22502710	0
MZ22502711	0
MZ22502720	0
MZ22502725	0
MZ22502726	0
MZ22502727	1
MZ22502732	0
MZ22502733	0
MZ22502736	2
MZ22502737	1
MZ22502740	0
MZ22502752	0
MZ22502754	0
MZ22502757	0
MZ22502758	3
MZ22502759	0
MZ22502760	0
MZ22502765	0
MZ22502766	0
MZ22502771	0
MZ22502775	3
MZ22502777	7
MZ22502782	1
MZ22502784	8
MZ22502785	4
MZ22502787	3
MZ22502790	0
MZ22502791	0
MZ22502795	1
MZ22502797	8
MZ22502798	0
MZ22502799	0
MZ22502803	0
MZ22502805	0
MZ22502806	0
MZ22502807	6
MZ22502808	0
MZ22502809	0
MZ22502814	0
MZ22502817	11
MZ22502822	0
MZ22502823	0
MZ22502825	1
MZ22502829	0
MZ22502831	0
MZ22502833	0
MZ22502834	0
MZ22502836	7
MZ22502838	0
MZ22502842	0
MZ22502843	1
MZ22502844	2
MZ22502845	0
MZ22502846	0
MZ22502847	11
MZ22502852	0
MZ22502854	0
MZ22502858	1
MZ22502864	0
MZ22502869	0
MZ22502870	6
MZ22502872	0
MZ22502874	0
MZ22502875	3
MZ22502879	0
MZ22502882	0
MZ22502883	0
MZ22502884	1
MZ22502885	0
MZ22502888	0
MZ22502890	0
MZ22502891	0
MZ22502892	0
MZ22502893	0
MZ22502897	0
MZ22502898	0
MZ22502899	6
MZ22502900	3
MZ22502901	0
MZ22502903	0
MZ22502907	0
MZ22502909	0
MZ22502912	0
MZ22502915	3
MZ22502920	0
MZ22502925	1
MZ22502931	0
MZ22502932	0
MZ22502933	0
MZ22502934	4
MZ22502935	2
MZ22502937	2
MZ22502938	1
MZ22502939	0
MZ22502941	0
MZ22502943	0
MZ22502944	1
MZ22502947	0
MZ22502948	0
MZ22502949	3
MZ22502950	1
MZ22502952	1
MZ22502953	0
MZ22502956	0
MZ22502957	0
MZ22502961	0
MZ22502962	0
MZ22502963	0
MZ22502964	0
MZ22502965	2
MZ22502966	3
MZ22502967	2
MZ22502970	0
MZ22502971	0
MZ22502972	2
MZ22502977	0
MZ22502978	1
MZ22502979	0
MZ22502980	0
MZ22502981	1
MZ22502983	0
MZ22502988	1
MZ22502989	1
MZ22502991	0
MZ22502992	1
MZ22502993	1
MZ22502998	0
MZ22503000	4
MZ22503001	0
MZ22503004	0
MZ22503007	0
MZ22503008	0
MZ22503010	0
MZ22503011	0
MZ22503014	0
MZ22503021	1
MZ22503022	1
MZ22503023	0
MZ22503026	2
MZ22503027	6
MZ22503028	0
MZ22503031	1
MZ22503032	8
MZ22503033	1
MZ22503034	0
MZ22503035	0
MZ22503036	2
MZ22503037	1
MZ22503041	5
MZ22503042	1
MZ22503043	0
MZ22503048	2
MZ22503049	1
MZ22503050	0
MZ22503055	2
MZ22503056	0
MZ22503057	0
MZ22503058	0
MZ22503059	0
MZ22503065	0
MZ22503066	0
MZ22503069	0
MZ22503070	1
MZ22503073	0
MZ22503074	0
MZ22503075	1
MZ22503077	2
MZ22503081	2
MZ22503082	1
MZ22503083	0
MZ22503085	1
MZ22503091	0
MZ22503095	0
MZ22503098	3
MZ22503099	1
MZ22503100	10
MZ22503102	1
MZ22503103	0
MZ22503105	0
MZ22503106	1
MZ22503107	2
MZ22503109	0
MZ22503113	3
MZ22503116	0
MZ22503119	0
MZ22503121	0
MZ22503122	0
MZ22503123	0
MZ22503124	0
MZ22503126	1
MZ22503127	0
MZ22503128	1
MZ22503134	0
MZ22503135	0
MZ22503138	0
MZ22503140	1
MZ22503141	0
MZ22503145	0
MZ22503148	9
MZ22503151	0
MZ22503154	0
MZ22503160	0
MZ22503161	0
MZ22503163	0
MZ22503164	0
MZ22503165	0
MZ22503166	1
MZ22503167	0
MZ22503168	0
MZ22503169	0
