orthogroup	WGA
617at7399	0.9
625at7399	0.76
635at7399	0.93
651at7399	0.91
659at7399	0.41
660at7399	0.65
665at7399	0.91
670at7399	0.84
674at7399	0.85
675at7399	0.67
683at7399	0.83
684at7399	0.94
685at7399	0.1
690at7399	0.48
691at7399	0.85
699at7399	0.94
700at7399	0.86
702at7399	0.72
705at7399	0.7
708at7399	0.91
711at7399	0.83
720at7399	0.755
724at7399	0.84
725at7399	0.65
728at7399	0.91
734at7399	0.72
739at7399	0.91
740at7399	0.9
748at7399	0.76
749at7399	0.69
750at7399	0.89
751at7399	0.87
759at7399	0.68
760at7399	0.58
764at7399	0.58
765at7399	0.96
767at7399	0.91
773at7399	0.86
775at7399	0.6
778at7399	0.93
780at7399	0.34
782at7399	0.89
786at7399	0.88
787at7399	0.71
788at7399	0.9
793at7399	0.91
796at7399	0.95
804at7399	0.84
805at7399	0.9
816at7399	0.64
826at7399	0.79
828at7399	0.99
830at7399	0.46
832at7399	0.94
833at7399	0.75
840at7399	0.96
848at7399	0.81
850at7399	0.93
854at7399	0.7
855at7399	0.81
863at7399	0.89
864at7399	0.77
867at7399	0.81
870at7399	0.64
872at7399	0.73
874at7399	0.83
877at7399	0.93
882at7399	0.57
883at7399	0.84
892at7399	0.52
893at7399	0.65
896at7399	0.84
905at7399	0.62
908at7399	0.86
909at7399	0.8
914at7399	0.68
916at7399	0.93
921at7399	0.6
922at7399	0.91
923at7399	0.45
926at7399	0.92
929at7399	0.78
934at7399	0.87
935at7399	0.48
937at7399	0.88
941at7399	0.33
944at7399	0.39
945at7399	0.9
946at7399	0.56
948at7399	0.62
952at7399	0.71
958at7399	0.63
961at7399	0.79
964at7399	0.86
967at7399	0.94
968at7399	0.75
971at7399	0.65
974at7399	0.47
981at7399	0.64
987at7399	0.72
988at7399	0.65
989at7399	0.81
992at7399	0.793333333
1002at7399	0.6
1004at7399	0.84
1007at7399	0.82
1008at7399	0.34
1010at7399	0.9
1012at7399	0.92
1014at7399	0.52
1016at7399	0.7
1018at7399	0.5
1022at7399	0.79
1030at7399	0.67
1035at7399	0.91
1042at7399	0.9
1044at7399	0.73
1045at7399	0.95
1048at7399	0.67
1052at7399	0.9
1057at7399	0.89
1058at7399	0.72
1060at7399	0.67
1064at7399	0.91
1066at7399	0.89
1072at7399	0.57
1075at7399	0.84
1078at7399	0.72
1081at7399	0.64
1082at7399	0.91
1085at7399	0.64
1087at7399	0.82
1088at7399	0.905
1089at7399	0.7
1095at7399	0.93
1096at7399	0.94
1097at7399	0.606666667
1098at7399	0.75
1105at7399	0.66
1106at7399	0.48
1107at7399	0.75
1110at7399	0.65
1115at7399	0.65
1116at7399	0.67
1117at7399	0.55
1119at7399	0.94
1121at7399	0.7
1124at7399	0.91
1130at7399	0.87
1144at7399	0.87
1147at7399	0.83
1148at7399	0.48
1154at7399	0.9
1158at7399	0.69
1159at7399	0.95
1163at7399	0.73
1164at7399	0.59
1165at7399	0.43
1167at7399	0.89
1172at7399	0.91
1177at7399	0.71
1184at7399	0.52
1188at7399	0.45
1190at7399	0.81
1192at7399	0.77
1193at7399	0.87
1194at7399	0.93
1195at7399	0.67
1196at7399	0.45
1208at7399	0.58
1220at7399	0.95
1221at7399	0.92
1227at7399	0.81
1230at7399	0.62
1232at7399	0.8
1235at7399	0.75
1242at7399	0.71
1245at7399	0.96
1246at7399	0.7
1247at7399	0.47
1252at7399	0.78
1259at7399	0.84
1261at7399	0.83
1262at7399	0.64
1268at7399	0.49
1274at7399	0.92
1275at7399	0.7
1278at7399	0.63
1279at7399	0.56
1282at7399	0.63
1283at7399	0.81
1286at7399	0.81
1287at7399	0.89
1288at7399	0.91
1289at7399	0.87
1290at7399	0.79
1293at7399	0.44
1294at7399	0.94
1296at7399	0.93
1297at7399	0.68
1298at7399	0.61
1299at7399	0.87
1303at7399	0.96
1307at7399	0.8
1313at7399	0.73
1314at7399	0.92
1318at7399	0.59
1322at7399	0.93
1325at7399	0.785
1329at7399	0.97
1330at7399	0.91
1331at7399	0.88
1334at7399	0.78
1335at7399	0.89
1336at7399	0.74
1339at7399	0.84
1342at7399	0.9
1343at7399	0.78
1348at7399	0.8
1355at7399	0.79
1356at7399	0.92
1360at7399	0.58
1362at7399	0.65
1363at7399	0.9
1366at7399	0.48
1369at7399	0.86
1371at7399	0.43
1372at7399	0.49
1373at7399	0.76
1374at7399	0.38
1376at7399	0.97
1378at7399	0.99
1381at7399	0.75
1382at7399	0.83
1392at7399	0.91
1393at7399	0.93
1395at7399	0.88
1397at7399	0.89
1399at7399	0.68
1403at7399	0.82
1404at7399	0.94
1408at7399	0.83
1410at7399	0.45
1415at7399	0.54
1419at7399	0.95
1421at7399	0.78
1425at7399	0.74
1426at7399	0.51
1427at7399	0.67
1428at7399	0.95
1429at7399	0.76
1434at7399	0.85
1438at7399	0.91
1440at7399	0.61
1444at7399	0.93
1446at7399	0.76
1448at7399	0.53
1450at7399	0.68
1454at7399	0.41
1455at7399	0.7
1456at7399	0.62
1457at7399	0.91
1459at7399	0.93
1460at7399	0.93
1462at7399	0.63
1465at7399	0.72
1467at7399	0.46
1469at7399	0.65
1475at7399	0.78
1478at7399	0.76
1480at7399	0.755
1482at7399	0.98
1483at7399	0.91
1493at7399	0.92
1494at7399	0.865
1502at7399	0.82
1503at7399	0.47
1507at7399	0.84
1508at7399	0.86
1512at7399	0.69
1513at7399	0.67
1515at7399	0.98
1521at7399	0.98
1525at7399	0.86
1527at7399	0.55
1529at7399	0.89
1530at7399	0.78
1531at7399	0.79
1532at7399	0.47
1534at7399	0.96
1538at7399	0.95
1541at7399	0.38
1542at7399	0.61
1544at7399	0.81
1545at7399	0.38
1550at7399	0.94
1565at7399	0.87
1567at7399	0.63
1572at7399	0.9
1574at7399	0.9
1575at7399	1.0
1576at7399	0.61
1584at7399	0.95
1588at7399	0.74
1589at7399	0.83
1590at7399	0.83
1597at7399	0.59
1602at7399	0.7
1607at7399	0.72
1608at7399	0.92
1614at7399	0.89
1616at7399	0.98
1620at7399	0.995
1627at7399	0.92
1630at7399	0.91
1638at7399	0.93
1640at7399	0.94
1641at7399	0.95
1645at7399	0.89
1646at7399	0.9
1648at7399	0.38
1650at7399	0.66
1652at7399	0.92
1656at7399	0.94
1659at7399	0.88
1664at7399	0.99
1668at7399	0.94
1672at7399	0.95
1674at7399	0.66
1678at7399	0.5
1686at7399	0.25
1688at7399	0.96
1689at7399	0.89
1694at7399	0.91
1695at7399	0.92
1696at7399	0.62
1701at7399	0.71
1702at7399	0.99
1709at7399	0.87
1712at7399	0.59
1713at7399	0.82
1716at7399	0.94
1720at7399	0.91
1722at7399	0.96
1723at7399	0.78
1728at7399	0.72
1730at7399	0.85
1733at7399	0.83
1734at7399	0.7
1747at7399	0.77
1751at7399	0.85
1753at7399	0.75
1754at7399	0.41
1756at7399	0.87
1757at7399	0.94
1763at7399	0.91
1767at7399	0.63
1768at7399	0.65
1783at7399	0.51
1786at7399	0.385
1789at7399	0.81
1794at7399	0.43
1796at7399	0.79
1798at7399	0.98
1799at7399	0.56
1802at7399	0.84
1803at7399	0.9
1806at7399	0.91
1808at7399	0.95
1810at7399	0.61
1811at7399	0.74
1812at7399	0.99
1819at7399	0.99
1824at7399	0.9
1825at7399	0.77
1827at7399	0.83
1828at7399	0.86
1831at7399	0.56
1833at7399	0.94
1834at7399	0.68
1835at7399	0.94
1836at7399	0.7
1839at7399	0.94
1841at7399	1.0
1842at7399	0.86
1846at7399	0.66
1849at7399	0.59
1854at7399	0.79
1861at7399	0.39
1862at7399	0.92
1865at7399	0.94
1867at7399	0.75
1868at7399	0.86
1880at7399	0.51
1883at7399	0.63
1886at7399	0.78
1889at7399	0.76
1891at7399	0.89
1893at7399	0.44
1894at7399	0.68
1895at7399	0.95
1898at7399	0.78
1899at7399	0.69
1901at7399	0.94
1903at7399	0.92
1911at7399	0.51
1913at7399	0.92
1917at7399	0.77
1921at7399	0.94
1923at7399	0.87
1926at7399	0.53
1930at7399	0.82
1931at7399	0.73
1934at7399	0.67
1939at7399	0.96
1941at7399	0.71
1942at7399	0.91
1944at7399	0.88
1948at7399	0.9
1949at7399	0.45
1957at7399	0.64
1959at7399	0.97
1962at7399	0.63
1964at7399	0.71
1966at7399	0.16
1969at7399	0.79
1971at7399	0.92
1978at7399	0.83
1980at7399	0.65
1989at7399	0.73
1995at7399	0.94
1997at7399	0.84
1999at7399	0.54
2007at7399	0.77
2010at7399	0.95
2011at7399	0.95
2016at7399	0.69
2021at7399	0.89
2023at7399	0.96
2024at7399	0.46
2036at7399	0.57
2038at7399	0.94
2039at7399	0.92
2040at7399	0.69
2055at7399	0.68
2060at7399	0.83
2064at7399	0.53
2067at7399	0.82
2071at7399	0.67
2079at7399	0.42
2082at7399	0.71
2083at7399	0.76
2088at7399	0.87
2094at7399	0.76
2095at7399	0.86
2096at7399	0.72
2097at7399	0.83
2098at7399	0.76
2099at7399	0.86
2102at7399	0.41
2108at7399	0.95
2111at7399	0.71
2113at7399	0.95
2119at7399	0.93
2123at7399	0.79
2125at7399	0.98
2127at7399	0.77
2132at7399	0.73
2135at7399	0.88
2142at7399	0.93
2157at7399	0.89
2162at7399	0.83
2164at7399	0.89
2165at7399	0.79
2171at7399	0.87
2173at7399	0.88
2175at7399	0.79
2176at7399	0.84
2185at7399	0.88
2195at7399	0.66
2197at7399	0.87
2198at7399	0.93
2200at7399	0.77
2203at7399	0.67
2204at7399	0.99
2205at7399	0.78
2221at7399	0.5033333329999999
2225at7399	0.6
2226at7399	0.89
2227at7399	0.71
2229at7399	0.82
2231at7399	0.78
2232at7399	0.74
2233at7399	0.76
2236at7399	0.51
2238at7399	0.955
2241at7399	0.55
2248at7399	0.93
2250at7399	0.78
2252at7399	0.62
2256at7399	0.72
2257at7399	0.65
2259at7399	0.93
2261at7399	0.8
2262at7399	0.94
2263at7399	0.92
2264at7399	0.56
2267at7399	0.79
2269at7399	0.79
2274at7399	0.8
2275at7399	0.69
2276at7399	0.93
2277at7399	0.77
2282at7399	0.53
2283at7399	0.52
2286at7399	0.97
2290at7399	0.79
2293at7399	0.5
2294at7399	0.52
2296at7399	0.54
2297at7399	0.92
2298at7399	0.92
2299at7399	0.89
2306at7399	0.78
2314at7399	0.87
2324at7399	0.72
2327at7399	0.93
2328at7399	0.86
2336at7399	0.8
2341at7399	0.91
2345at7399	0.89
2346at7399	0.85
2350at7399	0.92
2353at7399	0.74
2363at7399	0.45
2367at7399	0.33
2370at7399	0.67
2372at7399	0.87
2373at7399	0.71
2374at7399	0.95
2377at7399	0.96
2385at7399	0.82
2386at7399	0.82
2387at7399	0.89
2388at7399	0.98
2392at7399	0.87
2393at7399	0.75
2397at7399	0.85
2406at7399	0.57
2408at7399	0.84
2409at7399	0.75
2410at7399	0.79
2412at7399	0.87
2414at7399	1.0
2419at7399	0.92
2423at7399	0.84
2424at7399	0.82
2427at7399	0.95
2428at7399	0.87
2430at7399	0.72
2435at7399	0.47
2436at7399	0.54
2437at7399	0.586666667
2441at7399	0.65
2444at7399	0.54
2453at7399	0.84
2458at7399	0.94
2460at7399	0.89
2461at7399	0.91
2463at7399	0.79
2468at7399	0.69
2474at7399	0.76
2476at7399	0.56
2477at7399	0.94
2480at7399	0.81
2482at7399	0.71
2484at7399	0.65
2489at7399	1.0
2491at7399	0.85
2497at7399	0.97
2499at7399	0.94
2500at7399	0.98
2504at7399	0.57
2511at7399	0.54
2513at7399	1.0
2517at7399	0.93
2518at7399	0.71
2525at7399	0.75
2526at7399	0.65
2527at7399	0.92
2530at7399	0.96
2535at7399	0.85
2536at7399	0.47
2540at7399	0.9
2543at7399	0.89
2548at7399	0.49
2549at7399	0.76
2553at7399	0.84
2554at7399	0.96
2555at7399	0.65
2556at7399	0.94
2560at7399	0.71
2561at7399	0.91
2562at7399	0.92
2564at7399	0.59
2569at7399	0.34
2570at7399	0.86
2571at7399	0.69
2572at7399	0.92
2573at7399	0.94
2574at7399	0.96
2578at7399	0.82
2582at7399	0.97
2583at7399	0.33
2587at7399	0.89
2588at7399	0.41
2590at7399	0.75
2592at7399	0.77
2593at7399	0.79
2601at7399	0.76
2605at7399	0.55
2607at7399	0.87
2609at7399	0.9
2614at7399	0.87
2617at7399	0.75
2619at7399	0.795
2623at7399	0.53
2624at7399	0.95
2625at7399	0.5
2626at7399	0.87
2629at7399	0.96
2630at7399	0.89
2634at7399	0.83
2638at7399	0.68
2641at7399	0.73
2645at7399	0.87
2646at7399	0.6
2649at7399	0.94
2651at7399	0.625
2653at7399	0.49
2655at7399	0.49
2656at7399	0.94
2659at7399	0.88
2660at7399	0.49
2663at7399	0.865
2668at7399	0.78
2671at7399	0.65
2672at7399	0.86
2674at7399	0.94
2675at7399	0.55
2676at7399	0.62
2677at7399	0.8
2678at7399	0.97
2681at7399	0.83
2682at7399	0.76
2683at7399	0.63
2684at7399	0.85
2687at7399	0.8
2690at7399	0.8
2693at7399	0.71
2694at7399	0.76
2702at7399	0.82
2707at7399	0.58
2713at7399	0.88
2715at7399	0.55
2717at7399	0.98
2719at7399	0.89
2720at7399	0.34
2723at7399	0.52
2727at7399	0.62
2732at7399	0.82
2734at7399	0.83
2740at7399	0.93
2741at7399	0.48
2746at7399	0.96
2748at7399	0.63
2753at7399	0.98
2767at7399	0.43
2770at7399	0.55
2775at7399	0.84
2778at7399	0.54
2779at7399	0.77
2780at7399	0.77
2785at7399	0.88
2789at7399	0.88
2790at7399	0.59
2791at7399	0.98
2796at7399	0.89
2801at7399	0.83
2802at7399	0.93
2809at7399	0.72
2810at7399	0.99
2819at7399	0.76
2821at7399	0.55
2826at7399	0.62
2827at7399	0.91
2829at7399	0.7
2830at7399	0.88
2836at7399	0.82
2845at7399	0.96
2848at7399	0.59
2851at7399	0.74
2853at7399	0.736666667
2858at7399	0.79
2870at7399	0.92
2873at7399	0.77
2874at7399	0.85
2876at7399	0.72
2885at7399	0.92
2886at7399	0.91
2890at7399	0.86
2891at7399	0.87
2892at7399	0.59
2893at7399	0.94
2895at7399	0.47
2897at7399	0.775
2900at7399	0.95
2908at7399	0.9
2914at7399	0.59
2916at7399	0.39
2920at7399	0.41
2922at7399	0.68
2925at7399	0.865
2927at7399	0.66
2932at7399	0.9
2936at7399	0.76
2940at7399	0.92
2941at7399	0.98
2943at7399	0.84
2948at7399	0.66
2949at7399	0.79
2957at7399	0.84
2970at7399	0.63
2972at7399	0.85
2975at7399	0.93
2976at7399	0.72
2978at7399	0.92
2980at7399	0.94
2983at7399	0.89
2984at7399	0.585
2986at7399	0.9
2987at7399	0.91
2988at7399	0.98
2995at7399	0.84
2996at7399	0.67
3005at7399	0.9
3010at7399	0.67
3022at7399	0.85
3028at7399	0.89
3032at7399	0.89
3034at7399	0.9
3041at7399	0.65
3042at7399	0.64
3043at7399	0.71
3047at7399	0.92
3051at7399	0.92
3053at7399	0.71
3065at7399	0.94
3070at7399	0.9
3071at7399	0.66
3073at7399	0.54
3074at7399	0.88
3083at7399	0.83
3085at7399	0.9
3086at7399	0.88
3088at7399	0.6
3089at7399	0.58
3090at7399	0.91
3091at7399	0.44
3094at7399	0.93
3098at7399	0.94
3104at7399	0.92
3110at7399	0.91
3111at7399	0.65
3121at7399	0.88
3122at7399	0.88
3123at7399	0.85
3124at7399	0.88
3127at7399	0.92
3128at7399	0.96
3130at7399	0.88
3132at7399	0.94
3133at7399	0.76
3134at7399	0.92
3144at7399	0.55
3149at7399	0.6
3150at7399	0.43
3152at7399	0.9
3155at7399	0.3575
3157at7399	0.23
3158at7399	0.7
3163at7399	0.82
3165at7399	0.47
3166at7399	0.29
3167at7399	0.59
3170at7399	0.9
3171at7399	0.91
3172at7399	0.66
3174at7399	0.36
3177at7399	0.95
3179at7399	0.93
3184at7399	0.2
3185at7399	0.8
3186at7399	0.89
3187at7399	0.76
3202at7399	0.87
3212at7399	0.92
3216at7399	0.75
3219at7399	0.525
3223at7399	0.75
3225at7399	0.93
3228at7399	0.52
3233at7399	0.93
3237at7399	0.9
3242at7399	0.95
3243at7399	0.91
3244at7399	0.94
3257at7399	0.95
3258at7399	0.93
3272at7399	0.94
3274at7399	0.87
3277at7399	0.99
3280at7399	0.9
3281at7399	0.95
3284at7399	0.54
3286at7399	0.68
3290at7399	0.58
3302at7399	0.93
3303at7399	0.81
3304at7399	0.93
3305at7399	0.85
3306at7399	0.78
3311at7399	0.46
3321at7399	0.92
3324at7399	0.96
3326at7399	0.89
3332at7399	0.79
3337at7399	0.82
3338at7399	0.57
3345at7399	0.53
3349at7399	0.57
3353at7399	0.59
3354at7399	0.76
3356at7399	0.49
3359at7399	0.57
3360at7399	0.94
3362at7399	0.92
3365at7399	0.62
3375at7399	0.455
3377at7399	0.6
3384at7399	0.48
3385at7399	0.59
3390at7399	0.78
3399at7399	0.93
3402at7399	0.7
3404at7399	0.72
3410at7399	0.77
3411at7399	0.88
3414at7399	0.6
3415at7399	0.76
3421at7399	0.88
3422at7399	0.78
3423at7399	0.74
3429at7399	0.84
3430at7399	0.97
3437at7399	0.51
3441at7399	0.9
3449at7399	0.93
3452at7399	0.95
3453at7399	0.68
3455at7399	0.42
3461at7399	0.89
3467at7399	0.97
3468at7399	0.88
3469at7399	0.91
3471at7399	0.84
3473at7399	0.92
3484at7399	0.87
3486at7399	0.19
3488at7399	0.94
3503at7399	0.82
3504at7399	0.95
3507at7399	0.81
3509at7399	0.78
3516at7399	0.87
3519at7399	0.9
3522at7399	0.57
3523at7399	0.63
3529at7399	0.73
3531at7399	0.91
3537at7399	0.92
3538at7399	0.65
3546at7399	0.96
3547at7399	0.9
3549at7399	0.48
3551at7399	0.83
3553at7399	0.8
3562at7399	0.6
3564at7399	0.87
3567at7399	0.78
3572at7399	0.88
3575at7399	0.8
3578at7399	0.8
3579at7399	0.88
3582at7399	0.35
3586at7399	0.89
3592at7399	0.94
3597at7399	0.95
3602at7399	0.9
3606at7399	0.94
3612at7399	0.89
3614at7399	0.94
3616at7399	0.51
3617at7399	0.93
3618at7399	0.88
3624at7399	0.92
3627at7399	0.9
3630at7399	0.89
3631at7399	0.62
3633at7399	0.82
3635at7399	0.92
3643at7399	0.95
3644at7399	0.87
3645at7399	0.51
3646at7399	0.93
3648at7399	0.625
3651at7399	0.83
3654at7399	0.94
3656at7399	0.85
3660at7399	0.72
3668at7399	0.9
3669at7399	0.98
3670at7399	0.74
3674at7399	0.9
3677at7399	0.89
3678at7399	0.91
3679at7399	0.91
3681at7399	0.81
3682at7399	0.8
3687at7399	0.97
3692at7399	0.94
3698at7399	0.84
3707at7399	0.64
3712at7399	0.67
3713at7399	0.94
3718at7399	0.59
3720at7399	0.57
3721at7399	0.81
3727at7399	0.82
3729at7399	0.86
3733at7399	0.69
3735at7399	0.8
3736at7399	0.66
3739at7399	0.38
3742at7399	0.87
3743at7399	0.44
3746at7399	0.32
3750at7399	0.83
3754at7399	0.83
3756at7399	0.91
3763at7399	0.68
3767at7399	0.75
3768at7399	0.91
3773at7399	0.7
3776at7399	0.56
3777at7399	0.86
3780at7399	0.93
3793at7399	0.85
3794at7399	0.73
3798at7399	0.93
3803at7399	0.9
3804at7399	0.88
3807at7399	0.8
3810at7399	0.87
3817at7399	0.48
3819at7399	0.64
3829at7399	0.85
3831at7399	0.89
3832at7399	0.64
3838at7399	0.87
3839at7399	0.93
3843at7399	0.91
3845at7399	0.83
3848at7399	0.94
3853at7399	0.86
3858at7399	0.71
3859at7399	0.74
3860at7399	0.6
3862at7399	0.81
3867at7399	0.73
3873at7399	0.57
3874at7399	0.63
3877at7399	0.77
3879at7399	0.92
3883at7399	0.83
3887at7399	0.42
3894at7399	0.47
3899at7399	0.8766666670000001
3900at7399	0.95
3903at7399	0.77
3904at7399	0.86
3906at7399	0.39
3908at7399	0.88
3914at7399	0.84
3921at7399	0.94
3928at7399	0.83
3930at7399	0.51
3938at7399	0.7
3945at7399	0.45
3949at7399	0.7
3952at7399	0.76
3955at7399	0.65
3957at7399	0.67
3960at7399	0.76
3966at7399	0.89
3972at7399	0.87
3973at7399	0.81
3974at7399	0.94
3978at7399	0.84
3984at7399	0.9
3985at7399	0.52
3990at7399	0.92
3995at7399	0.9
3999at7399	0.64
4002at7399	0.79
4007at7399	0.81
4008at7399	0.64
4011at7399	0.83
4012at7399	0.49
4014at7399	0.7
4017at7399	0.5
4022at7399	0.85
4024at7399	0.67
4025at7399	0.86
4026at7399	0.82
4028at7399	0.94
4039at7399	0.57
4044at7399	0.93
4048at7399	0.7
4052at7399	0.61
4056at7399	0.95
4060at7399	0.98
4066at7399	0.48
4068at7399	0.93
4069at7399	0.4
4070at7399	0.46
4075at7399	0.36
4076at7399	0.75
4079at7399	0.92
4080at7399	0.71
4082at7399	0.84
4083at7399	0.7
4087at7399	0.82
4089at7399	0.7
4091at7399	0.9
4094at7399	0.66
4095at7399	0.93
4098at7399	0.69
4099at7399	0.32
4102at7399	0.68
4104at7399	0.94
4105at7399	0.92
4109at7399	0.85
4110at7399	0.675
4111at7399	0.85
4114at7399	0.91
4116at7399	0.72
4117at7399	0.85
4118at7399	0.93
4120at7399	0.58
4121at7399	0.8
4122at7399	0.9
4132at7399	0.85
4135at7399	0.72
4143at7399	0.86
4144at7399	0.81
4145at7399	0.8
4147at7399	0.88
4149at7399	0.75
4150at7399	0.92
4155at7399	0.94
4160at7399	0.93
4171at7399	0.75
4176at7399	0.94
4178at7399	0.7
4179at7399	0.92
4185at7399	0.92
4186at7399	0.75
4192at7399	0.89
4193at7399	0.505
4198at7399	0.63
4199at7399	0.97
4202at7399	0.696666667
4204at7399	0.93
4209at7399	0.74
4210at7399	0.63
4217at7399	0.83
4218at7399	0.54
4223at7399	0.86
4226at7399	0.49
4228at7399	0.88
4231at7399	0.87
4233at7399	0.93
4234at7399	0.57
4236at7399	0.82
4238at7399	0.95
4239at7399	0.92
4241at7399	0.49
4245at7399	0.59
4248at7399	0.96
4249at7399	0.57
4250at7399	0.91
4258at7399	0.39
4265at7399	0.93
4267at7399	0.24
4268at7399	0.93
4269at7399	0.82
4272at7399	0.44
4278at7399	0.84
4279at7399	0.9
4284at7399	0.78
4291at7399	0.85
4296at7399	0.76
4297at7399	0.86
4298at7399	0.63
4299at7399	0.45
4302at7399	0.78
4306at7399	0.69
4307at7399	0.42
4318at7399	0.77
4320at7399	0.93
4322at7399	0.82
4323at7399	0.59
4324at7399	0.88
4325at7399	0.93
4327at7399	0.7
4329at7399	0.67
4331at7399	0.93
4334at7399	0.5
4336at7399	0.93
4340at7399	0.78
4341at7399	0.62
4345at7399	0.93
4347at7399	0.73
4353at7399	0.77
4359at7399	0.84
4368at7399	0.93
4376at7399	0.89
4378at7399	0.72
4382at7399	0.69
4383at7399	0.74
4388at7399	0.54
4391at7399	0.64
4392at7399	0.7
4393at7399	0.6
4398at7399	0.96
4407at7399	0.89
4408at7399	0.47
4412at7399	0.96
4415at7399	0.84
4416at7399	0.56
4417at7399	0.715
4422at7399	0.8
4423at7399	0.94
4426at7399	0.7
4428at7399	0.63
4432at7399	0.91
4436at7399	0.77
4437at7399	0.92
4441at7399	0.78
4443at7399	0.93
4448at7399	0.49
4450at7399	0.76
4451at7399	0.72
4455at7399	0.68
4456at7399	0.26
4459at7399	0.63
4468at7399	0.45
4473at7399	0.69
4479at7399	0.82
4484at7399	0.94
4487at7399	0.54
4490at7399	0.67
4494at7399	0.65
4512at7399	0.87
4516at7399	0.71
4529at7399	0.88
4532at7399	0.83
4533at7399	0.87
4536at7399	0.53
4539at7399	0.48
4540at7399	0.82
4542at7399	0.85
4545at7399	0.45
4547at7399	0.65
4548at7399	0.95
4553at7399	0.92
4554at7399	0.9
4555at7399	0.49
4557at7399	0.86
4563at7399	0.89
4565at7399	0.65
4568at7399	0.98
4577at7399	0.93
4579at7399	0.87
4581at7399	0.95
4582at7399	0.94
4588at7399	0.92
4591at7399	0.89
4593at7399	0.94
4595at7399	0.96
4601at7399	0.92
4603at7399	0.685
4606at7399	0.82
4608at7399	0.71
4621at7399	0.92
4624at7399	0.87
4631at7399	0.84
4634at7399	0.63
4641at7399	0.96
4643at7399	0.46
4646at7399	0.91
4648at7399	0.61
4650at7399	0.83
4652at7399	0.67
4653at7399	0.91
4657at7399	0.89
4658at7399	0.67
4659at7399	0.83
4662at7399	0.91
4665at7399	0.66
4669at7399	0.5
