orthogroup	STA
863at7399	79
864at7399	79
867at7399	80
870at7399	74
872at7399	79
874at7399	80
877at7399	79
882at7399	80
883at7399	79
892at7399	79
893at7399	78
896at7399	69
905at7399	79
908at7399	80
909at7399	75
914at7399	76
916at7399	78
921at7399	79
922at7399	77
923at7399	79
926at7399	78
929at7399	79
934at7399	80
935at7399	73
937at7399	80
941at7399	72
944at7399	79
945at7399	80
946at7399	79
948at7399	80
952at7399	74
958at7399	79
961at7399	77
964at7399	77
967at7399	74
968at7399	79
971at7399	79
974at7399	77
981at7399	74
987at7399	79
988at7399	79
989at7399	78
992at7399	66
1002at7399	69
1004at7399	79
1007at7399	79
1008at7399	75
1010at7399	79
1012at7399	80
1014at7399	75
1016at7399	80
1018at7399	80
1022at7399	78
1030at7399	77
1035at7399	80
1042at7399	77
1044at7399	79
1045at7399	80
1048at7399	78
1052at7399	77
1057at7399	79
1058at7399	74
1060at7399	78
1064at7399	76
1066at7399	77
1072at7399	78
1075at7399	65
1078at7399	78
1081at7399	78
1082at7399	65
1085at7399	78
1087at7399	78
1088at7399	67
1089at7399	80
1095at7399	78
1096at7399	79
1097at7399	60
1098at7399	76
1105at7399	71
1106at7399	78
1107at7399	77
1110at7399	61
1115at7399	79
1116at7399	80
1117at7399	79
1119at7399	79
1121at7399	80
1124at7399	79
1130at7399	77
1144at7399	77
1147at7399	80
1148at7399	79
1154at7399	79
1158at7399	80
1159at7399	80
1163at7399	80
1164at7399	78
1165at7399	78
1167at7399	80
1172at7399	79
1177at7399	79
1184at7399	71
1188at7399	79
1190at7399	79
1192at7399	79
1193at7399	80
1194at7399	75
1195at7399	79
1196at7399	77
1208at7399	79
1220at7399	63
1221at7399	79
1227at7399	79
1230at7399	78
1232at7399	79
1235at7399	79
1242at7399	79
1245at7399	69
1246at7399	76
1247at7399	72
1252at7399	70
1259at7399	78
1261at7399	78
1262at7399	76
1268at7399	68
1274at7399	80
1275at7399	78
1278at7399	68
1279at7399	78
1282at7399	79
1283at7399	80
1286at7399	80
1287at7399	80
1288at7399	80
1289at7399	78
1290at7399	79
1293at7399	80
1294at7399	78
1296at7399	78
1297at7399	78
1298at7399	79
1299at7399	79
1303at7399	79
1307at7399	80
1313at7399	76
1314at7399	79
1318at7399	77
1322at7399	79
1325at7399	77
1329at7399	80
1330at7399	80
1331at7399	79
1334at7399	80
1335at7399	80
1336at7399	76
1339at7399	72
1342at7399	79
1343at7399	77
1348at7399	79
1355at7399	78
1356at7399	77
1360at7399	76
1362at7399	80
1363at7399	76
1366at7399	69
1369at7399	77
1371at7399	74
1372at7399	78
1373at7399	80
1374at7399	71
1376at7399	79
1378at7399	80
1381at7399	74
1382at7399	80
1392at7399	80
1393at7399	80
1395at7399	79
1397at7399	78
1399at7399	77
1403at7399	80
1404at7399	79
1408at7399	78
1410at7399	76
1415at7399	73
1419at7399	80
1421at7399	79
1425at7399	75
1426at7399	77
1427at7399	80
1428at7399	78
1429at7399	65
1434at7399	79
1438at7399	79
1440at7399	79
1444at7399	78
1446at7399	76
1448at7399	78
1450at7399	75
1454at7399	74
1455at7399	67
1456at7399	61
1457at7399	79
1459at7399	80
1460at7399	80
1462at7399	79
1465at7399	73
1467at7399	78
1469at7399	79
1475at7399	79
1478at7399	79
1480at7399	70
1482at7399	80
1483at7399	80
1493at7399	56
1494at7399	76
1502at7399	78
1503at7399	79
1507at7399	76
1508at7399	78
1512at7399	78
1513at7399	67
1515at7399	80
1521at7399	78
1525at7399	76
1527at7399	79
1529at7399	80
1530at7399	78
1531at7399	78
1532at7399	79
1534at7399	80
1538at7399	65
1541at7399	78
1542at7399	79
1544at7399	77
1545at7399	77
1550at7399	80
1565at7399	78
1567at7399	79
1572at7399	78
1574at7399	79
1575at7399	79
1576at7399	79
1584at7399	74
1588at7399	78
1589at7399	78
1590at7399	80
1597at7399	79
1602at7399	78
1607at7399	80
1608at7399	78
1614at7399	74
1616at7399	79
1620at7399	79
1627at7399	77
1630at7399	78
1638at7399	78
1640at7399	78
1641at7399	79
1645at7399	73
1646at7399	79
1648at7399	79
1650at7399	78
1652at7399	80
1656at7399	79
1659at7399	77
1664at7399	80
1668at7399	79
1672at7399	77
1674at7399	80
1678at7399	80
1686at7399	80
1688at7399	79
1689at7399	79
1694at7399	80
1695at7399	79
1696at7399	78
1701at7399	78
1702at7399	76
1709at7399	79
1712at7399	80
1713at7399	79
1716at7399	80
1720at7399	80
1722at7399	79
1723at7399	79
1728at7399	78
1730at7399	79
1733at7399	79
1734at7399	79
1747at7399	68
1751at7399	76
1753at7399	76
1754at7399	77
1756at7399	59
1757at7399	80
1763at7399	78
1767at7399	75
1768at7399	79
1783at7399	80
1786at7399	75
1789at7399	77
1794at7399	78
1796at7399	69
1798at7399	80
1799at7399	78
1802at7399	79
1803at7399	76
1806at7399	79
1808at7399	80
1810at7399	76
1811at7399	78
1812at7399	80
1819at7399	78
1824at7399	80
1825at7399	77
1827at7399	79
1828at7399	80
1831at7399	77
1833at7399	80
1834at7399	80
1835at7399	80
1836at7399	80
1839at7399	80
1841at7399	77
1842at7399	68
1846at7399	79
1849at7399	78
1854at7399	78
1861at7399	79
1862at7399	78
1865at7399	80
1867at7399	79
1868at7399	80
1880at7399	80
1883at7399	80
1886at7399	80
1889at7399	77
1891at7399	76
1893at7399	78
1894at7399	77
1895at7399	78
1898at7399	77
1899at7399	79
1901at7399	79
1903at7399	80
1911at7399	80
1913at7399	78
1917at7399	77
1921at7399	79
1923at7399	80
1926at7399	80
1930at7399	74
1931at7399	78
1934at7399	79
1939at7399	76
1941at7399	79
1942at7399	80
1944at7399	80
1948at7399	80
1949at7399	79
1957at7399	79
1959at7399	78
1962at7399	79
1964at7399	77
1966at7399	77
1969at7399	78
1971at7399	79
1978at7399	80
1980at7399	70
1989at7399	68
1995at7399	80
1997at7399	76
1999at7399	80
2007at7399	79
2010at7399	80
2011at7399	79
2016at7399	78
2021at7399	80
2023at7399	79
2024at7399	75
2036at7399	80
2038at7399	78
2039at7399	80
2040at7399	75
2055at7399	79
2060at7399	80
2064at7399	79
2067at7399	73
2071at7399	72
2079at7399	78
2082at7399	78
2083at7399	74
2088at7399	80
2094at7399	72
2095at7399	79
2096at7399	63
2097at7399	79
2098at7399	80
2099at7399	79
2102at7399	79
2108at7399	79
2111at7399	79
2113at7399	79
2119at7399	79
2123at7399	79
2125at7399	76
2127at7399	74
2132at7399	80
2135at7399	76
2142at7399	80
2157at7399	76
2162at7399	80
2164at7399	78
2165at7399	77
2171at7399	77
2173at7399	80
2175at7399	78
2176at7399	78
2185at7399	77
2195at7399	78
2197at7399	80
2198at7399	79
2200at7399	80
2203at7399	78
2204at7399	80
2205at7399	71
2221at7399	76
2225at7399	58
2226at7399	64
2227at7399	76
2229at7399	80
2231at7399	78
2232at7399	74
2233at7399	76
2236at7399	80
2238at7399	58
2241at7399	77
2248at7399	80
2250at7399	80
2252at7399	80
2256at7399	79
2257at7399	76
2259at7399	78
2261at7399	65
2262at7399	79
2263at7399	79
2264at7399	78
2267at7399	77
2269at7399	80
2274at7399	80
2275at7399	62
2276at7399	80
2277at7399	80
2282at7399	71
2283at7399	78
2286at7399	80
2290at7399	76
2293at7399	76
2294at7399	79
2296at7399	77
2297at7399	74
2298at7399	80
2299at7399	80
2306at7399	80
2314at7399	72
2324at7399	76
2327at7399	78
2328at7399	80
2336at7399	78
2341at7399	77
2345at7399	79
2346at7399	80
2350at7399	80
2353at7399	76
2363at7399	78
2367at7399	75
2370at7399	80
2372at7399	66
2373at7399	77
2374at7399	79
2377at7399	79
2385at7399	77
2386at7399	76
2387at7399	80
2388at7399	80
2392at7399	74
2393at7399	79
2397at7399	79
2406at7399	77
2408at7399	77
2409at7399	77
2410at7399	76
2412at7399	78
2414at7399	80
2419at7399	77
2423at7399	78
2424at7399	79
2427at7399	78
2428at7399	80
2430at7399	78
2435at7399	77
2436at7399	80
2437at7399	76
2441at7399	78
2444at7399	80
2453at7399	79
2458at7399	79
2460at7399	78
2461at7399	79
2463at7399	80
2468at7399	79
2474at7399	77
2476at7399	79
2477at7399	79
2480at7399	79
2482at7399	77
2484at7399	80
2489at7399	80
2491at7399	77
2497at7399	67
2499at7399	80
2500at7399	79
2504at7399	80
2511at7399	79
2513at7399	80
2517at7399	73
2518at7399	77
2525at7399	78
2526at7399	77
2527at7399	80
2530at7399	75
2535at7399	79
2536at7399	80
2540at7399	76
2543at7399	78
2548at7399	76
2549at7399	80
2553at7399	79
2554at7399	78
2555at7399	78
2556at7399	80
2560at7399	80
2561at7399	67
2562at7399	77
2564at7399	71
2569at7399	78
2570at7399	79
2571at7399	79
2572at7399	76
2573at7399	80
2574at7399	79
2578at7399	77
2582at7399	78
2583at7399	78
2587at7399	80
2588at7399	77
2590at7399	77
2592at7399	78
2593at7399	80
2601at7399	79
2605at7399	77
2607at7399	78
2609at7399	79
2614at7399	77
2617at7399	55
2619at7399	78
2623at7399	78
2624at7399	80
2625at7399	69
2626at7399	79
2629at7399	80
2630at7399	80
2634at7399	75
2638at7399	79
2641at7399	80
2645at7399	80
2646at7399	79
2649at7399	79
2651at7399	75
2653at7399	65
2655at7399	79
2656at7399	72
2659at7399	80
2660at7399	78
2663at7399	79
2668at7399	80
2671at7399	78
2672at7399	76
2674at7399	79
2675at7399	73
2676at7399	79
2677at7399	77
2678at7399	80
2681at7399	77
2682at7399	78
2683at7399	69
2684at7399	74
2687at7399	70
2690at7399	77
2693at7399	79
2694at7399	80
2702at7399	80
2707at7399	78
2713at7399	78
2715at7399	77
2717at7399	80
2719at7399	79
2720at7399	79
2723at7399	77
2727at7399	77
2732at7399	75
2734at7399	66
2740at7399	79
2741at7399	78
2746at7399	79
2748at7399	80
2753at7399	77
2767at7399	79
2770at7399	70
2775at7399	69
2778at7399	78
2779at7399	75
2780at7399	76
2785at7399	79
2789at7399	79
2790at7399	79
2791at7399	79
2796at7399	80
2801at7399	74
2802at7399	78
2809at7399	79
2810at7399	80
2819at7399	79
2821at7399	76
2826at7399	77
2827at7399	80
2829at7399	80
2830at7399	76
2836at7399	79
2845at7399	77
2848at7399	78
2851at7399	80
2853at7399	75
2858at7399	80
2870at7399	79
2873at7399	80
2874at7399	76
2876at7399	78
2885at7399	79
2886at7399	78
2890at7399	80
2891at7399	80
2892at7399	78
2893at7399	79
2895at7399	79
2897at7399	73
2900at7399	79
2908at7399	79
2914at7399	72
2916at7399	80
2920at7399	75
2922at7399	76
2925at7399	69
2927at7399	76
2932at7399	78
2936at7399	68
2940at7399	80
2941at7399	76
2943at7399	79
2948at7399	80
2949at7399	80
2957at7399	79
2970at7399	76
2972at7399	71
2975at7399	78
2976at7399	78
2978at7399	75
2980at7399	78
2983at7399	80
2984at7399	76
2986at7399	77
2987at7399	78
2988at7399	80
2995at7399	79
2996at7399	79
3005at7399	80
3010at7399	78
3022at7399	73
3028at7399	79
3032at7399	79
3034at7399	79
3041at7399	80
3042at7399	76
3043at7399	78
3047at7399	80
3051at7399	77
3053at7399	79
3065at7399	80
3070at7399	79
3071at7399	80
3073at7399	58
3074at7399	77
3083at7399	65
3085at7399	79
3086at7399	77
3088at7399	74
3089at7399	77
3090at7399	78
3091at7399	78
3094at7399	68
3098at7399	79
3104at7399	74
3110at7399	79
3111at7399	75
3121at7399	79
3122at7399	79
3123at7399	79
3124at7399	79
3127at7399	80
3128at7399	79
3130at7399	79
3132at7399	79
3133at7399	79
3134at7399	79
3144at7399	78
3149at7399	70
3150at7399	74
3152at7399	79
3155at7399	63
3157at7399	80
3158at7399	78
3163at7399	78
3165at7399	65
3166at7399	79
3167at7399	80
3170at7399	80
3171at7399	79
3172at7399	74
3174at7399	78
3177at7399	79
3179at7399	76
3184at7399	65
3185at7399	76
3186at7399	80
3187at7399	80
3202at7399	71
3212at7399	80
3216at7399	76
3219at7399	73
3223at7399	77
3225at7399	79
3228at7399	72
3233at7399	80
3237at7399	80
3242at7399	79
3243at7399	79
3244at7399	78
3257at7399	79
3258at7399	77
3272at7399	80
3274at7399	80
3277at7399	80
3280at7399	78
3281at7399	77
3284at7399	77
3286at7399	69
3290at7399	80
3302at7399	79
3303at7399	77
3304at7399	80
3305at7399	78
3306at7399	79
3311at7399	77
3321at7399	80
3324at7399	73
3326at7399	68
3332at7399	79
3337at7399	80
3338at7399	77
3345at7399	76
3349at7399	80
3353at7399	79
3354at7399	80
3356at7399	80
3359at7399	80
3360at7399	80
3362at7399	78
3365at7399	79
3375at7399	77
3377at7399	67
3384at7399	77
3385at7399	78
3390at7399	79
3399at7399	80
3402at7399	79
3404at7399	75
3410at7399	71
3411at7399	79
3414at7399	77
3415at7399	79
3421at7399	64
3422at7399	74
3423at7399	78
3429at7399	66
3430at7399	73
3437at7399	73
3441at7399	79
3449at7399	79
3452at7399	79
3453at7399	80
3455at7399	78
3461at7399	79
3467at7399	78
3468at7399	80
3469at7399	70
3471at7399	78
3473at7399	79
3484at7399	80
3486at7399	73
3488at7399	80
3503at7399	75
3504at7399	80
3507at7399	67
3509at7399	79
3516at7399	80
3519at7399	80
3522at7399	80
3523at7399	79
3529at7399	77
3531at7399	78
3537at7399	76
3538at7399	79
3546at7399	80
3547at7399	79
3549at7399	77
3551at7399	78
3553at7399	77
3562at7399	80
3564at7399	80
3567at7399	80
3572at7399	68
3575at7399	74
3578at7399	77
3579at7399	80
3582at7399	79
3586at7399	79
3592at7399	74
3597at7399	80
3602at7399	78
3606at7399	79
3612at7399	77
3614at7399	80
3616at7399	79
3617at7399	79
3618at7399	62
3624at7399	77
3627at7399	79
3630at7399	79
3631at7399	78
3633at7399	68
3635at7399	76
3643at7399	77
3644at7399	79
3645at7399	77
3646at7399	80
3648at7399	77
3651at7399	80
3654at7399	79
3656at7399	61
3660at7399	80
3668at7399	80
3669at7399	80
3670at7399	80
3674at7399	78
3677at7399	79
3678at7399	79
3679at7399	79
3681at7399	80
3682at7399	79
3687at7399	79
3692at7399	78
3698at7399	79
3707at7399	77
3712at7399	79
3713at7399	79
3718at7399	74
3720at7399	77
3721at7399	79
3727at7399	77
3729at7399	79
3733at7399	79
3735at7399	77
3736at7399	78
3739at7399	78
3742at7399	79
3743at7399	79
3746at7399	78
3750at7399	79
3754at7399	79
3756at7399	78
3763at7399	79
3767at7399	79
3768at7399	80
3773at7399	78
3776at7399	79
3777at7399	76
3780at7399	79
3793at7399	79
3794at7399	80
3798at7399	77
3803at7399	80
3804at7399	79
3807at7399	79
3810at7399	78
3817at7399	79
3819at7399	79
3829at7399	80
3831at7399	76
3832at7399	78
3838at7399	80
3839at7399	80
3843at7399	77
3845at7399	80
3848at7399	79
3853at7399	75
3858at7399	78
3859at7399	76
3860at7399	75
3862at7399	71
3867at7399	80
3873at7399	78
3874at7399	77
3877at7399	74
3879at7399	77
3883at7399	80
3887at7399	79
3894at7399	78
3899at7399	78
3900at7399	76
3903at7399	80
3904at7399	79
3906at7399	80
3908at7399	79
3914at7399	78
3921at7399	79
3928at7399	76
3930at7399	77
3938at7399	71
3945at7399	78
3949at7399	78
3952at7399	78
3955at7399	79
3957at7399	78
3960at7399	80
3966at7399	79
3972at7399	78
3973at7399	76
3974at7399	79
3978at7399	78
3984at7399	79
3985at7399	71
3990at7399	80
3995at7399	79
3999at7399	75
4002at7399	78
4007at7399	80
4008at7399	78
4011at7399	77
4012at7399	80
4014at7399	71
4017at7399	75
4022at7399	78
4024at7399	78
4025at7399	76
4026at7399	79
4028at7399	77
4039at7399	76
4044at7399	79
4048at7399	67
4052at7399	80
4056at7399	80
4060at7399	78
4066at7399	79
4068at7399	79
4069at7399	80
4070at7399	78
4075at7399	80
4076at7399	78
4079at7399	79
4080at7399	79
4082at7399	79
4083at7399	74
4087at7399	80
4089at7399	75
4091at7399	79
4094at7399	80
4095at7399	80
4098at7399	78
4099at7399	56
4102at7399	66
4104at7399	80
4105at7399	79
4109at7399	80
4110at7399	72
4111at7399	77
4114at7399	80
4116at7399	80
4117at7399	80
4118at7399	80
4120at7399	79
4121at7399	77
4122at7399	79
4132at7399	80
4135at7399	78
4143at7399	80
4144at7399	76
4145at7399	73
4147at7399	74
4149at7399	79
4150at7399	78
4155at7399	80
4160at7399	78
4171at7399	79
4176at7399	79
4178at7399	78
4179at7399	79
4185at7399	80
4186at7399	64
4192at7399	79
4193at7399	62
4198at7399	80
4199at7399	79
4202at7399	63
4204at7399	79
4209at7399	80
4210at7399	80
4217at7399	76
4218at7399	79
4223at7399	79
4226at7399	74
4228at7399	80
4231at7399	78
4233at7399	75
4234at7399	69
4236at7399	74
4238at7399	79
4239at7399	79
4241at7399	80
4245at7399	70
4248at7399	73
4249at7399	69
4250at7399	75
4258at7399	75
4265at7399	78
4267at7399	77
4268at7399	80
4269at7399	78
4272at7399	73
4278at7399	80
4279at7399	79
4284at7399	80
4291at7399	79
4296at7399	78
4297at7399	78
4298at7399	78
4299at7399	76
4302at7399	80
4306at7399	80
4307at7399	77
4318at7399	79
4320at7399	79
4322at7399	75
4323at7399	77
4324at7399	80
4325at7399	78
4327at7399	78
4329at7399	77
4331at7399	79
4334at7399	79
4336at7399	80
4340at7399	79
4341at7399	80
4345at7399	80
4347at7399	80
4353at7399	80
4359at7399	70
4368at7399	77
4376at7399	73
4378at7399	70
4382at7399	80
4383at7399	78
4388at7399	78
4391at7399	80
4392at7399	80
4393at7399	79
4398at7399	78
4407at7399	80
4408at7399	68
4412at7399	78
4415at7399	80
4416at7399	78
4417at7399	79
4422at7399	80
4423at7399	77
4426at7399	80
4428at7399	77
4432at7399	79
4436at7399	80
4437at7399	78
4441at7399	80
4443at7399	79
4448at7399	80
4450at7399	77
4451at7399	76
4455at7399	80
4456at7399	18
4459at7399	64
4468at7399	69
4473at7399	78
4479at7399	80
4484at7399	79
4487at7399	78
4490at7399	80
4494at7399	79
4512at7399	79
4516at7399	80
4529at7399	77
4532at7399	73
4533at7399	79
4536at7399	78
4539at7399	78
4540at7399	79
4542at7399	79
4545at7399	72
4547at7399	75
4548at7399	74
4553at7399	73
4554at7399	79
4555at7399	77
4557at7399	80
4563at7399	79
4565at7399	78
4568at7399	79
4577at7399	79
4579at7399	79
4581at7399	80
4582at7399	79
4588at7399	77
4591at7399	80
4593at7399	78
4595at7399	79
4601at7399	79
4603at7399	75
4606at7399	79
4608at7399	80
4621at7399	80
4624at7399	78
4631at7399	77
4634at7399	78
4641at7399	79
4643at7399	77
4646at7399	80
4648at7399	78
4650at7399	79
4652at7399	80
4653at7399	80
4657at7399	80
4658at7399	75
4659at7399	78
4662at7399	75
4665at7399	77
4669at7399	80
4678at7399	80
4681at7399	79
4687at7399	76
4689at7399	78
4694at7399	80
4695at7399	62
4699at7399	78
4708at7399	80
4714at7399	78
4717at7399	79
4718at7399	79
4727at7399	76
4734at7399	78
4736at7399	79
4739at7399	80
4743at7399	76
4747at7399	79
4758at7399	79
4760at7399	80
4761at7399	80
4767at7399	76
4768at7399	77
4773at7399	80
4774at7399	80
4775at7399	80
4776at7399	78
4785at7399	78
4792at7399	80
4800at7399	80
4803at7399	80
4804at7399	76
4806at7399	78
4808at7399	79
4809at7399	78
4811at7399	80
4813at7399	80
4814at7399	69
4819at7399	78
4822at7399	78
4824at7399	78
4827at7399	80
4831at7399	75
4833at7399	62
4835at7399	80
4838at7399	80
4839at7399	78
4847at7399	76
4848at7399	71
4854at7399	78
4857at7399	78
4858at7399	75
4864at7399	80
4865at7399	78
4866at7399	73
4867at7399	79
4868at7399	79
4872at7399	80
4873at7399	80
4875at7399	80
4889at7399	77
4890at7399	78
4899at7399	80
4900at7399	75
4903at7399	79
4907at7399	79
4911at7399	80
4912at7399	80
4915at7399	77
4916at7399	79
4917at7399	77
4921at7399	75
4936at7399	78
4938at7399	71
4940at7399	80
4943at7399	80
4949at7399	80
4950at7399	80
4952at7399	73
4953at7399	80
4955at7399	79
4957at7399	75
4959at7399	79
4960at7399	78
4962at7399	80
4968at7399	80
4969at7399	79
4975at7399	80
4976at7399	79
4977at7399	80
4984at7399	78
4985at7399	74
4988at7399	79
4991at7399	79
4994at7399	69
4995at7399	79
4997at7399	80
5000at7399	80
5005at7399	74
5008at7399	80
5009at7399	79
5013at7399	74
5016at7399	69
5019at7399	79
5023at7399	80
5026at7399	78
5028at7399	80
5030at7399	76
5034at7399	78
5037at7399	67
5048at7399	79
5052at7399	78
5054at7399	78
5057at7399	77
5059at7399	77
5060at7399	59
5062at7399	79
5066at7399	79
5071at7399	80
5075at7399	79
5077at7399	80
5086at7399	80
5090at7399	80
5092at7399	70
5094at7399	78
5096at7399	80
5101at7399	80
5109at7399	68
5111at7399	54
5113at7399	53
5119at7399	76
5122at7399	78
5123at7399	78
5125at7399	65
5130at7399	80
5145at7399	80
5146at7399	80
5148at7399	77
5161at7399	78
5165at7399	77
5169at7399	72
5172at7399	80
5174at7399	80
5175at7399	79
5179at7399	79
5182at7399	80
5188at7399	76
5189at7399	77
5190at7399	80
5191at7399	79
5192at7399	79
5198at7399	79
5201at7399	79
5203at7399	78
5204at7399	80
5205at7399	79
5206at7399	79
5208at7399	74
5211at7399	76
5214at7399	80
5218at7399	80
5220at7399	80
5221at7399	75
5223at7399	78
5224at7399	76
5232at7399	74
5238at7399	74
5241at7399	79
5243at7399	78
5247at7399	78
5252at7399	68
5254at7399	80
5256at7399	80
5262at7399	78
5266at7399	79
5267at7399	77
5268at7399	73
5271at7399	70
5278at7399	78
5280at7399	74
5281at7399	77
5285at7399	68
5288at7399	74
5289at7399	79
5290at7399	78
5291at7399	78
5292at7399	79
5293at7399	79
5296at7399	78
5298at7399	77
5299at7399	79
5306at7399	71
5307at7399	78
5311at7399	78
5312at7399	76
5315at7399	80
5317at7399	80
5318at7399	78
5321at7399	78
5322at7399	78
5323at7399	79
5329at7399	79
5332at7399	75
5334at7399	80
5336at7399	77
5337at7399	77
5338at7399	80
5339at7399	76
5346at7399	80
5353at7399	78
5355at7399	80
5358at7399	78
5363at7399	79
5374at7399	75
5375at7399	79
5376at7399	80
5377at7399	79
5379at7399	79
5385at7399	63
5393at7399	79
5394at7399	80
5396at7399	79
5399at7399	73
5401at7399	78
5404at7399	79
5406at7399	77
5408at7399	79
5410at7399	78
5414at7399	78
5415at7399	80
5417at7399	79
5418at7399	78
5421at7399	78
5424at7399	71
5426at7399	80
5431at7399	78
5433at7399	79
5434at7399	79
5435at7399	80
5444at7399	76
5446at7399	78
5447at7399	63
5448at7399	78
5450at7399	78
5453at7399	79
5454at7399	80
5462at7399	80
5468at7399	79
5469at7399	79
5470at7399	77
5474at7399	80
5477at7399	74
5478at7399	80
5479at7399	77
5484at7399	76
5485at7399	80
5490at7399	79
5492at7399	78
5496at7399	78
5498at7399	80
5499at7399	64
5500at7399	79
5501at7399	75
5506at7399	79
5511at7399	78
5515at7399	78
5517at7399	80
5520at7399	78
5521at7399	79
5524at7399	78
5526at7399	75
5530at7399	76
5531at7399	78
5533at7399	74
5536at7399	77
5539at7399	71
5545at7399	78
5553at7399	79
5554at7399	78
5558at7399	75
5566at7399	79
5570at7399	76
5571at7399	79
5576at7399	78
5577at7399	79
5589at7399	80
5592at7399	80
5594at7399	73
5597at7399	78
5600at7399	80
5601at7399	75
5607at7399	75
5608at7399	76
5610at7399	73
5611at7399	80
5618at7399	76
5619at7399	55
5621at7399	78
5626at7399	77
5632at7399	79
5633at7399	77
5636at7399	80
5639at7399	76
5641at7399	77
5642at7399	79
5643at7399	80
5644at7399	74
5645at7399	80
5654at7399	78
5656at7399	78
5666at7399	79
5675at7399	80
5677at7399	79
5678at7399	65
5679at7399	77
5682at7399	79
5685at7399	79
5688at7399	80
5690at7399	75
5691at7399	62
5694at7399	80
5695at7399	78
5706at7399	79
5709at7399	80
5710at7399	78
5711at7399	78
5712at7399	80
5713at7399	80
5719at7399	77
5721at7399	80
5725at7399	78
5730at7399	80
5731at7399	80
5732at7399	77
5739at7399	79
5744at7399	79
5754at7399	80
5756at7399	54
5760at7399	80
5766at7399	79
5773at7399	80
5778at7399	65
5779at7399	80
5787at7399	80
5789at7399	77
5790at7399	78
5792at7399	79
5800at7399	80
5803at7399	76
5806at7399	80
5810at7399	77
5811at7399	80
5818at7399	80
5827at7399	79
5829at7399	80
5830at7399	78
5832at7399	77
5833at7399	80
5834at7399	74
5837at7399	77
