orthogroup	PHC
470at7399	0.67
476at7399	0.77
477at7399	0.12
480at7399	0.26
482at7399	0.37
486at7399	0.27
493at7399	0.475
497at7399	0.63
501at7399	0.4
502at7399	0.59
504at7399	0.18
511at7399	0.7
523at7399	0.32
527at7399	0.36
531at7399	0.69
534at7399	0.38
539at7399	0.36
541at7399	0.26
550at7399	0.78
551at7399	0.19
552at7399	0.23
556at7399	0.14
558at7399	0.29
560at7399	0.31
567at7399	0.19
569at7399	0.62
572at7399	0.39
577at7399	0.34
582at7399	0.31
589at7399	0.39
590at7399	0.59
598at7399	0.46
601at7399	0.76
603at7399	0.41
605at7399	0.62
607at7399	0.47
608at7399	0.25
617at7399	0.56
625at7399	0.53
635at7399	0.53
651at7399	0.58
659at7399	0.14
660at7399	0.35
665at7399	0.64
670at7399	0.54
674at7399	0.47
675at7399	0.37
683at7399	0.53
684at7399	0.74
685at7399	0.03
690at7399	0.28
691at7399	0.61
699at7399	0.75
700at7399	0.66
702at7399	0.42
705at7399	0.37
708at7399	0.67
711at7399	0.54
720at7399	0.555
724at7399	0.12
725at7399	0.23
728at7399	0.64
734at7399	0.33
739at7399	0.59
740at7399	0.71
748at7399	0.25
749at7399	0.43
750at7399	0.66
751at7399	0.62
759at7399	0.38
760at7399	0.3
764at7399	0.25
765at7399	0.66
767at7399	0.61
773at7399	0.64
775at7399	0.24
778at7399	0.67
780at7399	0.12
782at7399	0.52
786at7399	0.33
787at7399	0.48
788at7399	0.62
793at7399	0.75
796at7399	0.74
804at7399	0.5
805at7399	0.63
816at7399	0.4
826at7399	0.42
828at7399	0.87
830at7399	0.17
832at7399	0.72
833at7399	0.39
840at7399	0.49
848at7399	0.41
850at7399	0.72
854at7399	0.35
855at7399	0.65
863at7399	0.5
864at7399	0.55
867at7399	0.63
870at7399	0.16
872at7399	0.43
874at7399	0.42
877at7399	0.61
882at7399	0.38
883at7399	0.4
892at7399	0.15
893at7399	0.41
896at7399	0.58
905at7399	0.32
908at7399	0.56
909at7399	0.39
914at7399	0.37
916at7399	0.59
921at7399	0.25
922at7399	0.65
923at7399	0.21
926at7399	0.58
929at7399	0.41
934at7399	0.49
935at7399	0.29
937at7399	0.7
941at7399	0.195
944at7399	0.11
945at7399	0.62
946at7399	0.33
948at7399	0.5
952at7399	0.21
958at7399	0.29
961at7399	0.32
964at7399	0.62
967at7399	0.51
968at7399	0.47
971at7399	0.4
974at7399	0.16
981at7399	0.14
987at7399	0.41
988at7399	0.42
989at7399	0.55
992at7399	0.15666666699999998
1002at7399	0.17
1004at7399	0.49
1007at7399	0.57
1008at7399	0.17
1010at7399	0.63
1012at7399	0.55
1014at7399	0.11
1016at7399	0.31
1018at7399	0.19
1022at7399	0.45
1030at7399	0.27
1035at7399	0.58
1042at7399	0.6
1044at7399	0.31
1045at7399	0.67
1048at7399	0.39
1052at7399	0.62
1057at7399	0.51
1058at7399	0.06
1060at7399	0.43
1064at7399	0.67
1066at7399	0.41
1072at7399	0.27
1075at7399	0.58
1078at7399	0.5
1081at7399	0.36
1082at7399	0.67
1085at7399	0.3
1087at7399	0.33
1088at7399	0.55
1089at7399	0.26
1095at7399	0.59
1096at7399	0.61
1097at7399	0.32
1098at7399	0.35
1105at7399	0.2
1106at7399	0.28
1107at7399	0.39
1110at7399	0.1
1115at7399	0.28
1116at7399	0.28
1117at7399	0.2
1119at7399	0.6
1121at7399	0.39
1124at7399	0.58
1130at7399	0.55
1144at7399	0.58
1147at7399	0.64
1148at7399	0.3
1154at7399	0.64
1158at7399	0.35
1159at7399	0.66
1163at7399	0.28
1164at7399	0.33
1165at7399	0.22
1167at7399	0.57
1172at7399	0.54
1177at7399	0.5
1184at7399	0.17
1188at7399	0.11
1190at7399	0.51
1192at7399	0.5
1193at7399	0.56
1194at7399	0.71
1195at7399	0.46
1196at7399	0.16
1208at7399	0.36
1220at7399	0.49
1221at7399	0.62
1227at7399	0.5
1230at7399	0.33
1232at7399	0.44
1235at7399	0.46
1242at7399	0.45
1245at7399	0.84
1246at7399	0.41
1247at7399	0.24
1252at7399	0.15
1259at7399	0.5
1261at7399	0.36
1262at7399	0.3
1268at7399	0.24
1274at7399	0.69
1275at7399	0.38
1278at7399	0.28
1279at7399	0.36
1282at7399	0.37
1283at7399	0.48
1286at7399	0.47
1287at7399	0.54
1288at7399	0.42
1289at7399	0.45
1290at7399	0.43
1293at7399	0.25
1294at7399	0.5
1296at7399	0.72
1297at7399	0.3
1298at7399	0.3
1299at7399	0.53
1303at7399	0.76
1307at7399	0.33
1313at7399	0.45
1314at7399	0.65
1318at7399	0.14
1322at7399	0.77
1325at7399	0.32
1329at7399	0.66
1330at7399	0.54
1331at7399	0.63
1334at7399	0.4
1335at7399	0.63
1336at7399	0.33
1339at7399	0.73
1342at7399	0.53
1343at7399	0.46
1348at7399	0.39
1355at7399	0.44
1356at7399	0.63
1360at7399	0.25
1362at7399	0.32
1363at7399	0.8
1366at7399	0.03
1369at7399	0.57
1371at7399	0.19
1372at7399	0.25
1373at7399	0.52
1374at7399	0.13
1376at7399	0.73
1378at7399	0.87
1381at7399	0.36
1382at7399	0.55
1392at7399	0.64
1393at7399	0.78
1395at7399	0.43
1397at7399	0.55
1399at7399	0.36
1403at7399	0.59
1404at7399	0.61
1408at7399	0.53
1410at7399	0.11
1415at7399	0.3
1419at7399	0.76
1421at7399	0.49
1425at7399	0.4
1426at7399	0.26
1427at7399	0.41
1428at7399	0.48
1429at7399	0.41
1434at7399	0.54
1438at7399	0.47
1440at7399	0.14
1444at7399	0.74
1446at7399	0.31
1448at7399	0.35
1450at7399	0.32
1454at7399	0.17
1455at7399	0.34
1456at7399	0.31
1457at7399	0.63
1459at7399	0.64
1460at7399	0.49
1462at7399	0.21
1465at7399	0.25
1467at7399	0.18
1469at7399	0.32
1475at7399	0.43
1478at7399	0.55
1480at7399	0.185
1482at7399	0.7
1483at7399	0.62
1493at7399	0.25
1494at7399	0.595
1502at7399	0.6
1503at7399	0.26
1507at7399	0.41
1508at7399	0.42
1512at7399	0.25
1513at7399	0.26
1515at7399	0.85
1521at7399	0.73
1525at7399	0.45
1527at7399	0.34
1529at7399	0.43
1530at7399	0.37
1531at7399	0.42
1532at7399	0.18
1534at7399	0.77
1538at7399	0.55
1541at7399	0.15
1542at7399	0.27
1544at7399	0.42
1545at7399	0.05
1550at7399	0.65
1565at7399	0.52
1567at7399	0.37
1572at7399	0.58
1574at7399	0.48
1575at7399	0.9
1576at7399	0.38
1584at7399	0.73
1588at7399	0.26
1589at7399	0.61
1590at7399	0.52
1597at7399	0.18
1602at7399	0.47
1607at7399	0.42
1608at7399	0.59
1614at7399	0.4
1616at7399	0.73
1620at7399	0.92
1627at7399	0.68
1630at7399	0.64
1638at7399	0.67
1640at7399	0.66
1641at7399	0.73
1645at7399	0.53
1646at7399	0.59
1648at7399	0.08
1650at7399	0.42
1652at7399	0.68
1656at7399	0.69
1659at7399	0.48
1664at7399	0.74
1668at7399	0.64
1672at7399	0.74
1674at7399	0.42
1678at7399	0.17
1686at7399	0.1
1688at7399	0.81
1689at7399	0.56
1694at7399	0.58
1695at7399	0.66
1696at7399	0.21
1701at7399	0.42
1702at7399	0.87
1709at7399	0.6
1712at7399	0.28
1713at7399	0.51
1716at7399	0.65
1720at7399	0.69
1722at7399	0.63
1723at7399	0.42
1728at7399	0.42
1730at7399	0.54
1733at7399	0.49
1734at7399	0.35
1747at7399	0.48
1751at7399	0.565
1753at7399	0.39
1754at7399	0.15
1756at7399	0.5
1757at7399	0.69
1763at7399	0.41
1767at7399	0.33
1768at7399	0.4
1783at7399	0.22
1786at7399	0.095
1789at7399	0.33
1794at7399	0.12
1796at7399	0.26
1798at7399	0.86
1799at7399	0.16
1802at7399	0.46
1803at7399	0.19
1806at7399	0.68
1808at7399	0.71
1810at7399	0.31
1811at7399	0.37
1812at7399	0.88
1819at7399	0.95
1824at7399	0.63
1825at7399	0.35
1827at7399	0.49
1828at7399	0.61
1831at7399	0.13
1833at7399	0.66
1834at7399	0.45
1835at7399	0.58
1836at7399	0.49
1839at7399	0.63
1841at7399	0.65
1842at7399	0.57
1846at7399	0.35
1849at7399	0.32
1854at7399	0.5
1861at7399	0.23
1862at7399	0.53
1865at7399	0.59
1867at7399	0.4
1868at7399	0.56
1880at7399	0.25
1883at7399	0.43
1886at7399	0.47
1889at7399	0.52
1891at7399	0.555
1893at7399	0.17
1894at7399	0.27
1895at7399	0.39
1898at7399	0.38
1899at7399	0.385
1901at7399	0.67
1903at7399	0.64
1911at7399	0.36
1913at7399	0.44
1917at7399	0.39
1921at7399	0.67
1923at7399	0.45
1926at7399	0.25
1930at7399	0.28
1931at7399	0.36
1934at7399	0.53
1939at7399	0.6
1941at7399	0.39
1942at7399	0.65
1944at7399	0.65
1948at7399	0.63
1949at7399	0.28
1957at7399	0.38
1959at7399	0.8
1962at7399	0.34
1964at7399	0.39
1966at7399	0.06
1969at7399	0.43
1971at7399	0.56
1978at7399	0.55
1980at7399	0.19
1989at7399	0.28
1995at7399	0.74
1997at7399	0.53
1999at7399	0.25
2007at7399	0.24
2010at7399	0.64
2011at7399	0.81
2016at7399	0.32
2021at7399	0.54
2023at7399	0.94
2024at7399	0.14
2036at7399	0.41
2038at7399	0.61
2039at7399	0.57
2040at7399	0.46
2055at7399	0.48
2060at7399	0.53
2064at7399	0.23
2067at7399	0.35
2071at7399	0.37
2079at7399	0.17
2082at7399	0.47
2083at7399	0.4
2088at7399	0.7
2094at7399	0.42
2095at7399	0.56
2096at7399	0.57
2097at7399	0.56
2098at7399	0.48
2099at7399	0.59
2102at7399	0.21
2108at7399	0.53
2111at7399	0.34
2113at7399	0.73
2119at7399	0.7
2123at7399	0.26
2125at7399	0.59
2127at7399	0.395
2132at7399	0.44
2135at7399	0.44
2142at7399	0.48
2157at7399	0.3
2162at7399	0.45
2164at7399	0.61
2165at7399	0.36
2171at7399	0.55
2173at7399	0.59
2175at7399	0.5
2176at7399	0.45
2185at7399	0.6
2195at7399	0.39
2197at7399	0.53
2198at7399	0.61
2200at7399	0.47
2203at7399	0.33
2204at7399	0.62
2205at7399	0.33
2221at7399	0.18
2225at7399	0.15
2226at7399	0.4
2227at7399	0.38
2229at7399	0.61
2231at7399	0.47
2232at7399	0.4
2233at7399	0.4
2236at7399	0.19
2238at7399	0.69
2241at7399	0.17
2248at7399	0.64
2250at7399	0.51
2252at7399	0.33
2256at7399	0.37
2257at7399	0.28
2259at7399	0.47
2261at7399	0.28
2262at7399	0.65
2263at7399	0.68
2264at7399	0.23
2267at7399	0.31
2269at7399	0.56
2274at7399	0.47
2275at7399	0.21
2276at7399	0.69
2277at7399	0.4
2282at7399	0.25
2283at7399	0.32
2286at7399	0.71
2290at7399	0.38
2293at7399	0.29
2294at7399	0.24
2296at7399	0.17
2297at7399	0.71
2298at7399	0.65
2299at7399	0.59
2306at7399	0.42
2314at7399	0.5
2324at7399	0.38
2327at7399	0.63
2328at7399	0.42
2336at7399	0.46
2341at7399	0.59
2345at7399	0.69
2346at7399	0.56
2350at7399	0.58
2353at7399	0.35
2363at7399	0.22
2367at7399	0.12
2370at7399	0.36
2372at7399	0.52
2373at7399	0.38
2374at7399	0.7
2377at7399	0.76
2385at7399	0.47
2386at7399	0.5
2387at7399	0.59
2388at7399	0.82
2392at7399	0.6
2393at7399	0.43
2397at7399	0.49
2406at7399	0.27
2408at7399	0.63
2409at7399	0.25
2410at7399	0.34
2412at7399	0.53
2414at7399	0.84
2419at7399	0.48
2423at7399	0.63
2424at7399	0.4
2427at7399	0.56
2428at7399	0.4
2430at7399	0.41
2435at7399	0.15
2436at7399	0.19
2437at7399	0.40333333299999996
2441at7399	0.3
2444at7399	0.4
2453at7399	0.18
2458at7399	0.49
2460at7399	0.54
2461at7399	0.66
2463at7399	0.24
2468at7399	0.21
2474at7399	0.27
2476at7399	0.27
2477at7399	0.58
2480at7399	0.45
2482at7399	0.37
2484at7399	0.25
2489at7399	0.8
2491at7399	0.52
2497at7399	0.59
2499at7399	0.57
2500at7399	0.6
2504at7399	0.23
2511at7399	0.29
2513at7399	0.97
2517at7399	0.63
2518at7399	0.36
2525at7399	0.34
2526at7399	0.22
2527at7399	0.49
2530at7399	0.68
2535at7399	0.51
2536at7399	0.21
2540at7399	0.42
2543at7399	0.44
2548at7399	0.09
2549at7399	0.5
2553at7399	0.33
2554at7399	0.74
2555at7399	0.33
2556at7399	0.71
2560at7399	0.41
2561at7399	0.47
2562at7399	0.54
2564at7399	0.25
2569at7399	0.14
2570at7399	0.5
2571at7399	0.42
2572at7399	0.67
2573at7399	0.59
2574at7399	0.37
2578at7399	0.48
2582at7399	0.83
2583at7399	0.11
2587at7399	0.61
2588at7399	0.06
2590at7399	0.46
2592at7399	0.4
2593at7399	0.56
2601at7399	0.4
2605at7399	0.26
2607at7399	0.52
2609at7399	0.54
2614at7399	0.57
2617at7399	0.32
2619at7399	0.52
2623at7399	0.27
2624at7399	0.73
2625at7399	0.21
2626at7399	0.53
2629at7399	0.74
2630at7399	0.39
2634at7399	0.25
2638at7399	0.16
2641at7399	0.24
2645at7399	0.56
2646at7399	0.36
2649at7399	0.65
2651at7399	0.245
2653at7399	0.07
2655at7399	0.11
2656at7399	0.34
2659at7399	0.49
2660at7399	0.22
2663at7399	0.55
2668at7399	0.58
2671at7399	0.41
2672at7399	0.54
2674at7399	0.71
2675at7399	0.17
2676at7399	0.35
2677at7399	0.4
2678at7399	0.76
2681at7399	0.43
2682at7399	0.4
2683at7399	0.35
2684at7399	0.43
2687at7399	0.09
2690at7399	0.64
2693at7399	0.37
2694at7399	0.51
2702at7399	0.45
2707at7399	0.26
2713at7399	0.14
2715at7399	0.15
2717at7399	0.89
2719at7399	0.61
2720at7399	0.14
2723at7399	0.24
2727at7399	0.27
2732at7399	0.31
2734at7399	0.36
2740at7399	0.6
2741at7399	0.17
2746at7399	0.78
2748at7399	0.35
2753at7399	0.67
2767at7399	0.2
2770at7399	0.13
2775at7399	0.58
2778at7399	0.23
2779at7399	0.0
2780at7399	0.44
2785at7399	0.5
2789at7399	0.56
2790at7399	0.34
2791at7399	0.86
2796at7399	0.46
2801at7399	0.41
2802at7399	0.65
2809at7399	0.5
2810at7399	0.61
2819at7399	0.4
2821at7399	0.32
2826at7399	0.24
2827at7399	0.57
2829at7399	0.43
2830at7399	0.31
2836at7399	0.43
2845at7399	0.77
2848at7399	0.16
2851at7399	0.42
2853at7399	0.536666667
2858at7399	0.3
2870at7399	0.45
2873at7399	0.38
2874at7399	0.3
2876at7399	0.35
2885at7399	0.61
2886at7399	0.6
2890at7399	0.41
2891at7399	0.61
2892at7399	0.17
2893at7399	0.61
2895at7399	0.24
2897at7399	0.3
2900at7399	0.67
2908at7399	0.58
2914at7399	0.27
2916at7399	0.25
2920at7399	0.13
2922at7399	0.35
2925at7399	0.295
2927at7399	0.45
2932at7399	0.51
2936at7399	0.2
2940at7399	0.68
2941at7399	0.64
2943at7399	0.55
2948at7399	0.27
2949at7399	0.43
2957at7399	0.49
2970at7399	0.19
2972at7399	0.28
2975at7399	0.68
2976at7399	0.26
2978at7399	0.45
2980at7399	0.61
2983at7399	0.49
2984at7399	0.215
2986at7399	0.41
2987at7399	0.65
2988at7399	0.87
2995at7399	0.59
2996at7399	0.28
3005at7399	0.67
3010at7399	0.38
3022at7399	0.29
3028at7399	0.48
3032at7399	0.57
3034at7399	0.53
3041at7399	0.31
3042at7399	0.36
3043at7399	0.36
3047at7399	0.68
3051at7399	0.46
3053at7399	0.42
3065at7399	0.75
3070at7399	0.4
3071at7399	0.5
3073at7399	0.258
3074at7399	0.58
3083at7399	0.44
3085at7399	0.5
3086at7399	0.49
3088at7399	0.35
3089at7399	0.19
3090at7399	0.69
3091at7399	0.28
3094at7399	0.36
3098at7399	0.72
3104at7399	0.3
3110at7399	0.68
3111at7399	0.38
3121at7399	0.48
3122at7399	0.49
3123at7399	0.31
3124at7399	0.61
3127at7399	0.54
3128at7399	0.77
3130at7399	0.46
3132at7399	0.7
3133at7399	0.33
3134at7399	0.58
3144at7399	0.2
3149at7399	0.11
3150at7399	0.25
3152at7399	0.52
3155at7399	0.135
3157at7399	0.12
3158at7399	0.42
3163at7399	0.46
3165at7399	0.21
3166at7399	0.2
3167at7399	0.22
3170at7399	0.59
3171at7399	0.62
3172at7399	0.24
3174at7399	0.1
3177at7399	0.66
3179at7399	0.59
3184at7399	0.07
3185at7399	0.42
3186at7399	0.24
3187at7399	0.48
3202at7399	0.33
3212at7399	0.62
3216at7399	0.4
3219at7399	0.2
3223at7399	0.28
3225at7399	0.56
3228at7399	0.2
3233at7399	0.65
3237at7399	0.63
3242at7399	0.74
3243at7399	0.66
3244at7399	0.65
3257at7399	0.62
3258at7399	0.4
3272at7399	0.66
3274at7399	0.61
3277at7399	0.79
3280at7399	0.66
3281at7399	0.67
3284at7399	0.22
3286at7399	0.37
3290at7399	0.44
3302at7399	0.48
3303at7399	0.32
3304at7399	0.42
3305at7399	0.59
3306at7399	0.25
3311at7399	0.29
3321at7399	0.61
3324at7399	0.7
3326at7399	0.47
3332at7399	0.38
3337at7399	0.53
3338at7399	0.19
3345at7399	0.21
3349at7399	0.22
3353at7399	0.26
3354at7399	0.44
3356at7399	0.22
3359at7399	0.17
3360at7399	0.71
3362at7399	0.7
3365at7399	0.26
3375at7399	0.175
3377at7399	0.17
3384at7399	0.19
3385at7399	0.15
3390at7399	0.54
3399at7399	0.77
3402at7399	0.38
3404at7399	0.46
3410at7399	0.3
3411at7399	0.54
3414at7399	0.27
3415at7399	0.41
3421at7399	0.53
3422at7399	0.43
3423at7399	0.45
3429at7399	0.41
3430at7399	0.61
3437at7399	0.173333333
3441at7399	0.58
3449at7399	0.45
3452at7399	0.63
3453at7399	0.31
3455at7399	0.15
3461at7399	0.53
3467at7399	0.72
3468at7399	0.43
3469at7399	0.47
3471at7399	0.56
3473at7399	0.63
3484at7399	0.57
3486at7399	0.07
3488at7399	0.68
3503at7399	0.62
3504at7399	0.59
3507at7399	0.48
3509at7399	0.52
3516at7399	0.48
3519at7399	0.66
3522at7399	0.21
3523at7399	0.42
3529at7399	0.32
3531at7399	0.46
3537at7399	0.6
3538at7399	0.28
3546at7399	0.66
3547at7399	0.52
3549at7399	0.25
3551at7399	0.34
3553at7399	0.36
3562at7399	0.27
3564at7399	0.52
3567at7399	0.56
3572at7399	0.4
3575at7399	0.39
3578at7399	0.28
3579at7399	0.54
3582at7399	0.13
3586at7399	0.6
3592at7399	0.64
3597at7399	0.58
3602at7399	0.56
3606at7399	0.68
3612at7399	0.57
3614at7399	0.66
3616at7399	0.19
3617at7399	0.64
3618at7399	0.42
3624at7399	0.41
3627at7399	0.59
3630at7399	0.48
3631at7399	0.39
3633at7399	0.47
3635at7399	0.58
3643at7399	0.68
3644at7399	0.66
3645at7399	0.29
3646at7399	0.64
3648at7399	0.35
3651at7399	0.31
3654at7399	0.68
3656at7399	0.48
3660at7399	0.45
3668at7399	0.61
3669at7399	0.88
3670at7399	0.45
3674at7399	0.25
3677at7399	0.63
3678at7399	0.64
3679at7399	0.38
3681at7399	0.36
3682at7399	0.48
3687at7399	0.72
3692at7399	0.64
3698at7399	0.52
3707at7399	0.17
3712at7399	0.43
3713at7399	0.67
3718at7399	0.18
3720at7399	0.16
3721at7399	0.44
3727at7399	0.4
3729at7399	0.47
3733at7399	0.38
3735at7399	0.41
3736at7399	0.35
3739at7399	0.17
3742at7399	0.53
3743at7399	0.17
3746at7399	0.21
3750at7399	0.1
3754at7399	0.61
3756at7399	0.73
3763at7399	0.24
3767at7399	0.17
3768at7399	0.52
3773at7399	0.16
3776at7399	0.27
3777at7399	0.36
3780at7399	0.46
3793at7399	0.54
3794at7399	0.31
3798at7399	0.65
3803at7399	0.56
3804at7399	0.06
3807at7399	0.47
3810at7399	0.55
3817at7399	0.27
3819at7399	0.46
3829at7399	0.49
3831at7399	0.49
3832at7399	0.25
3838at7399	0.5
3839at7399	0.6
3843at7399	0.53
3845at7399	0.5
3848at7399	0.65
3853at7399	0.53
3858at7399	0.43
3859at7399	0.35
3860at7399	0.27
3862at7399	0.35
3867at7399	0.55
3873at7399	0.29
3874at7399	0.35
3877at7399	0.26
3879at7399	0.61
3883at7399	0.56
3887at7399	0.21
3894at7399	0.3
3899at7399	0.696666667
3900at7399	0.52
3903at7399	0.47
3904at7399	0.53
3906at7399	0.14
3908at7399	0.37
3914at7399	0.44
3921at7399	0.63
3928at7399	0.49
3930at7399	0.24
3938at7399	0.44
3945at7399	0.17
3949at7399	0.38
3952at7399	0.23
3955at7399	0.45
3957at7399	0.39
3960at7399	0.44
3966at7399	0.51
3972at7399	0.47
3973at7399	0.59
3974at7399	0.7
3978at7399	0.26
3984at7399	0.56
3985at7399	0.15
3990at7399	0.63
3995at7399	0.55
3999at7399	0.25
4002at7399	0.44
4007at7399	0.42
4008at7399	0.39
4011at7399	0.38
4012at7399	0.24
4014at7399	0.22
4017at7399	0.25
4022at7399	0.34
4024at7399	0.42
4025at7399	0.31
4026at7399	0.51
4028at7399	0.62
4039at7399	0.17
4044at7399	0.57
4048at7399	0.26
4052at7399	0.16
4056at7399	0.7
4060at7399	0.82
4066at7399	0.35
4068at7399	0.62
4069at7399	0.19
4070at7399	0.26
4075at7399	0.15
4076at7399	0.51
4079at7399	0.73
4080at7399	0.47
4082at7399	0.07
4083at7399	0.17
4087at7399	0.44
4089at7399	0.15
4091at7399	0.6
4094at7399	0.45
4095at7399	0.58
4098at7399	0.18
4099at7399	0.1
4102at7399	0.3
4104at7399	0.51
4105at7399	0.58
4109at7399	0.5
4110at7399	0.275
4111at7399	0.13
4114at7399	0.63
4116at7399	0.33
4117at7399	0.65
4118at7399	0.6
4120at7399	0.45
4121at7399	0.605
4122at7399	0.61
4132at7399	0.51
4135at7399	0.46
4143at7399	0.18
4144at7399	0.545
4145at7399	0.3
4147at7399	0.59
4149at7399	0.34
4150at7399	0.45
4155at7399	0.7
4160at7399	0.48
4171at7399	0.34
4176at7399	0.69
4178at7399	0.33
4179at7399	0.6
4185at7399	0.7
4186at7399	0.23
4192at7399	0.4
4193at7399	0.195
4198at7399	0.3
4199at7399	0.86
4202at7399	0.45333333299999995
4204at7399	0.58
4209at7399	0.4
4210at7399	0.22
4217at7399	0.54
4218at7399	0.35
4223at7399	0.42
4226at7399	0.22
4228at7399	0.58
4231at7399	0.6
4233at7399	0.64
4234at7399	0.24
4236at7399	0.58
4238at7399	0.68
4239at7399	0.69
4241at7399	0.24
4245at7399	0.21
4248at7399	0.74
4249at7399	0.24
4250at7399	0.59
4258at7399	0.16
4265at7399	0.73
4267at7399	0.1
4268at7399	0.73
4269at7399	0.46
4272at7399	0.18
4278at7399	0.36
4279at7399	0.46
4284at7399	0.39
4291at7399	0.49
4296at7399	0.54
4297at7399	0.3
4298at7399	0.39
4299at7399	0.18
4302at7399	0.57
4306at7399	0.36
4307at7399	0.21
4318at7399	0.36
4320at7399	0.34
4322at7399	0.43
4323at7399	0.34
4324at7399	0.19
4325at7399	0.59
4327at7399	0.33
4329at7399	0.36
4331at7399	0.29
4334at7399	0.31
4336at7399	0.2
4340at7399	0.35
4341at7399	0.2
4345at7399	0.56
4347at7399	0.34
4353at7399	0.5
4359at7399	0.33
4368at7399	0.67
4376at7399	0.39
4378at7399	0.2
4382at7399	0.41
4383at7399	0.47
4388at7399	0.07
4391at7399	0.31
4392at7399	0.49
4393at7399	0.29
4398at7399	0.54
4407at7399	0.59
4408at7399	0.14
4412at7399	0.83
4415at7399	0.57
4416at7399	0.27
4417at7399	0.415
4422at7399	0.49
4423at7399	0.78
4426at7399	0.47
4428at7399	0.31
4432at7399	0.56
4436at7399	0.48
4437at7399	0.57
4441at7399	0.37
4443at7399	0.72
4448at7399	0.25
4450at7399	0.25
4451at7399	0.26
4455at7399	0.48
4456at7399	0.05
4459at7399	0.24
4468at7399	0.1
4473at7399	0.24
4479at7399	0.54
4484at7399	0.66
4487at7399	0.22
4490at7399	0.19
4494at7399	0.4
4512at7399	0.66
4516at7399	0.47
4529at7399	0.67
4532at7399	0.25
4533at7399	0.68
4536at7399	0.06
4539at7399	0.255
4540at7399	0.45
4542at7399	0.57
4545at7399	0.1
4547at7399	0.31
4548at7399	0.7
4553at7399	0.3
4554at7399	0.57
4555at7399	0.26
4557at7399	0.55
4563at7399	0.65
4565at7399	0.37
4568at7399	0.78
4577at7399	0.5
4579at7399	0.39
4581at7399	0.76
4582at7399	0.65
4588at7399	0.46
4591at7399	0.63
4593at7399	0.65
4595at7399	0.67
4601at7399	0.68
4603at7399	0.38
4606at7399	0.56
4608at7399	0.38
4621at7399	0.62
4624at7399	0.44
4631at7399	0.5
4634at7399	0.25
4641at7399	0.73
4643at7399	0.18
4646at7399	0.71
4648at7399	0.26
4650at7399	0.41
4652at7399	0.26
4653at7399	0.67
4657at7399	0.53
4658at7399	0.39
4659at7399	0.51
4662at7399	0.32
4665at7399	0.43
4669at7399	0.33
