orthogroup	EVR
102293at6656	0.9238
102294at6656	0.8468
102296at6656	1.3347
102297at6656	0.94
102303at6656	1.3206
102307at6656	0.8519
102321at6656	0.8793
102323at6656	1.0978
102324at6656	0.9091
102327at6656	1.3578
102332at6656	0.9308
102334at6656	0.9117
102336at6656	0.7348
102338at6656	0.9255
10234at6656	1.2331
102366at6656	0.9229
102367at6656	1.2217
102368at6656	1.2122
102370at6656	1.914
102389at6656	1.1623
102396at6656	1.3545
102399at6656	1.0428
10239at6656	1.0336
102401at6656	1.4894
102404at6656	0.9646
102405at6656	1.3811
102407at6656	1.3242
102408at6656	1.1666
10240at6656	1.2449
102414at6656	0.9395
102423at6656	1.2752
102424at6656	1.2926
102432at6656	1.4644
102437at6656	0.9961
102439at6656	0.8765
102446at6656	0.9364
102461at6656	1.1224
102479at6656	1.8817
102488at6656	1.1525
102492at6656	1.0691
102496at6656	0.9959
102498at6656	1.0539
10249at6656	0.9798
102501at6656	1.1682
102504at6656	1.7905
102505at6656	0.7084
102507at6656	0.9925
102509at6656	1.1639
102513at6656	1.2027
102516at6656	1.1515
102530at6656	1.4944
102531at6656	1.4802
102532at6656	1.196
102533at6656	1.9129
102543at6656	1.1964
102551at6656	1.1625
102562at6656	1.2596
102575at6656	1.3621
102600at6656	1.0492
102611at6656	1.1355
102614at6656	0.8323
102617at6656	1.2379
102618at6656	1.3397
102619at6656	1.4378
102628at6656	1.5327
102631at6656	1.0853
102638at6656	0.9758
102641at6656	0.9019
102642at6656	1.0791
102643at6656	1.106
102651at6656	1.2429
10265at6656	1.5112
102661at6656	1.4148
102663at6656	1.2487
102664at6656	1.6166
102669at6656	1.2062
102687at6656	0.9358
102688at6656	1.2948
102690at6656	1.5176
102701at6656	1.574
102702at6656	1.0187
102704at6656	1.001
102705at6656	1.3286
102706at6656	1.1179
102707at6656	1.5722
102709at6656	0.8912
102710at6656	1.5827
102711at6656	1.0683
102714at6656	1.3972
102717at6656	0.9949
102719at6656	1.7161
102722at6656	1.759
102723at6656	1.227
102725at6656	1.755
102728at6656	0.874
102731at6656	2.1695
102732at6656	1.1007
102733at6656	1.5365
102735at6656	1.1459
102736at6656	0.9582
102737at6656	1.4663
102739at6656	1.7414
102740at6656	0.6913
102760at6656	1.2076
102770at6656	0.636
102779at6656	1.044
10278at6656	1.5385
102790at6656	1.3383
102802at6656	1.0902
102811at6656	0.9634
102812at6656	1.0987
102819at6656	1.4272
102825at6656	1.4891
102827at6656	1.1452
102831at6656	1.5479
102832at6656	1.7022
102838at6656	0.9947
102840at6656	1.4202
102847at6656	1.3279
102875at6656	1.4791
10288at6656	1.2258
102899at6656	0.7026
102914at6656	0.9331
102915at6656	1.4206
102917at6656	1.1425
10291at6656	1.0217
102941at6656	1.1313
102942at6656	1.1037
102943at6656	0.7831
102946at6656	1.025
102950at6656	0.8051
102951at6656	1.2788
102952at6656	0.7766
102956at6656	1.318
102970at6656	0.6966
102977at6656	0.9918
102983at6656	1.2033
102988at6656	1.1432
102990at6656	1.0153
102991at6656	0.8854
102995at6656	0.856
103005at6656	1.3675
103006at6656	1.2337
103008at6656	1.1574
103010at6656	1.7501
103013at6656	1.4732
103014at6656	0.8422
103016at6656	0.9938
103020at6656	1.385
103021at6656	0.9482
103025at6656	1.2559
103026at6656	1.0336
103029at6656	0.9234
103038at6656	0.9827
103043at6656	1.574
103046at6656	1.2811
103048at6656	0.9678
103055at6656	1.6564
103056at6656	1.6349
103057at6656	1.5436
103060at6656	0.631
103069at6656	1.0523
103072at6656	0.7695
103078at6656	0.6872
10307at6656	0.9612
103085at6656	1.0915
103095at6656	1.2817
103097at6656	0.7636
103107at6656	1.5533
103109at6656	1.4494
103112at6656	1.0162
103120at6656	1.7487
103125at6656	1.0377
103135at6656	1.1344
103136at6656	1.454
103140at6656	1.8613
103144at6656	1.0547
103151at6656	1.7654
103153at6656	0.7645
103160at6656	0.9096
103161at6656	1.0847
103166at6656	1.5057
103169at6656	0.7931
10318at6656	1.2269
103203at6656	0.9455
103207at6656	0.7641
10320at6656	1.1451
103214at6656	1.0332
103225at6656	0.8523
103235at6656	0.9165
103242at6656	1.3103
103259at6656	1.4339
103260at6656	0.6996
103271at6656	0.9265
103273at6656	1.1265
103276at6656	1.3349
103278at6656	0.8132
103280at6656	0.8302
103286at6656	1.7294
103293at6656	1.1744
103301at6656	1.1014
10330at6656	1.3786
103314at6656	0.9612
103315at6656	1.2303
103318at6656	1.2871
103331at6656	1.2016
103333at6656	0.9422
103360at6656	1.5576
103365at6656	1.1925
103366at6656	1.0848
103372at6656	1.8495
103376at6656	0.8113
103383at6656	0.8593
103389at6656	1.4643
103393at6656	1.3264
103394at6656	1.3036
103399at6656	0.8589
103412at6656	1.0627
103422at6656	1.0641
103424at6656	1.2487
103429at6656	1.2058
10342at6656	1.145
103431at6656	1.195
103433at6656	1.3289
103434at6656	1.1142
103435at6656	1.0606
103437at6656	1.7862
103438at6656	1.8229
103439at6656	1.3625
10343at6656	1.2055
103440at6656	1.8725
103441at6656	1.7646
103442at6656	0.89
103443at6656	1.2224
103460at6656	1.2008
103470at6656	1.0036
103478at6656	1.0484
103479at6656	0.9618
103483at6656	0.8114
103486at6656	1.221
103487at6656	1.2486
103493at6656	1.1363
103507at6656	1.1287
103524at6656	1.6029
103537at6656	1.0036
103546at6656	1.7321
10354at6656	2.1462
103554at6656	1.3848
103558at6656	0.8223
103565at6656	1.0178
103567at6656	1.0105
103580at6656	1.6124
103584at6656	0.8609
103587at6656	1.4252
103588at6656	1.2112
103590at6656	1.4006
103597at6656	1.3213
103598at6656	1.3942
103600at6656	1.2112
103601at6656	0.7427
103602at6656	1.5026
103609at6656	0.9753
103626at6656	1.2074
103631at6656	0.8134
103637at6656	1.4023
103638at6656	1.1227
103641at6656	1.2062
103650at6656	1.2447
103653at6656	1.2567
103659at6656	0.9057
103660at6656	1.3209
103663at6656	1.0738
10367at6656	1.078
103680at6656	1.1638
103682at6656	1.0188
103684at6656	1.3074
103691at6656	1.5445
103700at6656	1.0367
103707at6656	1.7878
103722at6656	1.0666
103723at6656	0.9175
103724at6656	1.5569
103726at6656	1.3644
103727at6656	0.9177
103728at6656	1.0014
103731at6656	2.0749
103737at6656	1.0371
103740at6656	0.9386
103747at6656	1.441
103749at6656	1.1582
103752at6656	0.9899
103754at6656	1.3675
103755at6656	1.1604
103762at6656	1.0907
103767at6656	1.2776
103768at6656	1.5166
103769at6656	1.1264
103773at6656	1.0097
103775at6656	1.3818
103777at6656	1.188
103780at6656	0.9903
103781at6656	0.8298
103782at6656	1.2281
103784at6656	1.8501
103788at6656	1.4676
103790at6656	0.8016
103791at6656	1.6171
103811at6656	0.9374
103828at6656	1.1393
103843at6656	1.3631
103852at6656	1.1867
103861at6656	1.6587
103873at6656	1.1856
103879at6656	0.9256
103880at6656	1.1807
103881at6656	0.7264
103886at6656	0.8509
103890at6656	1.0947
103907at6656	0.804
103908at6656	0.8753
103911at6656	1.0757
103912at6656	1.3953
103914at6656	1.054
103917at6656	1.5922
103920at6656	1.483
103926at6656	1.4419
103935at6656	1.1926
103940at6656	1.1239
103942at6656	1.1832
103944at6656	1.4245
103948at6656	1.6463
103962at6656	1.7146
103966at6656	1.2294
103970at6656	1.5041
103972at6656	1.2391
103973at6656	1.483
103975at6656	1.3115
103976at6656	1.486
103977at6656	0.9236
103980at6656	1.3834
103987at6656	1.5725
103990at6656	1.4018
103991at6656	0.9159
103992at6656	0.9257
103993at6656	1.177
103994at6656	1.9285
103996at6656	1.3328
103997at6656	1.1997
104004at6656	1.2534
10400at6656	0.975
104037at6656	0.9887
104041at6656	1.197
104055at6656	1.3313
104056at6656	1.0949
104063at6656	1.0548
104067at6656	1.0996
104069at6656	1.3343
104071at6656	1.0912
104072at6656	0.9418
104074at6656	1.4998
10408at6656	1.2061
104091at6656	0.8785
104092at6656	1.0173
104094at6656	1.5445
104099at6656	0.8286
104103at6656	0.9662
104110at6656	1.0002
104116at6656	0.8624
104122at6656	0.914
104128at6656	1.4739
104149at6656	0.9628
104158at6656	0.7012
104165at6656	1.2292
104169at6656	1.5718
104170at6656	0.9635
104171at6656	1.4229
104183at6656	1.113
104198at6656	0.9035
104221at6656	1.0047
104223at6656	1.5898
104235at6656	1.334
104239at6656	1.3252
104245at6656	1.4963
104248at6656	0.7969
104249at6656	1.42
104251at6656	1.9286
104253at6656	1.0145
104267at6656	1.1837
104270at6656	1.5098
104273at6656	0.8114
104276at6656	1.4652
104278at6656	1.2622
104280at6656	1.8934
104282at6656	1.055
104283at6656	1.1768
104285at6656	1.0433
104286at6656	0.8986
104290at6656	1.3002
104294at6656	2.2464
104295at6656	0.9428
10429at6656	1.0664
104302at6656	1.0651
104303at6656	1.1119
104304at6656	0.9352
104305at6656	1.2188
104306at6656	1.6433
104308at6656	1.198
104310at6656	1.356
104311at6656	1.1916
104312at6656	0.9065
104313at6656	1.0899
104314at6656	1.183
104315at6656	1.1102
104320at6656	0.997
104321at6656	0.8847
104322at6656	1.3043
104323at6656	1.4294
104324at6656	1.5255
104380at6656	1.6087
104383at6656	1.1025
104386at6656	1.3132
104410at6656	0.8518
104411at6656	0.7539
104420at6656	0.8782
104438at6656	1.2466
104444at6656	1.2302
104450at6656	1.0931
104460at6656	1.4506
104466at6656	0.8125
104469at6656	1.4345
104470at6656	1.1154
104476at6656	1.3396
104477at6656	0.9404
104480at6656	1.1411
104484at6656	1.3358
104488at6656	1.6129
10448at6656	0.9758
104494at6656	1.4902
104496at6656	0.9649
104498at6656	1.888
104500at6656	1.5989
104501at6656	1.0823
104505at6656	1.08
104508at6656	1.0513
104509at6656	1.0586
104510at6656	1.2767
104517at6656	1.294
104518at6656	0.979
104521at6656	1.3692
104522at6656	1.9205
104526at6656	1.2243
104529at6656	1.6969
10452at6656	1.2453
104530at6656	1.6764
104569at6656	1.2966
104571at6656	0.8425
104572at6656	0.8551
104583at6656	1.0058
104584at6656	0.6939
104588at6656	1.0693
104595at6656	1.3258
104601at6656	0.6671
104604at6656	1.054
104606at6656	1.2269
104614at6656	1.3478
104617at6656	1.8642
104623at6656	0.8942
104635at6656	1.0694
104639at6656	1.2488
104643at6656	1.1281
104647at6656	1.2541
104649at6656	1.1213
104650at6656	1.1342
104657at6656	1.0511
104662at6656	1.2389
104674at6656	1.3381
104681at6656	0.6415
104684at6656	1.4658
104689at6656	1.0364
104696at6656	1.273
10469at6656	1.4315
104701at6656	1.0475
104707at6656	1.6485
104712at6656	1.1325
104719at6656	1.2511
104722at6656	1.5429
104724at6656	1.0588
104725at6656	1.4243
10472at6656	1.4295
104732at6656	1.5186
104733at6656	1.2961
104744at6656	1.0547
10474at6656	1.1065
104759at6656	1.2569
104760at6656	0.9888
104764at6656	1.5085
104765at6656	1.6822
104767at6656	1.4412
104768at6656	1.2612
104769at6656	1.341
104770at6656	1.225
104786at6656	1.3724
104788at6656	0.9184
104790at6656	1.0625
104791at6656	1.6154
104793at6656	1.0906
104796at6656	1.1776
104805at6656	1.3475
104807at6656	0.7496
104808at6656	1.266
10480at6656	1.1459
104816at6656	1.5914
104817at6656	1.7406
10481at6656	1.6773
104820at6656	1.4449
104823at6656	1.2898
104825at6656	1.7326
104826at6656	1.5579
104828at6656	1.7148
104829at6656	1.2507
104830at6656	1.1791
104833at6656	1.2074
104834at6656	0.8578
104848at6656	0.9564
104855at6656	0.9711
10485at6656	1.0568
104864at6656	0.8918
104878at6656	0.885
104898at6656	1.207
104919at6656	0.8992
104927at6656	1.2289
104928at6656	0.9697
104930at6656	1.3365
104935at6656	0.9539
104943at6656	0.8913
104948at6656	1.64
104954at6656	1.381
104959at6656	1.3744
104970at6656	1.5921
104976at6656	1.3586
104980at6656	1.0588
104981at6656	1.6125
104982at6656	1.6159
104984at6656	1.0559
104985at6656	1.8683
10498at6656	1.0196
104994at6656	0.7468
105000at6656	1.1879
105002at6656	0.91
105016at6656	0.842
10501at6656	1.1453
105030at6656	0.8189
105034at6656	0.7485
105041at6656	1.5221
105050at6656	0.98
105055at6656	1.1057
105066at6656	1.333
105072at6656	1.2544
105081at6656	1.1086
105084at6656	1.1419
10508at6656	0.8648
105091at6656	1.0115
105092at6656	1.2017
105093at6656	1.2474
105099at6656	1.2059
105100at6656	1.1471
105103at6656	1.4086
105105at6656	1.4585
105110at6656	1.0859
105112at6656	1.0495
105114at6656	1.173
105115at6656	1.2175
105116at6656	0.9883
105117at6656	1.3153
10511at6656	1.0159
105122at6656	1.5515
105134at6656	1.3621
105136at6656	0.911
105141at6656	1.3107
105144at6656	1.2435
105145at6656	1.0033
10514at6656	0.8938
105155at6656	0.7998
105159at6656	1.0575
105164at6656	1.0921
105170at6656	1.1426
105171at6656	1.0243
105174at6656	0.7779
105181at6656	0.9492
105182at6656	1.609
105183at6656	1.1216
105184at6656	1.3546
105192at6656	1.0033
105193at6656	1.0976
105194at6656	1.0691
105196at6656	1.1868
105201at6656	0.7354
105205at6656	1.9679
105209at6656	1.3076
10520at6656	1.1107
105210at6656	0.8065
105211at6656	1.0323
105212at6656	1.3877
105217at6656	0.6844
105224at6656	0.8346
105232at6656	1.0557
105236at6656	0.9483
105242at6656	1.5463
105244at6656	0.8542
105248at6656	1.2976
105249at6656	1.3376
105252at6656	1.0832
105253at6656	1.2417
105258at6656	0.6859
105262at6656	1.825
105264at6656	1.0674
105265at6656	0.8658
105266at6656	0.8086
105271at6656	1.111
105274at6656	1.2423
105278at6656	1.5355
105279at6656	1.7764
105280at6656	0.8436
105281at6656	1.1636
105287at6656	1.5823
105291at6656	1.2485
105292at6656	1.365
105296at6656	0.9097
105297at6656	1.9399
105298at6656	1.335
105300at6656	1.2875
105301at6656	1.1252
105312at6656	0.9338
10531at6656	0.9558
10532at6656	1.2539
105348at6656	0.6979
105354at6656	0.9174
105364at6656	1.0007
105366at6656	1.3348
105373at6656	1.2345
105377at6656	1.037
105380at6656	1.3246
105386at6656	1.4138
105390at6656	1.0689
105411at6656	0.7865
105419at6656	1.319
105424at6656	1.13
105430at6656	0.9327
105433at6656	1.3558
105435at6656	1.2916
105442at6656	1.9175
105445at6656	0.92
105446at6656	0.9892
105448at6656	1.6671
105452at6656	1.1061
105455at6656	1.5494
105457at6656	1.3564
105458at6656	1.199
105462at6656	1.5998
105469at6656	1.8037
105472at6656	1.0107
105473at6656	1.0484
105474at6656	1.351
105477at6656	0.6974
105479at6656	1.7787
105480at6656	1.6405
105482at6656	1.689
105483at6656	1.1499
105484at6656	1.2116
105488at6656	1.0231
105489at6656	1.3876
1054at6656	1.1717
105504at6656	1.0743
105519at6656	1.3395
105520at6656	0.967
105524at6656	1.1013
105555at6656	1.3035
105557at6656	1.437
10556at6656	0.9897
105571at6656	0.7605
105576at6656	1.3217
105578at6656	0.5909
105583at6656	0.9998
105585at6656	1.2992
105595at6656	1.7111
105612at6656	0.926
105616at6656	0.926
10561at6656	1.6344
105623at6656	1.3753
105628at6656	0.6147
105639at6656	0.9287
105640at6656	0.9776
105649at6656	1.8077
105655at6656	1.3214
10565at6656	1.2437
105660at6656	0.9211
105661at6656	1.6339
105662at6656	1.1755
105668at6656	0.7404
10566at6656	1.2772
105670at6656	1.3202
105675at6656	1.4217
105676at6656	1.0788
105682at6656	0.6405
105684at6656	1.0272
105687at6656	0.825
105688at6656	1.1527
105704at6656	1.2664
105705at6656	0.9606
105707at6656	1.0007
105710at6656	1.4415
105713at6656	0.8735
10572at6656	1.2124
105731at6656	1.1916
10573at6656	1.3986
105740at6656	0.9979
105744at6656	1.0163
105746at6656	1.3334
105758at6656	1.6224
105761at6656	1.5898
105763at6656	1.1277
105764at6656	0.8746
105766at6656	1.0525
105768at6656	0.9225
105771at6656	1.2884
105772at6656	0.8277
105775at6656	1.2352
105779at6656	0.901
105783at6656	0.9207
105785at6656	1.1625
105787at6656	0.9296
105795at6656	1.5492
10579at6656	1.2732
105805at6656	1.2548
105807at6656	1.5367
105812at6656	1.5127
105815at6656	0.8831
105817at6656	1.9405
105824at6656	1.0029
105827at6656	1.0322
105828at6656	0.9524
10582at6656	1.4722
105830at6656	1.1887
105831at6656	1.9744
105834at6656	1.585
105837at6656	1.6557
10584at6656	1.2573
105850at6656	0.6443
10586at6656	1.5307
105871at6656	1.2398
105879at6656	1.1412
105881at6656	1.2832
105884at6656	1.3021
105886at6656	1.2161
105887at6656	1.2719
105889at6656	0.9078
105890at6656	1.2918
105893at6656	1.1129
105897at6656	1.2183
105906at6656	1.0949
105913at6656	1.0148
105914at6656	0.8531
105915at6656	1.2718
105916at6656	0.8332
105921at6656	1.5817
105932at6656	0.8441
105940at6656	1.228
105942at6656	1.2927
105945at6656	1.298
105954at6656	0.9601
105955at6656	1.2068
105956at6656	1.462
105957at6656	1.2141
105958at6656	1.4068
10595at6656	0.971
105961at6656	1.5953
105962at6656	1.5968
105964at6656	1.599
105965at6656	1.897
105967at6656	1.2166
105974at6656	0.8758
105981at6656	1.0708
105985at6656	1.1367
106004at6656	1.1963
106009at6656	1.4669
106011at6656	1.2622
106016at6656	0.6365
106023at6656	1.4905
106035at6656	1.0931
106037at6656	0.7928
106055at6656	0.8245
106058at6656	1.172
106062at6656	1.3439
106065at6656	1.211
106067at6656	1.1543
106074at6656	1.3815
106080at6656	1.1181
10608at6656	1.5884
106092at6656	1.174
106097at6656	1.3314
106099at6656	1.5221
106104at6656	1.334
106109at6656	0.8847
106110at6656	0.9811
106111at6656	1.2823
106113at6656	1.1929
106115at6656	0.9337
106116at6656	0.9145
106121at6656	1.1678
106122at6656	1.4521
106125at6656	1.1606
106126at6656	0.9219
106131at6656	1.4522
106141at6656	0.7785
106142at6656	1.1156
106147at6656	0.805
10614at6656	1.3707
106151at6656	1.2459
106166at6656	1.4967
106176at6656	1.2096
106190at6656	1.1134
106197at6656	1.0153
