gene	LCA
GB42728	16
GB43462	16
GB48789	16
GB54177	16
GB55480,GB51897	16
GB50357	16
GB44341	16
GB47308	16
GB47829	16
GB46332	16
GB52472	16
GB49428	16
GB44092,GB47528	16
GB51255	16
GB48203	16
GB51036	16
GB43631	16
GB48994	16
GB51207	16
GB40689	16
GB52537	16
GB47680	16
GB40703	16
GB47118	16
GB53149	16
GB51596	16
GB44899	16
GB51660	16
GB43796	16
GB48204,GB48204	16
GB42984	16
GB46126	16
GB52536	16
GB52759	16
GB40452	16
GB48305	16
GB54288	16
GB40440	16
GB44210	14
GB44196	16
GB51019	16
GB50482	16
GB42246	16
GB51481	16
GB52650	16
GB51734	16
GB51542,GB51542	16
GB53064	16
GB54031	16
GB47459	16
GB40678	16
GB53787	16
GB50807	16
GB43718	16
GB46618	16
GB47808	16
GB42921	16
GB54939	16
GB49511	16
GB54998	16
GB51512	16
GB41803	16
GB45348	16
GB54477	16
GB44193	16
GB55911	16
GB54230	16
GB45612	16
GB51113,GB51113	16
GB45982	16
GB45114	16
GB42016	16
GB45373	16
GB46526,GB42007	16
GB55059	16
GB51692	16
GB52975	16
GB48556	16
GB40567	16
GB49517	16
GB55917	16
GB53133	16
GB44703	16
GB46925	16
GB42866	16
GB50406	16
GB44862,GB44862,GB44862	16
GB45530	16
GB48137	16
GB41888	16
GB50508,GB48687,GB50508	16
GB41052	16
GB41454	16
GB44305	16
GB49977	16
GB43158	16
GB47113	16
GB52280	16
GB42740	16
GB43077	16
GB52321	16
GB42496	16
GB50749	16
GB42804	16
GB40206	16
GB51041	16
GB42244	16
GB43978	16
GB41149,GB41149	16
GB53611	16
GB47568,GB42394	16
GB55457	16
GB49541	16
GB52192	14
GB52993	16
GB50593,GB50593,GB50593	16
GB45135,GB45135	16
GB43080	16
GB55764	16
GB48403,GB47348	16
GB53205	16
GB45259	16
GB47476	16
GB40134,GB40132,GB40132	16
GB41983	16
GB46045	16
GB55425	16
GB44523	16
GB54852	16
GB50286	16
GB43446	16
GB45472	16
GB52426	16
GB55495	16
GB41746	16
GB53145,GB53145	16
GB47422	16
GB44252	16
GB43743	16
GB48932	16
GB49730	16
GB43140	16
GB40350	16
GB49373	16
GB53821	16
GB52346	16
GB52417	16
GB51246	16
GB42762	16
GB43369	16
GB41681	16
GB45512	16
GB46478	16
GB52779	16
GB52708	16
GB43497	16
GB50219	16
GB42875	16
GB46689	16
GB55022	16
GB55574	16
GB41449	16
GB52907	16
GB42062	16
GB49045	16
GB50974	16
GB41893	16
GB51381	16
GB44759	16
GB53140,GB53140	16
GB45064	16
GB50295	16
GB46613	16
GB40880	16
GB47351	16
GB55822	16
GB43137	16
GB49933	16
GB44021	16
GB50113	16
GB55142	16
GB42455,GB42455	16
GB52189	16
GB55995	16
GB51985	16
GB47271	16
GB52661	16
GB51515	16
GB41177	16
GB52436	16
GB49644	16
GB44198	16
GB55904	16
GB50700	16
GB52435	16
GB51502,GB43039	16
GB55540	16
GB54805	16
GB44359	16
GB43203	16
GB43480	16
GB53388	16
GB50400	16
GB53670	16
GB42979,GB42979	16
GB43238	16
GB51792	16
GB53725	16
GB44532	16
GB47368	16
GB54534	16
GB43662	16
GB51399	16
GB42423	16
GB43935	16
GB41909	16
GB41596	16
GB47449	16
GB46490	16
GB53852	16
GB51895	16
GB55461	16
GB44416	16
GB47572	16
GB53970	16
GB47812	16
GB41714	16
GB54798	16
GB41747	16
GB47036,GB47036	16
GB52079	16
GB47807	16
GB50184	16
GB45724	16
GB41366	16
GB52563	16
GB44884	16
GB55787	16
GB54287	16
GB47179	16
GB53012	16
GB45937	16
GB53979	16
GB42616	15
GB40361	16
GB54910	16
GB51965	16
GB43839,GB43839	16
GB42646	16
GB54668,GB54668	16
GB45417	16
GB49111	16
GB43404,GB50225	16
GB41839	16
GB46242	16
GB49544	16
GB48113,GB48114	16
GB43456	16
GB52266	16
GB42751	16
GB53937	16
GB43216	15
GB42739	16
GB48775	16
GB54158	16
GB49859	16
GB55426	16
GB52947	16
GB45755	16
GB42735	16
GB47242	16
GB46599	16
GB50195	16
GB48625	16
GB52109	16
GB50635	16
GB49931	16
GB50660	16
GB48483	16
GB55378	16
GB49995	16
GB48523	16
GB42670	16
GB48639	16
GB40204	16
GB44808	16
GB54551,GB54502	16
GB42058	16
GB45905	16
GB44117	16
GB45881	16
GB45690	16
GB52457	16
GB48530	16
GB48399,GB42391	16
GB49197,GB49197	16
GB50345	16
GB43730	16
GB44650	16
GB47231	16
GB52589	16
GB44754	16
GB53284	16
GB53353	16
GB49388	16
GB49096	16
GB55658	16
GB40859	16
GB52541	16
GB55641,GB45533	16
GB40033	16
GB50395	16
GB42066	16
GB49844	16
GB41174	16
GB55751	16
GB47683	16
GB40280	16
GB40878	16
GB55002	16
GB51706	16
GB49921	16
GB44594	16
GB50204	16
GB54425	16
GB44933	16
GB54593	16
GB41507	16
GB51273	16
GB51852	16
GB43909	16
GB45970	15
GB42683,GB52566	16
GB51775	16
GB44330	16
GB45277	16
GB47414	16
GB48117	16
GB55225	16
GB54995	16
GB54893	16
GB41919,GB41921	16
GB40581,GB40581	16
GB51219	16
GB45442	16
GB44429	16
GB47138	16
GB51133	16
GB42967	16
GB50959	16
GB51544	16
GB40603	16
GB51511,GB51511	16
GB48426	16
GB48396	16
GB46691	16
GB42220	16
GB54700	16
GB53083	16
GB51953	16
GB49406	16
GB53690	16
GB44912	16
GB51612	16
GB50141	16
GB53073	16
GB41723	15
GB52328	16
GB55820	16
GB46016	16
GB43407	16
GB43945	16
GB52916	16
GB45968	16
GB48247	16
GB41900	16
GB43074	16
GB45623	16
GB54273	16
GB47961,GB41597	16
GB47437	16
GB51134	16
GB49642	16
GB42756	16
GB53963,GB50291	16
GB44414	16
GB53825	16
GB55715	16
GB54378	16
GB43239	16
GB55775	16
GB45212	16
GB54348	16
GB53306	16
GB55146	16
GB49438,GB49438	16
GB55826	16
GB44890	16
GB45762	16
GB54649	16
GB51748	16
GB53231	16
GB54780	16
GB54127	16
GB54921,GB54921	16
GB43465,GB41957	16
GB55770	16
GB48158	16
GB48463	16
GB51696	16
GB46731	16
GB45370	16
GB52304	16
GB46018	16
GB54119	16
GB43470	16
GB53865,GB53865,GB53865	16
GB53651	16
GB50246	16
GB45564	16
GB40657	16
GB47280	16
GB54269	16
GB48229	16
GB55578	16
GB44174	16
GB54885	16
GB42076	14
GB49290	16
GB40316	16
GB42925	16
GB45967	16
GB51702	16
GB43817	16
GB50133	16
GB52224	16
GB48347	16
GB55567	16
GB55579	16
GB55239	16
GB40803	16
GB45646	16
GB40893	16
GB53657	16
GB48923	16
GB42731	16
GB44648,GB44647	16
GB51120	16
GB45214	16
GB44881	16
GB45084	16
GB55244	16
GB54035	16
GB54213	16
GB50359	16
GB53606	16
GB50369	16
GB54664	16
GB44000	16
GB42977	16
GB41345	16
GB49680	16
GB51693	16
GB49480,GB49480	16
GB46693	16
GB50538	16
GB53122,GB53118,GB49568	16
GB43908	16
GB52086	16
GB54143,GB54143	16
GB41883	16
GB40420	16
GB51500	16
GB42401	16
GB54313	16
GB50605,GB50606	15
GB46982	16
GB52165	16
GB45001	16
GB49755	16
GB55272	16
GB49184	16
GB42138	16
GB40823	16
GB51130	16
GB40014	16
GB55164	16
GB53384	16
GB50997	16
GB44247	16
GB42619	16
GB48949	16
GB52249	16
GB42505	16
GB50224,GB50224	16
GB41423	16
GB55746	16
GB42054,GB42054	16
GB54206	16
GB51242	16
GB47208	16
GB44906	16
GB55913	16
GB42200	16
GB45958	16
GB42763	16
GB52567	16
GB50958	16
GB54198	16
GB40400	16
GB47428	16
GB53243	16
GB42773	16
GB40627	16
GB53396	16
GB48097	16
GB50415	16
GB55790	16
GB40310	16
GB46457	16
GB53089	16
GB51159	16
GB51348,GB51348	16
GB40017	16
GB55847	16
GB42844	16
GB55411	16
GB45479	16
GB53791,GB53791	16
GB43463	16
GB43093	16
GB48074	16
GB44885	16
GB53173	16
GB50743	16
GB44321	16
GB54053	16
GB55573	16
GB54216	16
GB45284	16
GB46739	16
GB48474	16
GB54225,GB54226,GB54226	16
GB41855	16
GB43881	16
GB52989	16
GB45873	16
GB44537	16
GB44067	16
GB49223	16
GB54389	16
GB46212	16
GB54625	16
GB43567	16
GB41424	16
GB55188	16
GB43685	16
GB51717	16
GB43556	16
GB44027	14
GB44433	16
GB41122	16
GB49320	16
GB52106	16
GB49325	16
GB54582	16
GB53740	16
GB46800	16
GB42325	16
GB41608	16
GB54751	16
GB54600	16
GB55618	16
GB44155	16
GB42352	16
GB43314	16
GB45156	16
GB52673	16
GB48261	16
GB49391	16
GB40676	16
GB41450	16
GB54592	16
GB50669	15
GB47894	16
GB45292	16
GB41601	16
GB41680	16
GB54176	16
GB48946	16
GB50419	16
GB52618	16
GB49800	16
GB51641	16
GB49419	16
GB48263	16
GB43163	16
GB51189	16
GB42201	16
GB41592	16
GB40774	16
GB51745	16
GB45388,GB51874	16
GB44709	16
GB44535	16
GB41356	16
GB55793,GB55793	16
GB40100	16
GB52453	16
GB42853	16
GB43276	16
GB50789	16
GB45360	16
GB53011	16
GB55854	16
GB41278,GB49900	16
GB50283,GB50283	16
GB51210	16
GB45355	16
GB49126	16
GB45138	16
GB42847,GB48093	16
GB41875	16
GB42894,GB42894	16
GB40203	16
GB52679	16
GB55907	16
GB48571	16
GB46301	16
GB53021	16
GB54609	16
GB40598	16
GB41226	16
GB40507	15
GB52432,GB54695	16
GB51355	16
GB40515	16
GB46251	16
GB48162	16
GB44510	16
GB40740	16
GB40540	16
GB55700	16
GB44481	16
GB48375	16
GB46487	16
GB47339	16
GB43189	16
GB43899	16
GB40818	16
GB48925	16
GB50971	16
GB41783	16
GB49150	16
GB53989	16
GB42548	16
GB47195	16
GB51940	16
GB48551	16
GB54843	16
GB51763	16
GB46271	16
GB44263	16
GB41378	16
GB48997	16
GB41629	16
GB55627	16
GB54680	16
GB54114	16
GB40263	16
GB41835	16
GB42579	16
GB55723	16
GB46886	16
GB42222	16
GB55973	16
GB43198	16
GB46262,GB46260,GB46262	16
GB53737	16
GB50171	16
GB52849	16
GB44029	16
GB41297	16
GB45195	16
GB55644	16
GB44758	16
GB55801	16
GB51422	16
GB54909	16
GB45142	16
GB55008,GB49845	16
GB44643	16
GB40845	16
GB42150	16
GB43857	16
GB41193	16
GB52171	16
GB42869,GB50987	16
GB55652	16
GB53974	16
GB55714	16
GB54263	16
GB41038	16
GB49426	16
GB43786	16
GB45694	16
GB47182	16
GB47632	16
GB43562	16
GB41869	16
GB43722	16
GB45229	16
GB41810	16
GB48101	16
GB47625,GB42004	16
GB47596,GB47596	16
GB44743	16
GB55352	16
GB50814	16
GB40025	16
GB44779	16
GB46362	16
GB51016,GB51016	16
GB51111	16
GB49026	16
GB50819	16
GB46114	16
GB47918,GB56032	16
GB45091	16
GB53540	16
GB51649	16
GB43338	16
GB48487	16
GB49459	16
GB44646	16
GB45819,GB42408,GB44278,GB44278,GB42409	16
GB45679	16
GB52212,GB52212	16
GB42152	16
GB55557	16
GB50525	16
GB41547	16
GB46509	16
GB44947	16
GB41804	16
GB47925	16
GB47468	16
GB53729	16
GB43234	16
GB41668	16
GB44896	16
GB48821	16
GB52084	16
GB47888	16
GB40075	16
GB43892	16
GB40706	16
GB45389	16
GB45693,GB45693	16
GB42942	16
GB51185	16
GB54803	16
GB49297	16
GB44216,GB44968,GB50868,GB54361	16
GB55492	16
GB41744	16
GB48658	16
GB42603,GB42808,GB42885	16
GB47391	16
GB48336	16
GB50104	16
GB49042	16
GB42484	16
GB47091	16
GB54169	16
GB50372	16
GB44624	16
GB48868	16
GB43855	16
GB41722	16
GB40414	16
GB42895	16
GB40916,GB46759	16
GB54959	16
GB52737	16
GB50854	16
GB54092	16
GB43160	16
GB40741	16
GB40341	16
GB44034	16
GB46963	16
GB53697	16
GB49193	16
GB41649	16
GB47204	16
GB43157	16
GB50909,GB50909	16
GB49537	16
GB42418	16
GB42669	16
GB47309	16
GB43874	16
GB54953	16
GB47950	16
GB41734	16
GB48031	16
GB43264	16
GB55645	11
GB41035	16
GB48001	16
GB40283	16
GB41544,GB41544	16
GB40016	16
GB40504	16
GB48254	16
GB44126	16
GB40977	16
GB53676	16
GB52253	16
GB55880,GB41941	16
GB41406	15
GB54246	16
GB46813	16
GB44649	16
GB44291	16
GB47970	16
GB52021	16
GB53343	16
GB41239	16
GB50769	16
GB41494	16
GB51812	16
GB48531	16
GB51045	16
GB54606	14
GB50161	16
GB53531,GB53570,GB53570	16
GB47418	16
GB45719	16
GB49084	16
GB48881	16
GB53976	16
GB50135	16
GB48422	16
GB48167	16
GB48573	15
GB44411	16
GB50949	16
GB41233	16
GB54137	16
GB46713	16
GB47889	16
GB48834	16
GB48232	16
GB50470	16
GB53605	16
GB47185	16
GB54723	16
GB52077	16
GB47963	16
GB43185	16
GB55837,GB55837	16
GB41775	16
GB42814	16
GB55675	16
GB53713	16
GB45266	16
GB49941	16
GB44062	16
GB53802	16
GB42835	15
GB53721	16
GB49108	16
GB40763	16
GB40672	16
GB45179	16
GB52010	16
GB49804	16
GB52526	16
GB48339	16
GB50038	16
GB50101	16
GB55381	16
GB50212	14
GB42037	16
GB49174	16
GB55015	16
GB53859	16
GB51705	16
GB41740,GB41740	16
GB49489	16
GB48601	16
GB40028	16
GB43736	16
GB49567,GB49564	16
GB50421	16
GB53710	16
GB40928	15
GB53616	16
GB50695	16
GB53036	16
GB45009	16
GB55766	16
GB50020	16
GB46879	16
GB53956	16
GB46217	16
GB53262	16
GB46751	16
GB50947	16
GB48061	16
GB45758,GB53875	16
GB44762	16
GB47239	16
GB43220	16
GB52144	16
GB40357	16
GB54109	16
GB54602	16
GB44445	16
GB50650	16
GB48425	16
GB48665,GB48665	16
GB47746	16
GB40908	16
GB41444	16
GB46563	16
GB41465	16
GB41165	16
GB47615	16
GB44009	16
GB51035	16
GB44602	16
GB49686	16
GB42493	16
GB49409	16
GB46818	16
GB43917	16
GB45686	16
GB49366	16
GB45536	16
GB49911	16
GB45150	16
GB54773	16
GB47281	16
GB42236	16
GB51391	16
GB47466	16
GB45272	16
GB44061	16
GB44679	16
GB47269	16
GB44065	16
GB54906	16
GB54260,GB54260	16
GB50837	16
GB41860	16
GB51060	16
GB52611	16
GB54716,GB49620	16
GB55936	16
GB43439	16
GB42414	16
GB46724	16
GB41694	16
GB46696,GB46966,GB46966	16
GB46510	16
GB46035	16
GB44338	16
GB54395	16
GB51715	16
GB55292	16
GB53357	16
GB40594	16
GB52601	16
GB52701	16
GB40565	16
GB51124	16
GB40453	16
GB53592	16
GB50150	16
GB55523	16
GB52198	16
GB54774,GB54774	16
GB53662	16
GB45932	16
GB45760	16
GB41836	16
GB43178	16
GB52592	16
GB47039	16
GB55323	16
GB42183	16
GB49298	16
GB49246	16
GB45776	16
GB41246,GB41246	16
GB46344	16
GB55362	16
GB45351	16
GB43467	16
GB41288	16
GB44538	16
GB45735	16
GB47254	16
GB46594	16
GB45225	16
GB54738	16
GB55486	16
GB54987	16
GB49947	16
GB49985	16
GB44573	16
GB46479	16
GB53688	16
GB45683	16
GB46047	16
GB41347	16
GB54366	16
GB47844	16
GB46196	16
GB51221	16
GB45378	16
GB53798	15
GB43123,GB43123	14
GB47249	16
GB45300	16
GB46070	16
GB54531,GB54533	16
GB53066	16
GB47589	16
GB53647	16
GB49186	16
GB54657	16
GB50459	16
GB48589,GB51445	16
GB43186	16
GB49301	16
GB52114,GB52114	16
GB43901	16
GB42360,GB43747	16
GB40405	16
GB46745	16
GB54758	16
GB41117	16
GB45014	16
GB44940	16
GB43618	16
GB45106	16
GB41305	16
GB53339	16
GB41609	16
GB54204	16
GB49468	16
GB49080,GB51901	16
GB44798	16
GB42241	16
GB53009,GB49239,GB47762	16
GB40802	16
GB40744	16
GB45557	16
GB46894	16
GB44550	16
GB50943	16
GB46342	16
GB54718	16
GB47633	16
GB46878,GB46878	16
GB49268	16
GB44060	16
GB45155	16
GB49556	16
GB45029	16
GB46700	14
GB54338	16
GB52291	16
GB43707	16
GB54496	16
GB47201	16
GB46593	16
GB41076	16
GB49322	16
GB53530	16
GB54505	16
GB47477	16
GB44934	16
GB45517	16
GB55033	16
GB55525	16
GB45120	16
GB43983,GB43983	16
GB45235	16
GB51613	16
GB44551	16
GB44554	16
GB55631	16
GB46579	16
GB45502	16
GB47732	16
GB51385	16
GB48007	16
GB53934	16
GB46877	16
GB52988	16
GB45107	16
GB43579	16
GB51847	16
GB48940	16
GB47307	16
GB45395	16
GB51591,GB51591	16
GB52691,GB54193	16
GB40719	16
GB54775	16
GB47667	16
GB55280	16
GB45054	16
GB53708	16
GB46091	16
GB54702	16
GB55967	16
GB49646	16
GB43261	16
GB52741	16
GB45566	16
GB49778,GB40327	16
GB47744	16
GB54271	16
GB50048	16
GB45478	16
GB42846	16
GB42933	16
GB54222	16
GB48102	16
GB50370	16
GB45173	16
GB43448	16
GB50767	16
GB47405	16
GB51218	16
GB52025	16
GB41998	16
GB53034	16
GB53794	16
GB51633,GB51633	16
GB46873	16
GB53300	16
GB45005	16
GB47277	16
GB41400	16
GB44373	16
GB49444	16
GB51062	16
GB50705	16
GB48685,GB50292	16
GB41448	16
GB49794	16
GB45453	16
GB40495	16
GB40021	16
GB55475	16
GB48675	16
GB44927	16
GB53614	16
GB40671	16
GB50681	16
GB49107	16
GB50274	16
GB48643	16
GB40500	16
GB51066	15
GB46786	16
GB52746	16
GB43213	16
GB49570	16
GB48030,GB46377	16
GB53172	16
GB45051	16
GB52980	16
GB46065	16
GB41312	16
GB42327	16
GB41069	16
GB40971	16
GB49961	16
GB44804	16
GB55848	16
GB42660	16
GB52349	16
GB44541	16
GB47425	16
GB46653	16
GB55279	16
GB44972	16
GB54556	16
GB53671	16
GB44316	16
GB42675,GB42675	16
GB43602	16
GB49990	16
GB40411	15
GB49651	16
GB45662	16
GB54699	16
GB44037	16
GB46450	16
GB43897	16
GB46539	16
GB41908	16
GB49613	16
GB54422	16
GB51794	16
GB51257	16
GB49324	16
GB54715	16
GB45809,GB45809	16
GB40904	16
GB44581	16
GB55350	16
GB41688	16
GB46102	16
GB43159	16
GB48434	16
GB41798	16
GB55527	16
GB48489	16
GB47779	16
GB50160,GB50160	16
GB42884	16
GB41659	16
GB55147	16
GB42959,GB42958	16
GB55809,GB50017	16
GB41250	16
GB50043,GB50043	16
GB46069	16
GB55067	16
GB49275,GB49273	16
GB41974	16
GB44350	16
GB41910	16
GB40123	14
GB52307	16
GB42750	16
GB52473	16
GB42567	16
GB46012	16
GB54543	16
GB46429	16
GB53042	16
GB52008	16
GB40149	16
GB43119	16
GB50941	16
GB45815	16
GB45207	16
GB42674	16
GB43391	16
GB49969	16
GB55148	16
GB52091	16
GB49652	16
GB43719	16
GB47841	16
GB49688	16
GB44614	16
GB53163	16
GB45228	16
GB52316	16
GB44999	16
GB42856	16
GB48509	16
GB49235	16
GB40670	16
GB55846	16
GB51486	16
GB54658	16
GB43889	16
GB43954	16
GB41844	16
GB42949	16
GB45518	16
GB55366	16
GB40901	16
GB54325	16
GB41094,GB41094	16
GB47748	16
GB45140	16
GB46036	16
GB45926	16
GB48847	16
GB46431	16
GB50521,GB50521	16
GB41874	16
GB44687	16
GB50491	16
GB50911	16
GB46165	16
GB44114,GB47820	16
GB41825	16
GB45777,GB48385	16
GB50640	16
GB51638	16
GB49534,GB49534	16
GB44516	16
GB44661,GB44455	16
GB47488,GB46971	16
GB47334	16
GB52651	16
GB44533	16
GB47876	16
GB50261	16
GB55074	16
GB49478	16
GB46746	16
GB53846	16
GB48386	16
GB44082	16
GB45273	16
GB45278	16
GB40287	16
GB44223	16
GB49870	16
GB50303	16
GB51264	16
GB48809	16
GB46436	16
GB47440	16
GB49309	16
GB47018,GB47018,GB47018	16
GB43000,GB43000	16
GB45072	16
GB50105	16
GB41136	16
GB54083	16
GB50730	16
GB49050	16
GB45713,GB45708	16
GB54332	14
GB52503	16
GB45363	16
GB55985	16
GB47081	16
GB44742	16
GB42224	16
GB43171	16
GB46684	16
GB41876	16
GB41864	16
GB43149	16
GB50237	16
GB49089	16
GB52676	16
GB40282	16
GB51015	16
GB44347	16
GB40788	16
GB48938	16
GB47549	16
GB51912	16
GB52619,GB43636	16
GB43475	16
GB44690	16
GB42436	16
GB51967	16
GB46621	16
GB40563,GB55130	16
GB44031	16
GB51237	16
GB48889,GB48889	16
GB48786	16
GB44307	16
GB55757	16
GB50245	16
GB54627	16
GB45463,GB45463,GB54870	16
GB46973	16
GB50960	16
GB49528	16
GB54622	16
GB40580	16
GB49906	16
GB54124	16
GB54493	16
GB49037	16
GB55896	16
GB54522	16
GB50586	16
GB45067	16
GB51431	16
GB54742	16
GB47102	16
GB48360	16
GB49579	16
GB47230	16
GB54436	16
GB44387,GB44387	16
GB44295	16
GB45568	16
GB43122	16
GB51828	16
GB45349	16
GB45343	16
GB45052	16
GB41156	16
GB50244	16
GB44353	16
GB46627	16
GB52247	16
GB54428	16
GB45126	16
GB43561	16
GB48055	16
GB49896	16
GB41902	16
GB43052	16
GB44176	16
GB42854	16
GB42063	16
GB47106	16
GB42559	16
GB54242,GB54242	16
GB48160	16
GB50178	16
GB48370	16
GB52948	16
GB49590	16
GB55359	16
GB40217	16
GB52158	16
GB47194	16
GB44570,GB45484	15
GB41487	16
GB40863	16
GB44592	16
GB45297	16
GB52797	16
GB55056	16
GB45031	16
GB42501	16
GB44900	16
GB50537	16
GB50777	16
GB52557	16
GB42783	16
GB55333	16
GB42211	16
GB51525	16
GB46290	16
GB54809	16
GB51836	16
GB53949	16
GB55704	16
GB46908	16
GB48266	16
GB53376	16
GB41819	16
GB48596	16
GB49505	16
GB44199,GB44199	16
GB55387	16
GB42892	16
GB47962	16
GB55765	16
GB51749	16
GB53237	16
GB45457	16
GB42215	16
GB54784	16
GB50157	16
GB45194	16
GB50126	16
GB46300	16
GB50069	16
GB53944	16
GB47942	16
GB47350	16
GB49190	16
GB52012	16
GB44982	16
GB47177	16
GB50493	16
GB45133	16
GB45413	16
GB43715	16
GB48125	16
GB54391	16
GB45695	16
GB53598	16
GB40944	16
GB47429	16
GB49527	16
GB42960	16
GB44315	16
GB45663	16
GB44412	16
GB41188	16
GB53323	16
GB50871	16
GB49612	16
GB55403	16
GB55274	16
GB44072	16
GB54214	16
GB51505	16
GB55940	16
GB40437	16
GB49327	15
GB42651	16
GB49494	16
GB46339	16
GB54989	16
GB53035	16
GB43366	16
GB54994	16
GB51333	16
GB47737	16
GB44682	16
GB51063	16
GB54239	16
GB45555	16
GB52978	16
GB41294	16
GB55660	16
GB45875	16
GB44611	16
GB44293	16
GB48684	16
GB41171	16
GB47503	16
GB47846	16
GB43435	16
GB45525,GB45524,GB44248	16
GB50506	16
GB52195	16
GB43637	16
GB51580	16
GB52704	16
GB41693	16
GB42487	16
GB46042	16
GB48337	16
GB44121	16
GB43113	16
GB50367	16
GB52498	16
GB55485	16
GB44099	16
GB50071	16
GB49120	16
GB42450	16
GB43162	16
GB46685	16
GB44636	16
GB50352	15
GB48746	16
GB43738	16
GB42652	16
GB45175	16
GB46523	16
GB46692	16
GB52045	16
GB40867,GB40947,GB40867	16
GB51354	16
GB42451	16
GB44436	16
GB48066,GB48782	16
GB46189	16
GB43551	16
GB47329	16
GB48678	16
GB46512	16
GB53251	16
GB47387	16
GB47423	16
GB51885	16
GB47250	16
GB42358	16
GB53654	16
GB49486	16
GB46672	16
GB49604	16
GB45872	16
GB45684	16
GB41036	16
GB41982	16
GB47222	16
GB43015	16
GB48199	16
GB45128	16
GB47471	16
GB49525	16
GB49841	16
GB51999	16
GB51738	16
GB44590	16
GB50891	16
GB50039	16
GB49909	16
GB50190	16
GB52627	16
GB47300	16
GB50802	16
GB54111	16
GB48416	16
GB48237	16
GB55489,GB55489	16
GB52588	16
GB54789	16
GB44163	16
GB41261	16
GB50511	16
GB43087	16
GB49966	16
GB43411	16
GB40674	16
GB51726	16
GB45923	16
GB55299	16
GB44534	16
GB53788	16
GB47076	16
GB50290	16
GB53166	16
GB48456	16
GB48075	16
GB40363	16
GB44333	16
GB45180	16
GB45425	16
GB40766	16
GB48873	16
GB51560	16
GB47413,GB47413	16
GB51093	16
GB47189	16
GB49701	16
GB50471	16
GB47556	16
GB44410	16
GB50015	16
GB41867	16
GB55877,GB55877	16
GB48692	16
GB43256	16
GB44327	16
GB42551	16
GB50031	16
GB55893	16
GB54190	16
GB45314	16
GB47260	16
GB55930	16
GB43697	16
GB44325	16
GB52047	16
GB54935	16
GB44175	16
GB53782	16
GB50281	16
GB40999	16
GB54144	16
GB47042	16
GB45778	16
GB47043	16
GB46773,GB40332	16
GB49169	16
GB45985	16
GB45487	16
GB44757	16
GB46972	16
GB45534	16
GB55390	16
GB49456	16
GB52929	16
GB55971	16
GB40335	16
GB52360	16
GB42534	16
GB42023	16
GB50418	16
GB55537	16
GB50748	16
