gene	PHC
GB51542,GB51542	0.72
GB53064	0.35
GB54031	0.65
GB47459	0.5
GB40678	0.55
GB53787	0.63
GB50807	0.16
GB43718	0.43
GB46618	0.42
GB47808	0.61
GB42921	0.38
GB54939	0.4
GB49511	0.15
GB54998	0.41
GB51512	0.32
GB41803	0.56
GB45348	0.39
GB54477	0.37
GB44193	0.59
GB55911	0.25
GB54230	0.65
GB45612	0.21
GB51113,GB51113	0.58
GB45982	0.41
GB45114	0.49
GB42016	0.29
GB45373	0.7
GB46526,GB42007	0.195
GB55059	0.11
GB51692	0.62
GB52975	0.33
GB48556	0.5
GB40567	0.21
GB49517	0.29
GB55917	0.32
GB53133	0.62
GB44703	0.51
GB46925	0.47
GB42866	0.4
GB50406	0.16
GB44862,GB44862,GB44862	0.14
GB45530	0.41
GB48137	0.42
GB41888	0.55
GB50508,GB48687,GB50508	0.15666666699999998
GB41052	0.17
GB41454	0.49
GB44305	0.57
GB49977	0.17
GB43158	0.63
GB47113	0.55
GB52280	0.11
GB42740	0.19
GB43077	0.45
GB52321	0.27
GB42496	0.58
GB50749	0.6
GB42804	0.31
GB40206	0.67
GB51041	0.39
GB42244	0.62
GB43978	0.51
GB41149,GB41149	0.06
GB53611	0.43
GB47568,GB42394	0.67
GB55457	0.41
GB49541	0.27
GB52192	0.58
GB52993	0.5
GB50593,GB50593,GB50593	0.36
GB45135,GB45135	0.67
GB43080	0.3
GB55764	0.33
GB48403,GB47348	0.55
GB53205	0.26
GB45259	0.59
GB47476	0.61
GB40134,GB40132,GB40132	0.32
GB41983	0.35
GB46045	0.2
GB55425	0.28
GB44523	0.39
GB54852	0.1
GB50286	0.28
GB43446	0.28
GB45472	0.2
GB52426	0.6
GB55495	0.39
GB41746	0.58
GB53145,GB53145	0.55
GB47422	0.58
GB44252	0.64
GB43743	0.3
GB48932	0.64
GB49730	0.35
GB43140	0.66
GB40350	0.28
GB49373	0.33
GB53821	0.22
GB52346	0.57
GB52417	0.54
GB51246	0.5
GB42762	0.17
GB43369	0.11
GB41681	0.51
GB45512	0.5
GB46478	0.56
GB52779	0.71
GB52708	0.46
GB43497	0.16
GB50219	0.36
GB42875	0.49
GB46689	0.62
GB55022	0.5
GB55574	0.33
GB41449	0.44
GB52907	0.46
GB42062	0.45
GB49045	0.84
GB50974	0.41
GB41893	0.24
GB51381	0.15
GB44759	0.5
GB53140,GB53140	0.36
GB45064	0.3
GB50295	0.24
GB46613	0.69
GB40880	0.38
GB47351	0.28
GB55822	0.36
GB43137	0.37
GB49933	0.48
GB44021	0.47
GB50113	0.54
GB55142	0.42
GB42455,GB42455	0.45
GB52189	0.43
GB55995	0.25
GB51985	0.5
GB47271	0.72
GB52661	0.3
GB51515	0.3
GB41177	0.53
GB52436	0.76
GB49644	0.33
GB44198	0.45
GB55904	0.65
GB50700	0.14
GB52435	0.77
GB51502,GB43039	0.32
GB55540	0.66
GB54805	0.54
GB44359	0.63
GB43203	0.4
GB43480	0.63
GB53388	0.33
GB50400	0.73
GB53670	0.53
GB42979,GB42979	0.46
GB43238	0.39
GB51792	0.44
GB53725	0.63
GB44532	0.25
GB47368	0.32
GB54534	0.8
GB43662	0.03
GB51399	0.57
GB42423	0.19
GB43935	0.25
GB41909	0.52
GB41596	0.13
GB47449	0.73
GB46490	0.36
GB53852	0.55
GB51895	0.64
GB55461	0.78
GB44416	0.43
GB47572	0.55
GB53970	0.36
GB47812	0.59
GB41714	0.61
GB54798	0.53
GB41747	0.11
GB47036,GB47036	0.3
GB52079	0.76
GB47807	0.4
GB50184	0.26
GB45724	0.41
GB41366	0.48
GB52563	0.41
GB44884	0.54
GB55787	0.47
GB54287	0.74
GB47179	0.31
GB53012	0.35
GB45937	0.32
GB53979	0.17
GB42616	0.34
GB40361	0.63
GB54910	0.64
GB51965	0.49
GB43839,GB43839	0.25
GB42646	0.18
GB54668,GB54668	0.32
GB45417	0.43
GB49111	0.55
GB43404,GB50225	0.185
GB41839	0.7
GB46242	0.62
GB49544	0.25
GB48113,GB48114	0.595
GB43456	0.6
GB52266	0.26
GB42751	0.41
GB53937	0.42
GB43216	0.25
GB42739	0.26
GB48775	0.85
GB54158	0.73
GB49859	0.45
GB55426	0.34
GB52947	0.43
GB45755	0.37
GB42735	0.42
GB47242	0.18
GB46599	0.77
GB50195	0.55
GB48625	0.15
GB52109	0.27
GB50635	0.42
GB49931	0.05
GB50660	0.65
GB48483	0.52
GB55378	0.37
GB49995	0.58
GB48523	0.48
GB42670	0.9
GB48639	0.38
GB40204	0.73
GB44808	0.26
GB54551,GB54502	0.61
GB42058	0.52
GB45905	0.18
GB44117	0.47
GB45881	0.42
GB45690	0.59
GB52457	0.4
GB48530	0.73
GB48399,GB42391	0.92
GB49197,GB49197	0.68
GB50345	0.64
GB43730	0.67
GB44650	0.66
GB47231	0.73
GB52589	0.53
GB44754	0.59
GB53284	0.08
GB53353	0.42
GB49388	0.68
GB49096	0.69
GB55658	0.48
GB40859	0.74
GB52541	0.64
GB55641,GB45533	0.74
GB40033	0.42
GB50395	0.17
GB42066	0.1
GB49844	0.81
GB41174	0.56
GB55751	0.58
GB47683	0.66
GB40280	0.21
GB40878	0.42
GB55002	0.87
GB51706	0.6
GB49921	0.28
GB44594	0.51
GB50204	0.65
GB54425	0.69
GB44933	0.63
GB54593	0.42
GB41507	0.42
GB51273	0.54
GB51852	0.49
GB43909	0.35
GB45970	0.48
GB42683,GB52566	0.565
GB51775	0.39
GB44330	0.15
GB45277	0.5
GB47414	0.69
GB48117	0.41
GB55225	0.33
GB54995	0.4
GB54893	0.22
GB41919,GB41921	0.095
GB40581,GB40581	0.33
GB51219	0.12
GB45442	0.26
GB44429	0.86
GB47138	0.16
GB51133	0.46
GB42967	0.19
GB50959	0.68
GB51544	0.71
GB40603	0.31
GB51511,GB51511	0.37
GB48426	0.88
GB48396	0.95
GB46691	0.63
GB42220	0.35
GB54700	0.49
GB53083	0.61
GB51953	0.13
GB49406	0.66
GB53690	0.45
GB44912	0.58
GB51612	0.49
GB50141	0.63
GB53073	0.65
GB41723	0.57
GB52328	0.35
GB55820	0.32
GB46016	0.5
GB43407	0.23
GB43945	0.53
GB52916	0.59
GB45968	0.4
GB48247	0.56
GB41900	0.25
GB43074	0.43
GB45623	0.47
GB54273	0.52
GB47961,GB41597	0.555
GB47437	0.17
GB51134	0.27
GB49642	0.39
GB42756	0.38
GB53963,GB50291	0.385
GB44414	0.67
GB53825	0.64
GB55715	0.36
GB54378	0.44
GB43239	0.39
GB55775	0.67
GB45212	0.45
GB54348	0.25
GB53306	0.28
GB55146	0.36
GB49438,GB49438	0.53
GB55826	0.6
GB44890	0.65
GB45762	0.65
GB54649	0.63
GB51748	0.28
GB53231	0.38
GB54780	0.8
GB54127	0.34
GB54921,GB54921	0.06
GB43465,GB41957	0.43
GB55770	0.56
GB48158	0.55
GB48463	0.19
GB51696	0.28
GB46731	0.74
GB45370	0.53
GB52304	0.25
GB46018	0.24
GB54119	0.64
GB43470	0.81
GB53865,GB53865,GB53865	0.32
GB53651	0.54
GB50246	0.94
GB45564	0.14
GB40657	0.41
GB47280	0.61
GB54269	0.57
GB48229	0.46
GB55578	0.48
GB44174	0.53
GB54885	0.23
GB42076	0.35
GB49290	0.37
GB40316	0.17
GB42925	0.47
GB45967	0.4
GB51702	0.7
GB43817	0.42
GB50133	0.56
GB52224	0.57
GB48347	0.56
GB55567	0.48
GB55579	0.59
GB55239	0.21
GB40803	0.53
GB45646	0.34
GB40893	0.73
GB53657	0.7
GB48923	0.26
GB42731	0.59
GB44648,GB44647	0.395
GB51120	0.44
GB45214	0.44
GB44881	0.48
GB45084	0.3
GB55244	0.45
GB54035	0.61
GB54213	0.36
GB50359	0.55
GB53606	0.59
GB50369	0.5
GB54664	0.45
GB44000	0.6
GB42977	0.39
GB41345	0.53
GB49680	0.61
GB51693	0.47
GB49480,GB49480	0.33
GB46693	0.62
GB50538	0.33
GB53122,GB53118,GB49568	0.18
GB43908	0.15
GB52086	0.4
GB54143,GB54143	0.38
GB41883	0.61
GB40420	0.47
GB51500	0.4
GB42401	0.4
GB54313	0.19
GB50605,GB50606	0.69
GB46982	0.17
GB52165	0.64
GB45001	0.51
GB49755	0.33
GB55272	0.37
GB49184	0.28
GB42138	0.47
GB40823	0.28
GB51130	0.65
GB40014	0.68
GB55164	0.23
GB53384	0.31
GB50997	0.56
GB44247	0.47
GB42619	0.21
GB48949	0.69
GB52249	0.4
GB42505	0.25
GB50224,GB50224	0.32
GB41423	0.71
GB55746	0.38
GB42054,GB42054	0.29
GB54206	0.24
GB51242	0.17
GB47208	0.71
GB44906	0.65
GB55913	0.59
GB42200	0.42
GB45958	0.5
GB42763	0.38
GB52567	0.63
GB50958	0.42
GB54198	0.46
GB40400	0.59
GB47428	0.69
GB53243	0.56
GB42773	0.58
GB40627	0.35
GB53396	0.22
GB48097	0.12
GB50415	0.36
GB55790	0.52
GB40310	0.38
GB46457	0.7
GB53089	0.76
GB51159	0.47
GB51348,GB51348	0.5
GB40017	0.59
GB55847	0.82
GB42844	0.6
GB55411	0.43
GB45479	0.49
GB53791,GB53791	0.27
GB43463	0.63
GB43093	0.25
GB48074	0.34
GB44885	0.53
GB53173	0.84
GB50743	0.48
GB44321	0.63
GB54053	0.4
GB55573	0.56
GB54216	0.4
GB45284	0.41
GB46739	0.15
GB48474	0.19
GB54225,GB54226,GB54226	0.40333333299999996
GB41855	0.3
GB43881	0.4
GB52989	0.18
GB45873	0.49
GB44537	0.54
GB44067	0.66
GB49223	0.24
GB54389	0.21
GB46212	0.27
GB54625	0.27
GB43567	0.58
GB41424	0.45
GB55188	0.37
GB43685	0.25
GB51717	0.8
GB43556	0.52
GB44027	0.59
GB44433	0.57
GB41122	0.6
GB49320	0.23
GB52106	0.29
GB49325	0.97
GB54582	0.63
GB53740	0.36
GB46800	0.34
GB42325	0.22
GB41608	0.49
GB54751	0.68
GB54600	0.51
GB55618	0.21
GB44155	0.42
GB42352	0.44
GB43314	0.09
GB45156	0.5
GB52673	0.33
GB48261	0.74
GB49391	0.33
GB40676	0.71
GB41450	0.41
GB54592	0.47
GB50669	0.54
GB47894	0.25
GB45292	0.14
GB41601	0.5
GB41680	0.42
GB54176	0.67
GB48946	0.59
GB50419	0.37
GB52618	0.48
GB49800	0.83
GB51641	0.06
GB49419	0.46
GB48263	0.4
GB43163	0.56
GB51189	0.4
GB42201	0.26
GB41592	0.52
GB40774	0.54
GB51745	0.57
GB45388,GB51874	0.52
GB44709	0.27
GB44535	0.73
GB41356	0.21
GB55793,GB55793	0.53
GB40100	0.74
GB52453	0.39
GB42853	0.25
GB43276	0.16
GB50789	0.24
GB45360	0.56
GB53011	0.36
GB55854	0.65
GB41278,GB49900	0.245
GB50283,GB50283	0.07
GB51210	0.11
GB45355	0.34
GB49126	0.49
GB45138	0.22
GB42847,GB48093	0.55
GB41875	0.58
GB42894,GB42894	0.41
GB40203	0.54
GB52679	0.71
GB55907	0.17
GB48571	0.35
GB46301	0.4
GB53021	0.76
GB54609	0.43
GB40598	0.4
GB41226	0.35
GB40507	0.43
GB52432,GB54695	0.64
GB51355	0.37
GB40515	0.51
GB46251	0.45
GB48162	0.26
GB44510	0.14
GB40740	0.15
GB40540	0.89
GB55700	0.61
GB44481	0.14
GB48375	0.24
GB46487	0.27
GB47339	0.31
GB43189	0.36
GB43899	0.6
GB40818	0.17
GB48925	0.78
GB50971	0.35
GB41783	0.67
GB49150	0.2
GB53989	0.13
GB42548	0.23
GB47195	0.0
GB51940	0.44
GB48551	0.5
GB54843	0.56
GB51763	0.34
GB46271	0.86
GB44263	0.46
GB41378	0.41
GB48997	0.65
GB41629	0.5
GB55627	0.61
GB54680	0.4
GB54114	0.32
GB40263	0.24
GB41835	0.57
GB42579	0.43
GB55723	0.31
GB46886	0.43
GB42222	0.77
GB55973	0.16
GB43198	0.42
GB46262,GB46260,GB46262	0.536666667
GB53737	0.3
GB50171	0.45
GB52849	0.38
GB44029	0.3
GB41297	0.35
GB45195	0.61
GB55644	0.6
GB44758	0.41
GB55801	0.61
GB51422	0.17
GB54909	0.61
GB45142	0.24
GB55008,GB49845	0.3
GB44643	0.67
GB40845	0.58
GB42150	0.27
GB43857	0.25
GB41193	0.13
GB52171	0.35
GB42869,GB50987	0.295
GB55652	0.45
GB53974	0.51
GB55714	0.2
GB54263	0.68
GB41038	0.64
GB49426	0.55
GB43786	0.27
GB45694	0.43
GB47182	0.49
GB47632	0.19
GB43562	0.28
GB41869	0.68
GB43722	0.26
GB45229	0.45
GB41810	0.61
GB48101	0.49
GB47625,GB42004	0.215
GB47596,GB47596	0.41
GB44743	0.65
GB55352	0.87
GB50814	0.59
GB40025	0.28
GB44779	0.67
GB46362	0.38
GB51016,GB51016	0.29
GB51111	0.48
GB49026	0.57
GB50819	0.53
GB46114	0.31
GB47918,GB56032	0.36
GB45091	0.36
GB53540	0.68
GB51649	0.46
GB43338	0.42
GB48487	0.75
GB49459	0.4
GB44646	0.5
GB45819,GB42408,GB44278,GB44278,GB42409	0.258
GB45679	0.58
GB52212,GB52212	0.44
GB42152	0.5
GB55557	0.49
GB50525	0.35
GB41547	0.19
GB46509	0.69
GB44947	0.28
GB41804	0.36
GB47925	0.72
GB47468	0.3
GB53729	0.68
GB43234	0.38
GB41668	0.48
GB44896	0.49
GB48821	0.31
GB52084	0.61
GB47888	0.54
GB40075	0.77
GB43892	0.46
GB40706	0.7
GB45389	0.33
GB45693,GB45693	0.58
GB42942	0.2
GB51185	0.11
GB54803	0.25
GB49297	0.52
GB44216,GB44968,GB50868,GB54361	0.135
GB55492	0.12
GB41744	0.42
GB48658	0.46
GB42603,GB42808,GB42885	0.21
GB47391	0.2
GB48336	0.22
GB50104	0.59
GB49042	0.62
GB42484	0.24
GB47091	0.1
GB54169	0.66
GB50372	0.59
GB44624	0.07
GB48868	0.42
GB43855	0.48
GB41722	0.33
GB40414	0.62
GB42895	0.4
GB40916,GB46759	0.2
GB54959	0.28
GB52737	0.56
GB50854	0.65
GB54092	0.63
GB43160	0.74
GB40741	0.66
GB40341	0.65
GB44034	0.62
GB46963	0.4
GB53697	0.66
GB49193	0.61
GB41649	0.79
GB47204	0.66
GB43157	0.67
GB50909,GB50909	0.22
GB49537	0.37
GB42418	0.44
GB42669	0.48
GB47309	0.32
GB43874	0.42
GB54953	0.59
GB47950	0.25
GB41734	0.29
GB48031	0.61
GB43264	0.7
GB55645	0.47
GB41035	0.38
GB48001	0.53
GB40283	0.19
GB41544,GB41544	0.21
GB40016	0.22
GB40504	0.26
GB48254	0.44
GB44126	0.22
GB40977	0.71
GB53676	0.7
GB52253	0.26
GB55880,GB41941	0.175
GB41406	0.17
GB54246	0.19
GB46813	0.15
GB44649	0.54
GB44291	0.77
GB47970	0.38
GB52021	0.46
GB53343	0.3
GB41239	0.54
GB50769	0.27
GB41494	0.41
GB51812	0.53
GB48531	0.43
GB51045	0.45
GB54606	0.41
GB50161	0.61
GB53531,GB53570,GB53570	0.173333333
GB47418	0.58
GB45719	0.45
GB49084	0.63
GB48881	0.31
GB53976	0.15
GB50135	0.53
GB48422	0.72
GB48167	0.43
GB48573	0.47
GB44411	0.56
GB50949	0.63
GB41233	0.57
GB54137	0.07
GB46713	0.68
GB47889	0.62
GB48834	0.59
GB48232	0.52
GB50470	0.48
GB53605	0.66
GB47185	0.21
GB54723	0.42
GB52077	0.32
GB47963	0.46
GB43185	0.6
GB55837,GB55837	0.28
GB41775	0.66
GB42814	0.52
GB55675	0.25
GB53713	0.34
GB45266	0.36
GB49941	0.27
GB44062	0.52
GB53802	0.56
GB42835	0.39
GB53721	0.28
GB49108	0.54
GB40763	0.13
GB40672	0.6
GB45179	0.64
GB52010	0.58
GB49804	0.56
GB52526	0.68
GB48339	0.57
GB50038	0.66
GB50101	0.19
GB55381	0.64
GB50212	0.42
GB42037	0.41
GB49174	0.59
GB55015	0.48
GB53859	0.39
GB51705	0.47
GB41740,GB41740	0.58
GB49489	0.68
GB48601	0.66
GB40028	0.29
GB43736	0.64
GB49567,GB49564	0.35
GB50421	0.31
GB53710	0.68
GB40928	0.48
GB53616	0.45
GB50695	0.61
GB53036	0.88
GB45009	0.45
GB55766	0.25
GB50020	0.63
GB46879	0.64
GB53956	0.38
GB46217	0.36
GB53262	0.48
GB46751	0.72
GB50947	0.64
GB48061	0.52
GB45758,GB53875	0.17
GB44762	0.43
GB47239	0.67
GB43220	0.18
GB52144	0.16
GB40357	0.44
GB54109	0.4
GB54602	0.47
GB44445	0.38
GB50650	0.41
GB48425	0.35
GB48665,GB48665	0.17
GB47746	0.53
GB40908	0.17
GB41444	0.21
GB46563	0.1
GB41465	0.61
GB41165	0.73
GB47615	0.24
GB44009	0.17
GB51035	0.52
GB44602	0.16
GB49686	0.27
GB42493	0.36
GB49409	0.54
GB46818	0.31
GB43917	0.65
GB45686	0.56
GB49366	0.06
GB45536	0.47
GB49911	0.55
GB45150	0.27
GB54773	0.46
GB47281	0.49
GB42236	0.49
GB51391	0.25
GB47466	0.5
GB45272	0.6
GB44061	0.53
GB44679	0.5
GB47269	0.65
GB44065	0.53
GB54906	0.43
GB54260,GB54260	0.35
GB50837	0.27
GB41860	0.35
GB51060	0.55
GB52611	0.29
GB54716,GB49620	0.35
GB55936	0.26
GB43439	0.61
GB42414	0.56
GB46724	0.21
GB41694	0.3
GB46696,GB46966,GB46966	0.696666667
GB46510	0.52
GB46035	0.47
GB44338	0.53
GB54395	0.14
GB51715	0.37
GB55292	0.44
GB53357	0.63
GB40594	0.49
GB52601	0.24
GB52701	0.44
GB40565	0.17
GB51124	0.23
GB40453	0.45
GB53592	0.39
GB50150	0.44
GB55523	0.51
GB52198	0.47
GB54774,GB54774	0.59
GB53662	0.7
GB45932	0.26
GB45760	0.56
GB41836	0.63
GB43178	0.55
GB52592	0.25
GB47039	0.44
GB55323	0.42
GB42183	0.39
GB49298	0.38
GB49246	0.24
GB45776	0.22
GB41246,GB41246	0.25
GB46344	0.34
GB55362	0.42
GB45351	0.31
GB43467	0.51
GB41288	0.62
GB44538	0.57
GB45735	0.26
GB47254	0.16
GB46594	0.7
GB45225	0.82
GB54738	0.35
GB55486	0.62
GB54987	0.19
GB49947	0.26
GB49985	0.15
GB44573	0.51
GB46479	0.73
GB53688	0.47
GB45683	0.07
GB46047	0.17
GB41347	0.44
GB54366	0.15
GB47844	0.6
GB46196	0.45
GB51221	0.58
GB45378	0.18
GB53798	0.1
GB43123,GB43123	0.3
GB47249	0.51
GB45300	0.58
GB46070	0.5
GB54531,GB54533	0.275
GB53066	0.13
GB47589	0.63
GB53647	0.33
GB49186	0.65
GB54657	0.6
GB50459	0.45
GB48589,GB51445	0.605
GB43186	0.61
GB49301	0.51
GB52114,GB52114	0.46
GB43901	0.18
GB42360,GB43747	0.545
GB40405	0.3
GB46745	0.59
GB54758	0.34
GB41117	0.45
GB45014	0.7
GB44940	0.48
GB43618	0.34
GB45106	0.69
GB41305	0.33
GB53339	0.6
GB41609	0.7
GB54204	0.23
GB49468	0.4
GB49080,GB51901	0.195
GB44798	0.3
GB42241	0.86
GB53009,GB49239,GB47762	0.45333333299999995
GB40802	0.58
GB40744	0.4
GB45557	0.22
GB46894	0.54
GB44550	0.35
GB50943	0.42
GB46342	0.22
GB54718	0.58
GB47633	0.6
GB46878,GB46878	0.64
GB49268	0.24
GB44060	0.58
GB45155	0.68
GB49556	0.69
GB45029	0.24
GB46700	0.21
GB54338	0.74
GB52291	0.24
GB43707	0.59
GB54496	0.16
GB47201	0.73
GB46593	0.1
GB41076	0.73
GB49322	0.46
GB53530	0.18
GB54505	0.36
GB47477	0.46
GB44934	0.39
GB45517	0.49
GB55033	0.54
GB55525	0.3
GB45120	0.39
GB43983,GB43983	0.18
GB45235	0.57
GB51613	0.36
GB44551	0.21
GB44554	0.36
GB55631	0.34
GB46579	0.43
GB45502	0.34
GB47732	0.59
GB51385	0.33
GB48007	0.36
GB53934	0.29
GB46877	0.31
GB52988	0.2
GB45107	0.35
GB43579	0.2
GB51847	0.56
GB48940	0.34
GB47307	0.5
GB45395	0.33
GB51591,GB51591	0.67
GB52691,GB54193	0.39
GB40719	0.2
GB54775	0.41
GB47667	0.47
GB55280	0.07
GB45054	0.31
GB53708	0.49
GB46091	0.29
GB54702	0.54
GB55967	0.59
GB49646	0.14
GB43261	0.83
GB52741	0.57
GB45566	0.27
GB49778,GB40327	0.415
GB47744	0.49
GB54271	0.78
GB50048	0.47
GB45478	0.31
GB42846	0.56
GB42933	0.48
GB54222	0.57
GB48102	0.37
GB50370	0.72
GB45173	0.25
GB43448	0.25
GB50767	0.26
GB47405	0.48
GB51218	0.05
GB52025	0.24
GB41998	0.1
GB53034	0.24
GB53794	0.54
GB51633,GB51633	0.66
GB46873	0.22
GB53300	0.19
GB45005	0.4
GB47277	0.66
GB41400	0.47
GB44373	0.67
GB49444	0.25
GB51062	0.68
GB50705	0.06
GB48685,GB50292	0.255
GB41448	0.45
GB49794	0.57
GB45453	0.31
GB40495	0.7
GB40021	0.3
GB55475	0.57
GB48675	0.26
GB44927	0.55
GB53614	0.65
GB40671	0.37
GB50681	0.78
GB49107	0.5
GB50274	0.39
GB48643	0.76
GB40500	0.65
GB51066	0.46
GB46786	0.63
GB52746	0.65
GB43213	0.67
GB49570	0.68
GB48030,GB46377	0.38
GB53172	0.56
GB45051	0.38
GB52980	0.62
GB46065	0.44
GB41312	0.5
GB42327	0.25
GB41069	0.73
GB40971	0.18
GB49961	0.71
GB44804	0.26
GB55848	0.41
GB42660	0.26
GB52349	0.67
GB44541	0.53
GB47425	0.39
GB46653	0.51
GB55279	0.32
GB44972	0.43
GB54556	0.33
GB53671	0.32
GB44316	0.3
GB42675,GB42675	0.32
GB43602	0.31
GB49990	0.31
GB40411	0.25
GB49651	0.97
GB45662	0.75
GB54699	0.57
GB44037	0.6
GB46450	0.71
GB43897	0.33
GB46539	0.58
GB41908	0.62
GB49613	0.4
GB54422	0.4
GB51794	0.56
GB51257	0.3
GB49324	0.64
GB54715	0.44
GB45809,GB45809	0.25
GB40904	0.44
GB44581	0.52
GB55350	0.4
GB41688	0.71
GB46102	0.43
GB43159	0.38
GB48434	0.62
GB41798	0.38
GB55527	0.41
GB48489	0.29
GB47779	0.52
GB50160,GB50160	0.34
GB42884	0.28
GB41659	0.36
GB55147	0.42
GB42959,GB42958	0.315
GB55809,GB50017	0.62
GB41250	0.4
GB50043,GB50043	0.4
GB46069	0.46
GB55067	0.07
GB49275,GB49273	0.285
GB41974	0.59
GB44350	0.85
GB41910	0.27
GB40123	0.57
GB52307	0.42
GB42750	0.62
GB52473	0.42
GB42567	0.15
GB46012	0.38
GB54543	0.61
GB46429	0.17
GB53042	0.27
GB52008	0.64
GB40149	0.24
GB43119	0.15
GB50941	0.51
GB45815	0.39
GB45207	0.63
GB42674	0.55
GB43391	0.42
GB49969	0.23
GB55148	0.46
GB52091	0.61
GB49652	0.64
GB43719	0.17
GB47841	0.65
GB49688	0.14
GB44614	0.18
GB53163	0.35
GB45228	0.6
GB52316	0.29
GB44999	0.44
GB42856	0.54
GB48509	0.03
GB49235	0.65
GB40670	0.31
GB55846	0.37
GB51486	0.39
GB54658	0.63
GB43889	0.43
GB43954	0.28
GB41844	0.77
