gene	DUP
GB52590	0.26666666699999997
GB45821	0.048780488
GB49491	0.025
GB54568	0.0
GB53412	0.146341463
GB50827	0.179487179
GB41884	0.0
GB53701	0.0
GB49172	0.024390244
GB50535	0.0
GB50852	0.024390244
GB42427	0.14285714300000002
GB52238	0.097560976
GB43860	0.0
GB40251,GB40251	0.048780488
GB50378,GB50388	0.23076923100000002
GB41287	0.024390244
GB51337	0.024390244
GB44959	0.0
GB40346	0.073170732
GB54530	0.024390244
GB53305	0.0
GB52001	0.048780488
GB53778	0.024390244
GB43173	0.024390244
GB54538	0.073170732
GB41332	0.0
GB55583,GB51769	0.12195122
GB45774	0.024390244
GB55888	0.0
GB43304	0.048780488
GB49171	0.0
GB55237,GB55237	0.048780488
GB45972	0.0
GB48795	0.0
GB53341	0.025
GB46564	0.097560976
GB41215	0.0
GB50690	0.048780488
GB51589	0.0
GB49767,GB55648,GB54069	0.804878049
GB41639	0.0
GB52168	0.027777778
GB48234	0.256410256
GB53269	0.0
GB48192	0.081081081
GB50969	0.0
GB44595	0.0
GB47098	0.097560976
GB51653	0.097560976
GB42014	0.0
GB42031	0.0
GB45101	0.0
GB42728	0.048780488
GB43462	0.048780488
GB48789	0.0
GB54177	0.051282050999999995
GB55480,GB51897	1.0
GB50357	0.024390244
GB44341	0.073170732
GB47308	0.0
GB47829	0.0
GB46332	0.048780488
GB52472	0.048780488
GB49428	0.024390244
GB44092,GB47528	0.048780488
GB51255	0.365853659
GB48203	0.073170732
GB51036	0.024390244
GB43631	0.024390244
GB48994	0.0
GB51207	0.0
GB40689	0.083333333
GB52537	0.0
GB47680	0.0
GB40703	0.048780488
GB47118	0.0
GB53149	0.025
GB51596	0.0
GB44899	0.0
GB51660	0.025
GB43796	0.05
GB48204,GB48204	0.073170732
GB42984	0.024390244
GB46126	0.12121212099999999
GB52536	0.024390244
GB52759	0.0
GB40452	0.0
GB48305	0.073170732
GB54288	0.0
GB40440	0.024390244
GB44210	0.0
GB44196	0.078947368
GB51019	0.024390244
GB50482	0.0
GB42246	0.0
GB51481	0.024390244
GB52650	0.0
GB51734	0.024390244
GB51542,GB51542	0.024390244
GB53064	0.073170732
GB54031	0.024390244
GB47459	0.024390244
GB40678	0.0
GB53787	0.0
GB50807	0.078947368
GB43718	0.0
GB46618	0.0
GB47808	0.024390244
GB42921	0.0
GB54939	0.024390244
GB49511	0.024390244
GB54998	0.048780488
GB51512	0.0
GB41803	0.0
GB45348	0.12195122
GB54477	0.097560976
GB44193	0.027027027000000002
GB55911	0.0
GB54230	0.0
GB45612	0.024390244
GB51113,GB51113	0.048780488
GB45982	0.024390244
GB45114	0.0
GB42016	0.17073170699999998
GB45373	0.0
GB46526,GB42007	0.057142857000000005
GB55059	0.024390244
GB51692	0.0
GB52975	0.0
GB48556	0.0
GB40567	0.219512195
GB49517	0.024390244
GB55917	0.027777778
GB53133	0.073170732
GB44703	0.125
GB46925	0.024390244
GB42866	0.024390244
GB50406	0.05
GB44862,GB44862,GB44862	0.128205128
GB45530	0.024390244
GB48137	0.024390244
GB41888	0.025
GB50508,GB48687,GB50508	0.28571428600000004
GB41052	0.071428571
GB41454	0.024390244
GB44305	0.0
GB49977	0.146341463
GB43158	0.024390244
GB47113	0.0
GB52280	0.12195122
GB42740	0.0
GB43077	0.0
GB52321	0.05
GB42496	0.0
GB50749	0.05
GB42804	0.024390244
GB40206	0.0
GB51041	0.048780488
GB42244	0.073170732
GB43978	0.024390244
GB41149,GB41149	0.054054054000000004
GB53611	0.048780488
GB47568,GB42394	0.051282050999999995
GB55457	0.027777778
GB49541	0.025
GB52192	0.0
GB52993	0.048780488
GB50593,GB50593,GB50593	0.048780488
GB45135,GB45135	0.39024390200000003
GB43080	0.048780488
GB55764	0.0
GB48403,GB47348	0.35135135100000003
GB53205	0.0
GB45259	0.027027027000000002
GB47476	0.024390244
GB40134,GB40132,GB40132	0.4
GB41983	0.081081081
GB46045	0.15
GB55425	0.048780488
GB44523	0.027777778
GB54852	0.19512195100000002
GB50286	0.0
GB43446	0.0
GB45472	0.024390244
GB52426	0.024390244
GB55495	0.0
GB41746	0.024390244
GB53145,GB53145	0.097560976
GB47422	0.073170732
GB44252	0.0
GB43743	0.024390244
GB48932	0.024390244
GB49730	0.0
GB43140	0.0
GB40350	0.0
GB49373	0.048780488
GB53821	0.048780488
GB52346	0.0
GB52417	0.024390244
GB51246	0.097560976
GB42762	0.205128205
GB43369	0.024390244
GB41681	0.024390244
GB45512	0.0
GB46478	0.0
GB52779	0.12195122
GB52708	0.024390244
GB43497	0.073170732
GB50219	0.097560976
GB42875	0.31707317100000004
GB46689	0.024390244
GB55022	0.024390244
GB55574	0.048780488
GB41449	0.0
GB52907	0.0
GB42062	0.024390244
GB49045	0.2
GB50974	0.097560976
GB41893	0.131578947
GB51381	0.13888888900000002
GB44759	0.025
GB53140,GB53140	0.048780488
GB45064	0.026315789
GB50295	0.0
GB46613	0.0
GB40880	0.048780488
GB47351	0.12195122
GB55822	0.048780488
GB43137	0.024390244
GB49933	0.0
GB44021	0.0
GB50113	0.0
GB55142	0.0
GB42455,GB42455	0.048780488
GB52189	0.024390244
GB55995	0.0
GB51985	0.025
GB47271	0.048780488
GB52661	0.025
GB51515	0.024390244
GB41177	0.024390244
GB52436	0.0
GB49644	0.0
GB44198	0.026315789
GB55904	0.0
GB50700	0.05
GB52435	0.0
GB51502,GB43039	0.073170732
GB55540	0.0
GB54805	0.0
GB44359	0.024390244
GB43203	0.0
GB43480	0.0
GB53388	0.097560976
GB50400	0.175
GB53670	0.024390244
GB42979,GB42979	0.05
GB43238	0.024390244
GB51792	0.048780488
GB53725	0.097560976
GB44532	0.097560976
GB47368	0.0
GB54534	0.075
GB43662	0.129032258
GB51399	0.097560976
GB42423	0.0
GB43935	0.025
GB41909	0.0
GB41596	0.17073170699999998
GB47449	0.0
GB46490	0.125
GB53852	0.0
GB51895	0.0
GB55461	0.0
GB44416	0.024390244
GB47572	0.048780488
GB53970	0.0
GB47812	0.0
GB41714	0.0
GB54798	0.048780488
GB41747	0.055555556
GB47036,GB47036	0.17073170699999998
GB52079	0.0
GB47807	0.1
GB50184	0.073170732
GB45724	0.0
GB41366	0.0
GB52563	0.26829268300000003
GB44884	0.024390244
GB55787	0.024390244
GB54287	0.025
GB47179	0.097560976
GB53012	0.048780488
GB45937	0.146341463
GB53979	0.17073170699999998
GB42616	0.047619048
GB40361	0.024390244
GB54910	0.0
GB51965	0.0
GB43839,GB43839	0.19512195100000002
GB42646	0.025
GB54668,GB54668	0.024390244
GB45417	0.024390244
GB49111	0.024390244
GB43404,GB50225	0.7560975609999999
GB41839	0.0
GB46242	0.0
GB49544	0.48387096799999996
GB48113,GB48114	0.075
GB43456	0.0
GB52266	0.024390244
GB42751	0.097560976
GB53937	0.073170732
GB43216	0.0
GB42739	0.175
GB48775	0.0
GB54158	0.048780488
GB49859	0.0
GB55426	0.0
GB52947	0.0
GB45755	0.025
GB42735	0.048780488
GB47242	0.024390244
GB46599	0.0
GB50195	0.175
GB48625	0.0
GB52109	0.024390244
GB50635	0.073170732
GB49931	0.048780488
GB50660	0.0
GB48483	0.048780488
GB55378	0.0
GB49995	0.048780488
GB48523	0.024390244
GB42670	0.024390244
GB48639	0.0
GB40204	0.19512195100000002
GB44808	0.048780488
GB54551,GB54502	0.951219512
GB42058	0.0
GB45905	0.024390244
GB44117	0.048780488
GB45881	0.0
GB45690	0.025
GB52457	0.125
GB48530	0.024390244
GB48399,GB42391	0.024390244
GB49197,GB49197	0.073170732
GB50345	0.048780488
GB43730	0.073170732
GB44650	0.05
GB47231	0.0
GB52589	0.0
GB44754	0.024390244
GB53284	0.0
GB53353	0.027027027000000002
GB49388	0.0
GB49096	0.0
GB55658	0.073170732
GB40859	0.0
GB52541	0.0
GB55641,GB45533	0.097560976
GB40033	0.0
GB50395	0.0
GB42066	0.0
GB49844	0.024390244
GB41174	0.024390244
GB55751	0.0
GB47683	0.024390244
GB40280	0.025
GB40878	0.025
GB55002	0.0
GB51706	0.024390244
GB49921	0.0
GB44594	0.024390244
GB50204	0.0
GB54425	0.0
GB44933	0.0
GB54593	0.024390244
GB41507	0.048780488
GB51273	0.024390244
GB51852	0.0
GB43909	0.024390244
GB45970	0.041666667000000004
GB42683,GB52566	0.075
GB51775	0.081081081
GB44330	0.0
GB45277	0.45945945899999996
GB47414	0.0
GB48117	0.025
GB55225	0.1
GB54995	0.024390244
GB54893	0.0
GB41919,GB41921	0.057142857000000005
GB40581,GB40581	0.073170732
GB51219	0.048780488
GB45442	0.129032258
GB44429	0.0
GB47138	0.048780488
GB51133	0.024390244
GB42967	0.026315789
GB50959	0.024390244
GB51544	0.0
GB40603	0.075
GB51511,GB51511	0.048780488
GB48426	0.0
GB48396	0.073170732
GB46691	0.0
GB42220	0.05
GB54700	0.024390244
GB53083	0.0
GB51953	0.05
GB49406	0.0
GB53690	0.0
GB44912	0.0
GB51612	0.0
GB50141	0.0
GB53073	0.0
GB41723	0.0
GB52328	0.024390244
GB55820	0.025
GB46016	0.048780488
GB43407	0.0
GB43945	0.048780488
GB52916	0.0
GB45968	0.024390244
GB48247	0.0
GB41900	0.0
GB43074	0.0
GB45623	0.0
GB54273	0.073170732
GB47961,GB41597	0.026315789
GB47437	0.048780488
GB51134	0.073170732
GB49642	0.073170732
GB42756	0.073170732
GB53963,GB50291	0.024390244
GB44414	0.024390244
GB53825	0.0
GB55715	0.0
GB54378	0.048780488
GB43239	0.05
GB55775	0.0
GB45212	0.0
GB54348	0.0
GB53306	0.0
GB55146	0.048780488
GB49438,GB49438	0.024390244
GB55826	0.051282050999999995
GB44890	0.0
GB45762	0.0
GB54649	0.0
GB51748	0.024390244
GB53231	0.024390244
GB54780	0.025
GB54127	0.024390244
GB54921,GB54921	0.05
GB43465,GB41957	0.027027027000000002
GB55770	0.024390244
GB48158	0.0
GB48463	0.068965517
GB51696	0.243243243
GB46731	0.0
GB45370	0.097560976
GB52304	0.0
GB46018	0.024390244
GB54119	0.0
GB43470	0.024390244
GB53865,GB53865,GB53865	0.025
GB53651	0.0
GB50246	0.024390244
GB45564	0.052631579000000005
GB40657	0.0
GB47280	0.025
GB54269	0.0
GB48229	0.1
GB55578	0.0
GB44174	0.0
GB54885	0.024390244
GB42076	0.0
GB49290	0.131578947
GB40316	0.025
GB42925	0.025
GB45967	0.146341463
GB51702	0.0
GB43817	0.057142857000000005
GB50133	0.024390244
GB52224	0.0
GB48347	0.024390244
GB55567	0.0
GB55579	0.024390244
GB55239	0.0
GB40803	0.024390244
GB45646	0.0
GB40893	0.024390244
GB53657	0.024390244
GB48923	0.024390244
GB42731	0.0
GB44648,GB44647	0.951219512
GB51120	0.0
GB45214	0.097560976
GB44881	0.0
GB45084	0.027027027000000002
GB55244	0.0
GB54035	0.025
GB54213	0.05
GB50359	0.073170732
GB53606	0.0
GB50369	0.048780488
GB54664	0.048780488
GB44000	0.05
GB42977	0.048780488
GB41345	0.0
GB49680	0.0
GB51693	0.0
GB49480,GB49480	0.048780488
GB46693	0.0
GB50538	0.0
GB53122,GB53118,GB49568	0.951219512
GB43908	0.43902439
GB52086	0.0
GB54143,GB54143	0.097560976
GB41883	0.0
GB40420	0.048780488
GB51500	0.097560976
GB42401	0.097560976
GB54313	0.0
GB50605,GB50606	0.1875
GB46982	0.025641026
GB52165	0.0
GB45001	0.0
GB49755	0.0
GB55272	0.024390244
GB49184	0.0
GB42138	0.025
GB40823	0.21052631600000002
GB51130	0.0
GB40014	0.024390244
GB55164	0.073170732
GB53384	0.075
GB50997	0.0
GB44247	0.0
GB42619	0.083333333
GB48949	0.0
GB52249	0.0
GB42505	0.033333333
GB50224,GB50224	0.025
GB41423	0.0
GB55746	0.081081081
GB42054,GB42054	0.097560976
GB54206	0.0
GB51242	0.027777778
GB47208	0.0
GB44906	0.0
GB55913	0.0
GB42200	0.0
GB45958	0.029411765
GB42763	0.0
GB52567	0.048780488
GB50958	0.0
GB54198	0.048780488
GB40400	0.073170732
GB47428	0.024390244
GB53243	0.0
GB42773	0.0
GB40627	0.097560976
GB53396	0.048780488
GB48097	0.076923077
GB50415	0.0
GB55790	0.12195122
GB40310	0.025641026
GB46457	0.024390244
GB53089	0.024390244
GB51159	0.027777778
GB51348,GB51348	0.026315789
GB40017	0.0
GB55847	0.0
GB42844	0.146341463
GB55411	0.0
GB45479	0.024390244
GB53791,GB53791	0.097560976
GB43463	0.0
GB43093	0.027777778
GB48074	0.1
GB44885	0.025
GB53173	0.0
GB50743	0.073170732
GB44321	0.025
GB54053	0.024390244
GB55573	0.0
GB54216	0.0
GB45284	0.048780488
GB46739	0.073170732
GB48474	0.0
GB54225,GB54226,GB54226	0.097560976
GB41855	0.025
GB43881	0.0
GB52989	0.097560976
GB45873	0.048780488
GB44537	0.0
GB44067	0.0
GB49223	0.0
GB54389	0.024390244
GB46212	0.0
GB54625	0.024390244
GB43567	0.0
GB41424	0.024390244
GB55188	0.05
GB43685	0.0
GB51717	0.0
GB43556	0.073170732
GB44027	0.0
GB44433	0.0
GB41122	0.024390244
GB49320	0.0
GB52106	0.024390244
GB49325	0.0
GB54582	0.09677419400000001
GB53740	0.0
GB46800	0.025641026
GB42325	0.05
GB41608	0.0
GB54751	0.076923077
GB54600	0.024390244
GB55618	0.0
GB44155	0.028571429
GB42352	0.048780488
GB43314	0.051282050999999995
GB45156	0.0
GB52673	0.0
GB48261	0.025
GB49391	0.0
GB40676	0.0
GB41450	0.0
GB54592	0.225
GB50669	0.0
GB47894	0.2
GB45292	0.025
GB41601	0.0
GB41680	0.0
GB54176	0.097560976
GB48946	0.0
GB50419	0.024390244
GB52618	0.097560976
GB49800	0.0
GB51641	0.0
GB49419	0.05
GB48263	0.027027027000000002
GB43163	0.0
GB51189	0.024390244
GB42201	0.073170732
GB41592	0.0
GB40774	0.024390244
GB51745	0.05
GB45388,GB51874	0.048780488
GB44709	0.027027027000000002
GB44535	0.0
GB41356	0.041666667000000004
GB55793,GB55793	0.024390244
GB40100	0.0
GB52453	0.0
GB42853	0.1
GB43276	0.0
GB50789	0.0
GB45360	0.0
GB53011	0.024390244
GB55854	0.024390244
GB41278,GB49900	0.076923077
GB50283,GB50283	0.095238095
GB51210	0.024390244
GB45355	0.15
GB49126	0.0
GB45138	0.048780488
GB42847,GB48093	0.024390244
GB41875	0.0
GB42894,GB42894	0.048780488
GB40203	0.075
GB52679	0.024390244
GB55907	0.081081081
GB48571	0.024390244
GB46301	0.026315789
GB53021	0.0
GB54609	0.05
GB40598	0.048780488
GB41226	0.0
GB40507	0.0
GB52432,GB54695	0.05
GB51355	0.0
GB40515	0.0
GB46251	0.0
GB48162	0.048780488
GB44510	0.048780488
GB40740	0.073170732
GB40540	0.0
GB55700	0.0
GB44481	0.024390244
GB48375	0.073170732
GB46487	0.027777778
GB47339	0.0
GB43189	0.225
GB43899	0.024390244
GB40818	0.048780488
GB48925	0.024390244
GB50971	0.0
GB41783	0.073170732
GB49150	0.024390244
GB53989	0.166666667
GB42548	0.027027027000000002
GB47195	0.1
GB51940	0.073170732
GB48551	0.024390244
GB54843	0.024390244
GB51763	0.024390244
GB46271	0.024390244
GB44263	0.0
GB41378	0.028571429
GB48997	0.027027027000000002
GB41629	0.024390244
GB55627	0.0
GB54680	0.048780488
GB54114	0.0
GB40263	0.05
GB41835	0.0
GB42579	0.0
GB55723	0.075
GB46886	0.0
GB42222	0.0
GB55973	0.0
GB43198	0.0
GB46262,GB46260,GB46262	0.146341463
GB53737	0.0
GB50171	0.024390244
GB52849	0.0
GB44029	0.097560976
GB41297	0.025
GB45195	0.0
GB55644	0.027027027000000002
GB44758	0.0
GB55801	0.0
GB51422	0.025
GB54909	0.0
GB45142	0.024390244
GB55008,GB49845	0.926829268
GB44643	0.024390244
GB40845	0.024390244
GB42150	0.19512195100000002
GB43857	0.0
GB41193	0.12195122
GB52171	0.051282050999999995
GB42869,GB50987	0.897435897
GB55652	0.097560976
GB53974	0.025
GB55714	0.0
GB54263	0.0
GB41038	0.0
GB49426	0.0
GB43786	0.0
GB45694	0.0
GB47182	0.0
GB47632	0.0
GB43562	0.0
GB41869	0.0
GB43722	0.048780488
GB45229	0.1
GB41810	0.048780488
GB48101	0.0
GB47625,GB42004	0.125
GB47596,GB47596	0.073170732
GB44743	0.048780488
GB55352	0.0
GB50814	0.024390244
GB40025	0.024390244
GB44779	0.0
GB46362	0.048780488
GB51016,GB51016	0.060606060999999996
GB51111	0.0
GB49026	0.024390244
GB50819	0.024390244
GB46114	0.0
GB47918,GB56032	0.7560975609999999
GB45091	0.025
GB53540	0.0
GB51649	0.073170732
GB43338	0.0
GB48487	0.0
GB49459	0.0
GB44646	0.0
GB45819,GB42408,GB44278,GB44278,GB42409	0.9024390240000001
GB45679	0.05
GB52212,GB52212	0.75
GB42152	0.0
GB55557	0.05
GB50525	0.125
GB41547	0.051282050999999995
GB46509	0.048780488
GB44947	0.048780488
GB41804	0.219512195
GB47925	0.024390244
GB47468	0.0
GB53729	0.0
GB43234	0.12195122
GB41668	0.024390244
GB44896	0.024390244
GB48821	0.0
GB52084	0.024390244
GB47888	0.0
GB40075	0.0
GB43892	0.0
GB40706	0.024390244
GB45389	0.024390244
GB45693,GB45693	0.024390244
GB42942	0.048780488
GB51185	0.032258065
GB54803	0.12195122
GB49297	0.0
GB44216,GB44968,GB50868,GB54361	1.0
GB55492	0.0
GB41744	0.0
GB48658	0.048780488
GB42603,GB42808,GB42885	1.0
GB47391	0.024390244
GB48336	0.0
GB50104	0.0
GB49042	0.024390244
GB42484	0.128205128
GB47091	0.0
GB54169	0.024390244
GB50372	0.0
GB44624	0.15789473699999998
GB48868	0.075
GB43855	0.0
GB41722	0.03125
GB40414	0.0
GB42895	0.097560976
GB40916,GB46759	0.853658537
GB54959	0.05
GB52737	0.024390244
GB50854	0.0
GB54092	0.0
GB43160	0.0
GB40741	0.0
GB40341	0.048780488
GB44034	0.024390244
GB46963	0.05
GB53697	0.0
GB49193	0.0
GB41649	0.0
GB47204	0.048780488
GB43157	0.027777778
GB50909,GB50909	0.054054054000000004
GB49537	0.097560976
GB42418	0.0
GB42669	0.0
GB47309	0.025641026
GB43874	0.0
GB54953	0.025
GB47950	0.0
GB41734	0.073170732
GB48031	0.0
GB43264	0.03125
GB55645	0.0
GB41035	0.0
GB48001	0.0
GB40283	0.0
GB41544,GB41544	0.051282050999999995
GB40016	0.0
GB40504	0.024390244
GB48254	0.0
GB44126	0.0
GB40977	0.0
GB53676	0.048780488
GB52253	0.024390244
GB55880,GB41941	0.025641026
GB41406	0.0
GB54246	0.073170732
GB46813	0.025
GB44649	0.0
GB44291	0.0
GB47970	0.024390244
GB52021	0.076923077
GB53343	0.03125
GB41239	0.0
GB50769	0.0
GB41494	0.0
GB51812	0.41176470600000004
GB48531	0.609756098
GB51045	0.048780488
GB54606	0.0
GB50161	0.305555556
GB53531,GB53570,GB53570	0.85
GB47418	0.024390244
GB45719	0.0
GB49084	0.024390244
GB48881	0.0
GB53976	0.048780488
GB50135	0.024390244
GB48422	0.073170732
GB48167	0.0
GB48573	0.233333333
GB44411	0.025
GB50949	0.024390244
GB41233	0.0
GB54137	0.034482759
GB46713	0.0
GB47889	0.125
GB48834	0.0
GB48232	0.0
GB50470	0.0
GB53605	0.0
GB47185	0.0
GB54723	0.0
GB52077	0.05
GB47963	0.0
GB43185	0.075
GB55837,GB55837	0.024390244
GB41775	0.0
GB42814	0.024390244
GB55675	0.073170732
GB53713	0.048780488
GB45266	0.0
GB49941	0.0
GB44062	0.0
GB53802	0.0
GB42835	0.0
GB53721	0.073170732
GB49108	0.0
GB40763	0.024390244
GB40672	0.024390244
GB45179	0.028571429
GB52010	0.0
GB49804	0.025
GB52526	0.024390244
GB48339	0.073170732
GB50038	0.0
GB50101	0.0
GB55381	0.0
GB50212	0.0
GB42037	0.073170732
GB49174	0.0
GB55015	0.024390244
GB53859	0.0
GB51705	0.052631579000000005
GB41740,GB41740	0.097560976
GB49489	0.073170732
GB48601	0.024390244
GB40028	0.05
GB43736	0.0
GB49567,GB49564	0.073170732
GB50421	0.0
GB53710	0.0
GB40928	0.0
GB53616	0.0
GB50695	0.0
GB53036	0.0
GB45009	0.0
GB55766	0.0
GB50020	0.024390244
GB46879	0.024390244
GB53956	0.0
GB46217	0.0
GB53262	0.024390244
GB46751	0.0
GB50947	0.048780488
GB48061	0.024390244
GB45758,GB53875	0.073170732
GB44762	0.024390244
GB47239	0.024390244
GB43220	0.146341463
GB52144	0.0
GB40357	0.024390244
GB54109	0.073170732
GB54602	0.024390244
GB44445	0.024390244
GB50650	0.073170732
GB48425	0.0
GB48665,GB48665	0.048780488
GB47746	0.024390244
GB40908	0.024390244
GB41444	0.048780488
GB46563	0.0
GB41465	0.024390244
GB41165	0.048780488
GB47615	0.024390244
GB44009	0.048780488
GB51035	0.0
GB44602	0.0
GB49686	0.024390244
GB42493	0.026315789
GB49409	0.024390244
GB46818	0.0
GB43917	0.025641026
GB45686	0.0
GB49366	0.0
GB45536	0.024390244
GB49911	0.048780488
GB45150	0.024390244
GB54773	0.024390244
GB47281	0.0
GB42236	0.055555556
GB51391	0.0
GB47466	0.0
GB45272	0.0
GB44061	0.025641026
GB44679	0.0
GB47269	0.024390244
GB44065	0.076923077
GB54906	0.048780488
GB54260,GB54260	0.075
GB50837	0.12195122
GB41860	0.243902439
GB51060	0.0
GB52611	0.048780488
GB54716,GB49620	0.05
GB55936	0.17073170699999998
GB43439	0.025641026
GB42414	0.0
GB46724	0.024390244
GB41694	0.048780488
GB46696,GB46966,GB46966	0.048780488
GB46510	0.097560976
GB46035	0.0
GB44338	0.024390244
GB54395	0.0
GB51715	0.0
GB55292	0.048780488
GB53357	0.024390244
GB40594	0.0
GB52601	0.05
GB52701	0.219512195
GB40565	0.0
GB51124	0.025
GB40453	0.024390244
GB53592	0.0
GB50150	0.0
GB55523	0.024390244
GB52198	0.048780488
GB54774,GB54774	0.097560976
GB53662	0.0
GB45932	0.027027027000000002
GB45760	0.024390244
GB41836	0.0
GB43178	0.024390244
GB52592	0.0
GB47039	0.048780488
GB55323	0.0
GB42183	0.025
GB49298	0.073170732
GB49246	0.0
GB45776	0.0
GB41246,GB41246	0.057142857000000005
GB46344	0.048780488
GB55362	0.027027027000000002
GB45351	0.026315789
GB43467	0.024390244
GB41288	0.027777778
GB44538	0.0
GB45735	0.035714286
GB47254	0.0
GB46594	0.0
GB45225	0.048780488
GB54738	0.024390244
GB55486	0.024390244
GB54987	0.0
GB49947	0.025
GB49985	0.0
GB44573	0.048780488
GB46479	0.024390244
GB53688	0.0
GB45683	0.024390244
GB46047	0.03030303
GB41347	0.0
GB54366	0.0
GB47844	0.024390244
GB46196	0.0
GB51221	0.0
GB45378	0.048780488
GB53798	0.470588235
GB43123,GB43123	0.222222222
GB47249	0.0
GB45300	0.024390244
GB46070	0.0
GB54531,GB54533	0.19512195100000002
GB53066	0.0
GB47589	0.0
GB53647	0.0
GB49186	0.0
GB54657	0.0
GB50459	0.0
GB48589,GB51445	0.05
GB43186	0.0
GB49301	0.0
GB52114,GB52114	0.025
GB43901	0.0
GB42360,GB43747	0.097560976
GB40405	0.162162162
GB46745	0.028571429
GB54758	0.024390244
GB41117	0.025
GB45014	0.0
GB44940	0.048780488
GB43618	0.024390244
GB45106	0.0
GB41305	0.025
GB53339	0.0
GB41609	0.0
GB54204	0.55
GB49468	0.024390244
GB49080,GB51901	0.975609756
GB44798	0.0
GB42241	0.024390244
GB53009,GB49239,GB47762	1.0
GB40802	0.0
GB40744	0.0
GB45557	0.0
GB46894	0.078947368
GB44550	0.024390244
GB50943	0.024390244
GB46342	0.0
GB54718	0.0
GB47633	0.025
GB46878,GB46878	0.076923077
GB49268	0.184210526
GB44060	0.0
GB45155	0.024390244
GB49556	0.024390244
GB45029	0.0
GB46700	0.10526315800000001
GB54338	0.35897435899999997
GB52291	0.117647059
GB43707	0.12195122
GB54496	0.076923077
GB47201	0.027027027000000002
GB46593	0.025641026
GB41076	0.0
GB49322	0.048780488
GB53530	0.0
GB54505	0.0
GB47477	0.0
GB44934	0.0
GB45517	0.024390244
GB55033	0.048780488
GB55525	0.0
GB45120	0.048780488
GB43983,GB43983	0.075
GB45235	0.0
GB51613	0.0
GB44551	0.05
GB44554	0.024390244
GB55631	0.0
GB46579	0.054054054000000004
GB45502	0.05
GB47732	0.048780488
GB51385	0.0
GB48007	0.073170732
GB53934	0.024390244
GB46877	0.024390244
GB52988	0.0
GB45107	0.024390244
GB43579	0.0
GB51847	0.0
GB48940	0.0
GB47307	0.0
GB45395	0.205128205
GB51591,GB51591	0.073170732
GB52691,GB54193	0.365853659
GB40719	0.034482759
GB54775	0.0
GB47667	0.0
GB55280	0.0
GB45054	0.0
