gene	WGA
GB43369	0.45
GB41681	0.81
GB45512	0.77
GB46478	0.87
GB52779	0.93
GB52708	0.67
GB43497	0.45
GB50219	0.58
GB42875	0.95
GB46689	0.92
GB55022	0.81
GB55574	0.62
GB41449	0.8
GB52907	0.75
GB42062	0.71
GB49045	0.96
GB50974	0.7
GB41893	0.47
GB51381	0.78
GB44759	0.84
GB53140,GB53140	0.83
GB45064	0.64
GB50295	0.49
GB46613	0.92
GB40880	0.7
GB47351	0.63
GB55822	0.56
GB43137	0.63
GB49933	0.81
GB44021	0.81
GB50113	0.89
GB55142	0.91
GB42455,GB42455	0.87
GB52189	0.79
GB55995	0.44
GB51985	0.94
GB47271	0.93
GB52661	0.68
GB51515	0.61
GB41177	0.87
GB52436	0.96
GB49644	0.8
GB44198	0.73
GB55904	0.92
GB50700	0.59
GB52435	0.93
GB51502,GB43039	0.785
GB55540	0.97
GB54805	0.91
GB44359	0.88
GB43203	0.78
GB43480	0.89
GB53388	0.74
GB50400	0.84
GB53670	0.9
GB42979,GB42979	0.78
GB43238	0.8
GB51792	0.79
GB53725	0.92
GB44532	0.58
GB47368	0.65
GB54534	0.9
GB43662	0.48
GB51399	0.86
GB42423	0.43
GB43935	0.49
GB41909	0.76
GB41596	0.38
GB47449	0.97
GB46490	0.75
GB53852	0.83
GB51895	0.91
GB55461	0.93
GB44416	0.88
GB47572	0.89
GB53970	0.68
GB47812	0.82
GB41714	0.94
GB54798	0.83
GB41747	0.45
GB47036,GB47036	0.54
GB52079	0.95
GB47807	0.74
GB50184	0.51
GB45724	0.67
GB41366	0.95
GB52563	0.76
GB44884	0.85
GB55787	0.91
GB54287	0.93
GB47179	0.76
GB53012	0.53
GB45937	0.68
GB53979	0.41
GB42616	0.7
GB40361	0.91
GB54910	0.93
GB51965	0.93
GB43839,GB43839	0.72
GB42646	0.46
GB54668,GB54668	0.65
GB45417	0.78
GB49111	0.76
GB43404,GB50225	0.755
GB41839	0.98
GB46242	0.91
GB49544	0.92
GB48113,GB48114	0.865
GB43456	0.82
GB52266	0.47
GB42751	0.84
GB53937	0.86
GB43216	0.69
GB42739	0.67
GB48775	0.98
GB54158	0.98
GB49859	0.86
GB55426	0.55
GB52947	0.89
GB45755	0.78
GB42735	0.79
GB47242	0.47
GB46599	0.96
GB50195	0.95
GB48625	0.38
GB52109	0.61
GB50635	0.81
GB49931	0.38
GB50660	0.94
GB48483	0.87
GB55378	0.63
GB49995	0.9
GB48523	0.9
GB42670	1.0
GB48639	0.61
GB40204	0.95
GB44808	0.74
GB54551,GB54502	0.83
GB42058	0.83
GB45905	0.59
GB44117	0.7
GB45881	0.72
GB45690	0.92
GB52457	0.89
GB48530	0.98
GB48399,GB42391	0.995
GB49197,GB49197	0.92
GB50345	0.91
GB43730	0.93
GB44650	0.94
GB47231	0.95
GB52589	0.89
GB44754	0.9
GB53284	0.38
GB53353	0.66
GB49388	0.92
GB49096	0.94
GB55658	0.88
GB40859	0.99
GB52541	0.94
GB55641,GB45533	0.95
GB40033	0.66
GB50395	0.5
GB42066	0.25
GB49844	0.96
GB41174	0.89
GB55751	0.91
GB47683	0.92
GB40280	0.62
GB40878	0.71
GB55002	0.99
GB51706	0.87
GB49921	0.59
GB44594	0.82
GB50204	0.94
GB54425	0.91
GB44933	0.96
GB54593	0.78
GB41507	0.72
GB51273	0.85
GB51852	0.83
GB43909	0.7
GB45970	0.77
GB42683,GB52566	0.85
GB51775	0.75
GB44330	0.41
GB45277	0.87
GB47414	0.94
GB48117	0.91
GB55225	0.63
GB54995	0.65
GB54893	0.51
GB41919,GB41921	0.385
GB40581,GB40581	0.81
GB51219	0.43
GB45442	0.79
GB44429	0.98
GB47138	0.56
GB51133	0.84
GB42967	0.9
GB50959	0.91
GB51544	0.95
GB40603	0.61
GB51511,GB51511	0.74
GB48426	0.99
GB48396	0.99
GB46691	0.9
GB42220	0.77
GB54700	0.83
GB53083	0.86
GB51953	0.56
GB49406	0.94
GB53690	0.68
GB44912	0.94
GB51612	0.7
GB50141	0.94
GB53073	1.0
GB41723	0.86
GB52328	0.66
GB55820	0.59
GB46016	0.79
GB43407	0.39
GB43945	0.92
GB52916	0.94
GB45968	0.75
GB48247	0.86
GB41900	0.51
GB43074	0.63
GB45623	0.78
GB54273	0.76
GB47961,GB41597	0.89
GB47437	0.44
GB51134	0.68
GB49642	0.95
GB42756	0.78
GB53963,GB50291	0.69
GB44414	0.94
GB53825	0.92
GB55715	0.51
GB54378	0.92
GB43239	0.77
GB55775	0.94
GB45212	0.87
GB54348	0.53
GB53306	0.82
GB55146	0.73
GB49438,GB49438	0.67
GB55826	0.96
GB44890	0.91
GB45762	0.88
GB54649	0.9
GB51748	0.45
GB53231	0.64
GB54780	0.97
GB54127	0.63
GB54921,GB54921	0.16
GB43465,GB41957	0.79
GB55770	0.92
GB48158	0.83
GB48463	0.65
GB51696	0.73
GB46731	0.94
GB45370	0.84
GB52304	0.54
GB46018	0.77
GB54119	0.95
GB43470	0.95
GB53865,GB53865,GB53865	0.69
GB53651	0.89
GB50246	0.96
GB45564	0.46
GB40657	0.57
GB47280	0.94
GB54269	0.92
GB48229	0.69
GB55578	0.68
GB44174	0.83
GB54885	0.53
GB42076	0.82
GB49290	0.67
GB40316	0.42
GB42925	0.71
GB45967	0.76
GB51702	0.87
GB43817	0.76
GB50133	0.86
GB52224	0.72
GB48347	0.83
GB55567	0.76
GB55579	0.86
GB55239	0.41
GB40803	0.95
GB45646	0.71
GB40893	0.95
GB53657	0.93
GB48923	0.79
GB42731	0.98
GB44648,GB44647	0.77
GB51120	0.73
GB45214	0.88
GB44881	0.93
GB45084	0.89
GB55244	0.83
GB54035	0.89
GB54213	0.79
GB50359	0.87
GB53606	0.88
GB50369	0.79
GB54664	0.84
GB44000	0.88
GB42977	0.66
GB41345	0.87
GB49680	0.93
GB51693	0.77
GB49480,GB49480	0.67
GB46693	0.99
GB50538	0.78
GB53122,GB53118,GB49568	0.5033333329999999
GB43908	0.6
GB52086	0.89
GB54143,GB54143	0.71
GB41883	0.82
GB40420	0.78
GB51500	0.74
GB42401	0.76
GB54313	0.51
GB50605,GB50606	0.955
GB46982	0.55
GB52165	0.93
GB45001	0.78
GB49755	0.62
GB55272	0.72
GB49184	0.65
GB42138	0.93
GB40823	0.8
GB51130	0.94
GB40014	0.92
GB55164	0.56
GB53384	0.79
GB50997	0.79
GB44247	0.8
GB42619	0.69
GB48949	0.93
GB52249	0.77
GB42505	0.53
GB50224,GB50224	0.52
GB41423	0.97
GB55746	0.79
GB42054,GB42054	0.5
GB54206	0.52
GB51242	0.54
GB47208	0.92
GB44906	0.92
GB55913	0.89
GB42200	0.78
GB45958	0.87
GB42763	0.72
GB52567	0.93
GB50958	0.86
GB54198	0.8
GB40400	0.91
GB47428	0.89
GB53243	0.85
GB42773	0.92
GB40627	0.74
GB53396	0.45
GB48097	0.33
GB50415	0.67
GB55790	0.87
GB40310	0.71
GB46457	0.95
GB53089	0.96
GB51159	0.82
GB51348,GB51348	0.82
GB40017	0.89
GB55847	0.98
GB42844	0.87
GB55411	0.75
GB45479	0.85
GB53791,GB53791	0.57
GB43463	0.84
GB43093	0.75
GB48074	0.79
GB44885	0.87
GB53173	1.0
GB50743	0.92
GB44321	0.84
GB54053	0.82
GB55573	0.95
GB54216	0.87
GB45284	0.72
GB46739	0.47
GB48474	0.54
GB54225,GB54226,GB54226	0.586666667
GB41855	0.65
GB43881	0.54
GB52989	0.84
GB45873	0.94
GB44537	0.89
GB44067	0.91
GB49223	0.79
GB54389	0.69
GB46212	0.76
GB54625	0.56
GB43567	0.94
GB41424	0.81
GB55188	0.71
GB43685	0.65
GB51717	1.0
GB43556	0.85
GB44027	0.97
GB44433	0.94
GB41122	0.98
GB49320	0.57
GB52106	0.54
GB49325	1.0
GB54582	0.93
GB53740	0.71
GB46800	0.75
GB42325	0.65
GB41608	0.92
GB54751	0.96
GB54600	0.85
GB55618	0.47
GB44155	0.9
GB42352	0.89
GB43314	0.49
GB45156	0.76
GB52673	0.84
GB48261	0.96
GB49391	0.65
GB40676	0.94
GB41450	0.71
GB54592	0.91
GB50669	0.92
GB47894	0.59
GB45292	0.34
GB41601	0.86
GB41680	0.69
GB54176	0.92
GB48946	0.94
GB50419	0.96
GB52618	0.82
GB49800	0.97
GB51641	0.41
GB49419	0.75
GB48263	0.77
GB43163	0.79
GB51189	0.76
GB42201	0.55
GB41592	0.87
GB40774	0.9
GB51745	0.87
GB45388,GB51874	0.795
GB44709	0.53
GB44535	0.95
GB41356	0.5
GB55793,GB55793	0.87
GB40100	0.96
GB52453	0.89
GB42853	0.83
GB43276	0.68
GB50789	0.73
GB45360	0.87
GB53011	0.6
GB55854	0.94
GB41278,GB49900	0.625
GB50283,GB50283	0.49
GB51210	0.49
GB45355	0.94
GB49126	0.88
GB45138	0.49
GB42847,GB48093	0.865
GB41875	0.78
GB42894,GB42894	0.65
GB40203	0.86
GB52679	0.94
GB55907	0.55
GB48571	0.62
GB46301	0.8
GB53021	0.97
GB54609	0.83
GB40598	0.76
GB41226	0.63
GB40507	0.85
GB52432,GB54695	0.8
GB51355	0.71
GB40515	0.76
GB46251	0.82
GB48162	0.58
GB44510	0.88
GB40740	0.55
GB40540	0.98
GB55700	0.89
GB44481	0.34
GB48375	0.52
GB46487	0.62
GB47339	0.82
GB43189	0.83
GB43899	0.93
GB40818	0.48
GB48925	0.96
GB50971	0.63
GB41783	0.98
GB49150	0.43
GB53989	0.55
GB42548	0.54
GB47195	0.77
GB51940	0.77
GB48551	0.88
GB54843	0.88
GB51763	0.59
GB46271	0.98
GB44263	0.89
GB41378	0.83
GB48997	0.93
GB41629	0.72
GB55627	0.99
GB54680	0.76
GB54114	0.55
GB40263	0.62
GB41835	0.91
GB42579	0.7
GB55723	0.88
GB46886	0.82
GB42222	0.96
GB55973	0.59
GB43198	0.74
GB46262,GB46260,GB46262	0.736666667
GB53737	0.79
GB50171	0.92
GB52849	0.77
GB44029	0.85
GB41297	0.72
GB45195	0.92
GB55644	0.91
GB44758	0.86
GB55801	0.87
GB51422	0.59
GB54909	0.94
GB45142	0.47
GB55008,GB49845	0.775
GB44643	0.95
GB40845	0.9
GB42150	0.59
GB43857	0.39
GB41193	0.41
GB52171	0.68
GB42869,GB50987	0.865
GB55652	0.66
GB53974	0.9
GB55714	0.76
GB54263	0.92
GB41038	0.98
GB49426	0.84
GB43786	0.66
GB45694	0.79
GB47182	0.84
GB47632	0.63
GB43562	0.85
GB41869	0.93
GB43722	0.72
GB45229	0.92
GB41810	0.94
GB48101	0.89
GB47625,GB42004	0.585
GB47596,GB47596	0.9
GB44743	0.91
GB55352	0.98
GB50814	0.84
GB40025	0.67
GB44779	0.9
GB46362	0.67
GB51016,GB51016	0.85
GB51111	0.89
GB49026	0.89
GB50819	0.9
GB46114	0.65
GB47918,GB56032	0.64
GB45091	0.71
GB53540	0.92
GB51649	0.92
GB43338	0.71
GB48487	0.94
GB49459	0.9
GB44646	0.66
GB45819,GB42408,GB44278,GB44278,GB42409	0.54
GB45679	0.88
GB52212,GB52212	0.83
GB42152	0.9
GB55557	0.88
GB50525	0.6
GB41547	0.58
GB46509	0.91
GB44947	0.44
GB41804	0.93
GB47925	0.94
GB47468	0.92
GB53729	0.91
GB43234	0.65
GB41668	0.88
GB44896	0.88
GB48821	0.85
GB52084	0.88
GB47888	0.92
GB40075	0.96
GB43892	0.88
GB40706	0.94
GB45389	0.76
GB45693,GB45693	0.92
GB42942	0.55
GB51185	0.6
GB54803	0.43
GB49297	0.9
GB44216,GB44968,GB50868,GB54361	0.3575
GB55492	0.23
GB41744	0.7
GB48658	0.82
GB42603,GB42808,GB42885	0.47
GB47391	0.29
GB48336	0.59
GB50104	0.9
GB49042	0.91
GB42484	0.66
GB47091	0.36
GB54169	0.95
GB50372	0.93
GB44624	0.2
GB48868	0.8
GB43855	0.76
GB41722	0.87
GB40414	0.92
GB42895	0.75
GB40916,GB46759	0.525
GB54959	0.75
GB52737	0.93
GB50854	0.93
GB54092	0.9
GB43160	0.95
GB40741	0.91
GB40341	0.94
GB44034	0.95
GB46963	0.93
GB53697	0.94
GB49193	0.87
GB41649	0.99
GB47204	0.9
GB43157	0.95
GB50909,GB50909	0.54
GB49537	0.68
GB42418	0.58
GB42669	0.93
GB47309	0.81
GB43874	0.93
GB54953	0.85
GB47950	0.78
GB41734	0.46
GB48031	0.92
GB43264	0.96
GB55645	0.89
GB41035	0.79
GB48001	0.82
GB40283	0.57
GB41544,GB41544	0.53
GB40016	0.57
GB40504	0.59
GB48254	0.76
GB44126	0.49
GB40977	0.94
GB53676	0.92
GB52253	0.62
GB55880,GB41941	0.455
GB41406	0.6
GB54246	0.48
GB46813	0.59
GB44649	0.78
GB44291	0.93
GB47970	0.7
GB52021	0.72
GB53343	0.77
GB41239	0.88
GB50769	0.6
GB41494	0.76
GB51812	0.88
GB48531	0.78
GB51045	0.74
GB54606	0.84
GB50161	0.97
GB53531,GB53570,GB53570	0.51
GB47418	0.9
GB45719	0.93
GB49084	0.95
GB48881	0.68
GB53976	0.42
GB50135	0.89
GB48422	0.97
GB48167	0.88
GB48573	0.91
GB44411	0.84
GB50949	0.92
GB41233	0.87
GB54137	0.19
GB46713	0.94
GB47889	0.82
GB48834	0.95
GB48232	0.78
GB50470	0.87
GB53605	0.9
GB47185	0.57
GB54723	0.63
GB52077	0.73
GB47963	0.91
GB43185	0.92
GB55837,GB55837	0.65
GB41775	0.96
GB42814	0.9
GB55675	0.48
GB53713	0.83
GB45266	0.8
GB49941	0.6
GB44062	0.87
GB53802	0.78
GB42835	0.8
GB53721	0.8
GB49108	0.88
GB40763	0.35
GB40672	0.89
GB45179	0.94
GB52010	0.95
GB49804	0.9
GB52526	0.94
GB48339	0.89
GB50038	0.94
GB50101	0.51
GB55381	0.93
GB50212	0.88
GB42037	0.92
GB49174	0.9
GB55015	0.89
GB53859	0.62
GB51705	0.82
GB41740,GB41740	0.92
GB49489	0.95
GB48601	0.87
GB40028	0.51
GB43736	0.93
GB49567,GB49564	0.625
GB50421	0.83
GB53710	0.94
GB40928	0.85
GB53616	0.72
GB50695	0.9
GB53036	0.98
GB45009	0.74
GB55766	0.9
GB50020	0.89
GB46879	0.91
GB53956	0.91
GB46217	0.81
GB53262	0.8
GB46751	0.97
GB50947	0.94
GB48061	0.84
GB45758,GB53875	0.64
GB44762	0.67
GB47239	0.94
GB43220	0.59
GB52144	0.57
GB40357	0.81
GB54109	0.82
GB54602	0.86
GB44445	0.69
GB50650	0.8
GB48425	0.66
GB48665,GB48665	0.38
GB47746	0.87
GB40908	0.44
GB41444	0.32
GB46563	0.83
GB41465	0.83
GB41165	0.91
GB47615	0.68
GB44009	0.75
GB51035	0.91
GB44602	0.7
GB49686	0.56
GB42493	0.86
GB49409	0.85
GB46818	0.73
GB43917	0.93
GB45686	0.9
GB49366	0.88
GB45536	0.8
GB49911	0.87
GB45150	0.48
GB54773	0.64
GB47281	0.85
GB42236	0.89
GB51391	0.64
GB47466	0.87
GB45272	0.93
GB44061	0.91
GB44679	0.83
GB47269	0.94
GB44065	0.86
GB54906	0.71
GB54260,GB54260	0.74
GB50837	0.6
GB41860	0.81
GB51060	0.73
GB52611	0.57
GB54716,GB49620	0.63
GB55936	0.77
GB43439	0.92
GB42414	0.83
GB46724	0.42
GB41694	0.47
GB46696,GB46966,GB46966	0.8766666670000001
GB46510	0.95
GB46035	0.77
GB44338	0.86
GB54395	0.39
GB51715	0.88
GB55292	0.84
GB53357	0.94
GB40594	0.83
GB52601	0.51
GB52701	0.7
GB40565	0.45
GB51124	0.76
GB40453	0.65
GB53592	0.67
GB50150	0.76
GB55523	0.89
GB52198	0.87
GB54774,GB54774	0.81
GB53662	0.94
GB45932	0.84
GB45760	0.9
GB41836	0.92
GB43178	0.9
GB52592	0.64
GB47039	0.79
GB55323	0.81
GB42183	0.64
GB49298	0.83
GB49246	0.49
GB45776	0.7
GB41246,GB41246	0.5
GB46344	0.85
GB55362	0.67
GB45351	0.86
GB43467	0.82
GB41288	0.94
GB44538	0.93
GB45735	0.7
GB47254	0.61
GB46594	0.95
GB45225	0.98
GB54738	0.48
GB55486	0.93
GB54987	0.4
GB49947	0.46
GB49985	0.36
GB44573	0.75
GB46479	0.92
GB53688	0.71
GB45683	0.84
GB46047	0.7
GB41347	0.82
GB54366	0.7
GB47844	0.9
GB46196	0.66
GB51221	0.93
GB45378	0.69
GB53798	0.32
GB43123,GB43123	0.68
GB47249	0.94
GB45300	0.92
GB46070	0.85
GB54531,GB54533	0.675
GB53066	0.85
GB47589	0.91
GB53647	0.72
GB49186	0.85
GB54657	0.93
GB50459	0.58
GB48589,GB51445	0.8
GB43186	0.9
GB49301	0.85
GB52114,GB52114	0.72
GB43901	0.86
GB42360,GB43747	0.81
GB40405	0.8
GB46745	0.88
GB54758	0.75
GB41117	0.92
GB45014	0.94
GB44940	0.93
GB43618	0.75
GB45106	0.94
GB41305	0.7
GB53339	0.92
GB41609	0.92
GB54204	0.75
GB49468	0.89
GB49080,GB51901	0.505
GB44798	0.63
GB42241	0.97
GB53009,GB49239,GB47762	0.696666667
GB40802	0.93
GB40744	0.74
GB45557	0.63
GB46894	0.83
GB44550	0.54
GB50943	0.86
GB46342	0.49
GB54718	0.88
GB47633	0.87
GB46878,GB46878	0.93
GB49268	0.57
GB44060	0.82
GB45155	0.95
GB49556	0.92
GB45029	0.49
GB46700	0.59
GB54338	0.96
GB52291	0.57
GB43707	0.91
GB54496	0.39
GB47201	0.93
GB46593	0.24
GB41076	0.93
GB49322	0.82
GB53530	0.44
GB54505	0.84
GB47477	0.9
GB44934	0.78
GB45517	0.85
GB55033	0.76
GB55525	0.86
GB45120	0.63
GB43983,GB43983	0.45
GB45235	0.78
GB51613	0.69
GB44551	0.42
GB44554	0.77
GB55631	0.93
GB46579	0.82
GB45502	0.59
GB47732	0.93
GB51385	0.7
GB48007	0.67
GB53934	0.93
GB46877	0.5
GB52988	0.93
GB45107	0.78
GB43579	0.62
GB51847	0.93
GB48940	0.73
GB47307	0.77
GB45395	0.84
GB51591,GB51591	0.93
GB52691,GB54193	0.89
GB40719	0.72
GB54775	0.69
GB47667	0.74
GB55280	0.54
GB45054	0.64
GB53708	0.7
GB46091	0.6
GB54702	0.96
GB55967	0.89
GB49646	0.47
GB43261	0.96
GB52741	0.84
GB45566	0.56
GB49778,GB40327	0.715
GB47744	0.8
GB54271	0.94
GB50048	0.7
GB45478	0.63
GB42846	0.91
GB42933	0.77
GB54222	0.92
GB48102	0.78
GB50370	0.93
GB45173	0.49
GB43448	0.76
GB50767	0.72
GB47405	0.68
GB51218	0.26
GB52025	0.63
GB41998	0.45
GB53034	0.69
GB53794	0.82
GB51633,GB51633	0.94
GB46873	0.54
GB53300	0.67
GB45005	0.65
GB47277	0.87
GB41400	0.71
GB44373	0.88
GB49444	0.83
GB51062	0.87
GB50705	0.53
GB48685,GB50292	0.48
GB41448	0.82
GB49794	0.85
GB45453	0.65
GB40495	0.95
GB40021	0.92
GB55475	0.9
GB48675	0.49
GB44927	0.86
GB53614	0.89
GB40671	0.65
GB50681	0.98
GB49107	0.93
GB50274	0.87
GB48643	0.95
GB40500	0.94
GB51066	0.92
GB46786	0.89
GB52746	0.94
GB43213	0.96
GB49570	0.92
GB48030,GB46377	0.685
GB53172	0.82
GB45051	0.71
GB52980	0.92
GB46065	0.87
GB41312	0.84
GB42327	0.63
GB41069	0.96
GB40971	0.46
GB49961	0.91
GB44804	0.61
GB55848	0.83
GB42660	0.67
GB52349	0.91
GB44541	0.89
GB47425	0.67
GB46653	0.83
GB55279	0.91
GB44972	0.66
GB54556	0.5
GB53671	0.74
GB44316	0.75
GB42675,GB42675	0.73
GB43602	0.57
GB49990	0.84
GB40411	0.75
GB49651	0.91
GB45662	0.94
GB54699	0.98
GB44037	0.95
GB46450	0.92
GB43897	0.91
GB46539	0.78
GB41908	0.92
GB49613	0.68
GB54422	0.91
GB51794	0.92
GB51257	0.57
GB49324	0.92
GB54715	0.89
GB45809,GB45809	0.67
GB40904	0.9
GB44581	0.65
GB55350	0.7
GB41688	0.94
GB46102	0.72
GB43159	0.87
GB48434	0.9
GB41798	0.79
GB55527	0.64
GB48489	0.65
GB47779	0.74
GB50160,GB50160	0.56
GB42884	0.58
GB41659	0.62
GB55147	0.87
GB42959,GB42958	0.75
GB55809,GB50017	0.8
GB41250	0.76
GB50043,GB50043	0.76
GB46069	0.75
GB55067	0.34
GB49275,GB49273	0.59
GB41974	0.9
GB44350	0.97
GB41910	0.75
GB40123	0.91
GB52307	0.93
GB42750	0.9
GB52473	0.89
GB42567	0.39
GB46012	0.74
GB54543	0.89
GB46429	0.62
GB53042	0.56
GB52008	0.93
GB40149	0.79
GB43119	0.35
GB50941	0.86
GB45815	0.73
GB45207	0.93
GB42674	0.79
GB43391	0.86
GB49969	0.49
GB55148	0.86
GB52091	0.93
GB49652	0.9
GB43719	0.47
GB47841	0.92
GB49688	0.58
GB44614	0.61
GB53163	0.71
GB45228	0.91
GB52316	0.75
GB44999	0.72
GB42856	0.89
GB48509	0.27
GB49235	0.91
GB40670	0.56
GB55846	0.81
GB51486	0.86
GB54658	0.92
GB43889	0.87
GB43954	0.9
GB41844	0.96
