gene	STA
GB43860	79
GB40251,GB40251	78
GB50378,GB50388	62
GB41287	79
GB51337	79
GB44959	79
GB40346	77
GB54530	79
GB53305	80
GB52001	76
GB53778	79
GB43173	79
GB54538	77
GB41332	79
GB55583,GB51769	75
GB45774	79
GB55888	78
GB43304	78
GB49171	80
GB55237,GB55237	78
GB45972	63
GB48795	80
GB53341	78
GB46564	76
GB41215	80
GB50690	78
GB51589	80
GB49767,GB55648,GB54069	73
GB41639	80
GB52168	75
GB48234	62
GB53269	80
GB48192	74
GB50969	80
GB44595	79
GB47098	76
GB51653	76
GB42014	80
GB42031	80
GB45101	80
GB42728	78
GB43462	78
GB48789	80
GB54177	76
GB55480,GB51897	74
GB50357	79
GB44341	77
GB47308	80
GB47829	80
GB46332	78
GB52472	78
GB49428	79
GB44092,GB47528	78
GB51255	71
GB48203	78
GB51036	79
GB43631	79
GB48994	80
GB51207	79
GB40689	75
GB52537	80
GB47680	80
GB40703	78
GB47118	79
GB53149	78
GB51596	80
GB44899	80
GB51660	78
GB43796	77
GB48204,GB48204	77
GB42984	79
GB46126	73
GB52536	79
GB52759	80
GB40452	80
GB48305	77
GB54288	80
GB40440	79
GB44210	66
GB44196	74
GB51019	79
GB50482	80
GB42246	80
GB51481	79
GB52650	77
GB51734	79
GB51542,GB51542	79
GB53064	77
GB54031	79
GB47459	79
GB40678	79
GB53787	80
GB50807	74
GB43718	79
GB46618	80
GB47808	79
GB42921	80
GB54939	79
GB49511	79
GB54998	78
GB51512	79
GB41803	80
GB45348	75
GB54477	76
GB44193	78
GB55911	79
GB54230	77
GB45612	79
GB51113,GB51113	78
GB45982	79
GB45114	80
GB42016	73
GB45373	80
GB46526,GB42007	72
GB55059	79
GB51692	80
GB52975	79
GB48556	80
GB40567	74
GB49517	79
GB55917	77
GB53133	77
GB44703	74
GB46925	79
GB42866	79
GB50406	77
GB44862,GB44862,GB44862	74
GB45530	79
GB48137	79
GB41888	78
GB50508,GB48687,GB50508	66
GB41052	69
GB41454	79
GB44305	79
GB49977	75
GB43158	79
GB47113	80
GB52280	75
GB42740	80
GB43077	78
GB52321	77
GB42496	80
GB50749	77
GB42804	79
GB40206	80
GB51041	78
GB42244	77
GB43978	79
GB41149,GB41149	74
GB53611	78
GB47568,GB42394	76
GB55457	77
GB49541	78
GB52192	65
GB52993	78
GB50593,GB50593,GB50593	78
GB45135,GB45135	65
GB43080	78
GB55764	78
GB48403,GB47348	67
GB53205	80
GB45259	78
GB47476	79
GB40134,GB40132,GB40132	60
GB41983	76
GB46045	71
GB55425	78
GB44523	77
GB54852	61
GB50286	79
GB43446	80
GB45472	79
GB52426	79
GB55495	80
GB41746	79
GB53145,GB53145	77
GB47422	77
GB44252	80
GB43743	79
GB48932	79
GB49730	80
GB43140	80
GB40350	80
GB49373	78
GB53821	78
GB52346	80
GB52417	79
GB51246	79
GB42762	71
GB43369	79
GB41681	79
GB45512	79
GB46478	80
GB52779	75
GB52708	79
GB43497	77
GB50219	79
GB42875	63
GB46689	79
GB55022	79
GB55574	78
GB41449	79
GB52907	79
GB42062	79
GB49045	69
GB50974	76
GB41893	72
GB51381	70
GB44759	78
GB53140,GB53140	78
GB45064	76
GB50295	68
GB46613	80
GB40880	78
GB47351	68
GB55822	78
GB43137	79
GB49933	80
GB44021	80
GB50113	80
GB55142	80
GB42455,GB42455	78
GB52189	79
GB55995	80
GB51985	78
GB47271	78
GB52661	78
GB51515	79
GB41177	79
GB52436	79
GB49644	80
GB44198	76
GB55904	79
GB50700	77
GB52435	79
GB51502,GB43039	77
GB55540	80
GB54805	80
GB44359	79
GB43203	80
GB43480	80
GB53388	76
GB50400	72
GB53670	79
GB42979,GB42979	77
GB43238	79
GB51792	78
GB53725	77
GB44532	76
GB47368	80
GB54534	76
GB43662	69
GB51399	77
GB42423	74
GB43935	78
GB41909	80
GB41596	71
GB47449	79
GB46490	74
GB53852	80
GB51895	80
GB55461	80
GB44416	79
GB47572	78
GB53970	77
GB47812	80
GB41714	79
GB54798	78
GB41747	76
GB47036,GB47036	73
GB52079	80
GB47807	75
GB50184	77
GB45724	80
GB41366	78
GB52563	65
GB44884	79
GB55787	79
GB54287	78
GB47179	76
GB53012	78
GB45937	75
GB53979	74
GB42616	67
GB40361	79
GB54910	80
GB51965	80
GB43839,GB43839	73
GB42646	78
GB54668,GB54668	79
GB45417	79
GB49111	79
GB43404,GB50225	70
GB41839	80
GB46242	80
GB49544	56
GB48113,GB48114	76
GB43456	78
GB52266	79
GB42751	76
GB53937	78
GB43216	78
GB42739	67
GB48775	80
GB54158	78
GB49859	76
GB55426	79
GB52947	80
GB45755	78
GB42735	78
GB47242	79
GB46599	80
GB50195	65
GB48625	78
GB52109	79
GB50635	77
GB49931	77
GB50660	80
GB48483	78
GB55378	79
GB49995	78
GB48523	79
GB42670	79
GB48639	79
GB40204	74
GB44808	78
GB54551,GB54502	78
GB42058	80
GB45905	79
GB44117	78
GB45881	80
GB45690	78
GB52457	74
GB48530	79
GB48399,GB42391	79
GB49197,GB49197	77
GB50345	78
GB43730	78
GB44650	78
GB47231	79
GB52589	73
GB44754	79
GB53284	79
GB53353	78
GB49388	80
GB49096	79
GB55658	77
GB40859	80
GB52541	79
GB55641,GB45533	77
GB40033	80
GB50395	80
GB42066	80
GB49844	79
GB41174	79
GB55751	80
GB47683	79
GB40280	78
GB40878	78
GB55002	76
GB51706	79
GB49921	80
GB44594	79
GB50204	80
GB54425	80
GB44933	79
GB54593	79
GB41507	78
GB51273	79
GB51852	79
GB43909	79
GB45970	68
GB42683,GB52566	76
GB51775	76
GB44330	77
GB45277	59
GB47414	80
GB48117	78
GB55225	75
GB54995	79
GB54893	80
GB41919,GB41921	75
GB40581,GB40581	77
GB51219	78
GB45442	69
GB44429	80
GB47138	78
GB51133	79
GB42967	76
GB50959	79
GB51544	80
GB40603	76
GB51511,GB51511	78
GB48426	80
GB48396	78
GB46691	80
GB42220	77
GB54700	79
GB53083	80
GB51953	77
GB49406	80
GB53690	80
GB44912	80
GB51612	80
GB50141	80
GB53073	77
GB41723	68
GB52328	79
GB55820	78
GB46016	78
GB43407	79
GB43945	78
GB52916	80
GB45968	79
GB48247	80
GB41900	80
GB43074	80
GB45623	80
GB54273	77
GB47961,GB41597	76
GB47437	78
GB51134	77
GB49642	78
GB42756	77
GB53963,GB50291	79
GB44414	79
GB53825	80
GB55715	80
GB54378	78
GB43239	77
GB55775	79
GB45212	80
GB54348	80
GB53306	74
GB55146	78
GB49438,GB49438	79
GB55826	76
GB44890	80
GB45762	80
GB54649	80
GB51748	79
GB53231	79
GB54780	78
GB54127	79
GB54921,GB54921	77
GB43465,GB41957	78
GB55770	79
GB48158	80
GB48463	70
GB51696	68
GB46731	80
GB45370	76
GB52304	80
GB46018	79
GB54119	80
GB43470	79
GB53865,GB53865,GB53865	78
GB53651	80
GB50246	79
GB45564	75
GB40657	80
GB47280	78
GB54269	80
GB48229	75
GB55578	79
GB44174	80
GB54885	79
GB42076	73
GB49290	72
GB40316	78
GB42925	78
GB45967	74
GB51702	80
GB43817	72
GB50133	79
GB52224	63
GB48347	79
GB55567	80
GB55579	79
GB55239	79
GB40803	79
GB45646	79
GB40893	79
GB53657	79
GB48923	79
GB42731	76
GB44648,GB44647	74
GB51120	80
GB45214	76
GB44881	80
GB45084	76
GB55244	80
GB54035	78
GB54213	77
GB50359	77
GB53606	80
GB50369	78
GB54664	78
GB44000	77
GB42977	78
GB41345	80
GB49680	79
GB51693	80
GB49480,GB49480	78
GB46693	80
GB50538	71
GB53122,GB53118,GB49568	76
GB43908	58
GB52086	64
GB54143,GB54143	76
GB41883	80
GB40420	78
GB51500	74
GB42401	76
GB54313	80
GB50605,GB50606	58
GB46982	77
GB52165	80
GB45001	80
GB49755	80
GB55272	79
GB49184	76
GB42138	78
GB40823	65
GB51130	79
GB40014	79
GB55164	78
GB53384	77
GB50997	80
GB44247	80
GB42619	62
GB48949	80
GB52249	80
GB42505	71
GB50224,GB50224	78
GB41423	80
GB55746	76
GB42054,GB42054	76
GB54206	79
GB51242	77
GB47208	74
GB44906	80
GB55913	80
GB42200	80
GB45958	72
GB42763	76
GB52567	78
GB50958	80
GB54198	78
GB40400	77
GB47428	79
GB53243	80
GB42773	80
GB40627	76
GB53396	78
GB48097	75
GB50415	80
GB55790	66
GB40310	77
GB46457	79
GB53089	79
GB51159	77
GB51348,GB51348	76
GB40017	80
GB55847	80
GB42844	74
GB55411	79
GB45479	79
GB53791,GB53791	77
GB43463	77
GB43093	77
GB48074	76
GB44885	78
GB53173	80
GB50743	77
GB44321	78
GB54053	79
GB55573	78
GB54216	80
GB45284	78
GB46739	77
GB48474	80
GB54225,GB54226,GB54226	76
GB41855	78
GB43881	80
GB52989	79
GB45873	79
GB44537	78
GB44067	79
GB49223	80
GB54389	79
GB46212	77
GB54625	79
GB43567	79
GB41424	79
GB55188	77
GB43685	80
GB51717	80
GB43556	77
GB44027	67
GB44433	80
GB41122	79
GB49320	80
GB52106	79
GB49325	80
GB54582	73
GB53740	77
GB46800	78
GB42325	77
GB41608	80
GB54751	75
GB54600	79
GB55618	80
GB44155	76
GB42352	78
GB43314	76
GB45156	80
GB52673	79
GB48261	78
GB49391	78
GB40676	80
GB41450	80
GB54592	67
GB50669	77
GB47894	71
GB45292	78
GB41601	79
GB41680	79
GB54176	76
GB48946	80
GB50419	79
GB52618	77
GB49800	78
GB51641	77
GB49419	77
GB48263	78
GB43163	80
GB51189	79
GB42201	77
GB41592	78
GB40774	79
GB51745	77
GB45388,GB51874	78
GB44709	78
GB44535	80
GB41356	69
GB55793,GB55793	79
GB40100	80
GB52453	80
GB42853	75
GB43276	79
GB50789	80
GB45360	80
GB53011	79
GB55854	79
GB41278,GB49900	75
GB50283,GB50283	65
GB51210	79
GB45355	72
GB49126	80
GB45138	78
GB42847,GB48093	79
GB41875	80
GB42894,GB42894	78
GB40203	76
GB52679	79
GB55907	73
GB48571	79
GB46301	77
GB53021	80
GB54609	77
GB40598	78
GB41226	69
GB40507	74
GB52432,GB54695	77
GB51355	79
GB40515	80
GB46251	80
GB48162	78
GB44510	78
GB40740	77
GB40540	80
GB55700	79
GB44481	79
GB48375	77
GB46487	77
GB47339	75
GB43189	66
GB43899	79
GB40818	78
GB48925	79
GB50971	80
GB41783	77
GB49150	79
GB53989	70
GB42548	78
GB47195	75
GB51940	76
GB48551	79
GB54843	79
GB51763	79
GB46271	79
GB44263	80
GB41378	74
GB48997	78
GB41629	79
GB55627	80
GB54680	79
GB54114	76
GB40263	77
GB41835	80
GB42579	80
GB55723	76
GB46886	79
GB42222	77
GB55973	78
GB43198	80
GB46262,GB46260,GB46262	75
GB53737	80
GB50171	79
GB52849	80
GB44029	76
GB41297	78
GB45195	79
GB55644	78
GB44758	80
GB55801	80
GB51422	78
GB54909	79
GB45142	79
GB55008,GB49845	73
GB44643	79
GB40845	79
GB42150	72
GB43857	80
GB41193	75
GB52171	76
GB42869,GB50987	69
GB55652	76
GB53974	78
GB55714	68
GB54263	80
GB41038	76
GB49426	79
GB43786	80
GB45694	80
GB47182	79
GB47632	76
GB43562	71
GB41869	78
GB43722	78
GB45229	75
GB41810	78
GB48101	80
GB47625,GB42004	76
GB47596,GB47596	77
GB44743	78
GB55352	80
GB50814	79
GB40025	79
GB44779	80
GB46362	78
GB51016,GB51016	73
GB51111	79
GB49026	79
GB50819	79
GB46114	80
GB47918,GB56032	76
GB45091	78
GB53540	80
GB51649	77
GB43338	79
GB48487	80
GB49459	79
GB44646	80
GB45819,GB42408,GB44278,GB44278,GB42409	58
GB45679	77
GB52212,GB52212	65
GB42152	79
GB55557	77
GB50525	74
GB41547	77
GB46509	78
GB44947	78
GB41804	68
GB47925	79
GB47468	74
GB53729	79
GB43234	75
GB41668	79
GB44896	79
GB48821	79
GB52084	79
GB47888	80
GB40075	79
GB43892	79
GB40706	79
GB45389	79
GB45693,GB45693	79
GB42942	78
GB51185	70
GB54803	74
GB49297	79
GB44216,GB44968,GB50868,GB54361	63
GB55492	80
GB41744	78
GB48658	78
GB42603,GB42808,GB42885	65
GB47391	79
GB48336	80
GB50104	80
GB49042	79
GB42484	74
GB47091	78
GB54169	79
GB50372	76
GB44624	65
GB48868	76
GB43855	80
GB41722	71
GB40414	80
GB42895	76
GB40916,GB46759	73
GB54959	77
GB52737	79
GB50854	80
GB54092	80
GB43160	79
GB40741	79
GB40341	78
GB44034	79
GB46963	77
GB53697	80
GB49193	80
GB41649	80
GB47204	78
GB43157	77
GB50909,GB50909	77
GB49537	69
GB42418	80
GB42669	79
GB47309	77
GB43874	80
GB54953	78
GB47950	79
GB41734	77
GB48031	80
GB43264	73
GB55645	68
GB41035	79
GB48001	80
GB40283	77
GB41544,GB41544	76
GB40016	80
GB40504	79
GB48254	80
GB44126	80
GB40977	80
GB53676	78
GB52253	79
GB55880,GB41941	77
GB41406	67
GB54246	77
GB46813	78
GB44649	79
GB44291	80
GB47970	79
GB52021	75
GB53343	71
GB41239	79
GB50769	77
GB41494	79
GB51812	64
GB48531	74
GB51045	78
GB54606	66
GB50161	73
GB53531,GB53570,GB53570	73
GB47418	79
GB45719	79
GB49084	79
GB48881	80
GB53976	78
GB50135	79
GB48422	78
GB48167	80
GB48573	70
GB44411	78
GB50949	79
GB41233	80
GB54137	73
GB46713	80
GB47889	75
GB48834	80
GB48232	79
GB50470	80
GB53605	80
GB47185	80
GB54723	79
GB52077	77
GB47963	78
GB43185	76
GB55837,GB55837	79
GB41775	80
GB42814	79
GB55675	77
GB53713	78
GB45266	77
GB49941	80
GB44062	80
GB53802	80
GB42835	74
GB53721	77
GB49108	80
GB40763	79
GB40672	79
GB45179	74
GB52010	80
GB49804	78
GB52526	79
GB48339	77
GB50038	80
GB50101	79
GB55381	79
GB50212	62
GB42037	77
GB49174	79
GB55015	79
GB53859	78
GB51705	68
GB41740,GB41740	76
GB49489	77
GB48601	79
GB40028	77
GB43736	80
GB49567,GB49564	77
GB50421	80
GB53710	79
GB40928	61
GB53616	80
GB50695	80
GB53036	80
GB45009	80
GB55766	78
GB50020	79
GB46879	79
GB53956	79
GB46217	80
GB53262	79
GB46751	79
GB50947	78
GB48061	79
GB45758,GB53875	77
GB44762	79
GB47239	79
GB43220	74
GB52144	77
GB40357	79
GB54109	77
GB54602	79
GB44445	79
GB50650	77
GB48425	78
GB48665,GB48665	78
GB47746	79
GB40908	79
GB41444	78
GB46563	79
GB41465	79
GB41165	78
GB47615	79
GB44009	79
GB51035	80
GB44602	78
GB49686	79
GB42493	76
GB49409	79
GB46818	80
GB43917	77
GB45686	80
GB49366	79
GB45536	79
GB49911	78
GB45150	79
GB54773	79
GB47281	80
GB42236	76
GB51391	78
GB47466	80
GB45272	80
GB44061	77
GB44679	80
GB47269	79
GB44065	75
GB54906	78
GB54260,GB54260	76
GB50837	75
GB41860	71
GB51060	80
GB52611	78
GB54716,GB49620	77
GB55936	74
GB43439	77
GB42414	80
GB46724	79
GB41694	78
GB46696,GB46966,GB46966	78
GB46510	76
GB46035	80
GB44338	79
GB54395	80
GB51715	79
GB55292	78
GB53357	79
GB40594	76
GB52601	77
GB52701	71
GB40565	78
GB51124	78
GB40453	79
GB53592	78
GB50150	80
GB55523	79
GB52198	78
GB54774,GB54774	76
GB53662	79
GB45932	78
GB45760	79
GB41836	80
GB43178	79
GB52592	75
GB47039	78
GB55323	80
GB42183	78
GB49298	77
GB49246	80
GB45776	71
GB41246,GB41246	75
GB46344	78
GB55362	78
GB45351	76
GB43467	79
GB41288	77
GB44538	79
GB45735	67
GB47254	80
GB46594	80
GB45225	78
GB54738	79
GB55486	79
GB54987	80
GB49947	78
GB49985	80
GB44573	78
GB46479	79
GB53688	79
GB45683	79
GB46047	74
GB41347	80
GB54366	75
GB47844	79
GB46196	80
GB51221	80
GB45378	78
GB53798	56
GB43123,GB43123	66
GB47249	80
GB45300	79
GB46070	80
GB54531,GB54533	72
GB53066	77
GB47589	80
GB53647	80
GB49186	80
GB54657	80
GB50459	79
GB48589,GB51445	77
GB43186	79
GB49301	80
GB52114,GB52114	78
GB43901	80
GB42360,GB43747	76
GB40405	73
GB46745	74
GB54758	79
GB41117	78
GB45014	80
GB44940	78
GB43618	79
GB45106	79
GB41305	78
GB53339	79
GB41609	80
GB54204	64
GB49468	79
GB49080,GB51901	62
GB44798	80
GB42241	79
GB53009,GB49239,GB47762	63
GB40802	79
GB40744	80
GB45557	80
GB46894	76
GB44550	79
GB50943	79
GB46342	74
GB54718	80
GB47633	78
GB46878,GB46878	75
GB49268	69
GB44060	74
GB45155	79
GB49556	79
GB45029	80
GB46700	70
GB54338	73
GB52291	69
GB43707	75
GB54496	75
GB47201	78
GB46593	77
GB41076	80
GB49322	78
GB53530	73
GB54505	80
GB47477	79
GB44934	80
GB45517	79
GB55033	78
GB55525	78
GB45120	78
GB43983,GB43983	76
GB45235	80
GB51613	80
GB44551	77
GB44554	79
GB55631	79
GB46579	75
GB45502	77
GB47732	78
GB51385	78
GB48007	77
GB53934	79
GB46877	79
GB52988	80
GB45107	79
GB43579	80
GB51847	80
GB48940	80
GB47307	80
GB45395	70
GB51591,GB51591	77
GB52691,GB54193	73
GB40719	70
GB54775	80
GB47667	78
GB55280	78
GB45054	80
GB53708	80
GB46091	79
GB54702	78
GB55967	80
GB49646	68
GB43261	78
GB52741	80
GB45566	78
GB49778,GB40327	79
GB47744	80
GB54271	77
GB50048	80
GB45478	77
GB42846	79
GB42933	80
GB54222	78
GB48102	80
GB50370	79
GB45173	80
GB43448	77
GB50767	76
GB47405	80
GB51218	18
GB52025	64
GB41998	69
GB53034	78
GB53794	80
GB51633,GB51633	79
GB46873	78
GB53300	80
GB45005	79
GB47277	79
GB41400	80
GB44373	77
GB49444	73
GB51062	79
GB50705	78
GB48685,GB50292	78
GB41448	79
GB49794	79
GB45453	75
GB40495	74
GB40021	73
GB55475	79
GB48675	77
GB44927	80
GB53614	79
GB40671	78
GB50681	79
GB49107	79
GB50274	79
GB48643	80
GB40500	79
GB51066	77
GB46786	80
GB52746	78
GB43213	79
GB49570	79
GB48030,GB46377	75
GB53172	79
GB45051	80
GB52980	80
GB46065	78
GB41312	77
GB42327	78
GB41069	79
GB40971	77
GB49961	80
GB44804	78
GB55848	79
GB42660	80
GB52349	80
GB44541	80
GB47425	75
GB46653	78
GB55279	75
GB44972	77
GB54556	80
GB53671	80
GB44316	79
GB42675,GB42675	76
GB43602	78
GB49990	80
GB40411	62
GB49651	78
GB45662	80
GB54699	78
GB44037	79
GB46450	79
GB43897	76
GB46539	78
GB41908	79
GB49613	80
GB54422	76
GB51794	79
GB51257	79
GB49324	80
GB54715	80
GB45809,GB45809	76
GB40904	77
GB44581	80
GB55350	80
GB41688	80
GB46102	78
GB43159	78
GB48434	80
GB41798	80
GB55527	80
GB48489	76
GB47779	78
GB50160,GB50160	79
GB42884	78
GB41659	80
GB55147	80
GB42959,GB42958	69
GB55809,GB50017	78
GB41250	78
GB50043,GB50043	78
GB46069	80
GB55067	75
GB49275,GB49273	62
GB41974	80
GB44350	80
GB41910	78
GB40123	76
GB52307	71
GB42750	78
GB52473	78
GB42567	75
GB46012	80
GB54543	78
GB46429	73
GB53042	79
GB52008	79
GB40149	80
GB43119	80
GB50941	80
GB45815	77
GB45207	78
GB42674	80
GB43391	75
GB49969	79
GB55148	79
GB52091	80
GB49652	80
GB43719	77
GB47841	77
GB49688	75
GB44614	78
GB53163	71
GB45228	80
GB52316	80
GB44999	80
GB42856	80
GB48509	73
GB49235	80
GB40670	79
GB55846	75
GB51486	79
GB54658	78
GB43889	80
GB43954	79
GB41844	80
GB42949	79
GB45518	80
GB55366	78
GB40901	79
GB54325	79
GB41094,GB41094	69
GB47748	79
GB45140	80
GB46036	80
GB45926	74
GB48847	80
GB46431	79
GB50521,GB50521	74
GB41874	69
GB44687	79
GB50491	80
GB50911	78
GB46165	80
GB44114,GB47820	76
GB41825	78
GB45777,GB48385	67
GB50640	79
GB51638	78
GB49534,GB49534	78
GB44516	77
GB44661,GB44455	77
GB47488,GB46971	59
GB47334	79
GB52651	79
GB44533	80
GB47876	79
GB50261	80
GB55074	80
GB49478	80
GB46746	70
GB53846	78
GB48386	80
GB44082	80
GB45273	68
GB45278	54
GB40287	53
GB44223	76
GB49870	78
GB50303	78
GB51264	65
GB48809	80
GB46436	80
GB47440	80
GB49309	77
GB47018,GB47018,GB47018	78
GB43000,GB43000	77
GB45072	72
GB50105	80
GB41136	80
GB54083	79
GB50730	79
GB49050	80
GB45713,GB45708	76
GB54332	77
GB52503	80
GB45363	79
GB55985	79
GB47081	79
GB44742	79
GB42224	78
GB43171	80
GB46684	79
GB41876	79
GB41864	74
GB43149	76
GB50237	80
GB49089	80
GB52676	80
GB40282	75
GB51015	78
GB44347	76
GB40788	74
GB48938	74
GB47549	79
GB51912	78
GB52619,GB43636	78
GB43475	68
GB44690	80
GB42436	80
GB51967	78
GB46621	79
GB40563,GB55130	77
GB44031	73
GB51237	70
GB48889,GB48889	78
GB48786	74
GB44307	77
GB55757	68
GB50245	74
GB54627	79
GB45463,GB45463,GB54870	78
GB46973	78
GB50960	79
GB49528	79
GB54622	78
GB40580	77
GB49906	79
GB54124	71
GB54493	78
GB49037	78
GB55896	76
GB54522	80
GB50586	80
GB45067	78
GB51431	78
GB54742	78
GB47102	79
GB48360	79
GB49579	75
GB47230	80
GB54436	77
GB44387,GB44387	77
GB44295	80
GB45568	76
GB43122	80
GB51828	78
GB45349	80
GB45343	78
GB45052	79
GB41156	75
GB50244	79
GB44353	80
GB46627	79
GB52247	79
GB54428	63
GB45126	80
GB43561	79
GB48055	73
GB49896	78
GB41902	79
GB43052	77
GB44176	79
GB42854	78
GB42063	78
GB47106	80
GB42559	79
GB54242,GB54242	78
GB48160	78
GB50178	71
GB48370	80
GB52948	78
GB49590	79
GB55359	79
GB40217	80
GB52158	76
GB47194	78
GB44570,GB45484	63
GB41487	78
GB40863	78
GB44592	79
GB45297	80
GB52797	80
GB55056	79
GB45031	79
GB42501	77
GB44900	80
GB50537	74
GB50777	80
GB52557	77
GB42783	76
GB55333	80
GB42211	79
GB51525	78
GB46290	78
GB54809	80
GB51836	79
GB53949	75
GB55704	79
GB46908	78
GB48266	78
GB53376	80
GB41819	78
GB48596	79
GB49505	78
GB44199,GB44199	75
GB55387	76
GB42892	74
GB47962	77
GB55765	71
GB51749	78
GB53237	79
GB45457	78
GB42215	75
GB54784	79
GB50157	76
GB45194	79
GB50126	78
GB46300	79
GB50069	80
GB53944	80
GB47942	73
GB47350	78
GB49190	80
GB52012	75
GB44982	75
GB47177	76
GB50493	73
GB45133	80
GB45413	76
GB43715	55
GB48125	78
GB54391	77
GB45695	79
GB53598	77
GB40944	80
GB47429	76
GB49527	77
GB42960	79
GB44315	80
GB45663	74
GB44412	80
GB41188	78
GB53323	78
GB50871	79
GB49612	80
GB55403	79
GB55274	65
GB44072	77
GB54214	79
GB51505	79
GB55940	80
GB40437	75
GB49327	62
GB42651	80
GB49494	78
GB46339	79
GB54989	80
GB53035	78
GB43366	78
GB54994	80
GB51333	80
GB47737	77
GB44682	80
GB51063	78
GB54239	80
GB45555	80
GB52978	77
GB41294	79
GB55660	80
GB45875	54
GB44611	80
GB44293	79
GB48684	80
GB41171	65
GB47503	80
GB47846	80
GB43435	77
GB45525,GB45524,GB44248	78
GB50506	80
GB52195	76
GB43637	80
GB51580	77
GB52704	80
GB41693	80
GB42487	79
GB46042	80
GB48337	78
GB44121	77
GB43113	80
GB50367	74
GB52498	77
GB55485	72
GB44099	77
GB50071	76
GB49120	78
GB42450	80
GB43162	77
GB46685	77
GB44636	80
GB50352	77
GB48746	73
GB43738	68
GB42652	79
GB45175	80
GB46523	79
GB46692	66
GB52045	77
GB40867,GB40947,GB40867	75
GB51354	80
GB42451	80
GB44436	78
GB48066,GB48782	70
GB46189	80
GB43551	80
GB47329	79
GB48678	78
GB46512	79
GB53251	79
GB47387	76
GB47423	76
GB51885	75
GB47250	78
GB42358	77
GB53654	80
GB49486	78
GB46672	79
GB49604	75
GB45872	79
GB45684	74
GB41036	80
GB41982	78
GB47222	79
GB43015	78
GB48199	77
GB45128	78
GB47471	66
GB49525	77
GB49841	74
GB51999	79
GB51738	78
GB44590	75
GB50891	80
GB50039	78
GB49909	79
GB50190	80
GB52627	80
GB47300	59
GB50802	80
GB54111	75
GB48416	78
GB48237	78
GB55489,GB55489	76
GB52588	79
GB54789	80
GB44163	79
GB41261	76
GB50511	79
GB43087	79
GB49966	68
GB43411	80
GB40674	80
GB51726	77
GB45923	76
GB55299	79
GB44534	80
GB53788	80
GB47076	80
GB50290	80
GB53166	71
GB48456	80
GB48075	78
GB40363	78
GB44333	78
GB45180	71
GB45425	78
GB40766	80
GB48873	78
GB51560	80
GB47413,GB47413	78
GB51093	79
GB47189	78
GB49701	78
GB50471	75
GB47556	70
GB44410	79
GB50015	78
GB41867	80
GB55877,GB55877	76
GB48692	80
GB43256	79
GB44327	77
GB42551	78
GB50031	78
GB55893	80
GB54190	80
GB45314	78
GB47260	80
GB55930	72
GB43697	80
GB44325	80
GB52047	78
GB54935	69
GB44175	79
GB53782	78
GB50281	80
GB40999	77
GB54144	77
GB47042	74
GB45778	76
GB47043	77
GB46773,GB40332	78
GB49169	64
GB45985	77
GB45487	78
GB44757	78
GB46972	78
GB45534	79
GB55390	61
GB49456	75
GB52929	80
GB55971	79
GB40335	77
GB52360	75
GB42534	76
GB42023	79
GB50418	66
GB55537	80
GB50748	76
