gene	UNI
GB41875	1.0
GB42894,GB42894	1.0
GB40203	0.975609756
GB52679	1.0
GB55907	0.9024390240000001
GB48571	1.0
GB46301	0.926829268
GB53021	1.0
GB54609	0.975609756
GB40598	1.0
GB41226	0.609756098
GB40507	0.7560975609999999
GB52432,GB54695	0.975609756
GB51355	0.975609756
GB40515	1.0
GB46251	1.0
GB48162	1.0
GB44510	1.0
GB40740	1.0
GB40540	1.0
GB55700	0.9024390240000001
GB44481	1.0
GB48375	1.0
GB46487	0.87804878
GB47339	0.87804878
GB43189	0.975609756
GB43899	1.0
GB40818	1.0
GB48925	1.0
GB50971	1.0
GB41783	1.0
GB49150	1.0
GB53989	0.87804878
GB42548	0.9024390240000001
GB47195	0.975609756
GB51940	1.0
GB48551	1.0
GB54843	1.0
GB51763	1.0
GB46271	1.0
GB44263	1.0
GB41378	0.853658537
GB48997	0.9024390240000001
GB41629	1.0
GB55627	1.0
GB54680	1.0
GB54114	0.9024390240000001
GB40263	0.975609756
GB41835	1.0
GB42579	1.0
GB55723	0.975609756
GB46886	0.975609756
GB42222	0.8292682929999999
GB55973	0.951219512
GB43198	1.0
GB46262,GB46260,GB46262	1.0
GB53737	1.0
GB50171	1.0
GB52849	1.0
GB44029	1.0
GB41297	0.975609756
GB45195	0.9024390240000001
GB55644	0.9024390240000001
GB44758	1.0
GB55801	1.0
GB51422	0.975609756
GB54909	0.975609756
GB45142	1.0
GB55008,GB49845	1.0
GB44643	1.0
GB40845	1.0
GB42150	1.0
GB43857	1.0
GB41193	1.0
GB52171	0.951219512
GB42869,GB50987	0.951219512
GB55652	1.0
GB53974	0.975609756
GB55714	0.658536585
GB54263	1.0
GB41038	0.9024390240000001
GB49426	0.975609756
GB43786	1.0
GB45694	1.0
GB47182	0.975609756
GB47632	0.8292682929999999
GB43562	0.39024390200000003
GB41869	0.951219512
GB43722	1.0
GB45229	0.975609756
GB41810	1.0
GB48101	1.0
GB47625,GB42004	0.585365854
GB47596,GB47596	1.0
GB44743	1.0
GB55352	1.0
GB50814	1.0
GB40025	1.0
GB44779	1.0
GB46362	1.0
GB51016,GB51016	0.804878049
GB51111	0.975609756
GB49026	1.0
GB50819	1.0
GB46114	1.0
GB47918,GB56032	1.0
GB45091	0.975609756
GB53540	1.0
GB51649	1.0
GB43338	0.975609756
GB48487	1.0
GB49459	0.975609756
GB44646	1.0
GB45819,GB42408,GB44278,GB44278,GB42409	1.0
GB45679	0.975609756
GB52212,GB52212	0.975609756
GB42152	0.975609756
GB55557	0.975609756
GB50525	0.975609756
GB41547	0.951219512
GB46509	1.0
GB44947	1.0
GB41804	1.0
GB47925	1.0
GB47468	0.853658537
GB53729	0.9024390240000001
GB43234	1.0
GB41668	1.0
GB44896	1.0
GB48821	0.975609756
GB52084	1.0
GB47888	1.0
GB40075	0.975609756
GB43892	0.975609756
GB40706	1.0
GB45389	1.0
GB45693,GB45693	1.0
GB42942	1.0
GB51185	0.7560975609999999
GB54803	1.0
GB49297	0.975609756
GB44216,GB44968,GB50868,GB54361	1.0
GB55492	1.0
GB41744	0.951219512
GB48658	1.0
GB42603,GB42808,GB42885	1.0
GB47391	1.0
GB48336	1.0
GB50104	1.0
GB49042	1.0
GB42484	0.951219512
GB47091	0.951219512
GB54169	1.0
GB50372	0.9024390240000001
GB44624	0.926829268
GB48868	0.975609756
GB43855	1.0
GB41722	0.780487805
GB40414	1.0
GB42895	1.0
GB40916,GB46759	1.0
GB54959	0.975609756
GB52737	1.0
GB50854	1.0
GB54092	1.0
GB43160	0.975609756
GB40741	0.951219512
GB40341	1.0
GB44034	1.0
GB46963	0.975609756
GB53697	1.0
GB49193	1.0
GB41649	1.0
GB47204	1.0
GB43157	0.87804878
GB50909,GB50909	0.9024390240000001
GB49537	1.0
GB42418	1.0
GB42669	0.975609756
GB47309	0.951219512
GB43874	1.0
GB54953	0.975609756
GB47950	0.975609756
GB41734	1.0
GB48031	1.0
GB43264	0.780487805
GB55645	0.073170732
GB41035	0.975609756
GB48001	1.0
GB40283	0.926829268
GB41544,GB41544	0.951219512
GB40016	1.0
GB40504	1.0
GB48254	1.0
GB44126	1.0
GB40977	1.0
GB53676	1.0
GB52253	1.0
GB55880,GB41941	0.951219512
GB41406	0.5121951220000001
GB54246	1.0
GB46813	0.975609756
GB44649	0.975609756
GB44291	1.0
GB47970	1.0
GB52021	0.951219512
GB53343	0.780487805
GB41239	0.975609756
GB50769	0.926829268
GB41494	0.9024390240000001
GB51812	0.8292682929999999
GB48531	1.0
GB51045	1.0
GB54606	0.365853659
GB50161	0.87804878
GB53531,GB53570,GB53570	0.975609756
GB47418	1.0
GB45719	0.975609756
GB49084	1.0
GB48881	1.0
GB53976	1.0
GB50135	1.0
GB48422	1.0
GB48167	1.0
GB48573	0.731707317
GB44411	0.975609756
GB50949	1.0
GB41233	1.0
GB54137	0.707317073
GB46713	1.0
GB47889	0.975609756
GB48834	1.0
GB48232	0.9024390240000001
GB50470	1.0
GB53605	1.0
GB47185	1.0
GB54723	0.975609756
GB52077	0.975609756
GB47963	0.951219512
GB43185	0.975609756
GB55837,GB55837	1.0
GB41775	1.0
GB42814	1.0
GB55675	1.0
GB53713	1.0
GB45266	0.926829268
GB49941	1.0
GB44062	1.0
GB53802	1.0
GB42835	0.292682927
GB53721	1.0
GB49108	1.0
GB40763	1.0
GB40672	1.0
GB45179	0.853658537
GB52010	1.0
GB49804	0.975609756
GB52526	1.0
GB48339	1.0
GB50038	1.0
GB50101	0.975609756
GB55381	0.9024390240000001
GB50212	0.292682927
GB42037	1.0
GB49174	0.975609756
GB55015	1.0
GB53859	0.87804878
GB51705	0.463414634
GB41740,GB41740	1.0
GB49489	1.0
GB48601	1.0
GB40028	0.975609756
GB43736	1.0
GB49567,GB49564	1.0
GB50421	1.0
GB53710	0.975609756
GB40928	0.26829268300000003
GB53616	1.0
GB50695	1.0
GB53036	1.0
GB45009	1.0
GB55766	0.951219512
GB50020	1.0
GB46879	1.0
GB53956	0.975609756
GB46217	1.0
GB53262	1.0
GB46751	0.975609756
GB50947	1.0
GB48061	1.0
GB45758,GB53875	1.0
GB44762	1.0
GB47239	1.0
GB43220	1.0
GB52144	0.853658537
GB40357	1.0
GB54109	1.0
GB54602	1.0
GB44445	1.0
GB50650	1.0
GB48425	0.87804878
GB48665,GB48665	1.0
GB47746	1.0
GB40908	1.0
GB41444	1.0
GB46563	0.9024390240000001
GB41465	1.0
GB41165	1.0
GB47615	1.0
GB44009	1.0
GB51035	1.0
GB44602	0.951219512
GB49686	1.0
GB42493	0.926829268
GB49409	1.0
GB46818	1.0
GB43917	0.951219512
GB45686	1.0
GB49366	0.975609756
GB45536	1.0
GB49911	1.0
GB45150	1.0
GB54773	1.0
GB47281	1.0
GB42236	0.87804878
GB51391	0.951219512
GB47466	1.0
GB45272	1.0
GB44061	0.951219512
GB44679	1.0
GB47269	1.0
GB44065	0.951219512
GB54906	1.0
GB54260,GB54260	0.975609756
GB50837	1.0
GB41860	1.0
GB51060	1.0
GB52611	1.0
GB54716,GB49620	0.975609756
GB55936	1.0
GB43439	0.951219512
GB42414	1.0
GB46724	1.0
GB41694	1.0
GB46696,GB46966,GB46966	1.0
GB46510	1.0
GB46035	1.0
GB44338	1.0
GB54395	1.0
GB51715	0.975609756
GB55292	1.0
GB53357	1.0
GB40594	0.9024390240000001
GB52601	0.975609756
GB52701	1.0
GB40565	0.951219512
GB51124	0.975609756
GB40453	1.0
GB53592	0.951219512
GB50150	1.0
GB55523	1.0
GB52198	1.0
GB54774,GB54774	1.0
GB53662	0.975609756
GB45932	0.9024390240000001
GB45760	1.0
GB41836	1.0
GB43178	1.0
GB52592	0.31707317100000004
GB47039	1.0
GB55323	1.0
GB42183	0.975609756
GB49298	1.0
GB49246	1.0
GB45776	0.5365853660000001
GB41246,GB41246	0.853658537
GB46344	1.0
GB55362	0.9024390240000001
GB45351	0.926829268
GB43467	1.0
GB41288	0.87804878
GB44538	0.975609756
GB45735	0.682926829
GB47254	1.0
GB46594	1.0
GB45225	1.0
GB54738	1.0
GB55486	1.0
GB54987	1.0
GB49947	0.975609756
GB49985	1.0
GB44573	1.0
GB46479	1.0
GB53688	0.975609756
GB45683	1.0
GB46047	0.804878049
GB41347	1.0
GB54366	0.731707317
GB47844	1.0
GB46196	1.0
GB51221	1.0
GB45378	1.0
GB53798	0.41463414600000004
GB43123,GB43123	0.219512195
GB47249	1.0
GB45300	1.0
GB46070	1.0
GB54531,GB54533	1.0
GB53066	0.463414634
GB47589	1.0
GB53647	1.0
GB49186	1.0
GB54657	1.0
GB50459	0.975609756
GB48589,GB51445	0.975609756
GB43186	0.975609756
GB49301	1.0
GB52114,GB52114	0.975609756
GB43901	1.0
GB42360,GB43747	1.0
GB40405	0.9024390240000001
GB46745	0.853658537
GB54758	1.0
GB41117	0.975609756
GB45014	1.0
GB44940	1.0
GB43618	1.0
GB45106	0.9024390240000001
GB41305	0.975609756
GB53339	0.975609756
GB41609	1.0
GB54204	0.975609756
GB49468	1.0
GB49080,GB51901	1.0
GB44798	1.0
GB42241	1.0
GB53009,GB49239,GB47762	1.0
GB40802	0.975609756
GB40744	1.0
GB45557	1.0
GB46894	0.926829268
GB44550	1.0
GB50943	1.0
GB46342	0.39024390200000003
GB54718	1.0
GB47633	0.975609756
GB46878,GB46878	0.951219512
GB49268	0.926829268
GB44060	0.853658537
GB45155	1.0
GB49556	1.0
GB45029	1.0
GB46700	0.463414634
GB54338	0.951219512
GB52291	0.41463414600000004
GB43707	1.0
GB54496	0.951219512
GB47201	0.9024390240000001
GB46593	0.951219512
GB41076	1.0
GB49322	1.0
GB53530	0.682926829
GB54505	1.0
GB47477	0.975609756
GB44934	1.0
GB45517	1.0
GB55033	1.0
GB55525	0.951219512
GB45120	1.0
GB43983,GB43983	0.975609756
GB45235	1.0
GB51613	1.0
GB44551	0.975609756
GB44554	1.0
GB55631	0.9024390240000001
GB46579	0.9024390240000001
GB45502	0.975609756
GB47732	1.0
GB51385	0.951219512
GB48007	1.0
GB53934	1.0
GB46877	1.0
GB52988	1.0
GB45107	1.0
GB43579	1.0
GB51847	1.0
GB48940	1.0
GB47307	1.0
GB45395	0.951219512
GB51591,GB51591	1.0
GB52691,GB54193	1.0
GB40719	0.707317073
GB54775	1.0
GB47667	0.951219512
GB55280	0.951219512
GB45054	1.0
GB53708	1.0
GB46091	0.975609756
GB54702	0.9024390240000001
GB55967	1.0
GB49646	0.585365854
GB43261	1.0
GB52741	1.0
GB45566	1.0
GB49778,GB40327	1.0
GB47744	1.0
GB54271	0.926829268
GB50048	1.0
GB45478	0.9024390240000001
GB42846	1.0
GB42933	1.0
GB54222	0.975609756
GB48102	1.0
GB50370	1.0
GB45173	1.0
GB43448	1.0
GB50767	0.951219512
GB47405	1.0
GB51218	1.0
GB52025	1.0
GB41998	0.780487805
GB53034	1.0
GB53794	1.0
GB51633,GB51633	1.0
GB46873	0.951219512
GB53300	1.0
GB45005	0.975609756
GB47277	1.0
GB41400	1.0
GB44373	1.0
