gene	EVR
GB41745	1.1686
GB51619,GB51619	1.0545
GB44183	0.8366
GB46140	0.9614
GB54507	1.3008
GB48515	0.8768
GB49336	0.8113
GB40140	1.0645
GB52306	0.8049
GB55538	1.2051
GB45717	0.7296
GB54912	1.1812
GB53340	0.7777
GB47581	1.3198
GB49767	0.9056
GB43771	1.7577
GB52213,GB52213	1.3301
GB42035	0.8177
GB52621	0.9607
GB53959	0.8569
GB54235	1.3355
GB42508	0.8501
GB50923	1.5849
GB55808	1.0153
GB54777	0.8759
GB41645	0.799
GB50498	1.1191
GB47190	0.8339
GB47879,GB47879	0.8659
GB53909	0.7475
GB50853	0.7578
GB44673	0.9699
GB40808	1.6193
GB46270	0.8072
GB46614	1.0841
GB48825	0.9975
GB54320	1.054
GB52574	1.0006
GB49346	0.7942
GB55020	0.7811
GB48577	1.216
GB51360	0.8951
GB47099	0.8241
GB53517	0.8629
GB52555,GB52555	1.0868
GB51962	1.0124
GB52590	1.1447
GB45821	0.8729
GB49491	1.0362
GB54568	1.0167
GB53412	1.0409
GB50827	1.4521
GB41884	1.1663
GB53701	0.8262
GB49172	0.9819
GB50535	0.8612
GB50852	0.8123
GB42427	1.4979
GB52238	1.1887
GB43860	1.2958
GB40251,GB40251	1.2187
GB50378,GB50388	1.2213
GB41287	0.9123
GB51337	0.7938
GB44959	1.4078
GB40346	1.2863
GB54530	0.7738
GB53305	0.8174
GB52001	0.8842
GB53778	1.1126
GB43173	1.0921
GB54538	0.8362
GB41332	0.8488
GB55583,GB51769	0.8994
GB45774	0.8445
GB55888	0.8151
GB43304	0.8302
GB49171	0.8446
GB55237,GB55237	0.8298
GB45972	0.7628
GB48795	0.9697
GB53341	1.0258
GB46564	0.9186
GB41215	1.1909
GB50690	0.9131
GB51589	1.0761
GB49767,GB55648,GB54069	0.8783
GB41639	1.0774
GB52168	0.9779
GB48234	1.556
GB53269	1.2261
GB48192	0.9691
GB50969	1.4378
GB44595	0.9898
GB47098	1.1586
GB51653	0.7709
GB42014	0.8287
GB42031	0.8676
GB45101	0.7747
GB42728	0.7986
GB43462	1.0422
GB48789	0.9169
GB54177	0.8149
GB55480,GB51897	0.8782
GB50357	0.7319
GB44341	0.8747
GB47308	0.932
GB47829	0.9862
GB46332	0.8787
GB52472	0.8127
GB49428	0.9279999999999999
GB44092,GB47528	0.7841
GB51255	1.7761
GB48203	0.925
GB51036	0.7898
GB43631	0.9735
GB48994	0.8401
GB51207	1.1562
GB40689	0.9527
GB52537	0.8986
GB47680	0.9688
GB40703	0.8651
GB47118	1.0257
GB53149	0.9806
GB51596	1.2174
GB44899	0.9205
GB51660	0.9494
GB43796	0.9940000000000001
GB48204,GB48204	0.8909
GB42984	0.8407
GB46126	0.9284
GB52536	1.006
GB52759	0.9224
GB40452	0.8
GB48305	0.7227
GB54288	1.0506
GB40440	0.9614
GB44210	0.9265
GB44196	0.8573
GB51019	0.9459
GB50482	1.2903
GB42246	0.7818
GB51481	0.8034
GB52650	1.6703
GB51734	0.7813
GB51542,GB51542	0.9293
GB53064	0.8276
GB54031	0.9188
GB47459	1.3811
GB40678	1.1523
GB53787	0.9690000000000001
GB50807	1.0112
GB43718	0.9043
GB46618	0.9082
GB47808	0.8644
GB42921	0.8107
GB54939	0.7581
GB49511	0.8764
GB54998	0.9033
GB51512	1.3116
GB41803	0.7812
GB45348	1.2998
GB54477	0.8339
GB44193	1.0285
GB55911	0.8301
GB54230	1.0759
GB45612	0.8236
GB51113,GB51113	0.9540000000000001
GB45982	1.2958
GB45114	1.2262
GB42016	0.7806
GB45373	0.8279
GB46526,GB42007	0.9704
GB55059	0.9142
GB51692	0.846
GB52975	0.8893
GB48556	1.0389
GB40567	1.5388
GB49517	0.8631
GB55917	1.5241
GB53133	0.8577
GB44703	1.295
GB46925	0.8703
GB42866	1.0142
GB50406	1.0672
GB44862,GB44862,GB44862	1.9263
GB45530	0.9998
GB48137	1.0823
GB41888	1.2542
GB50508,GB48687,GB50508	1.7356
GB41052	1.8243
GB41454	1.1582
GB44305	1.2735
GB49977	0.8215
GB43158	0.9284
GB47113	1.2535
GB52280	0.8745
GB42740	1.1117
GB43077	1.1777
GB52321	1.3933
GB42496	1.1543
GB50749	1.1468
GB42804	1.5054
GB40206	1.107
GB51041	0.8231
GB42244	1.2815
GB43978	1.6253
GB41149,GB41149	1.9121
GB53611	0.8132
GB47568,GB42394	0.9162
GB55457	1.5677
GB49541	0.8951
GB52192	0.9332
GB52993	0.9676
GB50593,GB50593,GB50593	0.9301
GB45135,GB45135	0.8486
GB43080	1.3312
GB55764	1.1688
GB48403,GB47348	1.0719
GB53205	1.0692
GB45259	1.0718
GB47476	1.1236
GB40134,GB40132,GB40132	0.9418
GB41983	1.3007
GB46045	1.4888
GB55425	1.0575
GB44523	0.9519
GB54852	1.1902
GB50286	1.0168
GB43446	1.1415
GB45472	0.8217
GB52426	0.8407
GB55495	0.8076
GB41746	0.9540000000000001
GB53145,GB53145	1.0932
GB47422	0.8516
GB44252	0.9225
GB43743	0.9054
GB48932	0.8645
GB49730	0.8799
GB43140	1.0256
GB40350	0.8042
GB49373	1.0916
GB53821	1.0814
GB52346	0.8833
GB52417	1.2788
GB51246	0.797
GB42762	0.9992
GB43369	1.4454
GB41681	1.0031
GB45512	1.0546
GB46478	0.8788
GB52779	0.9326
GB52708	0.8965
GB43497	1.087
GB50219	0.9199
GB42875	1.2372
GB46689	0.8540000000000001
GB55022	0.9139
GB55574	0.9640000000000001
GB41449	0.7133
GB52907	0.8933
GB42062	0.9975
GB49045	0.9285
GB50974	1.1953
GB41893	0.9798
GB51381	1.9502
GB44759	0.88
GB53140,GB53140	1.3429
GB45064	1.2018
GB50295	0.9959
GB46613	0.883
GB40880	0.9031
GB47351	0.9434
GB55822	0.8959999999999999
GB43137	1.0505
GB49933	1.0405
GB44021	0.8999
GB50113	0.8457
GB55142	1.3372
GB42455,GB42455	1.1466
GB52189	0.7822
GB55995	1.0189
GB51985	1.3879
GB47271	0.9928
GB52661	1.005
GB51515	1.2333
GB41177	0.9168
GB52436	1.0861
GB49644	1.3488
GB44198	0.9965
GB55904	0.8612
GB50700	1.2415
GB52435	0.8139
GB51502,GB43039	1.4515
GB55540	0.9843
GB54805	0.9102
GB44359	0.8676
GB43203	0.9009999999999999
GB43480	0.8036
GB53388	1.3146
GB50400	0.9327
GB53670	0.7626
GB42979,GB42979	0.8967
GB43238	1.2217
GB51792	1.3057
GB53725	0.7253
GB44532	1.2473
GB47368	0.9104
GB54534	0.8436
GB43662	2.1691
GB51399	0.8582
GB42423	1.1267
GB43935	0.9445
GB41909	0.9555
GB41596	1.1613
GB47449	1.0517
GB46490	0.9056
GB53852	0.9156
GB51895	0.9651
GB55461	1.1196
GB44416	1.3944
GB47572	1.2144
GB53970	1.1596
GB47812	0.8329
GB41714	1.1747
GB54798	0.8295
GB41747	1.3330000000000002
GB47036,GB47036	0.8853
GB52079	1.0116
GB47807	1.0748
GB50184	1.0271
GB45724	1.0281
GB41366	1.4899
GB52563	0.7826
GB44884	0.7207
GB55787	1.2507
GB54287	0.9925
GB47179	1.4087
GB53012	0.875
GB45937	1.1963
GB53979	1.0855
GB42616	1.0798
GB40361	0.7578
GB54910	0.9241
GB51965	1.5406
GB43839,GB43839	1.2672
GB42646	1.2424
GB54668,GB54668	0.9175
GB45417	0.9478
GB49111	0.8233
GB43404,GB50225	1.6353
GB41839	0.9896
GB46242	0.8353
GB49544	1.9314
GB48113,GB48114	1.1520000000000001
GB43456	0.9024
GB52266	0.851
GB42751	1.4680000000000002
GB53937	1.2625
GB43216	1.2729
GB42739	0.9645
GB48775	1.2091
GB54158	0.9253
GB49859	0.8824
GB55426	1.2526
GB52947	0.9663
GB45755	1.0751
GB42735	0.9616
GB47242	0.9576
GB46599	0.9067
GB50195	1.1055
GB48625	1.3823
GB52109	1.1738
GB50635	0.8818
GB49931	1.0379
GB50660	1.0857
GB48483	0.9729
GB55378	0.8952
GB49995	1.0332
GB48523	0.865
GB42670	0.9069
GB48639	0.8323
GB40204	0.7328
GB44808	1.0105
GB54551,GB54502	0.8762
GB42058	1.0844
GB45905	1.4780000000000002
GB44117	0.8767
GB45881	0.8639
GB45690	0.9556
GB52457	1.4382
GB48530	1.4598
GB48399,GB42391	0.8484
GB49197,GB49197	0.9411
GB50345	0.795
GB43730	0.8663
GB44650	0.8867
GB47231	0.8429
GB52589	1.0706
GB44754	1.3411
GB53284	1.1623
GB53353	1.0428
GB49388	0.8517
GB49096	0.7983
GB55658	0.8474
GB40859	1.3545
GB52541	0.9041
GB55641,GB45533	1.0659999999999998
GB40033	1.1151
GB50395	0.7986
GB42066	0.9440000000000001
GB49844	1.112
GB41174	0.871
GB55751	0.8804
GB47683	0.9841
GB40280	0.8003
GB40878	0.992
GB55002	1.0968
GB51706	1.1154
GB49921	1.1751
GB44594	1.1222
GB50204	0.9866
GB54425	0.7929999999999999
GB44933	1.1348
GB54593	0.9299
GB41507	0.8918
GB51273	0.8865
GB51852	0.8303
GB43909	0.8033
GB45970	0.8469
GB42683,GB52566	1.2084
GB51775	0.8003
GB44330	0.8907
GB45277	1.0176
GB47414	1.0837
GB48117	1.2261
GB55225	0.8189
GB54995	0.8054
GB54893	1.3394
GB41919,GB41921	0.8873
GB40581,GB40581	0.8689
GB51219	1.0484
GB45442	1.7917
GB44429	0.7526
GB47138	0.773
GB51133	1.1837
GB42967	1.3973
GB50959	0.8974
GB51544	0.9207
GB40603	1.1795
GB51511,GB51511	0.9452
GB48426	0.9729
GB48396	0.9053
GB46691	0.8879
GB42220	0.8627
GB54700	0.987
GB53083	1.0995
GB51953	0.9311
GB49406	0.9559
GB53690	1.0886
GB44912	1.0342
GB51612	0.9104
GB50141	0.9918
GB53073	1.1951
GB41723	0.9729
GB52328	0.9281
GB55820	0.9315
GB46016	1.0572
GB43407	1.0729
GB43945	1.5581
GB52916	0.9285
GB45968	1.1561
GB48247	1.2535
GB41900	0.9602
GB43074	0.8274
GB45623	0.7993
GB54273	1.1746
GB47961,GB41597	1.0478
GB47437	1.1525
GB51134	0.8559
GB49642	1.7789
GB42756	1.2627
GB53963,GB50291	0.8966
GB44414	0.937
GB53825	0.7824
GB55715	0.8623
GB54378	1.0474
GB43239	0.9420000000000001
GB55775	0.9921
GB45212	1.3519999999999999
GB54348	1.2692
GB53306	1.1945
GB55146	0.9376
GB49438,GB49438	0.7718
GB55826	1.4569
GB44890	0.7409
GB45762	0.8725
GB54649	1.2526
GB51748	0.9715
GB53231	1.0284
GB54780	0.8326
GB54127	0.8723
GB54921,GB54921	1.6039
GB43465,GB41957	0.9298
GB55770	0.8168
GB48158	1.0891
GB48463	1.2792
GB51696	1.2029
GB46731	0.9882
GB45370	0.92
GB52304	0.9107
GB46018	1.2469
GB54119	0.8597
GB43470	0.825
GB53865,GB53865,GB53865	1.0187
GB53651	0.831
GB50246	0.7319
GB45564	1.0711
GB40657	0.9247
GB47280	0.8971
GB54269	0.9136
GB48229	1.0323
GB55578	0.9153
GB44174	0.882
GB54885	1.0042
GB42076	1.2998
GB49290	1.0333
GB40316	0.9554
GB42925	0.9402
GB45967	1.0988
GB51702	0.8098
GB43817	0.8195
GB50133	0.7718
GB52224	0.9232
GB48347	0.9620000000000001
GB55567	0.9440000000000001
GB55579	0.8933
GB55239	0.8954
GB40803	1.3923
GB45646	1.4432
GB40893	1.0296
GB53657	0.988
GB48923	1.3808
GB42731	1.4469999999999998
GB44648,GB44647	1.0468
GB51120	0.9208
GB45214	1.1095
GB44881	0.9602
GB45084	1.2718
GB55244	0.7324
GB54035	1.0695
GB54213	1.0776
GB50359	0.9439
GB53606	1.0722
GB50369	0.9142
GB54664	0.9564
GB44000	0.7578
GB42977	0.8511
GB41345	0.8235
GB49680	0.9737
GB51693	0.9956
GB49480,GB49480	0.8438
GB46693	1.1495
GB50538	1.2133
GB53122,GB53118,GB49568	0.8143
GB43908	1.0854
GB52086	1.4759
GB54143,GB54143	0.9612
GB41883	0.9886
GB40420	0.8336
GB51500	0.836
GB42401	0.8775
GB54313	1.1239
GB50605,GB50606	0.7822
GB46982	0.8727
GB52165	0.8908
GB45001	0.9002
GB49755	1.031
GB55272	0.8279
GB49184	0.9379
GB42138	1.7861
GB40823	1.5544
GB51130	0.9706
GB40014	0.7676
GB55164	0.8672
GB53384	1.0429
GB50997	0.7847
GB44247	1.1454
GB42619	1.4999
GB48949	0.812
GB52249	1.1997
GB42505	1.1195
GB50224,GB50224	0.9565
GB41423	0.8477
GB55746	0.8436
GB42054,GB42054	0.7282
GB54206	1.0946
GB51242	1.032
GB47208	0.8662
GB44906	0.9136
GB55913	0.8128
GB42200	0.9836
GB45958	1.2168
GB42763	1.4237
GB52567	0.7776
GB50958	0.8041
GB54198	0.8265
GB40400	0.9725
GB47428	0.8317
GB53243	0.8097
GB42773	0.946
GB40627	1.1633
GB53396	1.0061
GB48097	0.8390000000000001
GB50415	0.8667
GB55790	0.9631
GB40310	0.9296
GB46457	1.1821
GB53089	0.9987
GB51159	1.5735
GB51348,GB51348	0.9999
GB40017	1.061
GB55847	0.8431
GB42844	0.7906
GB55411	0.8419
GB45479	1.1625
GB53791,GB53791	0.9063
GB43463	1.2604
GB43093	1.1874
GB48074	1.1929
GB44885	0.9151
GB53173	1.0063
GB50743	0.9825
GB44321	1.0323
GB54053	0.8002
GB55573	1.3956
GB54216	0.8021
GB45284	0.9701
GB46739	0.9177
GB48474	0.7861
GB54225,GB54226,GB54226	0.8125
GB41855	0.9459
GB43881	0.8012
GB52989	1.8394
GB45873	1.0974
GB44537	0.8605
GB44067	0.7825
GB49223	1.5537
GB54389	0.9874
GB46212	1.649
GB54625	1.0678
GB43567	1.0061
GB41424	0.8673
GB55188	0.8152
GB43685	1.2828
GB51717	1.0199
GB43556	1.1009
GB44027	0.807
GB44433	1.0252
GB41122	1.0325
GB49320	0.7257
GB52106	0.9232
GB49325	0.7245
GB54582	1.1179999999999999
GB53740	1.2341
GB46800	1.1994
GB42325	0.9986
GB41608	1.1724
GB54751	1.0998
GB54600	1.1903
GB55618	0.8774
GB44155	1.1582
GB42352	0.9897
GB43314	1.511
GB45156	0.9159
GB52673	1.5535
GB48261	0.7345
GB49391	0.8893
GB40676	0.8691
GB41450	1.0479
GB54592	1.7101
GB50669	0.9944
GB47894	0.9427
GB45292	0.8103
GB41601	0.9624
GB41680	1.1892
GB54176	0.8615
GB48946	1.4057
GB50419	1.3556
GB52618	1.0353
GB49800	1.1546
GB51641	0.9133
GB49419	1.1895
GB48263	1.4382
GB43163	1.1065
GB51189	0.9278
GB42201	1.0548
GB41592	0.8343
GB40774	1.0594
GB51745	0.9931
GB45388,GB51874	0.8923
GB44709	1.3844
GB44535	0.9989
GB41356	0.9581
GB55793,GB55793	1.2165
GB40100	0.9703
GB52453	1.5193
GB42853	1.1123
GB43276	1.1253
GB50789	1.0441
GB45360	0.8646
GB53011	0.9309999999999999
GB55854	0.8376
GB41278,GB49900	1.0037
GB50283,GB50283	1.4065
GB51210	1.0954
GB45355	1.6835
GB49126	0.8247
GB45138	1.0576
GB42847,GB48093	1.0593
GB41875	0.9956
GB42894,GB42894	0.7428
GB40203	0.971
GB52679	0.8631
GB55907	0.8593
GB48571	0.9966
GB46301	0.8254
GB53021	1.06
GB54609	1.2661
GB40598	0.8958
GB41226	0.9485
GB40507	1.0517
GB52432,GB54695	1.0939
GB51355	1.1023
GB40515	0.8929
GB46251	1.0493
GB48162	0.8895
GB44510	1.4469999999999998
GB40740	0.9708
GB40540	0.8649
GB55700	0.9183
GB44481	0.8562
GB48375	1.1111
GB46487	0.8998
GB47339	1.3258
GB43189	1.0067
GB43899	0.9692
GB40818	0.8898
GB48925	0.8373
GB50971	0.8669
GB41783	0.8758
GB49150	0.8566
GB53989	0.8098
GB42548	0.8533
GB47195	1.6133
GB51940	1.1281
GB48551	1.0326
GB54843	0.9727
GB51763	0.8927
GB46271	1.0219
GB44263	0.7806
GB41378	1.2439
GB48997	0.8548
GB41629	0.7642
GB55627	1.0727
GB54680	0.8125
GB54114	1.0608
GB40263	1.5854
GB41835	0.9014
GB42579	0.8185
GB55723	1.8689
GB46886	0.8105
GB42222	0.953
GB55973	1.2388
GB43198	0.7286
GB46262,GB46260,GB46262	0.8426
GB53737	1.3974
GB50171	1.0811
GB52849	0.8507
GB44029	0.7727
GB41297	0.8689
GB45195	0.9993
GB55644	1.1445
GB44758	1.2312
GB55801	0.9503
GB51422	1.3869
GB54909	1.1740000000000002
GB45142	1.1919
GB55008,GB49845	0.9796
GB44643	0.7725
GB40845	1.1696
GB42150	0.7778
GB43857	1.1469
GB41193	0.9473
GB52171	0.9588
GB42869,GB50987	1.4836
GB55652	0.7527
GB53974	1.2961
GB55714	1.8859
GB54263	0.8948
GB41038	0.9575
GB49426	1.0368
GB43786	0.7969
GB45694	0.8976
GB47182	1.3988
GB47632	1.203
GB43562	1.0716
GB41869	0.8828
GB43722	1.0021
GB45229	1.6448
GB41810	1.3749
GB48101	1.1321
GB47625,GB42004	1.3018
GB47596,GB47596	1.4255
GB44743	0.7679
GB55352	0.9038
GB50814	1.0248
GB40025	1.165
GB44779	0.7609999999999999
GB46362	0.99
GB51016,GB51016	1.6178
GB51111	1.0098
GB49026	1.1953
GB50819	1.0022
GB46114	0.7793
GB47918,GB56032	0.8655
GB45091	1.182
GB53540	0.7244
GB51649	1.0995
GB43338	0.7241
GB48487	1.0043
GB49459	1.3431
GB44646	1.2402
GB45819,GB42408,GB44278,GB44278,GB42409	0.8934
GB45679	1.0765
GB52212,GB52212	0.6982
GB42152	0.9467
GB55557	1.2407
GB50525	1.3651
GB41547	0.8156
GB46509	0.9699
GB44947	0.7665
GB41804	1.1297
GB47925	0.7823
GB47468	1.6512
GB53729	0.8517
GB43234	0.9015
GB41668	1.0344
GB44896	1.0395
GB48821	1.3428
GB52084	0.9029
GB47888	0.84
GB40075	0.8006
GB43892	0.8806
GB40706	0.8833
GB45389	1.1279
GB45693,GB45693	0.7898
GB42942	0.8765
GB51185	1.472
GB54803	0.9376
GB49297	1.1778
GB44216,GB44968,GB50868,GB54361	0.8916
GB55492	0.9875
GB41744	1.3584
GB48658	1.1911
GB42603,GB42808,GB42885	0.82
GB47391	0.9578
GB48336	0.8076
GB50104	1.1613
GB49042	0.8752
GB42484	0.9391
GB47091	1.0456
GB54169	0.9359999999999999
GB50372	1.0268
GB44624	1.4977
GB48868	1.2857
GB43855	0.7815
GB41722	1.6414
GB40414	0.9087
GB42895	1.2078
GB40916,GB46759	0.9209
GB54959	1.3604
GB52737	0.8306
GB50854	0.7338
GB54092	1.0214
GB43160	0.7390000000000001
GB40741	0.9564
GB40341	0.8259
GB44034	0.9588
GB46963	1.1319
GB53697	0.9539
GB49193	0.9545
GB41649	0.9106
GB47204	0.8266
GB43157	1.1692
GB50909,GB50909	0.8259
GB49537	0.9981
GB42418	0.8304
GB42669	1.5121
GB47309	1.8439
GB43874	1.2639
GB54953	1.0315
GB47950	1.3078
GB41734	0.9955
GB48031	0.8957
GB43264	1.0754
GB55645	1.0479
GB41035	0.833
GB48001	0.858
GB40283	0.9263
GB41544,GB41544	0.977
GB40016	0.7721
GB40504	1.07
GB48254	1.1218
GB44126	0.9274
GB40977	0.9829
GB53676	1.0288
GB52253	1.119
GB55880,GB41941	0.7892
GB41406	0.8934
GB54246	1.0599
GB46813	1.0098
GB44649	0.9665
GB44291	0.8413
GB47970	0.8173
GB52021	0.8608
GB53343	1.5189
GB41239	1.1557
GB50769	1.1906
GB41494	0.9514
GB51812	0.9459
GB48531	0.9279
GB51045	0.7879
GB54606	1.1157
GB50161	1.2411
GB53531,GB53570,GB53570	0.9982
GB47418	1.1446
GB45719	1.4140000000000001
GB49084	1.3063
GB48881	0.8736
GB53976	0.9874
GB50135	0.7219
GB48422	1.2596
GB48167	1.5134
GB48573	1.1349
GB44411	0.7446
GB50949	0.9853
GB41233	0.9502
GB54137	1.9129
GB46713	0.7116
GB47889	0.7672
GB48834	1.3532
GB48232	0.9854
GB50470	0.8982
GB53605	0.8396
GB47185	1.3089
GB54723	1.1143
GB52077	1.1841
GB47963	1.0149
GB43185	0.9105
GB55837,GB55837	1.0889
GB41775	1.0123
GB42814	0.8022
GB55675	0.8806
GB53713	1.1951
GB45266	1.6163
GB49941	0.958
GB44062	0.8239
GB53802	0.8052
GB42835	0.8086
GB53721	1.1475
GB49108	0.9428
GB40763	1.1323
GB40672	0.8807
GB45179	0.9753
GB52010	1.2475
GB49804	1.4561
GB52526	0.7715
GB48339	1.1606
GB50038	0.9763
GB50101	0.8109999999999999
GB55381	0.9061
GB50212	1.0127
GB42037	1.3571
GB49174	1.0789
GB55015	0.9761
GB53859	0.9457
GB51705	0.8233
GB41740,GB41740	0.956
GB49489	0.992
GB48601	0.8216
GB40028	0.9904
GB43736	0.8554
GB49567,GB49564	0.8342
GB50421	1.2461
GB53710	0.8143
GB40928	0.8575
GB53616	0.9379
GB50695	0.7907
GB53036	0.8579
GB45009	0.8856
GB55766	1.0753
GB50020	0.8997
GB46879	0.7456
GB53956	1.2552
GB46217	0.848
GB53262	1.3063
GB46751	0.9749
GB50947	1.0519
GB48061	1.1421
GB45758,GB53875	0.7509
GB44762	1.0245
GB47239	0.9047
GB43220	1.1874
GB52144	1.0908
GB40357	1.0667
GB54109	1.1342
GB54602	1.2444
GB44445	0.8569
GB50650	1.2607
GB48425	0.7553
GB48665,GB48665	0.8052
GB47746	0.8604
GB40908	0.8449
GB41444	0.9515
GB46563	2.1468
GB41465	0.7707
GB41165	0.8686
GB47615	1.1077
GB44009	1.3714
GB51035	1.3007
GB44602	0.8003
GB49686	1.4105
GB42493	1.5026
GB49409	0.8944
GB46818	0.8905
GB43917	0.9794
GB45686	0.9615
GB49366	1.368
GB45536	1.2806
GB49911	1.0839
GB45150	0.9325
GB54773	1.2582
GB47281	0.757
GB42236	1.0941
GB51391	0.8956
GB47466	0.8523
GB45272	0.8734
GB44061	0.9146
GB44679	0.8695
GB47269	1.0871
GB44065	0.9402
GB54906	1.2056
GB54260,GB54260	1.0159
GB50837	1.0301
GB41860	1.0655
GB51060	0.963
GB52611	1.095
GB54716,GB49620	0.8498
GB55936	1.4034
GB43439	1.1274
GB42414	1.0222
GB46724	0.8988
GB41694	0.9609
GB46696,GB46966,GB46966	1.1079
GB46510	1.101
GB46035	0.8979
GB44338	0.7695
GB54395	0.9159
GB51715	1.6505
GB55292	0.8440000000000001
GB53357	0.746
GB40594	0.857
GB52601	1.1137
GB52701	0.8043
GB40565	1.0239
GB51124	1.3908
GB40453	0.8835
GB53592	0.9609
GB50150	0.9708
GB55523	1.0466
GB52198	1.236
GB54774,GB54774	0.7544
GB53662	0.772
GB45932	1.6057
GB45760	1.0598
GB41836	0.9847
GB43178	0.9389
GB52592	1.4806
GB47039	0.7374
GB55323	0.8827
GB42183	1.0625
GB49298	0.9065
GB49246	1.073
GB45776	1.2762
GB41246,GB41246	1.3621
GB46344	1.3526
GB55362	0.9314
GB45351	1.3724
GB43467	1.042
GB41288	1.1667
GB44538	0.9736
GB45735	0.7893
GB47254	0.9478
GB46594	0.8654
GB45225	0.7937
GB54738	0.9478
GB55486	0.9568
GB54987	0.9588
GB49947	0.9227
GB49985	0.857
GB44573	0.9706
GB46479	1.1234
GB53688	1.0358
GB45683	0.9894
GB46047	1.4727
GB41347	1.1439
GB54366	1.1313
GB47844	0.9059
GB46196	0.9932
GB51221	0.8202
GB45378	1.3419999999999999
GB53798	1.1665
GB43123,GB43123	1.2426
GB47249	0.8225
GB45300	1.0379
GB46070	1.2165
GB54531,GB54533	0.9570000000000001
GB53066	1.4729
GB47589	0.8357
GB53647	1.1043
GB49186	0.8962
GB54657	0.8456
GB50459	1.0364
GB48589,GB51445	0.9234
GB43186	0.8413
GB49301	0.7874
GB52114,GB52114	0.8643
GB43901	1.3456
GB42360,GB43747	0.9606
GB40405	1.6294
GB46745	1.1013
GB54758	1.0252
GB41117	1.2168
GB45014	0.8471
GB44940	0.9448
GB43618	0.7642
GB45106	1.1271
GB41305	1.288
GB53339	0.8907
GB41609	0.753
GB54204	1.1985
GB49468	1.2485
GB49080,GB51901	1.0038
GB44798	1.0252
GB42241	0.8435
GB53009,GB49239,GB47762	0.9179999999999999
GB40802	0.8568
GB40744	1.0979999999999999
GB45557	0.9184
GB46894	0.8189
GB44550	1.008
GB50943	0.8014
GB46342	0.983
GB54718	1.3279
GB47633	0.858
GB46878,GB46878	1.0385
GB49268	1.205
GB44060	0.8239
GB45155	0.9557
GB49556	0.8326
GB45029	0.8551
GB46700	1.5729
GB54338	0.8809999999999999
GB52291	0.8199
GB43707	1.0979999999999999
GB54496	1.0382
GB47201	0.8552
GB46593	1.0147
GB41076	0.9719
GB49322	0.9155
GB53530	1.1349
GB54505	1.4989
GB47477	1.2699
GB44934	0.7552
GB45517	0.8121
GB55033	0.9423
GB55525	1.4732
GB45120	0.9947
GB43983,GB43983	0.9289
GB45235	0.9036
GB51613	1.0509
GB44551	0.961
GB44554	1.287
GB55631	1.3975
GB46579	0.8531
GB45502	0.9143
GB47732	1.0979
GB51385	0.981
GB48007	0.9784
GB53934	1.1336
GB46877	1.0531
GB52988	1.8184
GB45107	1.3061
GB43579	1.3764
GB51847	0.8945
GB48940	0.8025
GB47307	1.1104
GB45395	1.1737
GB51591,GB51591	1.0171
GB52691,GB54193	0.9447
GB40719	1.5857
GB54775	0.8718
GB47667	0.8815
GB55280	1.3063
GB45054	0.8909
GB53708	0.8973
GB46091	0.7304
GB54702	1.2173
GB55967	0.8826
GB49646	0.7994
GB43261	0.8371
GB52741	0.9693
GB45566	0.8204
GB49778,GB40327	0.8167
GB47744	0.873
GB54271	0.8425
GB50048	1.0377
GB45478	1.2658
GB42846	0.7412
GB42933	0.7269
