pub_og_id	AAL	ACN	AEN	AGE	CAF	CON	EXP	CNV	STA	PDN	SEL	PDS	DUP	EVR	LCA	SYN	UNI
MZ22500041	4133.578947368421	1.0555555555555556	13.210526315789474	43.0	0.694	1.0	1.0	0.21700555924303477	34.0	0.1411	0.01967	7.17157	0.05555555555555555	0.8536	7	0.0	0.9473684210526315
MZ22500043	3206.12	1.3888888888888888	15.16	43.0	0.443	1.0	3.0	0.425205832509386	32.0	0.8638	0.08772	9.847	0.3333333333333333	1.1172	7	0.0	0.9473684210526315
MZ22500045	4508.0	1.2105263157894737	12.130434782608695	43.0	0.653	0.0	2.0	0.5735176503596922	34.0	1.8948	0.0717	26.4265	0.10526315789473684	1.2357	7	0.06432748538011696	1.0
MZ22500047	3927.277777777778	1.0588235294117647	16.555555555555557	43.0	0.319	2.0	1.0	0.22222222222222224	33.0	0.11553	0.01851	6.24131	0.058823529411764705	0.8476	7	0.10661764705882353	0.8947368421052632
MZ22500048	1582.878787878788	1.8333333333333333	13.06060606060606	43.0	0.165	3.0	4.0	0.3748277841470601	29.0	1.38773	0.06482	21.41005	0.6666666666666666	1.0116	7	0.0	0.9473684210526315
MZ22500049	4367.526315789473	1.0	11.421052631578947	43.0	0.9565	0.0	0.0	0.0	36.0	0.48026	0.06546	7.33619	0.0	1.0138	7	0.0	1.0
MZ22500052	4013.4736842105262	1.0	16.57894736842105	43.0	0.9565	0.0	0.0	0.0	36.0	0.17643	0.02528	6.97884	0.0	0.8747	7	0.0	1.0
MZ22500053	4605.05	1.0526315789473684	24.3	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.30374	0.05778	5.25691	0.05263157894736842	0.9482	7	0.0	1.0
MZ22500054	2192.3333333333335	1.6666666666666667	9.633333333333333	43.0	0.0	3.0	9.0	0.4898979485566356	24.0	1.27429	0.03934	32.38994	0.5	0.9906	7	0.0	0.9473684210526315
MZ22500057	3653.0454545454545	1.1578947368421053	14.545454545454545	43.0	0.832	0.0	3.0	0.31491832864888675	33.0	0.6172	0.0606	10.1853	0.15789473684210525	1.0607	7	0.0	1.0
MZ22500058	2297.766666666667	1.5789473684210527	12.333333333333334	43.0	0.012	0.0	8.0	0.47375568011839647	28.0	0.0	0.0	0.0	0.42105263157894735	1.0687	7	0.0	1.0
MZ22500060	3058.0	1.0	32.473684210526315	43.0	0.9565	0.0	0.0	0.0	36.0	0.15165	0.02636	5.75256	0.0	1.0099	7	0.0	1.0
MZ22500062	3488.4736842105262	1.0555555555555556	6.894736842105263	43.0	0.839	1.0	1.0	0.21700555924303477	34.0	0.2015	0.02642	7.626	0.05555555555555555	0.8665	7	0.0	0.9473684210526315
MZ22500063	1563.911111111111	2.3684210526315788	13.977777777777778	43.0	0.0	2.0	11.0	0.3678432301610411	23.0	1.7383	0.05493	31.6478	0.7894736842105263	0.9479	7	0.0	1.0
MZ22500064	3407.95	1.0526315789473684	2.7	43.0	0.951	0.0	1.0	0.21213203435596426	35.0	1.351	0.1645	8.213	0.05263157894736842	1.2734	7	0.0	1.0
MZ22500066	2436.6206896551726	1.5263157894736843	9.482758620689655	43.0	0.005	0.0	4.0	0.8057463065895119	32.0	0.0	0.0	0.0	0.21052631578947367	1.0634	7	0.0	1.0
MZ22500067	3261.5416666666665	1.263157894736842	9.666666666666666	43.0	0.076	0.0	4.0	0.4330127018922194	32.0	0.0	0.0	0.0	0.21052631578947367	1.2512	7	0.0	1.0
MZ22500068	2456.214285714286	1.0	10.642857142857142	43.0	0.023	5.0	0.0	0.0	31.0	0.79044	0.06285	12.5773	0.0	1.075	7	0.0	0.7368421052631579
MZ22500070	4096.444444444444	1.0	14.777777777777779	43.0	0.82	1.0	0.0	0.0	35.0	0.40211	0.05646	7.12161	0.0	0.9485	7	0.0718954248366013	0.9473684210526315
MZ22500071	3025.521739130435	1.2105263157894737	10.608695652173912	43.0	0.382	0.0	4.0	0.33678116053977536	32.0	0.1867	0.02513	7.4306	0.21052631578947367	0.8969	7	0.14619883040935672	1.0
MZ22500073	3188.904761904762	1.105263157894737	9.666666666666666	43.0	0.892	0.0	2.0	0.2776643759450143	34.0	0.3606	0.04455	8.0939	0.10526315789473684	0.9286	7	0.0	1.0
MZ22500075	2636.8695652173915	1.2105263157894737	29.652173913043477	43.0	0.382	0.0	4.0	0.33678116053977536	32.0	0.5847	0.08129	7.1924	0.21052631578947367	1.0776	7	0.0	1.0
MZ22500078	3170.7	1.0526315789473684	18.25	43.0	0.951	0.0	1.0	0.21213203435596426	35.0	0.12878	0.0206	6.25131	0.05263157894736842	0.8582	7	0.0	1.0
MZ22500079	3984.6	1.0526315789473684	10.75	43.0	0.888	0.0	1.0	0.21213203435596428	35.0	0.16678	0.02342	7.1202	0.05263157894736842	0.8797	7	0.0	1.0
MZ22500080	3151.478260869565	1.2105263157894737	14.304347826086957	43.0	0.625	0.0	4.0	0.33678116053977536	32.0	0.1221	0.01529	7.985	0.21052631578947367	0.8861	7	0.0	1.0
MZ22500081	3287.5238095238096	1.105263157894737	5.619047619047619	43.0	0.0	0.0	2.0	0.2776643759450143	34.0	0.7488	0.09329	8.0265	0.10526315789473684	1.0718	7	0.09941520467836257	1.0
MZ22500084	3377.3	1.0526315789473684	6.65	43.0	0.95	0.0	1.0	0.21213203435596426	35.0	0.2563	0.03745	6.844	0.05263157894736842	0.8962	7	0.0	1.0
MZ22500086	1578.871794871795	2.0526315789473686	7.076923076923077	43.0	0.008	4.0	5.0	0.4021637728553364	27.0	2.7536	0.05245	52.5001	0.7368421052631579	0.9606	7	0.038011695906432746	1.0
MZ22500088	5291.85	1.0526315789473684	17.2	43.0	0.977	0.0	1.0	0.21213203435596426	35.0	0.97241	0.12714	7.64848	0.05263157894736842	1.1542	7	0.1023391812865497	1.0
MZ22500089	3528.0526315789475	1.0	8.631578947368421	43.0	0.9565	0.0	0.0	0.0	36.0	0.85974	0.11184	7.68746	0.0	1.0734	7	0.13157894736842105	1.0
MZ22500093	1817.6774193548388	1.631578947368421	5.516129032258065	43.0	0.0	1.0	7.0	0.3563019682963633	28.0	1.6494	0.10531	15.663	0.5789473684210527	1.0726	7	0.21929824561403508	1.0
MZ22500094	5399.454545454545	1.1	11.181818181818182	43.0	0.001	8.0	1.0	0.2727272727272727	27.0	0.86577	0.10392	8.33137	0.1	1.2196	7	0.0	0.5263157894736842
MZ22500095	4465.458333333333	1.263157894736842	9.833333333333334	43.0	0.0	0.0	3.0	0.5651941652604391	33.0	1.2303	0.12579	9.7803	0.15789473684210525	1.4623	7	0.0	1.0
MZ22500096	2550.5714285714284	1.105263157894737	10.19047619047619	43.0	0.589	0.0	2.0	0.2776643759450143	34.0	0.68421	0.08823	7.75442	0.10526315789473684	1.0548	7	0.0	1.0
MZ22500097	3431.2631578947367	1.0	15.578947368421053	43.0	0.9565	0.0	0.0	0.0	36.0	0.23074	0.03663	6.29888	0.0	0.9082	7	0.0	1.0
MZ22500098	3396.28	1.3157894736842106	5.48	43.0	0.318	0.0	4.0	0.4308131845707603	32.0	0.8953	0.0695	12.88233	0.2631578947368421	1.1932	7	0.0	1.0
MZ22500100	2227.0	1.368421052631579	12.346153846153847	43.0	0.0	0.0	6.0	0.4248215775841255	30.0	2.30937	0.12684	18.20746	0.3157894736842105	1.1723	7	0.0	1.0
MZ22500101	1927.25	1.1111111111111112	18.1	43.0	0.508	1.0	2.0	0.282842712474619	33.0	1.3947	0.08664	16.09854	0.1111111111111111	1.0148	7	0.0	0.9473684210526315
MZ22500102	2408.478260869565	1.2105263157894737	10.782608695652174	43.0	0.0	0.0	3.0	0.43041282333094194	33.0	4.1023	0.04703	87.2219	0.15789473684210525	1.186	7	0.0	1.0
MZ22500105	2463.25	1.0526315789473684	12.8	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.688	0.06215	11.0701	0.05263157894736842	0.929	7	0.0	1.0
MZ22500106	2897.4615384615386	1.0	12.153846153846153	43.0	0.005	6.0	0.0	0.0	30.0	0.2492	0.04607	5.40916	0.0	0.9063	7	0.0	0.6842105263157895
MZ22500107	2861.809523809524	1.105263157894737	17.333333333333332	43.0	0.832	0.0	2.0	0.2776643759450143	34.0	0.3736	0.04173	8.9519	0.10526315789473684	0.9405	7	0.0	1.0
MZ22500111	1532.12	1.3888888888888888	12.04	43.0	0.118	2.0	3.0	0.3509985754956849	31.0	1.75244	0.08774	19.97229	0.3888888888888889	0.9902	7	0.0	0.9473684210526315
MZ22500114	2628.222222222222	1.0	8.833333333333334	43.0	0.7975	1.0	0.0	0.0	35.0	0.24748	0.03725	6.64353	0.0	0.9008	7	0.042483660130718956	0.9473684210526315
MZ22500115	2629.3478260869565	1.2105263157894737	16.217391304347824	43.0	0.386	0.0	4.0	0.33678116053977536	32.0	0.3813	0.0508	7.5054	0.21052631578947367	1.2684	7	0.038011695906432746	1.0
MZ22500117	2227.695652173913	1.2105263157894737	12.782608695652174	43.0	0.318	0.0	3.0	0.43041282333094194	33.0	0.4036	0.03435	11.7483	0.15789473684210525	1.318	7	0.0	1.0
MZ22500118	2999.0526315789475	1.0	9.263157894736842	43.0	0.9565	0.0	0.0	0.0	36.0	0.18912	0.02847	6.64278	0.0	0.8725	7	0.05555555555555556	1.0
MZ22500120	2675.2631578947367	1.0	12.105263157894736	43.0	0.9565	0.0	0.0	0.0	36.0	0.38901	0.05713	6.80916	0.0	0.9765	7	0.0	1.0
MZ22500123	3222.85	1.0526315789473684	6.8	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.39092	0.0593	6.59187	0.05263157894736842	0.9487	7	0.0	1.0
MZ22500124	2944.35	1.0526315789473684	26.9	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.11152	0.01739	6.41115	0.05263157894736842	0.8573	7	0.0	1.0
MZ22500126	2032.2962962962963	1.4210526315789473	16.925925925925927	43.0	0.085	0.0	6.0	0.34743820443136514	30.0	1.48562	0.08727	17.02333	0.42105263157894735	1.0898	7	0.0	1.0
MZ22500128	1859.892857142857	1.4736842105263157	3.2857142857142856	43.0	0.117	0.0	6.0	0.460146383097326	30.0	2.66016	0.08015	33.19	0.3684210526315789	1.0779	7	0.0	1.0
MZ22500132	2580.8947368421054	1.0555555555555556	4.2105263157894735	43.0	0.723	1.0	1.0	0.21700555924303477	34.0	1.06844	0.08598	12.42615	0.05555555555555555	1.1864	7	0.0	0.9473684210526315
MZ22500133	2878.0	1.105263157894737	17.571428571428573	43.0	0.861	0.0	2.0	0.2776643759450143	34.0	0.5228	0.0552	9.4703	0.10526315789473684	0.9992	7	0.0	1.0
MZ22500134	2430.2	1.3157894736842106	8.92	43.0	0.17	0.0	6.0	0.3532704346531138	30.0	2.1616	0.05586	38.6965	0.3157894736842105	1.3371	7	0.0	1.0
MZ22500135	2393.75	1.0526315789473684	8.55	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.4749	0.08069	5.88521	0.05263157894736842	1.0214	7	0.0	1.0
MZ22500137	1252.8620689655172	1.5263157894736843	5.896551724137931	43.0	0.075	4.0	2.0	0.32713217174155645	30.0	5.1238	0.14452	35.4547	0.5263157894736842	1.2532	7	0.11695906432748537	1.0
MZ22500138	1902.6333333333334	1.5789473684210527	8.866666666666667	43.0	0.0	2.0	7.0	0.31269438398822863	27.0	3.78299	0.10628	35.59531	0.5789473684210527	1.0039	7	0.0	1.0
MZ22500139	2740.590909090909	1.1578947368421053	5.318181818181818	43.0	0.595	0.0	3.0	0.31491832864888675	33.0	0.6182	0.06859	9.01331	0.15789473684210525	0.9824	7	0.0	1.0
MZ22500141	2308.2380952380954	1.105263157894737	13.0	43.0	0.892	0.0	2.0	0.2776643759450143	34.0	1.4337	0.15343	9.3444	0.10526315789473684	1.363	7	0.0	1.0
MZ22500142	3127.1428571428573	1.105263157894737	14.666666666666666	43.0	0.731	0.0	2.0	0.2776643759450143	34.0	0.3805	0.06153	6.184	0.10526315789473684	1.0345	7	0.0	1.0
MZ22500144	1646.6153846153845	1.368421052631579	8.73076923076923	43.0	0.0	0.0	6.0	0.4248215775841255	30.0	1.3514	0.06098	22.1609	0.3157894736842105	0.9267	7	0.0	1.0
MZ22500147	2890.1052631578946	1.0	8.736842105263158	43.0	0.9565	0.0	0.0	0.0	36.0	0.83352	0.10881	7.66045	0.0	1.13	7	0.0	1.0
MZ22500149	2799.8	1.0526315789473684	8.85	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.64983	0.01625	39.97997	0.05263157894736842	0.8469	7	0.0	1.0
MZ22500152	2686.8	1.0526315789473684	10.5	43.0	0.0	4.0	1.0	0.21213203435596426	31.0	0.1735	0.02771	6.2611	0.05263157894736842	0.892	7	0.0	1.0
MZ22500154	1711.45	1.0526315789473684	4.65	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.78045	0.11156	6.99565	0.05263157894736842	1.0703	7	0.0	1.0
MZ22500155	2110.3571428571427	1.0769230769230769	9.928571428571429	43.0	0.023	5.0	1.0	0.2474358296526968	30.0	0.2319	0.04139	5.60326	0.07692307692307693	0.882	7	0.0	0.6842105263157895
MZ22500156	2785.3684210526317	1.0	10.052631578947368	43.0	0.9565	0.0	0.0	0.0	36.0	0.23025	0.02712	8.49019	0.0	0.9078	7	0.0	1.0
MZ22500158	2450.75	1.0526315789473684	8.2	43.0	0.961	0.0	1.0	0.21213203435596426	35.0	2.03252	0.12527	16.22503	0.05263157894736842	1.1546	7	0.0	1.0
MZ22500160	2708.75	1.0	3.8333333333333335	27.90365678	0.0	6.0	0.0	0.0	30.0	0.79335	0.13667	5.80492	0.0	1.1725	7	0.0	0.631578947368421
MZ22500162	2107.4545454545455	1.2222222222222223	2.727272727272727	43.0	0.0	1.0	3.0	0.43598468393751993	32.0	0.0	0.0	0.0	0.16666666666666666	1.4142	7	0.0	0.9473684210526315
MZ22500163	1627.2608695652175	1.2105263157894737	13.956521739130435	43.0	0.766	0.0	3.0	0.33678116053977536	33.0	0.86886	0.06685	12.99803	0.21052631578947367	0.9419	7	0.09064327485380116	1.0
MZ22500164	2811.3684210526317	1.0	16.105263157894736	43.0	0.9565	0.0	0.0	0.0	36.0	0.46163	0.06728	6.8616	0.0	1.0381	7	0.0	1.0
MZ22500166	2440.6666666666665	1.105263157894737	8.857142857142858	43.0	0.913	0.0	2.0	0.2776643759450143	34.0	0.1177	0.01746	6.74	0.10526315789473684	0.8541	7	0.07602339181286549	1.0
MZ22500169	2321.3333333333335	1.105263157894737	6.380952380952381	43.0	0.806	0.0	2.0	0.2776643759450143	34.0	0.1231	0.01814	6.7863	0.10526315789473684	0.8495	7	0.0	1.0
MZ22500170	2476.3333333333335	1.105263157894737	4.619047619047619	43.0	0.886	0.0	1.0	0.4040610178208842	35.0	1.4225	0.14463	9.8355	0.05263157894736842	1.2314	7	0.0	1.0
MZ22500171	1572.918918918919	1.9473684210526316	10.621621621621621	43.0	0.0	1.0	8.0	0.35238931920014316	27.0	2.9875	0.01115	267.8602	0.7368421052631579	0.8916	7	0.0	1.0
MZ22500172	2286.6666666666665	1.1666666666666667	8.761904761904763	43.0	0.211	1.0	3.0	0.31943828249996986	32.0	0.35932	0.04619	7.77915	0.16666666666666666	0.968	7	0.0	0.9473684210526315
MZ22500173	1451.6315789473683	1.0	7.894736842105263	43.0	0.9565	0.0	0.0	0.0	36.0	0.45312	0.06395	7.08563	0.0	0.9382	7	0.0	1.0
MZ22500174	2212.15	1.0526315789473684	8.2	43.0	0.977	0.0	1.0	0.21213203435596426	35.0	2.15157	0.13521	15.91223	0.05263157894736842	1.084	7	0.0	1.0
MZ22500176	2441.65	1.0526315789473684	4.4	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.23376	0.0271	8.62663	0.05263157894736842	0.8889	7	0.07309941520467836	1.0
MZ22500177	2707.2631578947367	1.0555555555555556	5.368421052631579	43.0	0.811	1.0	1.0	0.21700555924303477	34.0	0.812	0.0912	8.90382	0.05555555555555555	1.1688	7	0.0	0.9473684210526315
MZ22500179	2812.7368421052633	1.0555555555555556	6.157894736842105	43.0	0.857	1.0	1.0	0.21700555924303477	34.0	0.6395	0.09469	6.7538	0.05555555555555555	1.13	7	0.0	0.9473684210526315
MZ22500180	3041.8846153846152	1.368421052631579	9.115384615384615	43.0	0.208	0.0	4.0	0.4248215775841255	32.0	2.6476	0.11275	23.483	0.3157894736842105	1.2853	7	0.0	1.0
MZ22500181	2598.4210526315787	1.0	4.842105263157895	43.0	0.9565	0.0	0.0	0.0	36.0	0.25757	0.03863	6.66817	0.0	0.8953	7	0.0935672514619883	1.0
MZ22500182	2311.818181818182	1.1578947368421053	5.7727272727272725	43.0	0.0	0.0	3.0	0.31491832864888675	33.0	2.136	0.19782	10.7976	0.15789473684210525	1.6602	7	0.0	1.0
MZ22500183	2185.5	1.263157894736842	20.625	43.0	0.189	0.0	4.0	0.4330127018922194	32.0	1.2618	0.05933	21.2687	0.21052631578947367	1.084	7	0.0	1.0
MZ22500187	1689.0	1.4615384615384615	15.736842105263158	43.0	0.003	7.0	1.0	0.4340111184860696	28.0	2.8654	0.21253	13.48219	0.38461538461538464	1.4419	7	0.0	0.6842105263157895
MZ22500188	1487.25	1.5555555555555556	10.928571428571429	43.0	0.015	1.0	5.0	0.4403152859263555	30.0	0.7811	0.03162	24.7005	0.4444444444444444	1.0481	7	0.0718954248366013	0.9473684210526315
MZ22500190	2946.315789473684	1.0	8.526315789473685	43.0	0.9565	0.0	0.0	0.0	36.0	0.36637	0.05009	7.31396	0.0	0.9985	7	0.07716049382716049	1.0
MZ22500194	2997.2	1.0526315789473684	9.75	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.74709	0.10025	7.45226	0.05263157894736842	1.0499	7	0.0	1.0
MZ22500196	1753.695652173913	1.2105263157894737	16.82608695652174	43.0	0.865	0.0	3.0	0.33678116053977536	33.0	0.5017	0.0247	20.3108	0.21052631578947367	0.9796	7	0.0	1.0
MZ22500197	2488.2631578947367	1.0555555555555556	3.526315789473684	43.0	0.839	1.0	1.0	0.21700555924303477	34.0	1.44439	0.15329	9.42251	0.05555555555555555	1.3055	7	0.0	0.9473684210526315
MZ22500202	2201.684210526316	1.0	4.473684210526316	43.0	0.9565	0.0	0.0	0.0	36.0	3.02859	0.23406	12.9393	0.0	1.8913	7	0.0	1.0
MZ22500204	2366.7619047619046	1.105263157894737	22.952380952380953	43.0	0.731	0.0	2.0	0.2776643759450143	34.0	0.28211	0.05118	5.51249	0.10526315789473684	0.9427	7	0.0	1.0
MZ22500205	2317.157894736842	1.0	6.315789473684211	43.0	0.9565	0.0	0.0	0.0	36.0	0.16996	0.02162	7.86274	0.0	0.885	7	0.0	1.0
MZ22500208	2805.3684210526317	1.0	4.894736842105263	43.0	0.9565	0.0	0.0	0.0	36.0	0.29417	0.04145	7.09613	0.0	0.893	7	0.06432748538011696	1.0
MZ22500211	2326.05	1.0526315789473684	18.5	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.62441	0.08254	7.56477	0.05263157894736842	1.0676	7	0.0	1.0
MZ22500214	1585.857142857143	1.0	11.571428571428571	43.0	0.022	5.0	0.0	0.0	31.0	0.79201	0.0989	8.00835	0.0	1.2326	7	0.0	0.7368421052631579
MZ22500215	2582.0714285714284	1.0	3.7857142857142856	43.0	0.014	5.0	0.0	0.0	31.0	0.86344	0.11312	7.63309	0.0	1.1615	7	0.0	0.7368421052631579
MZ22500216	2288.7	1.0526315789473684	4.85	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.13304	0.02085	6.38152	0.05263157894736842	0.8406	7	0.06140350877192982	1.0
MZ22500219	2562.6190476190477	1.105263157894737	6.857142857142857	43.0	0.731	0.0	2.0	0.2776643759450143	34.0	0.6841	0.09193	7.4417	0.10526315789473684	1.116	7	0.0	1.0
MZ22500225	1931.3684210526317	1.1176470588235294	11.263157894736842	43.0	0.269	2.0	2.0	0.28827503026587686	32.0	0.1817	0.031	5.8604	0.11764705882352941	0.8715	7	0.0	0.8947368421052632
MZ22500230	2263.1428571428573	1.105263157894737	11.0	43.0	0.827	0.0	2.0	0.2776643759450143	34.0	1.01882	0.10203	9.9857	0.10526315789473684	1.1479	7	0.0	1.0
MZ22500233	2177.85	1.0526315789473684	6.35	43.0	0.951	0.0	1.0	0.21213203435596426	35.0	0.02996	0.00494	6.06355	0.05263157894736842	0.8095	7	0.0	1.0
MZ22500234	2341.05	1.0526315789473684	9.9	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.08765	0.01438	6.09543	0.05263157894736842	0.8406	7	0.0	1.0
MZ22500235	2380.684210526316	1.0	12.68421052631579	43.0	0.9565	0.0	0.0	0.0	36.0	0.22489	0.03573	6.29499	0.0	0.9004	7	0.1574074074074074	1.0
MZ22500238	1140.6216216216217	1.9473684210526316	6.513513513513513	43.0	0.0	2.0	8.0	0.6115518107559329	26.0	2.19041	0.08273	26.47751	0.42105263157894735	0.9765	7	0.03508771929824561	1.0
MZ22500239	3115.7619047619046	1.105263157894737	5.095238095238095	43.0	0.886	0.0	1.0	0.4040610178208842	35.0	1.4443	0.15041	9.6025	0.05263157894736842	1.4273	7	0.0	1.0
MZ22500240	1503.1612903225807	1.631578947368421	13.258064516129032	43.0	0.0	2.0	7.0	0.3563019682963633	27.0	1.8618	0.08719	21.3524	0.5789473684210527	1.0774	7	0.0	1.0
MZ22500243	2605.157894736842	1.0	7.684210526315789	43.0	0.9565	0.0	0.0	0.0	36.0	0.36956	0.04795	7.70662	0.0	0.9692	7	0.10526315789473684	1.0
MZ22500244	1718.7368421052631	1.0555555555555556	6.368421052631579	43.0	0.723	1.0	1.0	0.21700555924303477	34.0	1.92921	0.15858	12.16546	0.05555555555555555	1.377	7	0.0	0.9473684210526315
MZ22500246	1132.888888888889	1.4210526315789473	6.962962962962963	43.0	0.0	0.0	7.0	0.34743820443136514	29.0	1.72432	0.09575	18.00942	0.42105263157894735	1.0392	7	0.0	1.0
MZ22500247	1474.1818181818182	1.1578947368421053	13.681818181818182	43.0	0.615	0.0	3.0	0.31491832864888675	33.0	2.34562	0.01593	147.29	0.15789473684210525	0.9343	7	0.0	1.0
MZ22500251	2188.315789473684	1.0	7.0	43.0	0.9565	0.0	0.0	0.0	36.0	1.03803	0.1093	9.49735	0.0	1.1318	7	0.0	1.0
MZ22500252	2323.8	1.0526315789473684	4.9	43.0	0.888	0.0	1.0	0.21213203435596426	35.0	0.03719	0.00618	6.02094	0.05263157894736842	0.8185	7	0.03801169590643275	1.0
MZ22500257	2388.7894736842104	1.0	6.2105263157894735	43.0	0.9565	0.0	0.0	0.0	36.0	0.20758	0.03152	6.58552	0.0	0.8811	7	0.0	1.0
MZ22500259	2270.55	1.0526315789473684	9.3	43.0	0.888	0.0	1.0	0.21213203435596428	35.0	0.16367	0.02463	6.64625	0.05263157894736842	0.8572	7	0.0	1.0
MZ22500265	2283.5789473684213	1.0	8.842105263157896	43.0	0.9565	0.0	0.0	0.0	36.0	0.07115	0.01284	5.54343	0.0	0.8597	7	0.0	1.0
MZ22500266	1283.7826086956522	1.2777777777777777	2.3043478260869565	43.0	0.144	1.0	4.0	0.3505329455781978	31.0	2.18646	0.15951	13.70753	0.2777777777777778	1.1528	7	0.0	0.9473684210526315
