orthogroup	gene	species
10031	000c78	88501
10032	g276.t1	148810
10032	0032ae	132113
10032	0024a7	143995
10032	0021c5	1507135
10032	2125	156304
10032	0025f3	166423
10032	000f51	178035
10032	00260a	516756
10032	000d67	597456
10032	65	7460
10032	002eb5	88501
10033	g12515.t1	148810
10033	0010b0	132113
10033	1956	143995
10033	0017fb	1507135
10033	000a76	156304
10033	003aba	166423
10033	2450	516756
10033	000ad8	597456
10033	1454	7460
10034	g5714.t1	148810
10034	0023d6	132113
10034	0005c5	143995
10034	00242a	1507135
10034	001fe3	156304
10034	000c1c	166423
10034	00105e	178035
10034	000ec3	516756
10034	0007b0	597456
10034	0024db	7460
10034	2608	88501
10035	000cb9	132113
10035	0.00E+00	143995
10035	000da1	1507135
10035	00321c	166423
10035	001e2e	178035
10035	2.80E+07	88501
10036	g825.t1	148810
10036	0.00E+00	132113
10036	1788	143995
10036	2174	156304
10036	2745	166423
10036	001a08	516756
10036	0001b2	7460
10037	003d1d	132113
10037	001dc1	143995
10037	1478	1507135
10037	00010b	156304
10037	2388	166423
10037	0001a0	178035
10037	1898	516756
10037	0001ea	7460
10037	0009d9	88501
10038	g8942.t1	148810
10038	00031a	132113
10038	0020fc	143995
10038	00257c	1507135
10038	1.50E+09	156304
10038	0017c0	166423
10038	00180e	7460
10039	g4530.t1	148810
10039	003c28	132113
10039	2492	143995
10039	001c33	1507135
10039	0020d8	178035
10039	0020fb	178035
10039	0013eb	516756
10039	000b1f	597456
10039	00162a	7460
10039	000db9	88501
1004	g4489.t1	148810
1004	003c03	132113
1004	0026bd	156304
1004	3595	166423
1004	00213b	178035
1004	0013a2	516756
1004	0015ba	597456
1004	00178f	7460
1004	3016	88501
10040	g7513.t1	148810
10040	002e3d	132113
10040	91	143995
10040	3349	1507135
10040	2542	166423
10040	2505	178035
10040	0025be	516756
10040	001b4f	597456
10040	849	88501
10041	g11813.t1	148810
10041	2.00E+05	132113
10041	1.00E+95	143995
10041	000d1c	1507135
10041	1069	156304
10041	0002f7	166423
10041	000baa	178035
10041	000fb6	516756
10041	001a6e	597456
10041	00259a	7460
10042	000b04	132113
10042	2313	1507135
10042	000dd9	166423
10042	001ff0	597456
10042	100	7460
10042	1413	88501
10043	g7869.t1	148810
10043	1608	132113
10043	2921	143995
10043	2.50E+07	156304
10043	2204	166423
10043	001f37	178035
10043	2649	516756
10043	00234d	7460
10043	0033bc	88501
10044	g9516.t1	148810
10044	00381d	132113
10044	000bd7	143995
10044	00074f	156304
10044	000b27	166423
10044	000fe0	178035
10044	00108a	516756
10044	001fef	597456
10044	0021b8	7460
10044	0006fa	88501
10046	g10831.t1	148810
10046	001ae3	132113
10046	0013b1	143995
10046	000f93	1507135
10046	0026d8	156304
10046	146	178035
10046	000ca7	516756
10046	000dc0	597456
10046	0000a3	7460
10046	0009c9	88501
10047	g2249.t1	148810
10047	003c97	132113
10047	00062e	1507135
10047	3950	166423
10048	00003f	132113
10048	0016f0	156304
10048	0006b4	166423
10048	567	516756
10048	1776	597456
10048	0007dd	7460
10048	2192	88501
10049	g2094.t1	148810
10049	2875	132113
10049	597	1507135
10049	003a0e	166423
1005	g8050.t1	148810
1005	1384	132113
1005	0028f3	143995
1005	001d7c	1507135
1005	0005ef	156304
1005	00193a	166423
1005	1881	178035
1005	00167a	516756
1005	0025ac	597456
1005	2292	7460
1005	3122	88501
10050	g10015.t1	148810
10050	0005fa	132113
10050	0019fa	1507135
10050	00286b	156304
10050	000d2c	178035
10050	2.20E+05	516756
10050	0008f5	597456
10051	g13308.t1	148810
10051	2.00E+60	132113
10051	0004b7	143995
10051	2990	1507135
10051	001b2f	156304
10051	1.50E+01	166423
10051	000de9	178035
10051	0010bd	516756
10051	612	597456
10051	0000b5	7460
10051	0027b0	88501
10052	g7338.t1	148810
10052	0036a5	132113
10052	000ab5	143995
10052	2494	156304
10052	0019ff	166423
10052	000b56	178035
10052	00264f	516756
10052	0024c5	597456
10052	828	7460
10052	00036d	88501
10053	g13628.t1	148810
10053	g4036.t1	148810
10053	003d19	132113
10053	001d9e	143995
10053	0029d6	1507135
10053	1813	156304
10053	2383	166423
10053	175	178035
10053	0018a8	516756
10053	00006f	597456
10053	00011e	7460
10053	0031f0	88501
10054	g8698.t1	148810
10054	002bb7	132113
10054	0021c2	143995
10054	0006b6	1507135
10054	1633	156304
10054	0026c2	166423
10054	0004f0	178035
10054	268	516756
10054	00132e	597456
10054	1822	7460
10054	0031a8	88501
10057	g6647.t1	148810
10057	38	132113
10057	297	156304
10057	00170f	156304
10057	0006ae	166423
10057	1.60E+01	178035
10057	00056b	516756
10057	00176d	597456
10057	990	7460
10057	00218c	88501
10058	g8624.t1	148810
10058	002b72	132113
10058	248	143995
10058	00147e	156304
10058	00156e	166423
10058	507	178035
10058	00022f	516756
10058	00221e	597456
10058	1817	7460
10058	001dc5	88501
10059	394	132113
10059	2390	597456
10059	00062d	7460
1006	g1719.t1	148810
1006	2712	132113
1006	0011fb	143995
1006	00250b	1507135
1006	0006d5	156304
1006	002ffc	166423
1006	2394	178035
1006	00183e	516756
1006	00103c	597456
1006	00112b	7460
1006	0016c7	88501
10060	g5440.t1	148810
10060	003d74	132113
10060	675	143995
10060	2167	1507135
10060	902	156304
10060	0005a8	166423
10060	0015a2	178035
10060	0003bc	516756
10060	00167d	597456
10061	0021fc	143995
10061	3680	1507135
10061	1358	178035
10062	g10363.t1	148810
10062	001fa3	1507135
10062	1894	156304
10062	00095b	516756
10062	303	597456
10062	00128f	7460
10063	g7459.t1	148810
10063	00321f	132113
10063	2992	1507135
10063	1229	156304
10063	2512	166423
10063	000aa1	178035
10063	001b93	516756
10063	001b3e	597456
10063	001c3b	7460
10063	001b66	88501
10064	g3905.t1	148810
10064	002d2f	132113
10064	392	143995
10064	001bea	1507135
10064	0020b7	156304
10064	3486	166423
10064	0007f3	178035
10064	2239	516756
10064	000aae	597456
10064	0028ca	88501
10065	g4033.t1	148810
10065	0008cf	132113
10065	0005bc	1507135
10065	1317	156304
10065	00098c	166423
10065	1149	516756
10065	00047f	597456
10065	1678	7460
10066	g4525.t1	148810
10066	003c23	132113
10066	001c49	1507135
10066	2624	88501
10067	g3970.t1	148810
10067	0039c2	132113
10067	001ca4	143995
10067	00147e	1507135
10067	002d1f	166423
10067	626	597456
10067	381	7460
10067	002cc9	88501
10068	00301e	132113
10068	001f40	143995
10068	000fb2	1507135
10068	1542	156304
10068	0023ca	166423
10068	00012d	178035
10068	0022fe	516756
10068	00092f	597456
10068	513	88501
10069	g2045.t1	148810
10069	000d99	143995
10069	0005a1	1507135
10069	00117f	156304
10069	0028a8	166423
10069	000e9b	178035
10069	0021f7	516756
10069	001a30	597456
10069	552	7460
1007	g9052.t1	148810
1007	43	132113
1007	254	143995
1007	0017c6	1507135
1007	1658	156304
1007	1831	166423
1007	0012f0	178035
1007	00055e	516756
1007	001da6	597456
1007	00181f	7460
1007	2366	88501
10070	001c7c	132113
10070	0018f3	143995
10070	341	1507135
10070	00139a	156304
10070	0010b8	166423
10070	001fa8	178035
10070	1072	516756
10070	000d19	597456
10070	0008f7	7460
10070	2854	88501
10071	g8795.t1	148810
10071	0007c5	132113
10071	00212a	143995
10071	2624	1507135
10071	00050b	156304
10071	00172e	166423
10071	000c27	178035
10071	827	516756
10071	00024a	597456
10071	0017f1	7460
10071	1.00E+73	88501
10072	g13085.t1	148810
10072	0018c2	143995
10072	000b55	1507135
10072	0022db	156304
10072	3650	166423
10072	2069	516756
10072	1701	597456
10072	0024d9	7460
10072	0021f1	88501
10072	0021f2	88501
10073	919	132113
10073	1818	143995
10073	0020c1	178035
10073	00047a	597456
10073	1747	7460
10073	0007db	88501
10073	002f72	88501
10074	g7809.t1	148810
10074	00173c	132113
10074	001b30	143995
10074	1.00E+31	1507135
10074	00290b	156304
10074	1866	178035
10074	0000f8	516756
10074	126	597456
10074	0023dd	7460
10075	g2564.t1	148810
10075	001b4b	132113
10075	000d51	143995
10075	1521	1507135
10075	001af5	156304
10075	3807	166423
10075	00043a	516756
10075	0013c2	597456
10075	567	7460
10075	000d9f	88501
10076	g2730.t1	148810
10076	0028bc	132113
10076	00171b	1507135
10076	000dcf	166423
10076	0033cd	88501
10077	769	1507135
10077	0001d7	156304
10077	000f88	7460
10078	g4873.t1	148810
10078	3657	132113
10078	0018af	143995
10078	2110	1507135
10078	1548	156304
10078	17	166423
10078	000a64	516756
10078	000cd6	7460
10079	002b34	132113
10079	1566	156304
10079	000e1f	88501
1008	g6420.t1	148810
1008	000b0c	132113
1008	00013c	143995
1008	851	1507135
1008	000e7f	156304
1008	3627	166423
1008	1188	178035
1008	0000c0	516756
1008	0003c1	597456
1008	000aa7	7460
1008	3180	88501
10080	00019d	132113
10080	1.30E+10	143995
10080	0027d9	1507135
10080	0014a1	156304
10080	3410	166423
10080	00249e	178035
10080	000b49	516756
10080	0027b3	516756
10080	00245a	597456
10080	000a3d	7460
10081	00181a	132113
10081	001c05	143995
10081	00127e	1507135
10081	001dcf	156304
10081	001f56	166423
10081	000f73	178035
10081	0.00E+00	516756
10081	1885	597456
10081	0003a8	7460
10081	1084	88501
10082	g1428.t1	148810
10082	00249e	132113
10082	000b1b	143995
10082	584	1507135
10082	002d2b	166423
10082	1.40E+05	178035
10082	0023f3	516756
10082	2608	597456
10082	00107d	7460
10083	g4193.t1	148810
10083	000ccf	132113
10083	00110d	143995
10083	001bbc	1507135
10083	0031eb	166423
10083	0000dd	178035
10083	0018ef	516756
10083	1761	7460
10083	0032c7	88501
10084	g744.t1	148810
10084	0020c3	1507135
10084	000e0f	166423
10084	0022ca	88501
10085	2472	143995
10085	001c48	1507135
10085	0020ba	178035
10085	0013bc	516756
10085	000a7d	597456
10086	g13878.t1	148810
10086	002e6e	132113
10086	5.00E+05	143995
10086	0000d6	1507135
10086	125	156304
10086	002ef4	166423
10086	5.00E+09	178035
10086	1.00E+25	516756
10086	1067	597456
10086	001c3a	7460
10086	002cf1	88501
10087	g10275.t1	148810
10087	3560	132113
10087	1295	143995
10087	0024b0	1507135
10087	14	156304
10087	0014a6	166423
10087	000e0c	178035
10087	0011a5	516756
10087	1319	597456
10087	1241	7460
10087	0032ba	88501
10088	g9745.t1	148810
10088	471	132113
10088	0026b4	143995
10088	0000bf	166423
10088	001b27	178035
10088	001c37	516756
10088	0005b0	597456
10088	000a99	88501
10089	g6247.t1	148810
10089	00370f	132113
10089	00157e	156304
10089	0022cb	178035
10089	0000d2	516756
1009	g11682.t1	148810
1009	001d28	132113
1009	00163e	143995
1009	1648	1507135
1009	1484	156304
1009	000ee0	166423
1009	0022a0	178035
1009	000b0e	516756
1009	1220	597456
1009	001fa7	7460
1009	0013d3	88501
10091	g4644.t1	148810
10091	0016fd	132113
10091	00041e	143995
10091	2712	1507135
10091	00026e	156304
10091	000a9b	166423
10091	001a42	178035
10091	001e4e	597456
10092	g8995.t1	148810
10092	2.00E+09	132113
10092	00266e	1507135
10092	0017f7	166423
10093	g104.t1	148810
10093	3317	132113
10093	0028b1	143995
10093	001a97	1507135
10093	883	156304
10093	001f99	166423
10093	0003b6	178035
10093	000a33	516756
10093	001ed0	597456
10093	001c32	7460
10093	0.00E+00	88501
10094	101	132113
10094	3256	1507135
10094	001fb7	156304
10094	3671	166423
10094	00135d	516756
10094	001a24	597456
10094	00251f	7460
10094	0014de	88501
10095	g9391.t1	148810
10095	0025ce	132113
10095	000f34	143995
10095	2046	1507135
10095	961	156304
10095	000bbb	166423
10095	0006d1	178035
10095	001aa7	516756
10095	0008ba	597456
10095	2097	7460
10095	2123	88501
10096	g2727.t1	148810
10096	0028bb	132113
10096	000a40	143995
10096	3142	1507135
10096	0010da	156304
10096	000dcc	166423
10096	0001f1	178035
10096	00017b	516756
10096	0006a9	7460
10096	0013de	88501
10097	g1081.t1	148810
10097	0026ec	132113
10097	0011be	143995
10097	0028a5	1507135
10097	0028a6	1507135
10097	002bc0	166423
10097	002bc1	166423
10097	0023aa	178035
10097	00231c	597456
10097	1048	7460
10097	00089e	88501
10098	g6235.t1	148810
10098	3720	132113
10098	2860	143995
10098	1576	156304
10098	1885	166423
10098	0022b3	178035
10098	0004a8	516756
10098	0003c5	597456
10098	000aee	7460
10098	001fb6	88501
101	g3420.t1	148810
101	968	132113
101	1974	143995
101	2.10E+03	1507135
101	00289b	156304
101	002dd5	166423
101	00089c	178035
101	0016d1	516756
101	001ce5	597456
101	000dfa	7460
101	001f18	88501
1010	g10890.t1	148810
1010	0014c6	132113
1010	00190d	143995
1010	000e7d	1507135
1010	0023d3	156304
1010	2424	166423
1010	0017f0	178035
1010	001d64	516756
1010	0009c9	597456
1010	00022b	7460
1010	001d80	88501
10100	g11580.t1	148810
10100	002a79	132113
10100	0015db	143995
10100	0015b5	1507135
10100	0026b5	156304
10100	0006a4	516756
10100	000f11	597456
10101	g5054.t1	148810
10101	2950	132113
10101	0005a1	143995
10101	00102f	1507135
10101	0019ab	156304
10101	1.00E+48	166423
10101	000af5	178035
10101	940	516756
10101	001ab4	597456
10101	00254b	7460
10102	g14276.t1	148810
10102	002d0d	132113
10102	001b5f	1507135
10102	00228b	156304
10102	002d4f	166423
10102	1706	516756
10102	000bfd	597456
10103	g12885.t1	148810
10103	003abc	132113
10103	001f03	143995
10103	2299	1507135
10103	0015bf	156304
10103	0024df	166423
10103	2.40E+01	166423
10103	0021cc	178035
10103	000a63	516756
10103	0012a6	597456
10103	000e7f	7460
10103	1274	88501
10104	g4995.t1	148810
10104	2775	132113
10104	00056f	143995
10104	00101e	1507135
10104	905	156304
10104	001e6b	166423
10104	1709	178035
10104	2261	516756
10104	0007a4	597456
10104	2486	7460
10104	00143f	88501
10105	1040	132113
10105	00170f	143995
10105	0019db	156304
10105	1763	166423
10105	000c32	178035
10105	00088c	516756
10105	219	597456
10105	00194f	7460
10105	000c87	88501
10106	943	143995
10106	1206	166423
10106	0011ff	516756
10106	000e6f	88501
10107	454	132113
10107	2386	1507135
10107	114	166423
10108	000d4c	132113
10108	2064	143995
10108	000fbf	1507135
10108	0011bb	156304
10108	0008d0	166423
10108	0017f4	178035
10108	000b30	516756
10108	000db5	597456
10108	151	7460
10108	4.00E+03	88501
10109	417	1507135
10109	343	156304
10109	0011ff	166423
10109	002b2e	88501
1011	g12430.t1	148810
1011	001d9c	132113
1011	0.00E+00	143995
1011	000aa1	1507135
1011	000ab6	156304
1011	003b0e	166423
1011	003b19	166423
1011	0010de	178035
1011	001d9c	516756
1011	000a95	597456
1011	1531	7460
1011	00092a	88501
10110	g9724.t1	148810
10110	0005be	132113
10110	00226d	143995
10110	2935	1507135
10110	001d83	156304
10110	0000d5	166423
10110	1352	516756
10110	00204d	7460
10110	2998	88501
10111	g2563.t1	148810
10111	001b58	132113
10111	000d7a	143995
10111	00151c	1507135
10111	001af6	156304
10111	456	516756
10111	0013aa	597456
10111	0005ec	7460
10111	000d9e	88501
10113	g5941.t1	148810
10113	0038af	132113
10113	475	516756
10113	2472	597456
10113	000b67	7460
10113	0021ad	88501
10114	g3043.t1	148810
10114	1443	132113
10114	0.00E+00	166423
10114	001f46	88501
10115	g4554.t1	148810
10115	002d40	132113
10115	388	143995
10115	001bf4	1507135
10115	00020a	156304
10115	0035de	166423
10115	0007a7	178035
10115	0013c6	516756
10115	000a99	597456
10115	1.60E+09	7460
10116	g12987.t1	148810
10116	436	132113
10116	000d13	132113
10116	000f99	132113
10116	0026c0	132113
10116	3435	132113
10116	0022a1	143995
10116	800	166423
10116	0024c0	178035
10117	g13890.t1	148810
10117	2.00E+65	132113
10117	617	143995
10117	0000cf	1507135
10117	002ee6	166423
10117	000ad1	178035
10117	1.00E+31	516756
10117	1068	597456
10117	001a95	7460
10118	g6932.t1	148810
10118	0002c3	1507135
10118	00107c	166423
10118	000d06	597456
10118	0007f7	7460
10118	0021a0	88501
10119	g2386.t1	148810
10119	0018fa	132113
10119	0020f3	143995
10119	1814	1507135
10119	0006bd	156304
10119	0038b9	166423
10119	000d10	178035
10119	2198	516756
10119	001f30	597456
10119	627	7460
10119	000d4d	88501
1012	g12955.t1	148810
1012	0023d3	132113
1012	0006cb	143995
1012	001fc4	156304
1012	0007d6	166423
1012	554	178035
1012	000ad5	516756
1012	000bb1	597456
1012	001d51	7460
1012	1841	88501
10120	g9175.t1	148810
10120	59	132113
10120	2234	143995
10120	00254e	1507135
10120	1.90E+08	156304
10120	001bd8	166423
10120	0004d1	178035
10120	0025b2	516756
10120	224	597456
10120	00257d	7460
10120	1.10E+10	88501
10121	g2217.t1	148810
10121	003c6f	132113
10121	00256b	143995
10121	624	1507135
10121	0002b4	156304
10121	00396d	166423
10121	00147c	178035
10121	001d2a	516756
10121	340	597456
10121	614	7460
10121	0007f8	88501
10121	0007fb	88501
10122	g7017.t1	148810
10122	000f2e	132113
10122	000ac6	143995
10122	0002c5	1507135
10122	2331	156304
10122	1028	166423
10122	001b9c	178035
10122	001cf2	516756
10122	2034	516756
10122	0001b4	597456
10122	1631	88501
10122	3298	88501
10123	00040d	143995
10123	238	156304
10123	0007f5	178035
10123	000a96	597456
10123	0015f8	88501
10124	g11817.t1	148810
10124	00149d	143995
10124	00149e	143995
10124	000d1d	1507135
10124	00105c	156304
10124	0002ee	166423
10124	0002f0	166423
10124	000bc7	178035
10124	000bda	178035
10124	000fb3	516756
10124	000fda	516756
10124	001a2e	597456
10124	001a6d	597456
10124	00259e	7460
10125	g7555.t1	148810
10125	161	1507135
10125	0012fc	156304
10125	2319	178035
10125	001a68	597456
10125	001a52	7460
10126	g4748.t1	148810
10126	g8415.t1	148810
10126	0002c0	132113
10126	0033ba	1507135
10126	001a67	178035
10126	00196a	7460
10126	1382	88501
10126	0019a7	88501
10126	3.30E+06	88501
10127	g7044.t1	148810
10127	000f36	132113
10127	1.30E+06	156304
10127	1008	166423
10127	0008b1	7460
10129	g3028.t1	148810
10129	0022b6	132113
10129	0028fb	1507135
10129	000ea2	166423
10129	00155c	516756
10129	001d32	597456
1013	g8766.t1	148810
1013	0002f1	132113
1013	2239	143995
1013	2642	1507135
1013	498	156304
1013	2720	166423
1013	000c41	178035
1013	847	516756
1013	00024f	597456
1013	0017be	7460
1013	438	88501
10130	g12178.t1	148810
10130	0024ae	132113
10130	001d66	143995
10130	1.40E+08	1507135
10130	001f07	156304
10130	483	166423
10130	001f7e	516756
10130	00211c	597456
10130	2359	7460
10130	0031dc	88501
10131	525	143995
10131	1335	1507135
10131	102	516756
10131	000eb2	7460
10132	0007f7	143995
10132	0037d8	1507135
10132	000e0b	516756
10132	00212f	597456
10132	0025ed	7460
10133	0034a9	132113
10133	1609	1507135
10133	00350e	166423
10134	g9373.t1	148810
10134	0025db	132113
10134	2360	1507135
10134	000bd5	166423
10134	2706	88501
10135	g11095.t1	148810
10135	002fc0	132113
10135	2.50E+04	143995
10135	00241c	156304
10135	3791	166423
10135	00180b	178035
10135	000d48	516756
10135	000a15	597456
10135	00010d	7460
10135	002b1f	88501
10136	000fd8	132113
10136	001f06	1507135
10136	001c8a	7460
10137	g8353.t1	148810
10137	002cb1	132113
10137	00020f	143995
10137	00256b	156304
10137	002f41	166423
10137	751	178035
10137	000cc1	516756
10137	00201c	597456
10137	2391	7460
10137	1.00E+52	88501
10138	g1004.t1	148810
10138	3372	132113
10138	000cb7	143995
10138	0013b6	1507135
10138	001de7	156304
10138	0016c2	166423
10138	2.40E+03	516756
10138	1965	597456
10138	00060d	88501
10139	g6376.t1	148810
10139	00387b	132113
10139	2846	143995
10139	0008bc	1507135
10139	0003a4	156304
10139	454	166423
10139	1174	178035
10139	00145c	516756
10139	723	597456
10139	000b9a	7460
10139	2114	88501
1014	g2204.t1	148810
1014	0027fc	132113
1014	000a14	143995
1014	1750	1507135
1014	001a9c	156304
1014	00397c	166423
1014	001d5f	178035
1014	0001a0	516756
1014	2544	597456
1014	0005aa	7460
1014	0020ba	88501
10140	1970	132113
10140	001f05	166423
10140	00277b	516756
10140	000cd1	597456
10140	2012	7460
10141	g3361.t1	148810
10141	783	132113
10141	784	132113
10141	0019af	143995
10141	0024f0	1507135
10141	0028a0	156304
10141	0032b1	166423
10141	0032b2	166423
10141	0018ea	178035
10141	00110c	516756
10141	375	597456
10141	2777	7460
10141	002be0	88501
10142	g124.t1	148810
10142	00068e	1507135
10142	00211f	156304
10142	001f83	166423
10142	0013f4	516756
10142	2141	597456
