gene	AGE
ADAC006423	43.0
ADIR010845	43.0
AEPI010088	43.0
AEPI010426	43.0
AFAF010466	43.0
AFUN000386	43.0
AGAP008807	43.0
AGAP008810	43.0
AMAM018178	43.0
AMEC001863	43.0
AMEC007946	43.0
AMEM006154	43.0
AMEM011067	43.0
AMEM016274	43.0
AMIN007185	43.0
AQUA004196	43.0
AQUA005243	43.0
ASIS023300	43.0
ASTE001610	43.0
ASTEI05043	43.0
AALB010677	43.0
AALB010678	43.0
AARA000113	43.0
AATE007975	43.0
ACHR000033	43.0
ACUA015706	43.0
ADAC008315	43.0
ADIR000099	43.0
AEPI000069	43.0
AFAF010066	43.0
AFUN009566	43.0
AGAP011192	43.0
AMAM001649	43.0
AMAM007797	43.0
AMAM009555	43.0
AMAM019887	43.0
AMEC016519	43.0
AMEM009860	43.0
AMIN008387	43.0
AQUA005076	43.0
ASIS023794	43.0
ASTE004917	43.0
ASTEI06814	43.0
AALB000501	43.0
AARA011814	43.0
AATE002891	43.0
ACHR002184	43.0
ACUA012879	43.0
ADAC010246	43.0
ADIR011503	43.0
AEPI004135	43.0
AFAF018541	43.0
AFUN008846	43.0
AGAP009568	43.0
AMEC002163	43.0
AMEC004365	43.0
AMIN009871	43.0
AQUA007561	43.0
ASIS007469	43.0
ASTE010753	43.0
ASTEI03779	43.0
AALB007816	43.0
AARA003575	43.0
AARA003576	43.0
AATE002639	43.0
AATE009283	43.0
AATE014483	43.0
ACHR004484	43.0
ACHR007611	43.0
ACUA020984	43.0
ACUA024885	43.0
ADAC002579	43.0
ADIR001629	43.0
ADIR001630	43.0
AEPI005966	43.0
AEPI005967	43.0
AFAF001032	43.0
AFAF005803	43.0
AFAF006973	43.0
AFUN004660	43.0
AGAP004977	43.0
AGAP004981	43.0
AGAP012616	43.0
AMAM014717	43.0
AMEC000481	43.0
AMEC003317	43.0
AMEM009935	43.0
AMEM012444	43.0
AQUA010017	43.0
AQUA010019	43.0
ASIS007788	43.0
ASIS011728	43.0
ASTE008543	43.0
ASTEI10663	43.0
AALB000804	43.0
AARA003995	43.0
AATE011810	43.0
ACHR000628	43.0
ACUA001787	43.0
ADAC006762	43.0
ADIR005119	43.0
AEPI001754	43.0
AFAF004178	43.0
AFUN004750	43.0
AGAP009780	43.0
AMAM014758	43.0
AMEC009113	43.0
AMEM005204	43.0
AMIN009514	43.0
AQUA008854	43.0
ASIS014344	43.0
ASTE009793	43.0
ASTEI06475	43.0
AALB007139	43.0
AARA006936	43.0
AATE007865	43.0
ACHR002926	43.0
ACUA025058	43.0
ADAC005348	43.0
ADIR005316	43.0
AEPI007474	43.0
AFAF008683	43.0
AFUN001724	43.0
AGAP002009	43.0
AMAM016470	43.0
AMEC002891	43.0
AMEM005399	43.0
AMIN003318	43.0
AQUA007111	43.0
ASIS008928	43.0
ASTE004630	43.0
ASTEI00353	43.0
AALB005215	43.0
AARA002327	43.0
AATE010950	43.0
ACHR006529	43.0
ACUA005749	43.0
ADAC001760	43.0
ADIR008771	43.0
AEPI008410	43.0
AFAF011929	43.0
AFUN007687	43.0
AGAP005471	43.0
AMAM007329	43.0
AMEC003870	43.0
AMEC019242	43.0
AMEM015348	43.0
AMIN010806	43.0
AQUA009682	43.0
ASIS018304	43.0
ASTE010313	43.0
ASTEI02092	43.0
AALB001755	43.0
AARA011131	43.0
AATE012447	43.0
ACUA007644	43.0
ACUA011913	43.0
ADAC005413	43.0
ADAC005414	43.0
ADIR006147	43.0
AEPI004014	43.0
AEPI004015	43.0
AFAF003787	43.0
AFAF015501	43.0
AFUN008942	43.0
AFUN008943	43.0
AGAP008437	43.0
AGAP012735	43.0
AGAP027980	43.0
AGAP028128	43.0
AMAM007676	43.0
AMEC012235	43.0
AMEM005879	43.0
AMEM011844	43.0
AMEM015765	43.0
AMIN009791	43.0
AQUA003478	43.0
AQUA003479	43.0
ASIS007170	43.0
ASTE003341	43.0
ASTEI05285	43.0
ASTEI05286	43.0
AALB008523	43.0
AALB008524	43.0
AARA010157	43.0
AATE002130	43.0
ACHR001592	43.0
ACUA028386	43.0
ADAC004570	43.0
ADIR005851	43.0
AEPI001659	43.0
AFAF020939	43.0
AFUN004987	43.0
AGAP003643	43.0
AMAM012671	43.0
AMAM021361	43.0
AMEC006891	43.0
AMEM016863	43.0
AMIN002588	43.0
AQUA001574	43.0
ASIS019448	43.0
ASIS020209	43.0
ASTE001360	43.0
ASTEI07403	43.0
AALB001344	43.0
AALB001345	43.0
AARA011828	43.0
AATE004471	43.0
AATE012866	43.0
AATE013039	43.0
ACHR000481	43.0
ACHR004449	43.0
ACUA008180	43.0
ADAC009954	43.0
ADIR005976	43.0
AEPI004150	43.0
AFAF000773	43.0
AFAF013921	43.0
AFAF020888	43.0
AFUN008237	43.0
AGAP009550	43.0
AMAM001586	43.0
AMAM006325	43.0
AMAM015983	43.0
AMEC001160	43.0
AMEC015363	43.0
AMEM006130	43.0
AMEM018196	43.0
AMIN001925	43.0
AQUA007578	43.0
ASIS022747	43.0
ASIS022855	43.0
ASTE010739	43.0
ASTEI03794	43.0
AALB006960	43.0
AARA008823	43.0
AATE003472	43.0
ACHR006740	43.0
ACUA010500	43.0
ADAC005105	43.0
ADIR005245	43.0
AEPI007033	43.0
AFAF007067	43.0
AFUN011505	43.0
AGAP010884	43.0
AMAM008611	43.0
AMEC021678	43.0
AMEM007621	43.0
AMIN009275	43.0
AQUA002552	43.0
ASIS009686	43.0
ASTE000102	43.0
ASTEI08999	43.0
AALB009802	43.0
AARA002861	43.0
AATE009736	43.0
ACHR004174	43.0
ACUA006188	43.0
ADIR000232	43.0
AEPI003549	43.0
AFAF009019	43.0
AFUN004902	43.0
AGAP011441	43.0
AMAM006792	43.0
AMAM021715	43.0
AMEC016532	43.0
AMEM010975	43.0
AMIN008988	43.0
AQUA007469	43.0
ASIS019016	43.0
ASTE009306	43.0
ASTEI06460	43.0
AALB000783	43.0
AARA004018	43.0
AARA004019	43.0
AATE009822	43.0
AATE012019	43.0
AATE019085	43.0
ACHR003524	43.0
ACHR004965	43.0
ACHR009733	43.0
ACUA002483	43.0
ACUA005482	43.0
ACUA005777	43.0
ADAC005285	43.0
ADAC005286	43.0
ADAC005287	43.0
ADIR005097	43.0
AEPI009052	43.0
AEPI009053	43.0
AFAF007958	43.0
AFAF018307	43.0
AFAF019492	43.0
AFUN000830	43.0
AGAP009750	43.0
AGAP009754	43.0
AGAP009757	43.0
AMAM005647	43.0
AMAM007958	43.0
AMAM008073	43.0
AMEC010701	43.0
AMEC015251	43.0
AMEC015778	43.0
AMEC016877	43.0
AMEM001016	43.0
AMEM005322	43.0
AMEM011377	43.0
AMIN009491	43.0
AMIN009495	43.0
AQUA011340	43.0
AQUA011341	43.0
ASIS004950	43.0
ASIS010306	43.0
ASIS022009	43.0
ASTE002977	43.0
ASTEI02024	43.0
ASTEI02025	43.0
AALB007263	43.0
AARA009828	43.0
AATE006152	43.0
ACHR002132	43.0
ACUA021873	43.0
ADAC005352	43.0
ADIR003254	43.0
AEPI004447	43.0
AFAF013691	43.0
AFUN010774	43.0
AGAP003967	43.0
AMAM003885	43.0
AMAM012030	43.0
AMEC015113	43.0
AMEM009246	43.0
AMIN000311	43.0
AQUA009152	43.0
ASIS015810	43.0
ASTE010170	43.0
ASTEI00967	43.0
AALB005956	43.0
AARA002285	43.0
AATE002526	43.0
ACHR001105	43.0
ACUA012237	43.0
ADAC001900	43.0
ADIR008704	43.0
AEPI008016	43.0
AEPI008739	43.0
AFAF000800	43.0
AFAF008638	43.0
AFAF010033	43.0
AFAF010490	43.0
AFAF015033	43.0
AFUN007648	43.0
AGAP005526	43.0
AMAM002155	43.0
AMAM004111	43.0
AMAM010567	43.0
AMAM011043	43.0
AMAM017480	43.0
AMEC010835	43.0
AMEC022092	43.0
AMEM013322	43.0
AMIN010850	43.0
AQUA004935	43.0
ASIS005415	43.0
ASTE010270	43.0
ASTEI02132	43.0
AALB006398	43.0
AARA010554	43.0
AATE014583	43.0
AATE017606	43.0
ACHR004286	43.0
ACUA026227	43.0
ADAC008285	43.0
ADIR011642	43.0
AEPI000651	43.0
AFAF019769	43.0
AFUN003907	43.0
AGAP000222	43.0
AMAM001245	43.0
AMAM005718	43.0
AMEC001614	43.0
AMEC016231	43.0
AMEC019086	43.0
AMEM014401	43.0
AMIN005532	43.0
AQUA000895	43.0
AQUA000896	43.0
ASIS003949	43.0
ASTE005149	43.0
ASTEI01084	43.0
AALB008990	43.0
AARA004678	43.0
AATE007323	43.0
ACHR005245	43.0
ADAC010280	43.0
ADIR003458	43.0
AFAF016931	43.0
AFUN008360	43.0
AMEC012249	43.0
AMIN003221	43.0
AQUA009344	43.0
ASIS012814	43.0
ASTE004189	43.0
ASTEI00453	43.0
AALB010695	43.0
AARA008921	43.0
AATE016383	43.0
ACHR000874	43.0
ACUA025831	43.0
ADIR011577	43.0
AEPI000909	43.0
AFAF017457	43.0
AFUN004616	43.0
AGAP010790	43.0
AMAM017915	43.0
AMEC015550	43.0
AMEM009190	43.0
AMIN007026	43.0
AQUA003297	43.0
ASIS003757	43.0
ASTE008162	43.0
ASTEI08408	43.0
AALB009530	43.0
AARA001319	43.0
AATE020153	43.0
ACHR000185	43.0
ACHR003878	43.0
ACUA007911	43.0
ADAC008823	43.0
ADIR002821	43.0
AEPI005205	43.0
AFAF001778	43.0
AFAF012496	43.0
AFUN006188	43.0
AGAP003226	43.0
AMAM008524	43.0
AMAM023756	43.0
AMEC012998	43.0
AMEM000113	43.0
AMEM016916	43.0
AMIN000401	43.0
AQUA008069	43.0
ASIS001270	43.0
ASTE007060	43.0
ASTEI09519	43.0
AALB007297	43.0
AARA003587	43.0
AATE018102	43.0
ACHR002418	43.0
ACUA000415	43.0
ADAC008872	43.0
ADIR001616	43.0
AEPI010691	43.0
AFAF015120	43.0
AFUN004671	43.0
AGAP004993	43.0
AMAM017330	43.0
AMAM020435	43.0
AMEC013912	43.0
AMEM001775	43.0
AMIN011475	43.0
AQUA010006	43.0
ASIS018367	43.0
ASIS018732	43.0
ASTE008552	43.0
ASTEI10793	43.0
AALB009024	43.0
AARA010141	43.0
AATE016666	43.0
ACHR002683	43.0
ACHR003465	43.0
ACUA004211	43.0
ADAC006615	43.0
ADIR008884	43.0
ADIR008911	43.0
AEPI001645	43.0
AFAF014160	43.0
AFUN003457	43.0
AGAP003656	43.0
AMAM002473	43.0
AMAM016924	43.0
AMEC013591	43.0
AMEC020243	43.0
AMEM012246	43.0
AMIN004012	43.0
AQUA001559	43.0
ASIS003263	43.0
ASTE001375	43.0
ASTEI07419	43.0
AALB008942	43.0
AARA004106	43.0
AATE006746	43.0
ACHR000509	43.0
ACUA007687	43.0
ADAC006698	43.0
ADIR009919	43.0
AEPI010591	43.0
AFAF009002	43.0
AFUN009404	43.0
AGAP002739	43.0
AMAM004612	43.0
AMAM007162	43.0
AMEC002393	43.0
AMEM015485	43.0
AMIN003575	43.0
AQUA006750	43.0
ASIS004132	43.0
ASTE006938	43.0
ASTEI03167	43.0
AALB003172	43.0
AARA006363	43.0
AATE013167	43.0
ACHR003131	43.0
ACUA006359	43.0
ADAC004159	43.0
ADIR008359	43.0
AEPI005866	43.0
AFAF010984	43.0
AFUN009422	43.0
AGAP004440	43.0
AMAM016657	43.0
AMEC009844	43.0
AMEM003847	43.0
AMEM005209	43.0
AMIN004822	43.0
AQUA008500	43.0
ASIS023476	43.0
ASTE003950	43.0
ASTEI04916	43.0
AALB005951	43.0
AARA002280	43.0
AATE002365	43.0
ACHR002844	43.0
ACUA013922	43.0
ACUA023534	43.0
ADAC001907	43.0
ADAC001911	43.0
ADIR008722	43.0
AEPI008734	43.0
AFAF011452	43.0
AFUN007643	43.0
AGAP005533	43.0
AMAM010480	43.0
AMAM022872	43.0
AMEC005952	43.0
AMEM003855	43.0
AMIN010855	43.0
AQUA004930	43.0
ASIS008006	43.0
ASIS008989	43.0
ASTE010265	43.0
ASTEI02137	43.0
AALB007199	43.0
AARA001562	43.0
AATE012765	43.0
ACHR002663	43.0
ACUA016563	43.0
ADAC009827	43.0
ADIR008340	43.0
AEPI003368	43.0
AFAF001218	43.0
AFUN002378	43.0
AGAP003489	43.0
AMAM017685	43.0
AMEC015978	43.0
AMEC018609	43.0
AMEM004710	43.0
AMIN000901	43.0
AQUA001719	43.0
ASIS007991	43.0
ASTE004641	43.0
ASTE006739	43.0
ASTEI09366	43.0
AALB004307	43.0
AARA006112	43.0
AATE011099	43.0
ACHR000601	43.0
ACUA023344	43.0
ACUA024353	43.0
ADAC003344	43.0
ADIR011535	43.0
AEPI000435	43.0
AFAF009293	43.0
AFUN008499	43.0
AGAP004850	43.0
AMAM016633	43.0
AMEC012377	43.0
AMEM013054	43.0
AMIN011634	43.0
AQUA000341	43.0
ASIS000375	43.0
ASTE008003	43.0
ASTEI05943	43.0
AALB000762	43.0
AALB000763	43.0
AARA010824	43.0
AARA010825	43.0
AATE008453	43.0
AATE014728	43.0
ACHR002115	43.0
ACHR008824	43.0
ACUA019581	43.0
ACUA022082	43.0
ACUA022457	43.0
ADAC010642	43.0
ADAC010644	43.0
ADAC010645	43.0
ADIR004898	43.0
AEPI010614	43.0
AFAF010995	43.0
AFAF019416	43.0
AFUN003086	43.0
AGAP008769	43.0
AGAP008770	43.0
AGAP028014	43.0
AGAP028056	43.0
AMAM007493	43.0
AMAM009864	43.0
AMAM010179	43.0
AMEC013690	43.0
AMEC018722	43.0
AMEC020145	43.0
AMEM007661	43.0
AMEM014168	43.0
AMIN001411	43.0
AMIN001412	43.0
AQUA004875	43.0
AQUA004876	43.0
ASIS004583	43.0
ASIS018967	43.0
ASTE002946	43.0
ASTEI04775	43.0
AALB000596	43.0
AARA011093	43.0
AATE018607	43.0
ACHR001791	43.0
ACUA003593	43.0
ADAC010332	43.0
ADIR011447	43.0
AEPI001385	43.0
AFAF016848	43.0
AFUN008903	43.0
AGAP008482	43.0
AMAM007560	43.0
AMEC021081	43.0
AMEM006540	43.0
AMIN009820	43.0
AQUA003516	43.0
ASIS007629	43.0
ASIS020761	43.0
ASTE010811	43.0
ASTEI03724	43.0
AALB008638	43.0
AARA009654	43.0
AATE014202	43.0
ACHR000490	43.0
ACUA018389	43.0
ADAC009207	43.0
ADIR002981	43.0
AEPI009021	43.0
AFAF000526	43.0
AFUN011386	43.0
AGAP004144	43.0
AMAM005499	43.0
AMEC012578	43.0
AMEM014826	43.0
AMIN004213	43.0
AQUA009844	43.0
ASIS016124	43.0
ASTE010925	43.0
ASTEI07596	43.0
AALB000606	43.0
AARA011106	43.0
AATE003611	43.0
AATE004336	43.0
ACHR009641	43.0
ACUA016383	43.0
ADAC000128	43.0
ADAC002151	43.0
ADIR011435	43.0
ADIR011726	43.0
AEPI002415	43.0
AEPI011398	43.0
AFAF011868	43.0
AFUN008918	43.0
AGAP008468	43.0
AGAP028049	43.0
AMAM006174	43.0
AMAM008831	43.0
AMEC015540	43.0
AMEC018487	43.0
AMEM004120	43.0
AMEM009967	43.0
AMIN009807	43.0
AQUA003505	43.0
AQUA003506	43.0
ASIS005439	43.0
ASIS020022	43.0
ASTE010827	43.0
ASTEI03711	43.0
ASTEI03712	43.0
ASTEI11351	43.0
ACHR000483	43.0
ACUA000568	43.0
ADAC009951	43.0
ADIR005974	43.0
AFUN008240	43.0
AMAM002784	43.0
AMEC003532	43.0
AMEM014298	43.0
AMIN001926	43.0
ASIS006861	43.0
ASIS011922	43.0
AALB001599	43.0
AARA003786	43.0
AATE010310	43.0
ACHR002738	43.0
ACUA003481	43.0
ADAC009003	43.0
ADIR009408	43.0
AEPI003050	43.0
AFAF004273	43.0
AFUN010720	43.0
AGAP009990	43.0
AMAM019577	43.0
AMEC007501	43.0
AMEC014130	43.0
AMEC017797	43.0
AMEC019064	43.0
AMEM006340	43.0
AMEM012992	43.0
AMIN006738	43.0
AQUA009100	43.0
ASIS022925	43.0
ASTE003306	43.0
ASTEI03988	43.0
ASTEI03989	43.0
AALB007039	43.0
AARA005615	43.0
AATE014082	43.0
ACHR000073	43.0
ACUA002760	43.0
ADAC009022	43.0
ADIR001791	43.0
AEPI000085	43.0
AFAF011450	43.0
AFUN009550	43.0
AGAP011177	43.0
AMAM001410	43.0
AMEC007042	43.0
AMEC016973	43.0
AMEM004321	43.0
AMIN008408	43.0
AQUA005091	43.0
AQUA005093	43.0
ASIS010007	43.0
ASTE004939	43.0
ASTEI05679	43.0
AALB009841	43.0
AARA006347	43.0
AATE007097	43.0
ACHR000835	43.0
ACUA012247	43.0
ADAC002164	43.0
ADIR005653	43.0
AEPI010608	43.0
AFAF016349	43.0
AFUN006167	43.0
AGAP010490	43.0
AMAM023890	43.0
AMEC018611	43.0
AMEM005177	43.0
AMIN001240	43.0
AQUA001330	43.0
ASIS010460	43.0
ASTE006787	43.0
ASTEI07140	43.0
AALB009472	43.0
AARA004103	43.0
AATE015205	43.0
