GB_gene_id	ACN	AGE	CAF	CNV	CON	DUP	EVR	EXP	LCA	PHC	STA	UNI	WGA
GB41468	1.097560976	203	0.99	0.337016686	0	0.073170732	0.8543	3	16	0.14	77	1	0.45
GB42489	1.12195122	203	0.985	0.351878566	0	0.097560976	0.8135	4	16	0.62	76	1	0.9
GB48853	1	183.0129637	0.743	0	1	0	0.8029	0	16	0.34	79	0.902439024	0.82
GB43459	1.027777778	183.0129637	0.945	0.159894048	2	0.027777778	1.0849	1	16	0.69	77	0.87804878	0.93
GB51104	1.048780488	203	0.934	0.205389788	0	0.048780488	0.831	2	16	0.54	78	1	0.88
GB47628	1.024390244	203	0.948	0.15058465	0	0.024390244	1.4291	1	16	0.64	79	1	0.96
GB41847	1.024390244	203	0.942	0.15058465	0	0.024390244	0.9505	1	16	0.58	79	1	0.86
GB55143,GB41007	1.05	203	0.952	0.207566616	4	0.05	0.9971	1	16	0.435	75	0.487804878	0.81
GB41119	1.073170732	203	0.868	0.242660869	0	0.073170732	0.9623	3	16	0.45	77	1	0.83
GB52997	1.024390244	203	0.942	0.15058465	0	0.024390244	1.0073	1	16	0.51	79	1	0.86
GB44685	1	183.0129637	0.743	0	1	0	1.2949	0	16	0.26	79	0.902439024	0.89
GB53104	1.024390244	203	0.952	0.15058465	0	0.024390244	1.2616	1	16	0.32	79	1	0.86
GB53929	1.032258065	203	0.81	0.171163299	8	0.032258065	1.007	1	16	0.25	71	0.756097561	0.52
GB42976,GB42975,GB42976	1.073170732	203	0.993	0.318181818	0	0.048780488	0.8041	2	16	0.34	78	1	0.65
GB45260	1.027777778	183.0129637	0.951	0.159894048	2	0.027777778	1.1669	1	16	0.5	77	0.87804878	0.89
GB40993	1	183.0129637	0.454	0	12	0	0.9573	0	15	0.42	68	0.512195122	0.73
GB49601	1	203	0.683	0	1	0	0.937	0	16	0.55	79	0.975609756	0.79
GB40010	1	162	0.664	0	11	0	1.1544	0	14	0.32	69	0.219512195	0.79
GB42022	1	203	0.647	0	1	0	0.8549	0	16	0.82	79	0.975609756	0.97
GB55375	1.027027027	183.0129637	0.959	0.157894737	1	0.027027027	1.1703	1	16	0.37	78	0.902439024	0.73
GB51276	1	203	0.702	0	0	0	0.8628	0	16	0.71	80	1	0.9
GB44485	1.097560976	203	0.893	0.270345001	0	0.097560976	0.952	4	16	0.42	76	1	0.74
GB49872	1.024390244	203	0.956	0.15058465	0	0.024390244	0.891	1	16	0.47	79	1	0.74
GB41852	1.073170732	203	0.995	0.318181818	0	0.048780488	1.3905	2	16	0.45	78	1	0.93
GB47688	1	203	0.702	0	0	0	0.8597	0	16	0.86	80	1	0.99
GB46321	1	203	0.702	0	0	0	0.8958	0	16	0.36	80	1	0.7
GB46736	1	203	0.702	0	0	0	0.8071	0	16	0.61	80	1	0.85
GB44218	1.076923077	203	0.874	0.24743583	2	0.076923077	1.0383	3	16	0.45	75	0.951219512	0.84
GB48972	1	203	0.702	0	0	0	0.807	0	16	0.38	80	1	0.61
GB46795	1	203	0.702	0	0	0	1.0409	0	16	0.27	80	1	0.61
GB55483	1.024390244	203	0.94	0.15058465	0	0.024390244	0.8823	1	16	0.45	79	1	0.72
GB43611	1.048780488	203	0.993	0.294165364	0	0.024390244	0.842	1	16	0.41	79	1	0.69
GB41634	1.024390244	203	0.942	0.15058465	0	0.024390244	0.9969	1	16	0.68	79	1	0.95
GB44213,GB52278	1.048780488	203	0.91	0.205389788	0	0.048780488	0.8863	2	16	0.27	78	1	0.62
GB52613	1.073170732	203	0.934	0.242660869	0	0.073170732	1.1875	3	16	0.28	77	1	0.78
GB48355	1.05	203	0.929	0.207566616	1	0.05	1.5342	2	16	0.31	77	0.975609756	0.64
GB55591	1.048780488	203	0.903	0.205389788	0	0.048780488	1.4222	2	16	0.25	78	1	0.67
GB49149	1.048780488	203	0.929	0.205389788	0	0.048780488	0.8044	2	16	0.29	78	1	0.51
GB45823	1.024390244	203	0.956	0.15058465	0	0.024390244	0.6977	1	16	0.61	79	1	0.86
GB44905	1	203	0.702	0	0	0	0.812	0	16	0.78	80	1	0.97
GB48693	1	203	0.702	0	0	0	0.8364	0	16	0.56	80	1	0.81
GB52985	1	203	0.7	0	1	0	0.9832	0	16	0.61	79	0.975609756	0.86
GB53973	1.073170732	203	0.993	0.318181818	0	0.048780488	1.4612	2	16	0.37	78	1	0.84
GB45281	1	203	0.702	0	0	0	0.8626	0	16	0.52	80	1	0.76
GB51998	1	203	0.702	0	0	0	1.1406	0	16	0.84	80	1	0.97
GB42495	1.024390244	203	0.942	0.15058465	0	0.024390244	0.8241	1	16	0.87	79	1	0.99
GB40993,GB53008	1.025	203	0.942	0.152317024	1	0.025	0.9434	1	16	0.465	78	0.975609756	0.725
GB49106	1	203	0.702	0	0	0	0.7432	0	16	0.86	80	1	0.98
GB41745	1.024390244	203	0.954	0.15058465	0	0.024390244	1.1686	1	16	0.52	79	1	0.82
GB51619,GB51619	1.243902439	203	0.993	0.769467328	1	0.12195122	1.0545	6	16	0.52	73	1	0.82
GB44183	1.025	203	0.949	0.152317024	1	0.025	0.8366	1	16	0.78	78	0.975609756	0.87
GB46140	1	203	0.702	0	0	0	0.9614	0	16	0.27	80	1	0.55
GB54507	1.024390244	203	0.944	0.15058465	0	0.024390244	1.3008	1	16	0.18	79	1	0.63
GB48515	1.121212121	203	0.928	0.364614529	8	0.090909091	0.8768	3	16	0.19	69	0.804878049	0.47
GB49336	1.048780488	203	0.93	0.205389788	0	0.048780488	0.8113	2	16	0.63	78	1	0.84
GB40140	1.024390244	203	0.954	0.15058465	0	0.024390244	1.0645	1	16	0.36	79	1	0.8
GB52306	1.024390244	203	0.94	0.15058465	0	0.024390244	0.8049	1	16	0.69	79	1	0.9
GB55538	1	203	0.702	0	0	0	1.2051	0	16	0.49	80	1	0.72
GB45717	1	203	0.702	0	0	0	0.7296	0	16	0.64	80	1	0.85
GB54912	1.073170732	203	0.894	0.242660869	0	0.073170732	1.1812	3	16	0.72	77	1	0.92
GB53340	1.073170732	203	0.86	0.242660869	0	0.073170732	0.7777	3	16	0.53	77	1	0.81
GB47581	1.243902439	203	0.756	0.345231703	12	0.243902439	1.3198	1	16	0.29	67	1	0.62
GB49767	1.025	203	0.949	0.152317024	1	0.025	0.9056	1	16	0.39	78	0.975609756	0.67
GB43771	1.073170732	203	0.992	0.318181818	0	0.048780488	1.7577	2	16	0.32	78	1	0.79
GB52213,GB52213	1.057142857	203	0.915	0.219568606	3	0.057142857	1.3301	2	16	0.17	75	0.853658537	0.53
GB42035	1	203	0.702	0	0	0	0.8177	0	16	0.39	80	1	0.7
GB52621	1	203	0.702	0	0	0	0.9607	0	16	0.64	80	1	0.92
GB53959	1.025	203	0.953	0.152317024	1	0.025	0.8569	1	16	0.63	78	0.975609756	0.9
GB54235	1.054054054	183.0129637	0.916	0.214528212	1	0.054054054	1.3355	2	16	0.49	77	0.902439024	0.83
GB42508	1.048780488	203	0.904	0.205389788	0	0.048780488	0.8501	2	16	0.58	78	1	0.83
GB42145	1	203	0.222	0	18	0	0.8897	0	16	0.7	62	0.512195122	0.95
GB50923	1.048780488	203	0.945	0.205389788	0	0.048780488	1.5849	2	16	0.36	78	1	0.78
GB55808	1	203	0.702	0	0	0	1.0153	0	16	0.62	80	1	0.92
GB54777	1.097560976	203	0.993	0.337016686	0	0.073170732	0.8759	3	16	0.59	77	1	0.83
GB41645	1.048780488	203	0.938	0.205389788	0	0.048780488	0.799	2	16	0.48	78	1	0.71
GB50498	1	203	0.702	0	0	0	1.1191	0	16	0.18	80	1	0.64
GB47190	1.073170732	203	0.894	0.242660869	0	0.073170732	0.8339	3	16	0.4	77	1	0.71
GB47879,GB47879	1.024390244	203	0.943	0.15058465	0	0.024390244	0.8659	1	16	0.7	79	1	0.94
GB53909	1	203	0.702	0	0	0	0.7475	0	16	0.96	80	1	0.99
GB50853	1	203	0.702	0	0	0	0.7578	0	16	0.74	80	1	0.94
GB44673	1	203	0.702	0	0	0	0.9699	0	16	0.73	80	1	0.95
GB40808	1.024390244	203	0.942	0.15058465	0	0.024390244	1.6193	1	16	0.43	79	1	0.94
GB48105	1	203	0.702	0	0	0	1.2298	0	16	0.41	80	1	0.86
GB46270	1	203	0.702	0	0	0	0.8072	0	16	0.9	80	1	0.98
GB46614	1.146341463	203	0.798	0.308327165	0	0.146341463	1.0841	5	16	0.52	75	1	0.86
GB48825	1.048780488	203	0.995	0.294165364	0	0.024390244	0.9975	1	16	0.38	79	1	0.74
GB54320	1.054054054	183.0129637	0.929	0.214528212	1	0.054054054	1.054	2	16	0.17	77	0.902439024	0.42
GB52574	1.024390244	203	0.935	0.15058465	0	0.024390244	1.0006	1	16	0.38	79	1	0.8
GB49346	1.048780488	203	0.934	0.205389788	0	0.048780488	0.7942	2	16	0.59	78	1	0.89
GB55020	1	203	0.702	0	0	0	0.7811	0	16	0.29	80	1	0.53
GB48577	1.027777778	203	0.904	0.159894048	5	0.027777778	1.216	1	16	0.47	74	0.87804878	0.91
GB51360	1	203	0.702	0	0	0	0.8951	0	16	0.64	80	1	0.8
GB47099	1	203	0.702	0	0	0	0.8241	0	16	0.16	80	1	0.41
GB53517	1	177.3420531	0.773	0	2	0	0.8629	0	16	0.38	78	0.804878049	0.7
GB52555,GB52555	1.024390244	203	0.943	0.15058465	0	0.024390244	1.0868	1	16	0.2	79	1	0.45
GB51962	1.048780488	203	0.915	0.205389788	0	0.048780488	1.0124	2	16	0.67	78	1	0.9
GB52590	1.433333333	203	0.979	0.641540196	6	0.266666667	1.1447	4	15	0.32	70	0.731707317	0.78
GB45821	1.048780488	203	0.914	0.205389788	0	0.048780488	0.8729	2	16	0.64	78	1	0.89
GB49491	1.025	203	0.942	0.152317024	1	0.025	1.0362	1	16	0.69	78	0.975609756	0.95
GB54568	1	203	0.702	0	0	0	1.0167	0	16	0.48	80	1	0.82
GB53412	1.365853659	203	0.926	0.736701834	7	0.146341463	1.0409	5	16	0.33	68	1	0.81
GB50827	1.179487179	203	0.681	0.325361512	2	0.179487179	1.4521	7	16	0.23	71	0.951219512	0.69
GB43054	1.03030303	203	0.778	0.166378066	8	0.03030303	0.8333	1	16	0.1	71	0.804878049	0.28
GB41884	1	203	0.702	0	0	0	1.1663	0	16	0.29	80	1	0.43
GB53701	1	203	0.665	0	1	0	0.8262	0	16	0.22	79	0.975609756	0.51
GB49172	1.024390244	203	0.935	0.15058465	0	0.024390244	0.9819	1	16	0.66	79	1	0.92
GB50535	1	203	0.702	0	0	0	0.8612	0	16	0.67	80	1	0.92
GB50852	1.024390244	203	0.942	0.15058465	0	0.024390244	0.8123	1	16	0.77	79	1	0.91
GB42427	1.285714286	203	0.932	0.582671582	9	0.142857143	1.4979	4	16	0.12	67	0.682926829	0.68
GB52238	1.097560976	203	0.825	0.270345001	0	0.097560976	1.1887	4	16	0.26	76	1	0.59
GB43860	1	183.0129637	0.743	0	1	0	1.2958	0	16	0.37	79	0.902439024	0.82
GB40251,GB40251	1.073170732	203	0.998	0.318181818	0	0.048780488	1.2187	2	16	0.27	78	1	0.68
GB50378,GB50388	1.487179487	203	1	0.949372407	12	0.230769231	1.2213	6	16	0.475	62	0.951219512	0.865
GB41287	1.024390244	203	0.954	0.15058465	0	0.024390244	0.9123	1	16	0.63	79	1	0.88
GB51337	1.024390244	203	0.948	0.15058465	0	0.024390244	0.7938	1	16	0.4	79	1	0.6
GB44959	1	203	0.694	0	1	0	1.4078	0	16	0.59	79	0.975609756	0.96
GB40346	1.073170732	203	0.91	0.242660869	0	0.073170732	1.2863	3	16	0.18	77	1	0.61
GB54530	1.024390244	203	0.948	0.15058465	0	0.024390244	0.7738	1	16	0.7	79	1	0.94
GB53305	1	203	0.702	0	0	0	0.8174	0	16	0.32	80	1	0.56
GB52001	1.097560976	203	0.999	0.441098516	2	0.048780488	0.8842	2	16	0.36	76	1	0.61
GB53778	1.024390244	203	0.942	0.15058465	0	0.024390244	1.1126	1	16	0.69	79	1	0.95
GB43173	1.024390244	203	0.942	0.15058465	0	0.024390244	1.0921	1	16	0.38	79	1	0.83
GB54538	1.073170732	203	0.862	0.242660869	0	0.073170732	0.8362	3	16	0.36	77	1	0.69
GB41332	1	203	0.729	0	1	0	0.8488	0	16	0.26	79	0.634146341	0.68
GB55583,GB51769	1.146341463	203	0.989	0.363574627	0	0.12195122	0.8994	5	16	0.78	75	1	0.93
GB45774	1.024390244	203	0.944	0.15058465	0	0.024390244	0.8445	1	16	0.19	79	1	0.48
GB55888	1	203	0.706	0	2	0	0.8151	0	16	0.23	78	0.951219512	0.48
GB43304	1.048780488	203	0.936	0.205389788	0	0.048780488	0.8302	2	16	0.14	78	1	0.44
GB49171	1	203	0.702	0	0	0	0.8446	0	16	0.29	80	1	0.59
GB55237,GB55237	1.048780488	203	0.934	0.205389788	0	0.048780488	0.8298	2	16	0.31	78	1	0.54
GB45972	1	203	0.292	0	17	0	0.7628	0	15	0.19	63	0.43902439	0.47
GB48795	1	203	0.702	0	0	0	0.9697	0	16	0.62	80	1	0.9
GB53341	1.025	203	0.934	0.152317024	1	0.025	1.0258	1	16	0.39	78	0.975609756	0.85
GB46564	1.097560976	203	0.866	0.270345001	0	0.097560976	0.9186	4	16	0.34	76	1	0.75
GB40994	1.125	203	0.616	0.293972368	13	0.125	1.1316	3	16	0.31	64	0.585365854	0.78
GB47631	1.028571429	203	0.949	0.161970886	3	0.028571429	1.3384	1	16	0.39	76	0.853658537	0.89
GB41215	1	203	0.702	0	0	0	1.1909	0	16	0.59	80	1	0.93
GB50690	1.048780488	203	0.921	0.205389788	0	0.048780488	0.9131	2	16	0.46	78	1	0.81
GB51589	1	203	0.702	0	0	0	1.0761	0	16	0.76	80	1	0.94
GB49767,GB55648,GB54069	1.87804878	203	0.96	0.268048928	4	0.804878049	0.8783	3	16	0.41	73	1	0.69
GB41639	1	203	0.702	0	0	0	1.0774	0	16	0.62	80	1	0.92
GB52168	1.027777778	203	0.94	0.159894048	4	0.027777778	0.9779	1	16	0.47	75	0.87804878	0.88
GB48234	1.538461538	203	0.827	0.843603382	14	0.256410256	1.556	4	16	0.25	62	0.951219512	0.79
GB53269	1	203	0.702	0	0	0	1.2261	0	16	0.56	80	1	0.9
GB48192	1.081081081	203	0.898	0.252487623	4	0.081081081	0.9691	2	16	0.53	74	0.902439024	0.76
GB50969	1	203	0.702	0	0	0	1.4378	0	16	0.53	80	1	0.93
GB44595	1	203	0.66	0	1	0	0.9898	0	16	0.58	79	0.975609756	0.91
GB47098	1.097560976	203	0.81	0.270345001	0	0.097560976	1.1586	4	16	0.14	76	1	0.41
GB51653	1.097560976	203	0.816	0.270345001	0	0.097560976	0.7709	4	16	0.35	76	1	0.65
GB42014	1	203	0.702	0	0	0	0.8287	0	16	0.64	80	1	0.91
GB42031	1	203	0.702	0	0	0	0.8676	0	16	0.54	80	1	0.84
GB45101	1	203	0.702	0	0	0	0.7747	0	16	0.47	80	1	0.85
GB42728	1.048780488	203	0.934	0.205389788	0	0.048780488	0.7986	2	16	0.37	78	1	0.67
GB43462	1.048780488	203	0.928	0.205389788	0	0.048780488	1.0422	2	16	0.53	78	1	0.83
GB48789	1	203	0.702	0	0	0	0.9169	0	16	0.74	80	1	0.94
GB54177	1.051282051	203	0.888	0.209812811	2	0.051282051	0.8149	2	16	0.03	76	0.951219512	0.1
GB55480,GB51897	2.195121951	203	0.976	0.206678614	0	1	0.8782	6	16	0.28	74	1	0.48
GB50357	1.024390244	203	0.935	0.15058465	0	0.024390244	0.7319	1	16	0.61	79	1	0.85
GB44341	1.073170732	203	0.915	0.242660869	0	0.073170732	0.8747	3	16	0.75	77	1	0.94
GB47308	1	203	0.702	0	0	0	0.932	0	16	0.66	80	1	0.86
GB47829	1	203	0.702	0	0	0	0.9862	0	16	0.42	80	1	0.72
GB46332	1.048780488	203	0.915	0.205389788	0	0.048780488	0.8787	2	16	0.37	78	1	0.7
GB52472	1.048780488	203	0.934	0.205389788	0	0.048780488	0.8127	2	16	0.67	78	1	0.91
GB49428	1.024390244	203	0.942	0.15058465	0	0.024390244	0.928	1	16	0.54	79	1	0.83
GB44092,GB47528	1.097560976	203	0.997	0.441098516	0	0.048780488	0.7841	2	16	0.555	78	1	0.755
GB51255	1.43902439	203	0.969	0.435431613	1	0.365853659	1.7761	8	16	0.12	71	1	0.84
GB48203	1.073170732	203	0.932	0.242660869	0	0.073170732	0.925	2	16	0.23	78	1	0.65
GB51036	1.024390244	203	0.94	0.15058465	0	0.024390244	0.7898	1	16	0.64	79	1	0.91
GB43631	1.024390244	203	0.94	0.15058465	0	0.024390244	0.9735	1	16	0.33	79	1	0.72
GB48994	1	203	0.702	0	0	0	0.8401	0	16	0.59	80	1	0.91
GB51207	1	203	0.66	0	1	0	1.1562	0	16	0.71	79	0.975609756	0.9
GB42620	1.060606061	203	0.787	0.224971654	8	0.060606061	1.5699	2	16	0.25	70	0.804878049	0.76
GB40689	1.083333333	183.0129637	0.888	0.255124984	2	0.083333333	0.9527	3	16	0.43	75	0.87804878	0.69
GB52537	1	203	0.702	0	0	0	0.8986	0	16	0.66	80	1	0.89
GB47680	1	203	0.702	0	0	0	0.9688	0	16	0.62	80	1	0.87
GB40703	1.048780488	203	0.929	0.205389788	0	0.048780488	0.8651	2	16	0.38	78	1	0.68
GB47118	1	203	0.696	0	1	0	1.0257	0	16	0.3	79	0.975609756	0.58
GB53149	1.05	203	0.998	0.297380857	1	0.025	0.9806	1	16	0.25	78	0.975609756	0.58
GB51596	1	203	0.702	0	0	0	1.2174	0	16	0.66	80	1	0.96
GB44899	1	203	0.702	0	0	0	0.9205	0	16	0.61	80	1	0.91
GB51660	1.025	203	0.921	0.152317024	1	0.025	0.9494	1	16	0.64	78	0.975609756	0.86
GB43796	1.05	203	0.916	0.207566616	1	0.05	0.994	2	16	0.24	77	0.975609756	0.6
GB48204,GB48204	1.073170732	203	0.904	0.242660869	0	0.073170732	0.8909	3	16	0.67	77	1	0.93
GB42984	1.024390244	203	0.944	0.15058465	0	0.024390244	0.8407	1	16	0.12	79	1	0.34
GB46126	1.121212121	183.0129637	0.817	0.29108999	4	0.121212121	0.9284	3	16	0.52	73	0.804878049	0.89
GB52536	1.024390244	203	0.935	0.15058465	0	0.024390244	1.006	1	16	0.33	79	1	0.88
GB52759	1	203	0.702	0	0	0	0.9224	0	16	0.48	80	1	0.71
GB40452	1	203	0.702	0	0	0	0.8	0	16	0.62	80	1	0.9
GB48305	1.097560976	203	0.994	0.337016686	0	0.073170732	0.7227	3	16	0.75	77	1	0.91
GB54288	1	203	0.702	0	0	0	1.0506	0	16	0.74	80	1	0.95
GB40440	1.024390244	203	0.942	0.15058465	0	0.024390244	0.9614	1	16	0.5	79	1	0.84
GB44210	1	162	0.479	0	14	0	0.9265	0	14	0.63	66	0.390243902	0.9
GB44196	1.078947368	203	0.859	0.249925628	3	0.078947368	0.8573	3	16	0.4	74	0.926829268	0.64
GB51019	1.024390244	203	0.955	0.15058465	0	0.024390244	0.9459	1	16	0.42	79	1	0.79
GB50856	1.097560976	203	0.809	0.270345001	0	0.097560976	0.9684	4	16	0.87	76	1	0.99
GB50482	1	203	0.702	0	0	0	1.2903	0	16	0.17	80	1	0.46
GB42246	1	203	0.702	0	0	0	0.7818	0	16	0.72	80	1	0.94
GB51481	1.024390244	203	0.944	0.15058465	0	0.024390244	0.8034	1	16	0.39	79	1	0.75
GB52650	1	203	0.696	0	3	0	1.6703	0	16	0.49	77	0.926829268	0.96
GB51734	1.024390244	203	0.952	0.15058465	0	0.024390244	0.7813	1	16	0.41	79	1	0.81
GB51542,GB51542	1.024390244	203	0.943	0.15058465	0	0.024390244	0.9293	1	16	0.72	79	1	0.93
GB53064	1.073170732	203	0.887	0.242660869	0	0.073170732	0.8276	3	16	0.35	77	1	0.7
GB54031	1.024390244	203	0.942	0.15058465	0	0.024390244	0.9188	1	16	0.65	79	1	0.81
GB47459	1.024390244	203	0.942	0.15058465	0	0.024390244	1.3811	1	16	0.5	79	1	0.89
GB40678	1	183.0129637	0.743	0	1	0	1.1523	0	16	0.55	79	0.902439024	0.77
GB53787	1	203	0.702	0	0	0	0.969	0	16	0.63	80	1	0.81
GB50807	1.078947368	203	0.867	0.249925628	3	0.078947368	1.0112	3	16	0.16	74	0.926829268	0.64
GB43718	1	203	0.696	0	1	0	0.9043	0	16	0.43	79	0.975609756	0.73
GB46618	1	203	0.702	0	0	0	0.9082	0	16	0.42	80	1	0.83
GB47808	1.024390244	203	0.929	0.15058465	0	0.024390244	0.8644	1	16	0.61	79	1	0.93
GB42921	1	203	0.702	0	0	0	0.8107	0	16	0.38	80	1	0.57
GB54939	1.024390244	203	0.943	0.15058465	0	0.024390244	0.7581	1	16	0.4	79	1	0.84
GB49511	1.024390244	203	0.935	0.15058465	0	0.024390244	0.8764	1	16	0.15	79	1	0.52
GB54998	1.048780488	203	0.942	0.205389788	0	0.048780488	0.9033	2	16	0.41	78	1	0.65
GB43110	1.035714286	203	0.786	0.17917767	10	0.035714286	1.0656	1	15	0.58	69	0.682926829	0.84
GB51512	1	203	0.781	0	1	0	1.3116	0	16	0.32	79	0.585365854	0.62
GB41803	1	203	0.702	0	0	0	0.7812	0	16	0.56	80	1	0.86
GB45348	1.12195122	203	0.867	0.291661041	0	0.12195122	1.2998	5	16	0.39	75	1	0.8
GB54477	1.097560976	203	0.904	0.270345001	0	0.097560976	0.8339	4	16	0.37	76	1	0.68
GB44193	1.027027027	183.0129637	0.951	0.157894737	1	0.027027027	1.0285	1	16	0.59	78	0.902439024	0.93
GB55911	1	203	0.647	0	1	0	0.8301	0	16	0.25	79	0.975609756	0.6
GB54230	1	203	0.702	0	3	0	1.0759	0	16	0.65	77	0.926829268	0.91
GB45612	1.024390244	203	0.949	0.15058465	0	0.024390244	0.8236	1	16	0.21	79	1	0.45
GB51113,GB51113	1.073170732	203	0.992	0.318181818	0	0.048780488	0.954	2	16	0.58	78	1	0.92
GB45982	1.024390244	203	0.94	0.15058465	0	0.024390244	1.2958	1	16	0.41	79	1	0.78
GB45114	1	203	0.702	0	0	0	1.2262	0	16	0.49	80	1	0.87
GB42016	1.170731707	203	0.817	0.321401013	0	0.170731707	0.7806	7	16	0.29	73	1	0.48
GB45373	1	203	0.702	0	0	0	0.8279	0	16	0.7	80	1	0.88
GB46526,GB42007	1.057142857	203	0.701	0.219568606	6	0.057142857	0.9704	2	16	0.195	72	0.853658537	0.33
GB55059	1.024390244	203	0.955	0.15058465	0	0.024390244	0.9142	1	16	0.11	79	1	0.39
GB51692	1	203	0.702	0	0	0	0.846	0	16	0.62	80	1	0.9
