pub_og_id	ACN	AGE	CNV	CON	DUP	EVR	EXP	PHC	STA	UNI	WGA
556at7399	1.048780488	203	0.205389788	0	0.048780488	0.8302	2	0.14	78	1	0.44
558at7399	1	203	0	0	0	0.8446	0	0.29	80	1	0.59
560at7399	1.048780488	203	0.205389788	0	0.048780488	0.8298	2	0.31	78	1	0.54
567at7399	1	203	0	17	0	0.7628	0	0.19	63	0.43902439	0.47
569at7399	1	203	0	0	0	0.9697	0	0.62	80	1	0.9
572at7399	1.025	203	0.152317024	1	0.025	1.0258	1	0.39	78	0.975609756	0.85
577at7399	1.097560976	203	0.270345001	0	0.097560976	0.9186	4	0.34	76	1	0.75
582at7399	1.125	203	0.293972368	13	0.125	1.1316	3	0.31	64	0.585365854	0.78
589at7399	1.028571429	203	0.161970886	3	0.028571429	1.3384	1	0.39	76	0.853658537	0.89
590at7399	1	203	0	0	0	1.1909	0	0.59	80	1	0.93
598at7399	1.048780488	203	0.205389788	0	0.048780488	0.9131	2	0.46	78	1	0.81
601at7399	1	203	0	0	0	1.0761	0	0.76	80	1	0.94
603at7399	1.87804878	203	0.268048928	4	0.804878049	0.8783	3	0.41	73	1	0.69
605at7399	1	203	0	0	0	1.0774	0	0.62	80	1	0.92
607at7399	1.027777778	203	0.159894048	4	0.027777778	0.9779	1	0.47	75	0.87804878	0.88
608at7399	1.538461538	203	0.843603382	14	0.256410256	1.556	4	0.25	62	0.951219512	0.79
617at7399	1	203	0	0	0	1.2261	0	0.56	80	1	0.9
625at7399	1.081081081	203	0.252487623	4	0.081081081	0.9691	2	0.53	74	0.902439024	0.76
635at7399	1	203	0	0	0	1.4378	0	0.53	80	1	0.93
651at7399	1	203	0	1	0	0.9898	0	0.58	79	0.975609756	0.91
659at7399	1.097560976	203	0.270345001	0	0.097560976	1.1586	4	0.14	76	1	0.41
660at7399	1.097560976	203	0.270345001	0	0.097560976	0.7709	4	0.35	76	1	0.65
665at7399	1	203	0	0	0	0.8287	0	0.64	80	1	0.91
670at7399	1	203	0	0	0	0.8676	0	0.54	80	1	0.84
674at7399	1	203	0	0	0	0.7747	0	0.47	80	1	0.85
675at7399	1.048780488	203	0.205389788	0	0.048780488	0.7986	2	0.37	78	1	0.67
683at7399	1.048780488	203	0.205389788	0	0.048780488	1.0422	2	0.53	78	1	0.83
684at7399	1	203	0	0	0	0.9169	0	0.74	80	1	0.94
685at7399	1.051282051	203	0.209812811	2	0.051282051	0.8149	2	0.03	76	0.951219512	0.1
690at7399	2.195121951	203	0.206678614	0	1	0.8782	6	0.28	74	1	0.48
691at7399	1.024390244	203	0.15058465	0	0.024390244	0.7319	1	0.61	79	1	0.85
699at7399	1.073170732	203	0.242660869	0	0.073170732	0.8747	3	0.75	77	1	0.94
700at7399	1	203	0	0	0	0.932	0	0.66	80	1	0.86
702at7399	1	203	0	0	0	0.9862	0	0.42	80	1	0.72
705at7399	1.048780488	203	0.205389788	0	0.048780488	0.8787	2	0.37	78	1	0.7
708at7399	1.048780488	203	0.205389788	0	0.048780488	0.8127	2	0.67	78	1	0.91
711at7399	1.024390244	203	0.15058465	0	0.024390244	0.928	1	0.54	79	1	0.83
720at7399	1.097560976	203	0.441098516	0	0.048780488	0.7841	2	0.555	78	1	0.755
724at7399	1.43902439	203	0.435431613	1	0.365853659	1.7761	8	0.12	71	1	0.84
725at7399	1.073170732	203	0.242660869	0	0.073170732	0.925	2	0.23	78	1	0.65
728at7399	1.024390244	203	0.15058465	0	0.024390244	0.7898	1	0.64	79	1	0.91
734at7399	1.024390244	203	0.15058465	0	0.024390244	0.9735	1	0.33	79	1	0.72
739at7399	1	203	0	0	0	0.8401	0	0.59	80	1	0.91
740at7399	1	203	0	1	0	1.1562	0	0.71	79	0.975609756	0.9
748at7399	1.060606061	203	0.224971654	8	0.060606061	1.5699	2	0.25	70	0.804878049	0.76
749at7399	1.083333333	183.0129637	0.255124984	2	0.083333333	0.9527	3	0.43	75	0.87804878	0.69
750at7399	1	203	0	0	0	0.8986	0	0.66	80	1	0.89
751at7399	1	203	0	0	0	0.9688	0	0.62	80	1	0.87
759at7399	1.048780488	203	0.205389788	0	0.048780488	0.8651	2	0.38	78	1	0.68
760at7399	1	203	0	1	0	1.0257	0	0.3	79	0.975609756	0.58
764at7399	1.05	203	0.297380857	1	0.025	0.9806	1	0.25	78	0.975609756	0.58
765at7399	1	203	0	0	0	1.2174	0	0.66	80	1	0.96
767at7399	1	203	0	0	0	0.9205	0	0.61	80	1	0.91
773at7399	1.025	203	0.152317024	1	0.025	0.9494	1	0.64	78	0.975609756	0.86
775at7399	1.05	203	0.207566616	1	0.05	0.994	2	0.24	77	0.975609756	0.6
778at7399	1.073170732	203	0.242660869	0	0.073170732	0.8909	3	0.67	77	1	0.93
780at7399	1.024390244	203	0.15058465	0	0.024390244	0.8407	1	0.12	79	1	0.34
782at7399	1.121212121	183.0129637	0.29108999	4	0.121212121	0.9284	3	0.52	73	0.804878049	0.89
786at7399	1.024390244	203	0.15058465	0	0.024390244	1.006	1	0.33	79	1	0.88
787at7399	1	203	0	0	0	0.9224	0	0.48	80	1	0.71
788at7399	1	203	0	0	0	0.8	0	0.62	80	1	0.9
793at7399	1.097560976	203	0.337016686	0	0.073170732	0.7227	3	0.75	77	1	0.91
796at7399	1	203	0	0	0	1.0506	0	0.74	80	1	0.95
804at7399	1.024390244	203	0.15058465	0	0.024390244	0.9614	1	0.5	79	1	0.84
805at7399	1	162	0	14	0	0.9265	0	0.63	66	0.390243902	0.9
816at7399	1.078947368	203	0.249925628	3	0.078947368	0.8573	3	0.4	74	0.926829268	0.64
826at7399	1.024390244	203	0.15058465	0	0.024390244	0.9459	1	0.42	79	1	0.79
828at7399	1.097560976	203	0.270345001	0	0.097560976	0.9684	4	0.87	76	1	0.99
830at7399	1	203	0	0	0	1.2903	0	0.17	80	1	0.46
832at7399	1	203	0	0	0	0.7818	0	0.72	80	1	0.94
833at7399	1.024390244	203	0.15058465	0	0.024390244	0.8034	1	0.39	79	1	0.75
840at7399	1	203	0	3	0	1.6703	0	0.49	77	0.926829268	0.96
848at7399	1.024390244	203	0.15058465	0	0.024390244	0.7813	1	0.41	79	1	0.81
850at7399	1.024390244	203	0.15058465	0	0.024390244	0.9293	1	0.72	79	1	0.93
854at7399	1.073170732	203	0.242660869	0	0.073170732	0.8276	3	0.35	77	1	0.7
855at7399	1.024390244	203	0.15058465	0	0.024390244	0.9188	1	0.65	79	1	0.81
863at7399	1.024390244	203	0.15058465	0	0.024390244	1.3811	1	0.5	79	1	0.89
864at7399	1	183.0129637	0	1	0	1.1523	0	0.55	79	0.902439024	0.77
867at7399	1	203	0	0	0	0.969	0	0.63	80	1	0.81
870at7399	1.078947368	203	0.249925628	3	0.078947368	1.0112	3	0.16	74	0.926829268	0.64
872at7399	1	203	0	1	0	0.9043	0	0.43	79	0.975609756	0.73
874at7399	1	203	0	0	0	0.9082	0	0.42	80	1	0.83
877at7399	1.024390244	203	0.15058465	0	0.024390244	0.8644	1	0.61	79	1	0.93
882at7399	1	203	0	0	0	0.8107	0	0.38	80	1	0.57
883at7399	1.024390244	203	0.15058465	0	0.024390244	0.7581	1	0.4	79	1	0.84
892at7399	1.024390244	203	0.15058465	0	0.024390244	0.8764	1	0.15	79	1	0.52
893at7399	1.048780488	203	0.205389788	0	0.048780488	0.9033	2	0.41	78	1	0.65
896at7399	1.035714286	203	0.17917767	10	0.035714286	1.0656	1	0.58	69	0.682926829	0.84
905at7399	1	203	0	1	0	1.3116	0	0.32	79	0.585365854	0.62
908at7399	1	203	0	0	0	0.7812	0	0.56	80	1	0.86
909at7399	1.12195122	203	0.291661041	0	0.12195122	1.2998	5	0.39	75	1	0.8
914at7399	1.097560976	203	0.270345001	0	0.097560976	0.8339	4	0.37	76	1	0.68
916at7399	1.027027027	183.0129637	0.157894737	1	0.027027027	1.0285	1	0.59	78	0.902439024	0.93
921at7399	1	203	0	1	0	0.8301	0	0.25	79	0.975609756	0.6
922at7399	1	203	0	3	0	1.0759	0	0.65	77	0.926829268	0.91
923at7399	1.024390244	203	0.15058465	0	0.024390244	0.8236	1	0.21	79	1	0.45
926at7399	1.073170732	203	0.318181818	0	0.048780488	0.954	2	0.58	78	1	0.92
929at7399	1.024390244	203	0.15058465	0	0.024390244	1.2958	1	0.41	79	1	0.78
934at7399	1	203	0	0	0	1.2262	0	0.49	80	1	0.87
935at7399	1.170731707	203	0.321401013	0	0.170731707	0.7806	7	0.29	73	1	0.48
937at7399	1	203	0	0	0	0.8279	0	0.7	80	1	0.88
941at7399	1.057142857	203	0.219568606	6	0.057142857	0.9704	2	0.195	72	0.853658537	0.33
944at7399	1.024390244	203	0.15058465	0	0.024390244	0.9142	1	0.11	79	1	0.39
945at7399	1	203	0	0	0	0.846	0	0.62	80	1	0.9
946at7399	1	183.0129637	0	1	0	0.8893	0	0.33	79	0.902439024	0.56
948at7399	1	203	0	0	0	1.0389	0	0.5	80	1	0.62
952at7399	1.219512195	203	0.339411255	1	0.219512195	1.5388	5	0.21	74	1	0.71
958at7399	1.073170732	203	0.431219681	0	0.024390244	0.8631	1	0.29	79	1	0.63
961at7399	1.027777778	183.0129637	0.159894048	2	0.027777778	1.5241	1	0.32	77	0.87804878	0.79
964at7399	1.073170732	203	0.242660869	0	0.073170732	0.8577	3	0.62	77	1	0.86
967at7399	1.25	203	0.687022561	3	0.125	1.295	3	0.51	74	0.975609756	0.94
968at7399	1.024390244	203	0.15058465	0	0.024390244	0.8703	1	0.47	79	1	0.75
971at7399	1.024390244	203	0.15058465	0	0.024390244	1.0142	1	0.4	79	1	0.65
974at7399	1.075	203	0.321401743	1	0.05	1.0672	2	0.16	77	0.975609756	0.47
981at7399	1.153846154	203	0.369183283	2	0.128205128	1.9263	4	0.14	74	0.951219512	0.64
987at7399	1.024390244	203	0.15058465	0	0.024390244	0.9998	1	0.41	79	1	0.72
988at7399	1.024390244	203	0.15058465	0	0.024390244	1.0823	1	0.42	79	1	0.65
989at7399	1.025	203	0.152317024	1	0.025	1.2542	1	0.55	78	0.975609756	0.81
992at7399	1.342857143	203	0.433959108	8	0.285714286	1.7356	6	0.156666667	66	0.853658537	0.793333333
1002at7399	1.071428571	203	0.240370085	9	0.071428571	1.8243	2	0.17	69	0.682926829	0.6
1004at7399	1.024390244	203	0.15058465	0	0.024390244	1.1582	1	0.49	79	1	0.84
1007at7399	1	203	0	1	0	1.2735	0	0.57	79	0.975609756	0.82
1008at7399	1.146341463	203	0.308327165	0	0.146341463	0.8215	5	0.17	75	1	0.34
1010at7399	1.048780488	203	0.294165364	0	0.024390244	0.9284	1	0.63	79	1	0.9
1012at7399	1	203	0	0	0	1.2535	0	0.55	80	1	0.92
1014at7399	1.12195122	203	0.291661041	0	0.12195122	0.8745	5	0.11	75	1	0.52
1016at7399	1	203	0	0	0	1.109	0	0.31	80	1	0.7
1018at7399	1	203	0	0	0	1.1117	0	0.19	80	1	0.5
1022at7399	1	183.0129637	0	2	0	1.1777	0	0.45	78	0.87804878	0.79
1030at7399	1.05	203	0.207566616	1	0.05	1.3933	2	0.27	77	0.975609756	0.67
1035at7399	1	203	0	0	0	1.1543	0	0.58	80	1	0.91
1042at7399	1.05	203	0.207566616	1	0.05	1.1468	2	0.6	77	0.975609756	0.9
1044at7399	1.024390244	203	0.15058465	0	0.024390244	1.5054	1	0.31	79	1	0.73
1045at7399	1	203	0	0	0	1.107	0	0.67	80	1	0.95
1048at7399	1.048780488	203	0.205389788	0	0.048780488	0.8231	2	0.39	78	1	0.67
1052at7399	1.170731707	203	0.593658619	0	0.073170732	1.2815	3	0.62	77	1	0.9
1057at7399	1.024390244	203	0.15058465	0	0.024390244	1.6253	1	0.51	79	1	0.89
1058at7399	1.054054054	203	0.214528212	4	0.054054054	1.9121	2	0.06	74	0.902439024	0.72
1060at7399	1.048780488	203	0.205389788	0	0.048780488	0.8132	2	0.43	78	1	0.67
1064at7399	1.051282051	203	0.209812811	2	0.051282051	0.9162	2	0.67	76	0.951219512	0.91
1066at7399	1.027777778	183.0129637	0.159894048	2	0.027777778	1.5677	1	0.41	77	0.87804878	0.89
1072at7399	1.025	203	0.152317024	1	0.025	0.8951	1	0.27	78	0.975609756	0.57
1075at7399	1	162	0	15	0	0.9332	0	0.58	65	0.341463415	0.84
1078at7399	1.048780488	203	0.205389788	0	0.048780488	0.9676	2	0.5	78	1	0.72
